User selected Routes
Number of points,6
node_number, node_name, lat_deg,lon_deg, alt_ft
16,Gate_A_007,37.611664,-122.389538,13.0
112,Txy_M_H,37.611136,-122.388118,13.0
121,Txy_M_001,37.609809,-122.384786,13.0
205,Txy_B_M,37.609421,-122.383495,13.0
210,Txy_M_002,37.609218,-122.383017,13.0
217,RW01L,37.608909,-122.382266,13.0

Shortest Path Routes
Number of points,7
node_number, node_name, lat_deg,lon_deg, alt_ft
16,Gate_A_007,37.611664,-122.389538,13.0
112,Txy_M_H,37.611136,-122.388118,13.0
121,Txy_M_001,37.609809,-122.384786,13.0
187,Txy_A_M,37.609678,-122.38432,13.0
205,Txy_B_M,37.609421,-122.383495,13.0
210,Txy_M_002,37.609218,-122.383017,13.0
217,RW01L,37.608909,-122.382266,13.0
