
  _real,_time |   _totl,_time |   missn,_time |   timer,_time |   _zulu,_time |   local,_time |   hobbs,_time |   _Vind,_kias |   _Vind,_keas |   Vtrue,_ktas |   Vtrue,_ktgs |   _Vind,__mph |   Vtrue,mphas |   Vtrue,mphgs |   pitch,__deg |   _roll,__deg |   hding,_true |   hding,__mag |   __lat,__deg |   __lon,__deg |   __alt,ftmsl |   __alt,ftagl |   ___on,runwy |   __alt,__ind |   __lat,orign |   __lon,orign | 
     70.20357 |       0.05025 |       0.05025 |       0.00000 |      22.68001 |      14.68001 |       2.83065 |       0.00000 |       0.28703 |       0.30788 |       0.30786 |       0.00000 |       0.35430 |       0.35430 |       0.66397 |      -0.46064 |     317.54770 |     304.41794 |      38.99726 |    -119.75648 |    4716.62646 |       0.01870 |       1.00000 |      34.53397 |      38.50000 |    -120.00000 | 
     72.04562 |       0.10050 |       0.10050 |       0.00000 |      22.68003 |      14.68003 |       2.83066 |       0.00000 |       0.52462 |       0.56273 |       0.56270 |       0.00000 |       0.64758 |       0.64758 |       0.58469 |      -0.43183 |     317.54727 |     304.41751 |      38.99726 |    -119.75648 |    4716.66895 |       0.06122 |       1.00000 |     107.57838 |      38.50000 |    -120.00000 | 
     73.62727 |       0.15075 |       0.15075 |       0.00000 |      22.68004 |      14.68004 |       2.83068 |       0.00000 |       0.69503 |       0.74552 |       0.74550 |       0.00000 |       0.85793 |       0.85793 |       0.47131 |      -0.38859 |     317.54718 |     304.41742 |      38.99726 |    -119.75648 |    4716.72803 |       0.12042 |       1.00000 |     211.25583 |      38.50000 |    -120.00000 | 
     73.76250 |       0.24596 |       0.24596 |       0.00000 |      22.68007 |      14.68007 |       2.83070 |       0.00000 |       0.80089 |       0.85908 |       0.85908 |       0.00000 |       0.98861 |       0.98861 |       0.18978 |      -0.28087 |     317.54785 |     304.41809 |      38.99726 |    -119.75648 |    4716.85986 |       0.25184 |       1.00000 |     467.55066 |      38.50000 |    -120.00000 | 
     73.87424 |       0.35770 |       0.35770 |       0.00000 |      22.68010 |      14.68010 |       2.83074 |       0.00000 |       0.61342 |       0.65799 |       0.65798 |       0.00000 |       0.75720 |       0.75720 |      -0.18917 |      -0.13414 |     317.55005 |     304.42029 |      38.99726 |    -119.75648 |    4716.99023 |       0.38294 |       1.00000 |     826.23846 |      38.50000 |    -120.00000 | 
     73.96791 |       0.45138 |       0.45138 |       0.00000 |      22.68013 |      14.68013 |       2.83076 |       0.00289 |       0.40678 |       0.43633 |       0.43632 |       0.00333 |       0.50212 |       0.50212 |      -0.48968 |      -0.01118 |     317.55069 |     304.42093 |      38.99726 |    -119.75648 |    4717.04053 |       0.43249 |       1.00000 |    1154.85986 |      38.50000 |    -120.00000 | 
     74.05708 |       0.54055 |       0.54055 |       0.00000 |      22.68015 |      14.68015 |       2.83079 |       0.01824 |       0.42709 |       0.45812 |       0.45808 |       0.02099 |       0.52719 |       0.52719 |      -0.72005 |       0.09268 |     317.54825 |     304.41849 |      38.99726 |    -119.75648 |    4717.02930 |       0.42158 |       1.00000 |    1470.71838 |      38.50000 |    -120.00000 | 
     74.17089 |       0.65435 |       0.65435 |       0.00000 |      22.68018 |      14.68018 |       2.83082 |       0.04842 |       0.56491 |       0.60595 |       0.60587 |       0.05572 |       0.69731 |       0.69731 |      -0.90320 |       0.19437 |     317.53961 |     304.40985 |      38.99726 |    -119.75648 |    4716.95312 |       0.34454 |       1.00000 |    1861.55835 |      38.50000 |    -120.00000 | 
     74.27741 |       0.76088 |       0.76088 |       0.00000 |      22.68021 |      14.68021 |       2.83085 |       0.06799 |       0.52063 |       0.55846 |       0.55838 |       0.07824 |       0.64266 |       0.64266 |      -0.95537 |       0.24971 |     317.52911 |     304.39935 |      38.99726 |    -119.75648 |    4716.85791 |       0.24950 |       1.00000 |    2206.28223 |      38.50000 |    -120.00000 | 
     74.38361 |       0.86707 |       0.86707 |       0.00000 |      22.68024 |      14.68024 |       2.83088 |       0.07806 |       0.30588 |       0.32810 |       0.32806 |       0.08983 |       0.37758 |       0.37758 |      -0.91107 |       0.26617 |     317.52020 |     304.39044 |      38.99726 |    -119.75648 |    4716.78320 |       0.17458 |       1.00000 |    2524.17358 |      38.50000 |    -120.00000 | 
