********* TRAJECTORY OUTPUT DATA *********
** Output Format:
** simulation_start_time
** 
** AC,flight_index,callsign,actype,origin_airport,destination_airport,start_time,simulation_interval_ground,simulation_interval_airborne,cruise_altitude_ft,cruise_tas_knots,origin_airport_elevation_ft,destination_airport_elevation_ft,number_of_trajectory_rec
** timestamp,latitude_deg,longitude_deg,altitude_ft,rocd_fps,tas_knots,course_deg,fpa_deg,sector_index,sector_name,flight_mode

1121238067

AC,0,SWA1897,B733,KSFO,PHX,0,1,1,33000,430,13,1135,6203
0,37.6186141967773438,-122.381675720214844,13,0,18,-12.8887948989868164,0,110,ZOANC403M8,DEPARTING
1,37.6186943054199219,-122.381698608398438,13,0,18,-12.5935783386230469,0,110,ZOANC403M8,DEPARTING
2,37.6187744140625,-122.381721496582031,13,0,18,-12.1452808380126953,0,110,ZOANC403M8,DEPARTING
3,37.6188545227050781,-122.381744384765625,13,0,18,-12.9758853912353516,0,110,ZOANC403M8,DEPARTING
4,37.6189346313476562,-122.381767272949219,13,0,18,-12.464634895324707,0,110,ZOANC403M8,DEPARTING
5,37.6190147399902344,-122.381790161132812,13,0,18,-11.374079704284668,0,110,ZOANC403M8,DEPARTING
6,37.6190948486328125,-122.381813049316406,13,0,18,-13.8680820465087891,0,110,ZOANC403M8,DEPARTING
7,37.6191749572753906,-122.3818359375,13,0,18,-11.552638053894043,0,110,ZOANC403M8,DEPARTING
8,37.6190986633300781,-122.381797790527344,13,0,18,158.394317626953125,0,110,ZOANC403M8,DEPARTING
9,37.6191749572753906,-122.381843566894531,13,0,18,-24.238922119140625,0,110,ZOANC403M8,DEPARTING
10,37.6192512512207031,-122.381889343261719,13,0,18,-24.4165210723876953,0,110,ZOANC403M8,DEPARTING
11,37.6193275451660156,-122.381935119628906,13,0,18,-23.6784820556640625,0,110,ZOANC403M8,DEPARTING
12,37.6194038391113281,-122.381980895996094,13,0,18,-23.6484909057617188,0,110,ZOANC403M8,DEPARTING
13,37.6194801330566406,-122.382026672363281,13,0,18,-23.8146305084228516,0,110,ZOANC403M8,DEPARTING
14,37.6195564270019531,-122.382064819335938,13,0,18,-22.2354869842529297,0,110,ZOANC403M8,DEPARTING
15,37.6196327209472656,-122.382110595703125,13,0,18,-24.1615428924560547,0,110,ZOANC403M8,DEPARTING
16,37.6197090148925781,-122.382148742675781,13,0,18,-21.3031368255615234,0,110,ZOANC403M8,DEPARTING
17,37.6197891235351562,-122.382179260253906,13,0,18,-15.403193473815918,0,110,ZOANC403M8,DEPARTING
18,37.6197471618652344,-122.382087707519531,13,0,18,120.554588317871094,0,110,ZOANC403M8,DEPARTING
19,37.6197052001953125,-122.381996154785156,13,0,18,120.564285278320312,0,110,ZOANC403M8,DEPARTING
20,37.6196632385253906,-122.381904602050781,13,0,18,120.685752868652344,0,110,ZOANC403M8,DEPARTING
21,37.6196212768554688,-122.381813049316406,13,0,18,120.660293579101562,0,110,ZOANC403M8,DEPARTING
22,37.6195793151855469,-122.381721496582031,13,0,18,120.554588317871094,0,110,ZOANC403M8,DEPARTING
23,37.619537353515625,-122.381629943847656,13,0,18,120.765586853027344,0,110,ZOANC403M8,DEPARTING
24,37.6194953918457031,-122.381538391113281,13,0,18,120.599014282226562,0,110,ZOANC403M8,DEPARTING
25,37.6194534301757812,-122.381446838378906,13,0,18,120.920059204101562,0,110,ZOANC403M8,DEPARTING
26,37.6194114685058594,-122.381355285644531,13,0,18,120.966720581054688,0,110,ZOANC403M8,DEPARTING
27,37.6193695068359375,-122.381263732910156,13,0,18,121.02215576171875,0,110,ZOANC403M8,DEPARTING
28,37.6193275451660156,-122.381172180175781,13,0,18,121.008956909179688,0,110,ZOANC403M8,DEPARTING
29,37.6192855834960938,-122.381080627441406,13,0,18,121.080947875976562,0,110,ZOANC403M8,DEPARTING
30,37.6192436218261719,-122.380989074707031,13,0,18,121.416000366210938,0,110,ZOANC403M8,DEPARTING
31,37.61920166015625,-122.380897521972656,13,0,18,121.171463012695312,0,110,ZOANC403M8,DEPARTING
32,37.6191596984863281,-122.380805969238281,13,0,18,121.78631591796875,0,110,ZOANC403M8,DEPARTING
33,37.6191139221191406,-122.380714416503906,13,0,18,121.879959106445312,0,110,ZOANC403M8,DEPARTING
34,37.6190719604492188,-122.380622863769531,13,0,18,121.328819274902344,0,110,ZOANC403M8,DEPARTING
35,37.6190261840820312,-122.380531311035156,13,0,18,122.87347412109375,0,110,ZOANC403M8,DEPARTING
36,37.6189804077148438,-122.380439758300781,13,0,18,122.721366882324219,0,110,ZOANC403M8,DEPARTING
37,37.6189346313476562,-122.380355834960938,13,0,18,124.071739196777344,0,110,ZOANC403M8,DEPARTING
38,37.6189002990722656,-122.380264282226562,13,0,18,115.334381103515625,0,110,ZOANC403M8,DEPARTING
39,37.6188316345214844,-122.380203247070312,13,0,18,146.927398681640625,0,110,ZOANC403M8,DEPARTING
40,37.6187629699707031,-122.380149841308594,13,0,18,147.416656494140625,0,110,ZOANC403M8,DEPARTING
41,37.6186943054199219,-122.380096435546875,13,0,18,147.3958740234375,0,110,ZOANC403M8,DEPARTING
42,37.6186256408691406,-122.380043029785156,13,0,18,147.438095092773438,0,110,ZOANC403M8,DEPARTING
43,37.6185569763183594,-122.379989624023438,13,0,18,147.3399658203125,0,110,ZOANC403M8,DEPARTING
44,37.6184883117675781,-122.379928588867188,13,0,18,146.468765258789062,0,110,ZOANC403M8,DEPARTING
45,37.6184196472167969,-122.379875183105469,13,0,18,147.34832763671875,0,110,ZOANC403M8,DEPARTING
46,37.6183509826660156,-122.37982177734375,13,0,18,147.066452026367188,0,110,ZOANC403M8,DEPARTING
47,37.6182823181152344,-122.3797607421875,13,0,18,146.943740844726562,0,110,ZOANC403M8,DEPARTING
48,37.6182136535644531,-122.37969970703125,13,0,18,146.571945190429688,0,110,ZOANC403M8,DEPARTING
49,37.6181411743164062,-122.379646301269531,13,0,18,148.645797729492188,0,110,ZOANC403M8,DEPARTING
50,37.6180686950683594,-122.379592895507812,13,0,18,148.06512451171875,0,110,ZOANC403M8,DEPARTING
51,37.6180000305175781,-122.379539489746094,13,0,18,147.638458251953125,0,110,ZOANC403M8,DEPARTING
52,37.6179161071777344,-122.379539489746094,13,0,18,-179.4722900390625,0,110,ZOANC403M8,DEPARTING
53,37.6178321838378906,-122.379539489746094,13,0,18,-179.43182373046875,0,110,ZOANC403M8,DEPARTING
54,37.6177482604980469,-122.379539489746094,13,0,18,-179.38568115234375,0,110,ZOANC403M8,DEPARTING
55,37.6176643371582031,-122.379539489746094,13,0,18,-179.327667236328125,0,110,ZOANC403M8,DEPARTING
56,37.6175804138183594,-122.379539489746094,13,0,18,-179.259063720703125,0,110,ZOANC403M8,DEPARTING
57,37.6174964904785156,-122.379539489746094,13,0,18,-179.178619384765625,0,110,ZOANC403M8,DEPARTING
58,37.6174125671386719,-122.379539489746094,13,0,18,-179.078567504882812,0,110,ZOANC403M8,DEPARTING
59,37.6173286437988281,-122.379539489746094,13,0,18,-178.947723388671875,0,110,ZOANC403M8,DEPARTING
60,37.6172447204589844,-122.379539489746094,13,0,18,-178.769424438476562,0,110,ZOANC403M8,DEPARTING
61,37.6171607971191406,-122.379539489746094,13,0,18,-178.530380249023438,0,110,ZOANC403M8,DEPARTING
62,37.6170768737792969,-122.379539489746094,13,0,18,-178.157608032226562,0,110,ZOANC403M8,DEPARTING
63,37.6169929504394531,-122.379547119140625,13,0,18,-177.5316162109375,0,110,ZOANC403M8,DEPARTING
64,37.6169090270996094,-122.379554748535156,13,0,18,-176.337554931640625,0,110,ZOANC403M8,DEPARTING
65,37.6168251037597656,-122.379554748535156,13,0,18,180,0,110,ZOANC403M8,DEPARTING
66,37.6169090270996094,-122.379554748535156,13,0,18,0,0,110,ZOANC403M8,DEPARTING
67,37.6168327331542969,-122.379600524902344,13,0,18,-154.9150390625,0,110,ZOANC403M8,DEPARTING
68,37.6167564392089844,-122.379646301269531,13,0,18,-154.854263305664062,0,110,ZOANC403M8,DEPARTING
69,37.6166801452636719,-122.379692077636719,13,0,18,-154.760269165039062,0,110,ZOANC403M8,DEPARTING
70,37.6166038513183594,-122.379737854003906,13,0,18,-154.954132080078125,0,110,ZOANC403M8,DEPARTING
71,37.6165275573730469,-122.379783630371094,13,0,18,-154.88446044921875,0,110,ZOANC403M8,DEPARTING
72,37.6164512634277344,-122.379829406738281,13,0,18,-154.709442138671875,0,110,ZOANC403M8,DEPARTING
73,37.6163749694824219,-122.379875183105469,13,0,18,-155.009674072265625,0,110,ZOANC403M8,DEPARTING
74,37.6162986755371094,-122.379920959472656,13,0,18,-154.928268432617188,0,110,ZOANC403M8,DEPARTING
75,37.6162223815917969,-122.379966735839844,13,0,18,-154.714187622070312,0,110,ZOANC403M8,DEPARTING
76,37.6161460876464844,-122.380012512207031,13,0,18,-155.094757080078125,0,110,ZOANC403M8,DEPARTING
77,37.6160697937011719,-122.380058288574219,13,0,18,-154.997543334960938,0,110,ZOANC403M8,DEPARTING
78,37.6159934997558594,-122.380104064941406,13,0,18,-155.491775512695312,0,110,ZOANC403M8,DEPARTING
79,37.6159172058105469,-122.380149841308594,13,0,18,-155.241607666015625,0,110,ZOANC403M8,DEPARTING
80,37.6158409118652344,-122.380195617675781,13,0,18,-155.123626708984375,0,110,ZOANC403M8,DEPARTING
81,37.6157646179199219,-122.380241394042969,13,0,18,-155.723068237304688,0,110,ZOANC403M8,DEPARTING
82,37.6156883239746094,-122.380287170410156,13,0,18,-155.555679321289062,0,110,ZOANC403M8,DEPARTING
83,37.6156120300292969,-122.380332946777344,13,0,18,-155.424911499023438,0,110,ZOANC403M8,DEPARTING
84,37.6155357360839844,-122.38037109375,13,0,18,-156.679641723632812,0,110,ZOANC403M8,DEPARTING
85,37.6154594421386719,-122.380416870117188,13,0,18,-154.01251220703125,0,110,ZOANC403M8,DEPARTING
86,37.6153831481933594,-122.380455017089844,13,0,18,-157.0975341796875,0,110,ZOANC403M8,DEPARTING
87,37.6153068542480469,-122.380500793457031,13,0,18,-154.01251220703125,0,110,ZOANC403M8,DEPARTING
88,37.615234375,-122.380546569824219,13,0,18,-152.3466796875,0,110,ZOANC403M8,DEPARTING
89,37.6151618957519531,-122.380592346191406,13,0,18,-152.082733154296875,0,110,ZOANC403M8,DEPARTING
90,37.6150894165039062,-122.380638122558594,13,0,18,-152.416824340820312,0,110,ZOANC403M8,DEPARTING
91,37.6150169372558594,-122.380683898925781,13,0,18,-152.06982421875,0,110,ZOANC403M8,DEPARTING
92,37.6149444580078125,-122.3807373046875,13,0,18,-151.762298583984375,0,110,ZOANC403M8,DEPARTING
93,37.6148719787597656,-122.380783081054688,13,0,18,-151.996627807617188,0,110,ZOANC403M8,DEPARTING
94,37.6147994995117188,-122.380828857421875,13,0,18,-152.2845458984375,0,110,ZOANC403M8,DEPARTING
95,37.6147270202636719,-122.380874633789062,13,0,18,-151.95648193359375,0,110,ZOANC403M8,DEPARTING
96,37.614654541015625,-122.380928039550781,13,0,18,-151.223724365234375,0,110,ZOANC403M8,DEPARTING
97,37.6145820617675781,-122.3809814453125,13,0,18,-151.707000732421875,0,110,ZOANC403M8,DEPARTING
98,37.6145095825195312,-122.381027221679688,13,0,18,-152.270950317382812,0,110,ZOANC403M8,DEPARTING
99,37.6144371032714844,-122.381080627441406,13,0,18,-151.35211181640625,0,110,ZOANC403M8,DEPARTING
100,37.6143646240234375,-122.381126403808594,13,0,18,-151.981521606445312,0,110,ZOANC403M8,DEPARTING
101,37.6142921447753906,-122.381172180175781,13,0,18,-153.247879028320312,0,110,ZOANC403M8,DEPARTING
102,37.6142196655273438,-122.3812255859375,13,0,18,-151.660751342773438,0,110,ZOANC403M8,DEPARTING
103,37.6141357421875,-122.3812255859375,13,0,18,180,0,110,ZOANC403M8,DEPARTING
104,37.6140632629394531,-122.381278991699219,13,0,18,-149.902542114257812,0,110,ZOANC403M8,DEPARTING
105,37.6139907836914062,-122.381332397460938,13,0,18,-150.1082763671875,0,110,ZOANC403M8,DEPARTING
106,37.6139183044433594,-122.381385803222656,13,0,18,-150.174774169921875,0,110,ZOANC403M8,DEPARTING
107,37.6138458251953125,-122.381439208984375,13,0,18,-150.189407348632812,0,110,ZOANC403M8,DEPARTING
108,37.6137733459472656,-122.381492614746094,13,0,18,-150.28485107421875,0,110,ZOANC403M8,DEPARTING
109,37.6137008666992188,-122.381546020507812,13,0,18,-150.585418701171875,0,110,ZOANC403M8,DEPARTING
110,37.6136283874511719,-122.381599426269531,13,0,18,-149.743316650390625,0,110,ZOANC403M8,DEPARTING
111,37.613555908203125,-122.38165283203125,13,0,18,-149.92779541015625,0,110,ZOANC403M8,DEPARTING
112,37.6134834289550781,-122.381706237792969,13,0,18,-150.053421020507812,0,110,ZOANC403M8,DEPARTING
113,37.6134109497070312,-122.381759643554688,13,0,18,-150.277191162109375,0,110,ZOANC403M8,DEPARTING
114,37.6133384704589844,-122.381813049316406,13,0,18,-150.787689208984375,0,110,ZOANC403M8,DEPARTING
115,37.6132621765136719,-122.381858825683594,13,0,18,-154.853652954101562,0,110,ZOANC403M8,DEPARTING
116,37.61334228515625,-122.381828308105469,13,0,18,17.5812835693359375,0,110,ZOANC403M8,DEPARTING
117,37.6132698059082031,-122.381874084472656,13,0,18,-152.81982421875,0,110,ZOANC403M8,DEPARTING
118,37.6131973266601562,-122.381919860839844,13,0,18,-152.621124267578125,0,110,ZOANC403M8,DEPARTING
119,37.6131248474121094,-122.381965637207031,13,0,18,-152.78594970703125,0,110,ZOANC403M8,DEPARTING
120,37.6130523681640625,-122.382011413574219,13,0,18,-152.600006103515625,0,110,ZOANC403M8,DEPARTING
121,37.6129798889160156,-122.382057189941406,13,0,18,-153.0128173828125,0,110,ZOANC403M8,DEPARTING
122,37.6129074096679688,-122.382102966308594,13,0,18,-152.566513061523438,0,110,ZOANC403M8,DEPARTING
123,37.6128349304199219,-122.382148742675781,13,0,18,-152.067092895507812,0,110,ZOANC403M8,DEPARTING
124,37.612762451171875,-122.382194519042969,13,0,18,-152.6181640625,0,110,ZOANC403M8,DEPARTING
125,37.6126899719238281,-122.382240295410156,13,0,18,-152.019775390625,0,110,ZOANC403M8,DEPARTING
126,37.6126174926757812,-122.382293701171875,13,0,18,-150.6563720703125,0,110,ZOANC403M8,DEPARTING
127,37.6125450134277344,-122.382347106933594,13,0,18,-151.292083740234375,0,110,ZOANC403M8,DEPARTING
128,37.6124687194824219,-122.382392883300781,13,0,18,-153.420761108398438,0,110,ZOANC403M8,DEPARTING
129,37.6125526428222656,-122.382392883300781,13,0,18,0,0,110,ZOANC403M8,DEPARTING
130,37.6124763488769531,-122.382438659667969,13,0,18,-154.716445922851562,0,110,ZOANC403M8,DEPARTING
131,37.6124000549316406,-122.382484436035156,13,0,18,-155.105880737304688,0,110,ZOANC403M8,DEPARTING
132,37.6123237609863281,-122.382530212402344,13,0,18,-154.993194580078125,0,110,ZOANC403M8,DEPARTING
133,37.6122474670410156,-122.382575988769531,13,0,18,-154.727020263671875,0,110,ZOANC403M8,DEPARTING
134,37.6121711730957031,-122.382621765136719,13,0,18,-155.291168212890625,0,110,ZOANC403M8,DEPARTING
135,37.6120948791503906,-122.382667541503906,13,0,18,-155.150588989257812,0,110,ZOANC403M8,DEPARTING
136,37.6120185852050781,-122.382713317871094,13,0,18,-156.147933959960938,0,110,ZOANC403M8,DEPARTING
137,37.6119422912597656,-122.382759094238281,13,0,18,-155.899124145507812,0,110,ZOANC403M8,DEPARTING
138,37.6118659973144531,-122.382804870605469,13,0,18,-155.815078735351562,0,110,ZOANC403M8,DEPARTING
139,37.6117897033691406,-122.382843017578125,13,0,18,-158.634933471679688,0,110,ZOANC403M8,DEPARTING
140,37.6117172241210938,-122.382888793945312,13,0,18,-152.161026000976562,0,110,ZOANC403M8,DEPARTING
141,37.6117782592773438,-122.382820129394531,13,0,18,42.1555252075195312,0,110,ZOANC403M8,DEPARTING
142,37.6117057800292969,-122.38287353515625,13,0,18,-151.14190673828125,0,110,ZOANC403M8,DEPARTING
143,37.61163330078125,-122.382926940917969,13,0,18,-151.351119995117188,0,110,ZOANC403M8,DEPARTING
144,37.6115608215332031,-122.382980346679688,13,0,18,-151.62054443359375,0,110,ZOANC403M8,DEPARTING
145,37.6114883422851562,-122.383033752441406,13,0,18,-151.003952026367188,0,110,ZOANC403M8,DEPARTING
146,37.6114158630371094,-122.383087158203125,13,0,18,-151.30731201171875,0,110,ZOANC403M8,DEPARTING
147,37.6113433837890625,-122.383132934570312,13,0,18,-152.16082763671875,0,110,ZOANC403M8,DEPARTING
148,37.6112709045410156,-122.3831787109375,13,0,18,-153.03118896484375,0,110,ZOANC403M8,DEPARTING
149,37.6111984252929688,-122.383232116699219,13,0,18,-151.402984619140625,0,110,ZOANC403M8,DEPARTING
150,37.6111259460449219,-122.383277893066406,13,0,18,-153.115463256835938,0,110,ZOANC403M8,DEPARTING
151,37.6110572814941406,-122.383338928222656,13,0,18,-144.848617553710938,0,110,ZOANC403M8,DEPARTING
152,37.6109848022460938,-122.383384704589844,13,0,18,-151.951583862304688,0,110,ZOANC403M8,DEPARTING
153,37.6109123229980469,-122.383438110351562,13,0,18,-151.703094482421875,0,110,ZOANC403M8,DEPARTING
154,37.61083984375,-122.383491516113281,13,0,18,-151.774078369140625,0,110,ZOANC403M8,DEPARTING
155,37.6107673645019531,-122.383537292480469,13,0,18,-152.233413696289062,0,110,ZOANC403M8,DEPARTING
156,37.6106948852539062,-122.383583068847656,13,0,18,-151.828353881835938,0,110,ZOANC403M8,DEPARTING
157,37.6106224060058594,-122.383628845214844,13,0,18,-152.453460693359375,0,110,ZOANC403M8,DEPARTING
158,37.6105499267578125,-122.383682250976562,13,0,18,-151.326385498046875,0,110,ZOANC403M8,DEPARTING
159,37.6104774475097656,-122.38372802734375,13,0,18,-152.008132934570312,0,110,ZOANC403M8,DEPARTING
160,37.6104049682617188,-122.383781433105469,13,0,18,-150.92962646484375,0,110,ZOANC403M8,DEPARTING
161,37.6103324890136719,-122.383827209472656,13,0,18,-151.828353881835938,0,110,ZOANC403M8,DEPARTING
162,37.6102638244628906,-122.383888244628906,13,0,18,-144.848312377929688,0,110,ZOANC403M8,DEPARTING
163,37.610321044921875,-122.383811950683594,13,0,18,46.5667076110839844,0,110,ZOANC403M8,DEPARTING
164,37.6102523803710938,-122.383865356445312,13,0,18,-147.429885864257812,0,110,ZOANC403M8,DEPARTING
165,37.6101837158203125,-122.383918762207031,13,0,18,-147.482528686523438,0,110,ZOANC403M8,DEPARTING
166,37.6101150512695312,-122.38397216796875,13,0,18,-147.462020874023438,0,110,ZOANC403M8,DEPARTING
167,37.61004638671875,-122.384025573730469,13,0,18,-147.4351806640625,0,110,ZOANC403M8,DEPARTING
168,37.6099777221679688,-122.384078979492188,13,0,18,-147.39849853515625,0,110,ZOANC403M8,DEPARTING
169,37.6099090576171875,-122.384132385253906,13,0,18,-147.34539794921875,0,110,ZOANC403M8,DEPARTING
170,37.6098403930664062,-122.384185791015625,13,0,18,-147.071807861328125,0,110,ZOANC403M8,DEPARTING
171,37.609771728515625,-122.384246826171875,13,0,18,-146.568984985351562,0,110,ZOANC403M8,DEPARTING
172,37.6097030639648438,-122.384307861328125,13,0,18,-145.822830200195312,0,110,ZOANC403M8,DEPARTING
173,37.6096267700195312,-122.384346008300781,13,0,18,-158.391815185546875,0,110,ZOANC403M8,DEPARTING
174,37.6095428466796875,-122.384361267089844,13,0,18,-170.952377319335938,0,110,ZOANC403M8,DEPARTING
175,37.6094589233398438,-122.384376525878906,13,0,18,-171.28277587890625,0,110,ZOANC403M8,DEPARTING
176,37.609375,-122.384391784667969,13,0,18,-171.212997436523438,0,110,ZOANC403M8,DEPARTING
177,37.6092910766601562,-122.384407043457031,13,0,18,-171.106231689453125,0,110,ZOANC403M8,DEPARTING
