Aircraft Type,Wingspan (tip to tip in meters),Source,Strike Distance (Gear to End of Fuesalage),Source,Length of Plane (meters),Source,Height from Ground to bottom,Source (EVERY VALUE EXCEPT BOEING OR AIRBUS IS ESTIMATED),Max Thrust (kN),Source,Empty Weight (KG),Source,MTOW (KG),Source,Max Landing Weight (KG),Source,CG (m from nose),Source
A30B,44.84,https://booksite.elsevier.com/9780340741528/appendices/data-a/table-1/table.htm,28.58,https://www.airbus.com/content/dam/corporate-topics/publications/backgrounders/techdata/aircraft_characteristics/Airbus-Commercial-Aircraft-AC-A300-600-Dec-2009.pdf,53.85,https://www.airbus.com/content/dam/corporate-topics/publications/backgrounders/techdata/aircraft_characteristics/Airbus-Commercial-Aircraft-AC-A300-600-Dec-2009.pdf,2.07,https://www.airbus.com/content/dam/corporate-topics/publications/backgrounders/techdata/aircraft_characteristics/Airbus-Commercial-Aircraft-AC-A300-Dec-2009.pdf,230-270,https://en.wikipedia.org/wiki/Airbus_A300#Specifications,88505,https://en.wikipedia.org/wiki/Airbus_A300#Specifications,165000,https://en.wikipedia.org/wiki/Airbus_A300#Specifications,134000,https://www.airbus.com/content/dam/corporate-topics/publications/backgrounders/techdata/aircraft_characteristics/Airbus-Commercial-Aircraft-AC-A300-Dec-2009.pdf,21.16,https://www.google.com/search?q=airbus+a300&rlz=1C1CHBF_enUS850US850&source=lnms&tbm=isch&sa=X&ved=0ahUKEwjg49TxhuriAhXOu54KHaZcAKEQ_AUIECgB&biw=1745&bih=877#imgrc=TNf4KmxJ77Y2AM:
A310,43.89,https://booksite.elsevier.com/9780340741528/appendices/data-a/table-1/table.htm,23.99,https://www.airbus.com/content/dam/corporate-topics/publications/backgrounders/techdata/aircraft_characteristics/Airbus-Commercial-Aircraft-AC-A310-Dec-2009.pdf,45.89,https://www.airbus.com/content/dam/corporate-topics/publications/backgrounders/techdata/aircraft_characteristics/Airbus-Commercial-Aircraft-AC-A310-Dec-2009.pdf,1.96,https://www.airbus.com/content/dam/corporate-topics/publications/backgrounders/techdata/aircraft_characteristics/Airbus-Commercial-Aircraft-AC-A310-Dec-2009.pdf,203.8-257.4,https://en.wikipedia.org/wiki/Airbus_A310,77564-79378,https://en.wikipedia.org/wiki/Airbus_A310,144000-164000,https://en.wikipedia.org/wiki/Airbus_A310,122000,https://www.airbus.com/content/dam/corporate-topics/publications/backgrounders/techdata/aircraft_characteristics/Airbus-Commercial-Aircraft-AC-A310-Dec-2009.pdf,20.26,https://www.google.com/search?q=airbus+a310&rlz=1C1CHBF_enUS850US850&source=lnms&tbm=isch&sa=X&ved=0ahUKEwjzkcPIi-riAhXBv54KHcYuCSQQ_AUIECgB&biw=1745&bih=877#imgrc=Arh7-nSlibGFVM:
A318,34.1,https://en.wikipedia.org/wiki/Airbus_A318,16.12,https://www.airbus.com/content/dam/corporate-topics/publications/backgrounders/techdata/aircraft_characteristics/Airbus-Commercial-Aircraft-AC-A318.pdf,31.44,https://en.wikipedia.org/wiki/Airbus_A320_family#/media/File:A32XFAMILYv1.0.png,1.71,https://www.airbus.com/content/dam/corporate-topics/publications/backgrounders/techdata/aircraft_characteristics/Airbus-Commercial-Aircraft-AC-A318.pdf,96-106,https://en.wikipedia.org/wiki/Airbus_A318#Specifications,39500,https://en.wikipedia.org/wiki/Airbus_A318#Specifications,68038,https://en.wikipedia.org/wiki/Airbus_A318#Specifications,56000-57000,https://www.airbus.com/content/dam/corporate-topics/publications/backgrounders/techdata/aircraft_characteristics/Airbus-Commercial-Aircraft-AC-A318.pdf,14.75,https://www.google.com/search?rlz=1C1CHBF_enUS850US850&biw=1745&bih=877&tbm=isch&sa=1&ei=7CgEXYTuJ8eX-gSP75KwBQ&q=airbus+a318&oq=airbus+a318&gs_l=img.3..0l10.411496.411882..412191...0.0..0.100.165.1j1......0....1..gws-wiz-img.......0i67.HzA0GFrwUxY#imgrc=cqTlH0YSTbSdHM:
A319,33.91,https://booksite.elsevier.com/9780340741528/appendices/data-a/table-1/table.htm,17.73,https://www.airbus.com/content/dam/corporate-topics/publications/backgrounders/techdata/aircraft_characteristics/Airbus-Commercial-Aircraft-AC-A319.pdf,33.84,https://en.wikipedia.org/wiki/Airbus_A320_family#/media/File:A32XFAMILYv1.0.png,1.73,https://www.airbus.com/content/dam/corporate-topics/publications/backgrounders/techdata/aircraft_characteristics/Airbus-Commercial-Aircraft-AC-A319.pdf,98-120,https://en.wikipedia.org/wiki/Airbus_A319#Specifications,40823,https://en.wikipedia.org/wiki/Airbus_A319#Specifications,75296,https://en.wikipedia.org/wiki/Airbus_A319#Specifications,61000-62500,https://www.airbus.com/content/dam/corporate-topics/publications/backgrounders/techdata/aircraft_characteristics/Airbus-Commercial-Aircraft-AC-A319.pdf,14.46,https://www.google.com/search?rlz=1C1CHBF_enUS850US850&biw=1745&bih=877&tbm=isch&sa=1&ei=iioEXZvoE5Ge-gTFlqnYBg&q=airbus+a319&oq=airbus+a319&gs_l=img.3..0i67j0l9.812642.812952..813259...0.0..0.70.138.2......0....1..gws-wiz-img.oyRdUKSjLw8#imgrc=-FpWI8YcmsjzrM:
A320,33.91,https://booksite.elsevier.com/9780340741528/appendices/data-a/table-1/table.htm,19.86,https://www.airbus.com/content/dam/corporate-topics/publications/backgrounders/techdata/aircraft_characteristics/Airbus-Commercial-Aircraft-AC-A320.pdf,37.57,https://en.wikipedia.org/wiki/Airbus_A320_family#/media/File:A32XFAMILYv1.0.png,1.72,https://www.airbus.com/content/dam/corporate-topics/publications/backgrounders/techdata/aircraft_characteristics/Airbus-Commercial-Aircraft-AC-A320.pdf,98-120,https://en.wikipedia.org/wiki/Airbus_A320_family#Specifications,42592,https://en.wikipedia.org/wiki/Airbus_A320_family#Specifications,78017,https://en.wikipedia.org/wiki/Airbus_A320_family#Specifications,64500-66000,https://www.airbus.com/content/dam/corporate-topics/publications/backgrounders/techdata/aircraft_characteristics/Airbus-Commercial-Aircraft-AC-A320.pdf,16.77,https://www.google.com/search?rlz=1C1CHBF_enUS850US850&biw=1745&bih=877&tbm=isch&sa=1&ei=uC0EXZ2-MIOe-gT-uLCwDA&q=airbus+a320&oq=airbus+a320&gs_l=img.3..0l10.229366.229860..230086...0.0..0.66.259.4......0....1..gws-wiz-img.......0i67j35i39.YHU0sxhz1Go#imgrc=-KChUtf0t7E4tM:
A321,33.91,https://booksite.elsevier.com/9780340741528/appendices/data-a/table-1/table.htm,21.97,https://www.airbus.com/content/dam/corporate-topics/publications/backgrounders/techdata/aircraft_characteristics/Airbus-Commercial-Aircraft-AC-A321.pdf,44.51,https://en.wikipedia.org/wiki/Airbus_A320_family#/media/File:A32XFAMILYv1.0.png,1.73,https://www.airbus.com/content/dam/corporate-topics/publications/backgrounders/techdata/aircraft_characteristics/Airbus-Commercial-Aircraft-AC-A321.pdf,133-147,https://en.wikipedia.org/wiki/Airbus_A320_family#Specifications,48534,https://en.wikipedia.org/wiki/Airbus_A320_family#Specifications,93440,https://en.wikipedia.org/wiki/Airbus_A320_family#Specifications,73500-77800,https://www.airbus.com/content/dam/corporate-topics/publications/backgrounders/techdata/aircraft_characteristics/Airbus-Commercial-Aircraft-AC-A321.pdf,20,https://www.google.com/search?rlz=1C1CHBF_enUS850US850&biw=1745&bih=877&tbm=isch&sa=1&ei=ny4EXbL3O8ec-gT1pJiwCw&q=airbus+a321&oq=airbus+a321&gs_l=img.3..0l10.126578.127183..127585...0.0..0.70.138.2......0....1..gws-wiz-img.......35i39j0i67.qJQIRjFLzJ0#imgrc=aV2PdhNS5_YTjM:
A332,58,https://booksite.elsevier.com/9780340741528/appendices/data-a/table-1/table.htm,28.66,https://www.airbus.com/content/dam/corporate-topics/publications/backgrounders/techdata/aircraft_characteristics/Airbus-Commercial-Aircraft-AC-A330.pdf,57.51,https://en.wikipedia.org/wiki/Airbus_A330,2.03,https://www.airbus.com/content/dam/corporate-topics/publications/backgrounders/techdata/aircraft_characteristics/Airbus-Commercial-Aircraft-AC-A330.pdf,287-316,https://en.wikipedia.org/wiki/Airbus_A330#Specifications,120600,https://en.wikipedia.org/wiki/Airbus_A330#Specifications,242000,https://en.wikipedia.org/wiki/Airbus_A330#Specifications,180000-182000,https://www.airbus.com/content/dam/corporate-topics/publications/backgrounders/techdata/aircraft_characteristics/Airbus-Commercial-Aircraft-AC-A330.pdf,26.14,https://www.google.com/search?q=a330+200&rlz=1C2CHBF_enUS850US850&tbm=isch&source=iu&ictx=1&fir=3f6xrFEBRhd6RM%252Cxd4sOG2XUXvUCM%252C_&vet=1&usg=AI4_-kRSEzDq4FZAvNgH2PA24DeQ7DNdfg&sa=X&ved=2ahUKEwjtoZy-k-riAhUYv54KHRCcAcsQ_h0wHXoECAkQBg&biw=1745&bih=877#imgrc=3f6xrFEBRhd6RM:&vet=1
A333,58,https://booksite.elsevier.com/9780340741528/appendices/data-a/table-1/table.htm,28.66,https://www.airbus.com/content/dam/corporate-topics/publications/backgrounders/techdata/aircraft_characteristics/Airbus-Commercial-Aircraft-AC-A330.pdf,62.89,https://en.wikipedia.org/wiki/Airbus_A330,2.1,https://www.airbus.com/content/dam/corporate-topics/publications/backgrounders/techdata/aircraft_characteristics/Airbus-Commercial-Aircraft-AC-A330.pdf,287-316,https://en.wikipedia.org/wiki/Airbus_A330#Specifications,129400,https://en.wikipedia.org/wiki/Airbus_A330#Specifications,242000,https://en.wikipedia.org/wiki/Airbus_A330#Specifications,174000-177000,https://www.airbus.com/content/dam/corporate-topics/publications/backgrounders/techdata/aircraft_characteristics/Airbus-Commercial-Aircraft-AC-A330.pdf,29.77,https://www.google.com/search?rlz=1C1CHBF_enUS850US850&biw=1745&bih=877&tbm=isch&sa=1&ei=N80HXe6LKKGJ0wKl3a-IBA&q=airbus+a330+300&oq=airbus+a330+300&gs_l=img.3..0l10.2221.2221..2543...0.0..0.69.69.1......0....1..gws-wiz-img.WewRKZbDNIw#imgrc=luz_g-dLOqK1hM:
A338,64,https://www.airbus.com/aircraft/passenger-aircraft/a330-family/a330-900.html,28.66,https://www.airbus.com/content/dam/corporate-topics/publications/backgrounders/techdata/aircraft_characteristics/Airbus-Commercial-Aircraft-AC-A330.pdf,57.51,https://www.airbus.com/aircraft/passenger-aircraft/a330-family/a330-800.html,1.95,https://www.airbus.com/content/dam/corporate-topics/publications/backgrounders/techdata/aircraft_characteristics/Airbus-Commercial-Aircraft-AC-A330.pdf,324,https://en.wikipedia.org/wiki/Airbus_A330neo#Specifications,131995,https://en.wikipedia.org/wiki/Airbus_A330neo#Specifications,250836,https://en.wikipedia.org/wiki/Airbus_A330neo#Specifications,186000,https://www.airbus.com/content/dam/corporate-topics/publications/backgrounders/techdata/aircraft_characteristics/Airbus-Commercial-Aircraft-AC-A330.pdf,25.33,https://www.google.com/search?rlz=1C1CHBF_enUS850US850&biw=1745&bih=877&tbm=isch&sa=1&ei=O80HXdrrI4Wh0wKT4KSoCw&q=airbus+a330+800&oq=airbus+a330+800&gs_l=img.3..0j0i30l3.176162.176436..176565...0.0..0.69.192.3......0....1..gws-wiz-img.ovpnHocf10A#imgrc=oCNRe6UdWxIOVM:
A339,64,https://www.airbus.com/aircraft/passenger-aircraft/a330-family/a330-900.html,30.79,https://www.airbus.com/content/dam/corporate-topics/publications/backgrounders/techdata/aircraft_characteristics/Airbus-Commercial-Aircraft-AC-A330.pdf,63.7,https://www.airlines-inform.com/commercial-aircraft/Airbus-A330-900.html,1.96,https://www.airbus.com/content/dam/corporate-topics/publications/backgrounders/techdata/aircraft_characteristics/Airbus-Commercial-Aircraft-AC-A330.pdf,324,https://en.wikipedia.org/wiki/Airbus_A330neo#Specifications,136984,https://en.wikipedia.org/wiki/Airbus_A330neo#Specifications,250836,https://en.wikipedia.org/wiki/Airbus_A330neo#Specifications,191000,https://www.airbus.com/content/dam/corporate-topics/publications/backgrounders/techdata/aircraft_characteristics/Airbus-Commercial-Aircraft-AC-A330.pdf,28.31,https://www.google.com/search?rlz=1C1CHBF_enUS850US850&biw=1745&bih=877&tbm=isch&sa=1&ei=oM4HXaGJFMzN0PEPp76qkAs&q=airbus+a330+900&oq=airbus+a330+900&gs_l=img.3..0l5j0i30l5.320135.320443..320652...0.0..0.73.138.2......0....1..gws-wiz-img.5F4jquVlVkc#imgrc=kW4a_0Ap__Y1TM:
