airport,runway,procedure_names,operation
KLAS,RW26L,"KEPEC6,SITEE3,SUNST4,TYSSN5",arrival
KLAS,RW26R,"KEPEC6,SITEE3,SUNST4,TYSSN5",arrival
KLAS,RW01L,GRNPA2,arrival
KLAS,RW19L,"LAS5,PRFUM4,COWBY8,BOACH8",departure
KLAS,RW25L,"LAS5,COWBY8,BOACH8",departure
KDTW,RW21L,"SPICA2,POLAR6",arrival
KDTW,RW22R,"SPICA2,POLAR6",arrival
KDTW,RW04R,"MIZAR4,GEMNI4",arrival
KDTW,RW22L,"SPICA2,POLAR6",arrival
KDTW,RW22R,"SPICA2,POLAR6",arrival
KDTW,RW04L,"MIZAR4,GEMNI4",arrival
KDTW,RW03R,"MIZAR4,GEMNI4",arrival
KDTW,RW21R,"PALCE1,ERRTH6,FWA7",departure
KDTW,RW22L,"PALCE1,ERRTH6,FWA7",departure
KSFO,RW28L,"BSR3,MOD8,PYE3,GOLDN7",arrival
KSFO,RW28R,"BSR3,MOD8,PYE3,GOLDN7",arrival
KSFO,RW01R,"AFIVA1,NIITE3,OFFSH1,SSTIK3,TRUKN2",departure
KSFO,RW01L,"AFIVA1,NIITE3,OFFSH1,SSTIK3,TRUKN2",departure
KSFO,RW28R,"AFIVA1,GAPP7,GNNRR2,MOLEN8,NIITE3,OFFSH1,SNTNA2,TRUKN2,WESLA3",departure
KSFO,RW28L,"AFIVA1,GAPP7,GNNRR2,MOLEN8,NIITE3,OFFSH1,SNTNA2,TRUKN2,WESLA3",departure
KJFK,RW04R,"ROBER2,PWL2,LENDY6,IGN1,CAMRN4",arrival
KJFK,RW04L,"ROBER2,PWL2,LENDY6,IGN1,CAMRN4",arrival
KJFK,RW04L,"MERIT6,GREKI6,DEEZZ5",departure
KJFK,RW04R,"MERIT6,GREKI6,DEEZZ5",departure
KJFK,RW13L,DEEZZ5,departure
KJFK,RW13R,DEEZZ5,departure
KJFK,RW31L,"SKORR4,MERIT6,GREKI6,DEEZZ5",departure
KJFK,RW31R,"SKORR4,MERIT6,GREKI6,DEEZZ5",departure
KJFK,RW22L,"MERIT6,GREKI6,DEEZZ5",departure
KJFK,RW22R,"MERIT6,GREKI6,DEEZZ5",departure
KATL,RW08L,"CHPPR1,ONDRE1,OZZZI1",arrival
KATL,RW09R,GLAVN1,arrival
KATL,RW10,"GNDLF2,SITTH2",arrival
KATL,RW08R,"ATL9,BANNG2,CUTTN2,GAIRY2,HAALO2,JACCC2,NASSA2,PADGT2,PENCL2,PHIIL2,PLMMR2,POUNC2,SMKEY2,SMLTZ2,VARNM2,VRSTY2,WIGLE2",departure
KATL,RW09L,"ATL9,BANNG2,CUTTN2,GAIRY2,HAALO2,JACCC2,NASSA2,PADGT2,PENCL2,PHIIL2,PLMMR2,POUNC2,SMKEY2,SMLTZ2,VARNM2,VRSTY2,WIGLE2",departure
KTPA,RW19L,"BLOND4,DADES4,DEAKK5,FOOXX4",arrival
KTPA,RW19R,"BLOND4,DADES4,DEAKK5,FOOXX4",arrival
KTPA,RW19L,"CROWD7,GANDY7,SYKES7",departure
KTPA,RW19R,"CROWD7,GANDY7,SYKES7",departure
KSLC,RW34L,"LEEHY5,SKEES5",arrival
KSLC,RW34R,"LEEHY5,SKEES5",arrival
