n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Rwy_01_001,0,35.04434762425806,-106.6214067179205,Rwy_01_002,1,35.04433536656122,-106.6196206280744
Rwy_01_003,2,35.04433948284241,-106.6182343263089,Rwy_01_002,1,35.04433536656122,-106.6196206280744
Rwy_01_003,2,35.04433948284241,-106.6182343263089,Rwy_01_004,3,35.04432046966343,-106.6173159563713
Rwy_04_002,31,35.04247937515399,-106.6191752528155,Rwy_04_001,30,35.04351581907113,-106.6207417426013
Txy_E_001,96,35.04248772139891,-106.6202247701924,Rwy_04_002,31,35.04247937515399,-106.6191752528155
Rwy_04_002,31,35.04247937515399,-106.6191752528155,Rwy_04_003,32,35.04126762376232,-106.6173446638283
Txy_E_002,97,35.04246899645888,-106.6179223242319,Rwy_04_002,31,35.04247937515399,-106.6191752528155
Txy_E_002,97,35.04246899645888,-106.6179223242319,Txy_J_E,92,35.04246869190442,-106.6173339152092
Txy_K_001,87,35.03974426276846,-106.6205101645506,Txy_K_G,88,35.03972374965103,-106.6167440539961
Ramp_01_006,221,35.04650075321131,-106.6195854175778,Ramp_01_005,220,35.0474826740176,-106.6195714343337
Txy_J_E,92,35.04246869190442,-106.6173339152092,Txy_C_E,63,35.042445275149,-106.6137931192358
Ramp_01_008,223,35.04555440713421,-106.6166866156884,Ramp_01_009,224,35.04555127573507,-106.6160245446559
Ramp_01_009,224,35.04555127573507,-106.6160245446559,Ramp_01_010,225,35.04554949402439,-106.6156079503433
Ramp_01_010,225,35.04554949402439,-106.6156079503433,Ramp_01_011,226,35.04554094864975,-106.615176023199
Ramp_01_011,226,35.04554094864975,-106.615176023199,Txy_A_C,52,35.04553172653042,-106.6137571897787
Txy_C_003,51,35.04497312869509,-106.6137514834458,Txy_A_C,52,35.04553172653042,-106.6137571897787
Rwy_01_006,5,35.04430128698223,-106.6137614193559,Txy_C_003,51,35.04497312869509,-106.6137514834458
Rwy_01_006,5,35.04430128698223,-106.6137614193559,Rwy_01_005,4,35.04430750090628,-106.6149940288958
Rwy_01_004,3,35.04432046966343,-106.6173159563713,Rwy_01_005,4,35.04430750090628,-106.6149940288958
Rwy_01_006,5,35.04430128698223,-106.6137614193559,Txy_C_004,62,35.04362169552793,-106.6137742488041
Txy_C_004,62,35.04362169552793,-106.6137742488041,Txy_C_E,63,35.042445275149,-106.6137931192358
Txy_C_E,63,35.042445275149,-106.6137931192358,Txy_E_003,98,35.04243839011148,-106.6129243584385
Rwy_04_004,33,35.0389645752686,-106.6138603030555,Rwy_04_003,32,35.04126762376232,-106.6173446638283
Txy_K_G,88,35.03972374965103,-106.6167440539961,Txy_G_001,124,35.0382871685586,-106.6144832389498
Txy_G_001,124,35.0382871685586,-106.6144832389498,Txy_C_G,67,35.0380692045273,-106.614140364936
Txy_C_G,67,35.0380692045273,-106.614140364936,Txy_C_F,68,35.03748342344171,-106.6143296568268
Txy_C_G,67,35.0380692045273,-106.614140364936,Txy_F_G,147,35.03785359448171,-106.6138168866876
Txy_C_G,67,35.0380692045273,-106.614140364936,Txy_C_006,66,35.03838987092824,-106.6140417000491
Txy_C_006,66,35.03838987092824,-106.6140417000491,Rwy_04_004,33,35.0389645752686,-106.6138603030555
Rwy_04_004,33,35.0389645752686,-106.6138603030555,Txy_C_005,65,35.03965453634815,-106.6138432950034
Txy_C_005,65,35.03965453634815,-106.6138432950034,Txy_C_J,64,35.04023928600051,-106.6138293947018
Txy_C_E,63,35.042445275149,-106.6137931192358,Txy_C_J,64,35.04023928600051,-106.6138293947018
Txy_C_J,64,35.04023928600051,-106.6138293947018,Txy_J_E,92,35.04246869190442,-106.6173339152092
Txy_G_002,125,35.03752437502315,-106.6133204278448,Txy_F_G,147,35.03785359448171,-106.6138168866876
