n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Rwy_05_002,243,33.6202528715456,-84.44777887977882,Rwy_05_003,244,33.62025918119648,-84.44662187277208
Txy_SG_001,251,33.62105496644622,-84.44778264826547,Rwy_05_002,243,33.6202528715456,-84.44777887977882
Txy_SG_001,251,33.62105496644622,-84.44778264826547,Txy_SG_002,252,33.62134087376501,-84.44742198314921
Txy_SG_002,252,33.62134087376501,-84.44742198314921,Txy_SG_003,253,33.62134707730085,-84.4466600810477
Txy_SG_003,253,33.62134707730085,-84.4466600810477,Txy_SG2_001,753,33.62102983850596,-84.44667013851594
Txy_SG2_001,753,33.62102983850596,-84.44667013851594,Rwy_05_003,244,33.62025918119648,-84.44662187277208
Txy_SG_003,253,33.62134707730085,-84.4466600810477,Txy_SG_004,254,33.62139913105926,-84.4430771107343
Txy_SG_004,254,33.62139913105926,-84.4430771107343,Txy_SG_005,256,33.62207644102892,-84.44207945426855
Txy_SG_004,254,33.62139913105926,-84.4430771107343,Txy_SG4_001,255,33.62105285544378,-84.4422438273416
Rwy_05_003,244,33.62025918119648,-84.44662187277208,Rwy_05_004,245,33.62024220259102,-84.44028332682856
Rwy_05_004,245,33.62024220259102,-84.44028332682856,Txy_SG4_001,255,33.62105285544378,-84.4422438273416
Rwy_05_004,245,33.62024220259102,-84.44028332682856,Rwy_05_005,246,33.62025704217495,-84.43565270831738
Rwy_05_005,246,33.62025704217495,-84.43565270831738,Txy_SG6_001,272,33.6210589734811,-84.43796956334803
Txy_SG6_001,272,33.6210589734811,-84.43796956334803,Txy_SG_006,257,33.62208691944056,-84.43886564017966
Txy_SG_005,256,33.62207644102892,-84.44207945426855,Txy_SG_006,257,33.62208691944056,-84.43886564017966
Txy_SG_006,257,33.62208691944056,-84.43886564017966,Txy_SG_007,258,33.62209894583877,-84.43398107674173
Txy_SG_007,258,33.62209894583877,-84.43398107674173,Txy_SG_008,259,33.6221104304134,-84.43307448715488
Rwy_05_005,246,33.62025704217495,-84.43565270831738,Rwy_05_006,247,33.62024864135179,-84.4322623347488
Rwy_05_006,247,33.62024864135179,-84.4322623347488,Txy_SG12_001,271,33.62107698260388,-84.43116893476162
