id,index,lat,lon,yEdId,domain,refName,type
Rwy_01_02,0,41.93856049456879,-72.68799292385972,n0,Rwy,null,null
Rwy_01_001,1,41.92938337962811,-72.67540662783804,n1,Rwy,RW33 ,Entry
Rwy_01_002,2,41.93225021554355,-72.6793528471926,n2,Rwy,null,null
Rwy_01_003,3,41.93419875537445,-72.68201159819891,n3,Rwy,null,null
Rwy_01_004,4,41.93751124110619,-72.68656033431995,n4,Rwy,null,null
Rwy_01_005,5,41.93801859257925,-72.68725556952995,n5,Rwy,null,null
Rwy_01_006,6,41.93910029766343,-72.68873810097764,n6,Rwy,null,null
Rwy_01_008,7,41.93963616529659,-72.68948015425636,n7,Rwy,null,null
Rwy_01_007,8,41.942275532853,-72.69309557986398,n8,Rwy,RW15 ,Entry
Rwy_02_03,9,41.94473494133718,-72.67988286359297,n9,Rwy,RW19 ,Entry
Rwy_02_001,10,41.93222127055081,-72.69633848384309,n10,Rwy,RW06 ,Entry
Rwy_02_002,11,41.9363238283188,-72.69093312132304,n11,Rwy,null,null
Rwy_02_003,12,41.93774764202891,-72.68906155525934,n12,Rwy,null,null
Rwy_02_004,13,41.93910403855974,-72.6872714519231,n13,Rwy,null,null
Rwy_02_005,14,41.94021523145642,-72.68580619282216,n14,Rwy,null,null
Rwy_02_006,15,41.94385050171734,-72.68103237802794,n15,Rwy,null,null
Rwy_02_007,16,41.94583165369265,-72.6784579166241,n16,Rwy,null,null
Rwy_02_008,17,41.946293355161,-72.6778541516683,n17,Rwy,null,null
Rwy_02_009,18,41.95054253281292,-72.67228904978525,n18,Rwy,RW24 ,Entry
Rwy_03_001,19,41.93381054187167,-72.67964370819121,n19,Rwy,RW01 ,Entry
Rwy_03_002,20,41.93755028574244,-72.67971121765206,n20,Rwy,null,null
Rwy_03_003,21,41.94302044363851,-72.67981364030902,n21,Rwy,null,null
Rwy_03_004,22,41.94343590167785,-72.67981818895429,n22,Rwy,null,null
Gate_01_001,23,41.92937022203324,-72.68286426401224,n23,Gate,null,null
Gate_01_002,24,41.92936082810669,-72.68235456253232,n24,Gate,null,null
Gate_01_003,25,41.92936081986452,-72.681910463363,n25,Gate,null,null
Gate_01_004,26,41.92939459759534,-72.68137805028758,n26,Gate,null,null
Gate_01_005,27,41.92939834201406,-72.68101217485673,n27,Gate,null,null
Gate_01_006,28,41.9297268526953,-72.68078253802538,n28,Gate,null,null
Gate_01_007,29,41.92999905728796,-72.68094149167155,n29,Gate,null,null
Gate_01_008,30,41.93005350928812,-72.68135279154714,n30,Gate,null,null
Gate_01_009,31,41.93005915136646,-72.68178175292303,n31,Gate,null,null
Gate_01_010,32,41.92999721265189,-72.68228893926236,n32,Gate,null,null
Gate_01_011,33,41.92998032549986,-72.6828036934594,n33,Gate,null,null
Gate_01_012,34,41.92996719065041,-72.6833260168502,n34,Gate,null,null
Gate_02_001,35,41.93066853207626,-72.68444201394662,n35,Gate,null,null
Gate_02_002,36,41.93089082847566,-72.68406615862017,n36,Gate,null,null
Gate_02_003,37,41.9313480010837,-72.68341216259664,n37,Gate,null,null
Gate_02_004,38,41.93161503532865,-72.68327309045512,n38,Gate,null,null
Gate_02_005,39,41.93183453747518,-72.68347605188106,n39,Gate,null,null
Gate_02_006,40,41.9319673584796,-72.68379177445146,n40,Gate,null,null
Gate_02_007,41,41.93178700573162,-72.6841695171334,n41,Gate,null,null
Gate_02_008,42,41.93152556263959,-72.6845021533552,n42,Gate,null,null
Gate_02_009,43,41.93130606124299,-72.68479344294326,n43,Gate,null,null
Gate_03_001,44,41.93225881911258,-72.6860652279602,n44,Gate,null,null
Gate_03_002,45,41.93270119314956,-72.68594207406329,n45,Gate,null,null
Gate_03_003,46,41.93294359708735,-72.68555654726924,n46,Gate,null,null
Gate_03_004,47,41.93366154782427,-72.6854048337827,n47,Gate,null,null
Gate_04_001,48,41.93406119873765,-72.68721563462555,n48,Gate,null,null
Gate_04_002,49,41.93452194845933,-72.68698681694657,n49,Gate,null,null
Gate_04_003,50,41.93478100609171,-72.68678286163818,n50,Gate,null,null
Gate_04_004,51,41.93501969821474,-72.68710374536757,n51,Gate,null,null
Gate_04_005,52,41.93513441150753,-72.68748183473693,n52,Gate,null,null
Gate_04_006,53,41.93491975892152,-72.68778528540713,n53,Gate,null,null
Gate_04_007,54,41.93464045953067,-72.68774811689974,n54,Gate,null,null
Gate_04_008,55,41.93425448517953,-72.68808014820038,n55,Gate,null,null
Gate_04_009,56,41.93394570849445,-72.6882461552262,n56,Gate,null,null
Gate_04_010,57,41.93361462036798,-72.68871423104119,n57,Gate,null,null
Ramp_01_001,58,41.92868746773431,-72.68279099757846,n58,Ramp,null,null
Ramp_01_002,59,41.92866180588445,-72.68229201778297,n59,Ramp,null,null
Ramp_01_003,60,41.9286768867703,-72.68181534804737,n60,Ramp,null,null
Ramp_01_004,61,41.92871611085994,-72.6813366484254,n61,Ramp,null,null
Ramp_01_005,62,41.928808134191,-72.68036302211186,n62,Ramp,null,null
Ramp_01_006,63,41.92981462825779,-72.67906071820406,n63,Ramp,null,null
Ramp_01_007,64,41.93041740384719,-72.67989295026932,n64,Ramp,null,null
Ramp_01_008,65,41.93110020543809,-72.68080137664835,n65,Ramp,null,null
Ramp_01_009,66,41.93176254210091,-72.6816611823605,n66,Ramp,null,null
Ramp_01_010,67,41.93124356696297,-72.68235411844715,n67,Ramp,null,null
Ramp_01_011,68,41.93093381737069,-72.6827907075248,n68,Ramp,null,null
Ramp_01_012,69,41.93053384595925,-72.68330005508419,n69,Ramp,null,null
Ramp_02_001,70,41.93233459385769,-72.68241604452132,n70,Ramp,null,null
Ramp_02_002,71,41.93313127244718,-72.68351851470916,n71,Ramp,null,null
Ramp_02_003,72,41.93248088261044,-72.6844875861595,n72,Ramp,null,null
Ramp_02_004,73,41.93214654296834,-72.68491242586097,n73,Ramp,null,null
Ramp_02_005,74,41.93190884730453,-72.68523193035762,n74,Ramp,null,null
Ramp_03_001,75,41.93409979488035,-72.68482083454475,n75,Ramp,null,null
Ramp_03_002,76,41.93392931821513,-72.68637338255473,n76,Ramp,null,null
Ramp_03_003,77,41.93419023525892,-72.68599460482196,n77,Ramp,null,null
Ramp_03_004,78,41.93457638945969,-72.68548956365166,n78,Ramp,null,null
Ramp_03_005,79,41.93535214968309,-72.68654645691684,n79,Ramp,null,null
