n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Parking_A_001,85,41.93496253461463,-72.6997264668309,Ramp_A_001,86,41.93365015156562,-72.69804039017876
Ramp_A_001,86,41.93365015156562,-72.69804039017876,Txy_J_001,105,41.93326755687592,-72.69782977592719
Txy_J_001,105,41.93326755687592,-72.69782977592719,Txy_R_001,103,41.93276929971452,-72.69714411773643
Txy_R_001,103,41.93276929971452,-72.69714411773643,Rwy_02_001,10,41.93222127055081,-72.69633848384309
Parking_B_001,109,41.93784848445993,-72.69396055258383,Ramp_B_001,108,41.9375246774346,-72.69355309259618
Ramp_B_001,108,41.9375246774346,-72.69355309259618,Txy_J_002,106,41.93704444871716,-72.6929178719663
Txy_J_002,106,41.93704444871716,-72.6929178719663,Txy_J_001,105,41.93326755687592,-72.69782977592719
Txy_J_003,107,41.93909552459073,-72.69021449702022,Txy_J_S,104,41.93876891566699,-72.69065653803207
Txy_J_S,104,41.93876891566699,-72.69065653803207,Txy_J_002,106,41.93704444871716,-72.6929178719663
Txy_J_S,104,41.93876891566699,-72.69065653803207,Txy_S_002,113,41.93826617301839,-72.68997107263316
Txy_S_002,113,41.93826617301839,-72.68997107263316,Rwy_02_003,12,41.93774764202891,-72.68906155525934
Rwy_02_003,12,41.93774764202891,-72.68906155525934,Txy_S_003,114,41.93721348834681,-72.6882409803481
Txy_S_003,114,41.93721348834681,-72.6882409803481,Txy_C_S,87,41.93672652964358,-72.68757115308624
Rwy_02_002,11,41.9363238283188,-72.69093312132304,Rwy_02_103,153,41.93729156218785,-72.68964126676616
Rwy_02_103,153,41.93729156218785,-72.68964126676616,Rwy_02_003,12,41.93774764202891,-72.68906155525934
Rwy_01_008,7,41.93963616529659,-72.68948015425636,Txy_J_003,107,41.93909552459073,-72.69021449702022
Rwy_01_008,7,41.93963616529659,-72.68948015425636,Rwy_01_006,6,41.93910029766343,-72.68873810097764
Rwy_01_006,6,41.93910029766343,-72.68873810097764,Rwy_01_02,0,41.93856049456879,-72.68799292385972
Rwy_01_02,0,41.93856049456879,-72.68799292385972,Rwy_02_003,12,41.93774764202891,-72.68906155525934
Rwy_02_004,13,41.93910403855974,-72.6872714519231,Rwy_01_02,0,41.93856049456879,-72.68799292385972
Rwy_01_02,0,41.93856049456879,-72.68799292385972,Rwy_01_005,5,41.93801859257925,-72.68725556952995
Rwy_01_005,5,41.93801859257925,-72.68725556952995,Rwy_01_004,4,41.93751124110619,-72.68656033431995
Rwy_01_004,4,41.93751124110619,-72.68656033431995,Txy_C_007,94,41.9370183365513,-72.68719409021486
Txy_C_007,94,41.9370183365513,-72.68719409021486,Txy_C_S,87,41.93672652964358,-72.68757115308624
Txy_C_006,93,41.93573919627589,-72.68888419435977,Txy_C_S,87,41.93672652964358,-72.68757115308624
Rwy_02_002,11,41.9363238283188,-72.69093312132304,Txy_V_001,152,41.93573891212871,-72.69010621237783
Txy_V_001,152,41.93573891212871,-72.69010621237783,Txy_C_005,92,41.93527951764292,-72.68947238518335
Txy_C_005,92,41.93527951764292,-72.68947238518335,Txy_C_006,93,41.93573919627589,-72.68888419435977
Txy_S_004,115,41.93611039574095,-72.68674746686897,Txy_C_S,87,41.93672652964358,-72.68757115308624
Txy_S_005,116,41.93567275741138,-72.686135936225,Txy_S_004,115,41.93611039574095,-72.68674746686897
Ramp_03_006,80,41.9357939469,-72.68713571031236,Txy_S_004,115,41.93611039574095,-72.68674746686897
Txy_S_005,116,41.93567275741138,-72.686135936225,Ramp_03_005,79,41.93535214968309,-72.68654645691684
Ramp_03_005,79,41.93535214968309,-72.68654645691684,Gate_04_004,51,41.93501969821474,-72.68710374536757
Ramp_03_006,80,41.9357939469,-72.68713571031236,Gate_04_005,52,41.93513441150753,-72.68748183473693
Gate_04_006,53,41.93491975892152,-72.68778528540713,Ramp_03_007,81,41.93542863256928,-72.6884451076845
Ramp_03_007,81,41.93542863256928,-72.6884451076845,Txy_C_006,93,41.93573919627589,-72.68888419435977
Rwy_02_001,10,41.93222127055081,-72.69633848384309,Txy_C_001,88,41.93163721033323,-72.69549802909964
Txy_C_001,88,41.93163721033323,-72.69549802909964,Txy_C_002,89,41.93152154086666,-72.69447658546129
Txy_C_002,89,41.93152154086666,-72.69447658546129,Txy_C_103,151,41.93331046802325,-72.69205355260532
Txy_C_103,151,41.93331046802325,-72.69205355260532,Ramp_05_001,150,41.93306677510058,-72.6917128572819
Rwy_02_001,10,41.93222127055081,-72.69633848384309,Rwy_02_002,11,41.9363238283188,-72.69093312132304
Txy_C_103,151,41.93331046802325,-72.69205355260532,Txy_C_003,90,41.93423755080053,-72.69085666676602
Txy_C_003,90,41.93423755080053,-72.69085666676602,Txy_C_004,91,41.93465351642368,-72.69029437673021
Txy_C_005,92,41.93527951764292,-72.68947238518335,Txy_C_004,91,41.93465351642368,-72.69029437673021
Txy_C_004,91,41.93465351642368,-72.69029437673021,Ramp_03_009,83,41.93435013995369,-72.6898853680258
Txy_C_003,90,41.93423755080053,-72.69085666676602,Ramp_03_010,84,41.93392221666471,-72.69042778910942
Ramp_05_001,150,41.93306677510058,-72.6917128572819,Gate_05_001,149,41.93278840483897,-72.69020937546082
Txy_C_005,92,41.93527951764292,-72.68947238518335,Ramp_03_008,82,41.934965400698,-72.68905026269485
Ramp_03_008,82,41.934965400698,-72.68905026269485,Gate_04_008,55,41.93425448517953,-72.68808014820038
Ramp_03_008,82,41.934965400698,-72.68905026269485,Gate_04_007,54,41.93464045953067,-72.68774811689974
Ramp_03_009,83,41.93435013995369,-72.6898853680258,Gate_04_009,56,41.93394570849445,-72.6882461552262
Ramp_03_010,84,41.93392221666471,-72.69042778910942,Gate_04_010,57,41.93361462036798,-72.68871423104119
Gate_04_003,50,41.93478100609171,-72.68678286163818,Ramp_03_004,78,41.93457638945969,-72.68548956365166
Ramp_03_004,78,41.93457638945969,-72.68548956365166,Txy_S_006,117,41.9348957972836,-72.68508459171518
Txy_S_006,117,41.9348957972836,-72.68508459171518,Txy_S_005,116,41.93567275741138,-72.686135936225
Txy_S_006,117,41.9348957972836,-72.68508459171518,Txy_S_007,118,41.93440647054368,-72.68441939358877
Txy_S_007,118,41.93440647054368,-72.68441939358877,Ramp_03_001,75,41.93409979488035,-72.68482083454475
Gate_04_002,49,41.93452194845933,-72.68698681694657,Ramp_03_003,77,41.93419023525892,-72.68599460482196
Gate_04_001,48,41.93406119873765,-72.68721563462555,Ramp_03_002,76,41.93392931821513,-72.68637338255473
Ramp_03_002,76,41.93392931821513,-72.68637338255473,Ramp_03_003,77,41.93419023525892,-72.68599460482196
Ramp_03_003,77,41.93419023525892,-72.68599460482196,Ramp_03_004,78,41.93457638945969,-72.68548956365166
Gate_03_004,47,41.93366154782427,-72.6854048337827,Ramp_03_001,75,41.93409979488035,-72.68482083454475
Txy_S_007,118,41.93440647054368,-72.68441939358877,Txy_S_008,119,41.93337832912396,-72.68303245200968
Txy_S_008,119,41.93337832912396,-72.68303245200968,Txy_S_009,120,41.93265087934538,-72.68203190498879
Txy_S_009,120,41.93265087934538,-72.68203190498879,Txy_S_010,121,41.93209084658466,-72.68125707767886
Txy_S_010,121,41.93209084658466,-72.68125707767886,Txy_S_011,122,41.93144927590414,-72.68036946188953
Txy_S_008,119,41.93337832912396,-72.68303245200968,Ramp_02_002,71,41.93313127244718,-72.68351851470916
Ramp_02_002,71,41.93313127244718,-72.68351851470916,Ramp_02_003,72,41.93248088261044,-72.6844875861595
Ramp_02_003,72,41.93248088261044,-72.6844875861595,Ramp_02_004,73,41.93214654296834,-72.68491242586097
Ramp_02_004,73,41.93214654296834,-72.68491242586097,Ramp_02_005,74,41.93190884730453,-72.68523193035762
Ramp_02_005,74,41.93190884730453,-72.68523193035762,Gate_03_001,44,41.93225881911258,-72.6860652279602
Gate_03_002,45,41.93270119314956,-72.68594207406329,Ramp_02_004,73,41.93214654296834,-72.68491242586097
Gate_03_003,46,41.93294359708735,-72.68555654726924,Ramp_02_003,72,41.93248088261044,-72.6844875861595
Ramp_02_002,71,41.93313127244718,-72.68351851470916,Gate_02_006,40,41.9319673584796,-72.68379177445146
Ramp_02_003,72,41.93248088261044,-72.6844875861595,Gate_02_007,41,41.93178700573162,-72.6841695171334
Ramp_02_004,73,41.93214654296834,-72.68491242586097,Gate_02_008,42,41.93152556263959,-72.6845021533552
Ramp_02_005,74,41.93190884730453,-72.68523193035762,Gate_02_009,43,41.93130606124299,-72.68479344294326
Gate_02_005,39,41.93183453747518,-72.68347605188106,Ramp_02_001,70,41.93233459385769,-72.68241604452132
Ramp_02_001,70,41.93233459385769,-72.68241604452132,Txy_S_009,120,41.93265087934538,-72.68203190498879
Txy_S_008,119,41.93337832912396,-72.68303245200968,Txy_P_001,128,41.93367601215297,-72.68263284269403
Txy_P_001,128,41.93367601215297,-72.68263284269403,Rwy_01_003,3,41.93419875537445,-72.68201159819891
Rwy_01_003,3,41.93419875537445,-72.68201159819891,Rwy_01_002,2,41.93225021554355,-72.6793528471926
Rwy_01_002,2,41.93225021554355,-72.6793528471926,Txy_S_011,122,41.93144927590414,-72.68036946188953
Txy_S_011,122,41.93144927590414,-72.68036946188953,Ramp_01_008,65,41.93110020543809,-72.68080137664835
Ramp_01_009,66,41.93176254210091,-72.6816611823605,Txy_S_010,121,41.93209084658466,-72.68125707767886
Gate_02_001,35,41.93066853207626,-72.68444201394662,Ramp_01_012,69,41.93053384595925,-72.68330005508419
Ramp_01_012,69,41.93053384595925,-72.68330005508419,Ramp_01_011,68,41.93093381737069,-72.6827907075248
Ramp_01_011,68,41.93093381737069,-72.6827907075248,Ramp_01_010,67,41.93124356696297,-72.68235411844715
Ramp_01_009,66,41.93176254210091,-72.6816611823605,Ramp_01_010,67,41.93124356696297,-72.68235411844715
