id,index,lat,lon,yEdId,domain,refName,type
Txy_E_003,0,43.56501754063221,-116.2241484643446,n0,Txy,null,null
Rwy_01_001,1,43.56999109275807,-116.2424992839601,n1,Rwy,RW10R,Entry
Rwy_01_002,2,43.56857988878141,-116.2383873116798,n2,Rwy,null,null
Rwy_01_003,3,43.56670179675199,-116.2328777175431,n3,Rwy,null,null
Rwy_01_004,4,43.56591160690299,-116.2305502575645,n4,Rwy,null,null
Rwy_01_005,5,43.56406867706549,-116.2251580022998,n5,Rwy,null,null
Rwy_01_006,6,43.56375451010605,-116.2242532354148,n6,Rwy,null,null
Rwy_01_007,7,43.56363869803638,-116.2238915769074,n7,Rwy,null,null
Rwy_01_008,8,43.56123545139266,-116.216841532049,n8,Rwy,null,null
Rwy_01_009,9,43.56114228250214,-116.2165620280183,n9,Rwy,null,null
Rwy_01_010,10,43.55989307095899,-116.2128994687063,n10,Rwy,null,null
Rwy_01_011,11,43.55898550315055,-116.2102442056267,n11,Rwy,null,null
Rwy_02_001,12,43.57019647391138,-116.2369064015957,n12,Rwy,RW10L,Entry
Rwy_02_002,13,43.57012579963538,-116.2366840282205,n13,Rwy,null,null
Rwy_01-012,14,43.5587640664635,-116.2096047989895,n14,Rwy,RW28L,Entry
Rwy_02_003,15,43.56765709931604,-116.2294234121568,n15,Rwy,null,null
Rwy_02_004,16,43.56582497655938,-116.2240814635308,n16,Rwy,null,null
Rwy_02_005,17,43.5634414457851,-116.2170752189323,n17,Rwy,null,null
Rwy_02_006,18,43.56162692132546,-116.2117817434093,n18,Rwy,null,null
Rwy_02_007,19,43.56071384915642,-116.2090867107551,n19,Rwy,null,null
Rwy_02_008,20,43.55864132195352,-116.2030051790195,n20,Rwy,RW28R,Entry
Txy_J_001,21,43.56919896672559,-116.2426664012815,n21,Txy,null,null
Txy_J_002,22,43.56823843110553,-116.2426827427655,n22,Txy,null,null
Txy_J_F,23,43.56575200113971,-116.2425868724439,n23,Txy,null,null
Txy_F_001,24,43.56583231599475,-116.2412598609209,n24,Txy,null,null
