n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
rwy_01_001,2,42.37805623684169,-71.00461591351612,rwy_01_002,3,42.37740706132048,-71.00494837788389
rwy_01_002,3,42.37740706132048,-71.00494837788389,rwy_01_003,4,42.37589103923104,-71.00566722367361
rwy_01_004,5,42.37158296661234,-71.00775832575746,rwy_01_03,1,42.36801467261647,-71.0094781316647
rwy_01_03,1,42.36801467261647,-71.0094781316647,rwy_03_003,32,42.3694998059375,-71.01148177933689
rwy_01_03,1,42.36801467261647,-71.0094781316647,rwy_03_004,33,42.36746110538472,-71.00875697668337
rwy_01_03,1,42.36801467261647,-71.0094781316647,rwy_01_005,6,42.36637071873295,-71.01028410123274
rwy_01_005,6,42.36637071873295,-71.01028410123274,rwy_01_007,8,42.3652770226048,-71.01081039754423
rwy_01_008,9,42.35857648253511,-71.0140491560029,rwy_01_006,7,42.36283167771173,-71.01199306718505
rwy_01_006,7,42.36283167771173,-71.01199306718505,rwy_01_007,8,42.3652770226048,-71.01081039754423
rwy_01_009,10,42.35801719745322,-71.01432371413748,rwy_01_008,9,42.35857648253511,-71.0140491560029
rwy_02_015,28,42.35127027245678,-71.01169297924508,rwy_02_014,27,42.35178219882936,-71.01144820087832
rwy_02_014,27,42.35178219882936,-71.01144820087832,rwy_02_013,26,42.35365426860536,-71.01053700357586
rwy_02_013,26,42.35365426860536,-71.01053700357586,rwy_02_012,25,42.35408597405634,-71.01031989493767
rwy_02_011,24,42.3572711390277,-71.00878405829205,rwy_02_010,23,42.35803558952094,-71.008422617774
rwy_02_010,23,42.35803558952094,-71.008422617774,rwy_02_009,22,42.36029333530729,-71.00732178114966
rwy_02_009,22,42.36029333530729,-71.00732178114966,rwy_02_008,21,42.36113807108011,-71.00690124464863
rwy_02_008,21,42.36113807108011,-71.00690124464863,rwy_02_007,20,42.36209883908494,-71.00644628828783
rwy_02_007,20,42.36209883908494,-71.00644628828783,rwy_02_006,19,42.36372615160689,-71.00565765194581
rwy_02_003,16,42.37381447322402,-71.00077391046558,rwy_02_004,17,42.37197843940747,-71.00165951241796
rwy_02_003,16,42.37381447322402,-71.00077391046558,rwy_02_002,15,42.3755729515488,-70.99991421630892
rwy_02_002,15,42.3755729515488,-70.99991421630892,rwy_02_001,14,42.37665834926015,-70.99938521265187
rwy_03_011,40,42.35521973430519,-70.99235895830151,rwy_03_012,41,42.35468049482952,-70.99163241226354
rwy_03_007,36,42.36288268536889,-71.00260752070689,rwy_03_008,37,42.3620682366402,-71.00151601236652
