id,index,lat,lon,yEdId,domain,refName,type
rwy_01_002,0,34.19520865356272,-118.355729955255,n0,Rwy,RW33 ,Entry
rwy_01_003,1,34.19703343535211,-118.3562292292475,n1,Rwy,null,null
rwy_01_02,2,34.19773763863206,-118.3564309532297,n2,Rwy,null,null
rwy_01_004,3,34.19841332372906,-118.3566086049479,n3,Rwy,null,null
rwy_01_005,4,34.19883394173219,-118.3567270070547,n4,Rwy,null,null
rwy_01_006,5,34.20297808650179,-118.3578752550666,n5,Rwy,null,null
rwy_01_007,6,34.20620222194952,-118.3587624699999,n6,Rwy,null,null
rwy_01_008,7,34.20966614523687,-118.3597184983824,n7,Rwy,RW15 ,Entry
rwy_01_009,8,34.21179311804363,-118.3603005853394,n8,Rwy,null,null
rwy_01_010,9,34.21221026696169,-118.3604356637385,n9,Rwy,null,null
rwy_01_001,10,34.19427900151018,-118.3554738752182,n10,Rwy,null,null
rwy_01_011,11,34.19392137447262,-118.3553806002467,n11,Rwy,null,null
rwy_02_001,12,34.19791187202988,-118.3689871664139,n12,Rwy,RW08 ,Entry
rwy_02_002,13,34.19784494357582,-118.3646274570173,n13,Rwy,null,null
rwy_02_003,14,34.19778808951605,-118.3602484888796,n14,Rwy,null,null
rwy_02_004,15,34.19775728510768,-118.3579525918651,n15,Rwy,null,null
rwy_02_005,16,34.19774761520818,-118.3572621805239,n16,Rwy,null,null
rwy_02_006,17,34.19771860865836,-118.3555861096236,n17,Rwy,null,null
rwy_02_007,18,34.19771654634599,-118.355077896959,n18,Rwy,null,null
rwy_02_008,19,34.1976617764527,-118.350173685118,n19,Rwy,RW26 ,Entry
txy_C_001,20,34.19693770804366,-118.3685192779913,n20,Txy,null,null
txy_C_002,21,34.19718756962961,-118.3689649764863,n21,Txy,null,null
txy_C_003,22,34.19689964201826,-118.3654678904278,n22,Txy,null,null
txy_C_004,23,34.19691029319663,-118.3667021048345,n23,Txy,null,null
txy_C_005,24,34.19688232906388,-118.3646678568642,n24,Txy,null,null
txy_C_006,25,34.19687314012968,-118.3640476627609,n25,Txy,null,null
txy_C_007,26,34.19685989168803,-118.3628103405098,n26,Txy,null,null
txy_C_008,27,34.19682487741292,-118.3602565632832,n27,Txy,null,null
txy_C_009,28,34.19679374645539,-118.3579742084333,n28,Txy,null,null
txy_C_010,29,34.19677895974209,-118.3571772711318,n29,Txy,null,null
txy_C_011,30,34.19678109566804,-118.3570035991312,n30,Txy,null,null
ramp_01_001,31,34.19628880119048,-118.3554149607772,n31,Ramp,null,null
txy_C_013,32,34.19710103769234,-118.3558329139986,n32,Txy,null,null
txy_C_014,33,34.19738654011206,-118.3555902758979,n33,Txy,null,null
txy_C_015,34,34.19719659144563,-118.3537005979442,n34,Txy,null,null
txy_G_003,35,34.19504610083641,-118.3567043907684,n35,Txy,null,null
txy_G_002,36,34.19421886681295,-118.3559105284816,n36,Txy,null,null
txy_G_001,37,34.19464184362642,-118.3565941462034,n37,Txy,null,null
txy_D_001,38,34.1985833680873,-118.3689774647111,n38,Txy,null,null
txy_D_002,39,34.19912369389186,-118.3685217399034,n39,Txy,null,null
txy_D_D8,40,34.19905888626027,-118.3645247036954,n40,Txy,null,null
txy_D8_002,41,34.19922378722688,-118.3645260457094,n41,Txy,null,null
txy_D_006,42,34.19893846858561,-118.3637500960896,n42,Txy,null,null
txy_D_D7,43,34.19889276979175,-118.3603419577184,n43,Txy,null,null
txy_D_B,44,34.19885883303391,-118.357942784733,n44,Txy,null,null
txy_D_009,45,34.19885215357358,-118.3575954100603,n45,Txy,null,null
txy_D_010,46,34.19883045785853,-118.355886661551,n46,Txy,null,null
txy_D8_001,47,34.19851769605689,-118.364539220174,n47,Txy,null,null
txy_D_005,48,34.19893842948939,-118.3628357617661,n48,Txy,null,null
