n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Rwy_01_001,68,39.17472904648147,-76.68943915638765,Rwy_01_002,69,39.17462292380652,-76.68756369225639
Rwy_01_002,69,39.17462292380652,-76.68756369225639,Rwy_01_003,73,39.17429314729885,-76.68178990948526
Rwy_01_003,73,39.17429314729885,-76.68178990948526,Rwy_01_004,77,39.17401520419241,-76.67686421359384
Rwy_01_004,77,39.17401520419241,-76.67686421359384,Rwy_01_005,224,39.17375743055518,-76.67244742581734
Rwy_01_005,224,39.17375743055518,-76.67244742581734,Rwy_01_02,85,39.1736909079322,-76.67117930715318
Rwy_01_02,85,39.1736909079322,-76.67117930715318,Rwy_01_006,92,39.17361388922169,-76.66987282167844
Rwy_01_006,92,39.17361388922169,-76.66987282167844,Rwy_01_007,90,39.17352692658888,-76.668356270094
Rwy_01_007,90,39.17352692658888,-76.668356270094,Rwy_01_008,94,39.17344494183923,-76.66691081794522
Rwy_01_008,94,39.17344494183923,-76.66691081794522,Rwy_01_04,93,39.1733894253034,-76.66590048202326
Rwy_01_04,93,39.1733894253034,-76.66590048202326,Rwy_01_009,95,39.17332973681994,-76.66483615583617
Rwy_01_009,95,39.17332973681994,-76.66483615583617,Rwy_01_010,97,39.1730294286463,-76.65966881458873
Rwy_01_010,97,39.1730294286463,-76.65966881458873,Rwy_01_011,99,39.1727468147896,-76.6548596575401
Rwy_01_011,99,39.1727468147896,-76.6548596575401,Rwy_01_012,103,39.17272449766421,-76.65441486111108
Rwy_01_012,103,39.17272449766421,-76.65441486111108,Rwy_01_013,102,39.17263818086715,-76.65287058809625
Rwy_01_001,68,39.17472904648147,-76.68943915638765,Txy_F_001,67,39.17549139325754,-76.68935479520125
Txy_F_001,67,39.17549139325754,-76.68935479520125,Txy_F_F1,71,39.17578186117529,-76.68774287473897
Txy_F_F1,71,39.17578186117529,-76.68774287473897,Txy_F1_001,70,39.17544168590609,-76.68749986899871
Txy_F1_001,70,39.17544168590609,-76.68749986899871,Rwy_01_002,69,39.17462292380652,-76.68756369225639
Txy_F_F1,71,39.17578186117529,-76.68774287473897,Txy_F_G,72,39.17695257034036,-76.68087194901157
Txy_F_G,72,39.17695257034036,-76.68087194901157,Txy_G_R,83,39.17538722794781,-76.6816858841878
Txy_G_R,83,39.17538722794781,-76.6816858841878,Txy_G_001,76,39.17507278693118,-76.68171167613457
Txy_G_001,76,39.17507278693118,-76.68171167613457,Rwy_01_003,73,39.17429314729885,-76.68178990948526
Rwy_01_003,73,39.17429314729885,-76.68178990948526,Txy_G_002,74,39.17352253411414,-76.68185345847373
Txy_G_002,74,39.17352253411414,-76.68185345847373,Txy_G_003,75,39.17319940744216,-76.68189326372121
Txy_G_003,75,39.17319940744216,-76.68189326372121,Txy_G_004,84,39.17265529505907,-76.6819453362119
Txy_G_004,84,39.17265529505907,-76.6819453362119,Txy_G_005,106,39.17226541083319,-76.68198558133398
Txy_F_G,72,39.17695257034036,-76.68087194901157,Txy_F_W,108,39.17717186610794,-76.67957979946969
Txy_F_W,108,39.17717186610794,-76.67957979946969,Txy_F_002,109,39.17773887899124,-76.6762307520648
Txy_F_002,109,39.17773887899124,-76.6762307520648,Rwy_02_003,117,39.17799605687196,-76.67515428736242
Txy_G_R,83,39.17538722794781,-76.6816858841878,Txy_R_001,82,39.17514394668306,-76.67732389457976
Txy_R_001,82,39.17514394668306,-76.67732389457976,Txy_R_R1,81,39.17510604773246,-76.67676550626547
Txy_R_R1,81,39.17510604773246,-76.67676550626547,Txy_R1_001,78,39.17479650348898,-76.6767878362383
Txy_R1_001,78,39.17479650348898,-76.6767878362383,Rwy_01_004,77,39.17401520419241,-76.67686421359384
Rwy_01_004,77,39.17401520419241,-76.67686421359384,Txy_R1_002,79,39.17324237472355,-76.67693786087823
Txy_R1_002,79,39.17324237472355,-76.67693786087823,Txy_R1_003,80,39.17292053979279,-76.67696240148258
Txy_R1_003,80,39.17292053979279,-76.67696240148258,Txy_R1_004,104,39.17237067924392,-76.677024103502
Txy_R1_004,104,39.17237067924392,-76.677024103502,Txy_R1_005,105,39.17199114987897,-76.67706261091139
Txy_R_R1,81,39.17510604773246,-76.67676550626547,Rwy_02_004,125,39.17485307545876,-76.67224742876358
Txy_F_W,108,39.17717186610794,-76.67957979946969,Txy_W_001,107,39.17760230930524,-76.67969367388413
Txy_W_001,107,39.17760230930524,-76.67969367388413,Txy_W_002,219,39.17926909880671,-76.68025682577532
Txy_W_002,219,39.17926909880671,-76.68025682577532,Txy_W_003,220,39.18333942768687,-76.68402555642405
Txy_W_003,220,39.18333942768687,-76.68402555642405,Parking_W_001,221,39.18405759145992,-76.68450082400706
Rwy_02_001,111,39.18528151371941,-76.68190546253994,Rwy_02_002,112,39.1811119043232,-76.67804502348936
Rwy_02_002,112,39.1811119043232,-76.67804502348936,Rwy_02_003,117,39.17799605687196,-76.67515428736242
Rwy_02_003,117,39.17799605687196,-76.67515428736242,Txy_F_003,118,39.17844449536111,-76.67435997865856
Txy_F_003,118,39.17844449536111,-76.67435997865856,Txy_F_P,120,39.17863992007253,-76.67401568634111
Txy_P_009,121,39.17898978075709,-76.67434502808976,Txy_F_P,120,39.17863992007253,-76.67401568634111
Txy_F_P,120,39.17863992007253,-76.67401568634111,Txy_P_010,119,39.17828555470071,-76.67368634847404
Txy_P_010,119,39.17828555470071,-76.67368634847404,Txy_P_011,203,39.17548427373579,-76.67109192239346
Rwy_02_003,117,39.17799605687196,-76.67515428736242,Rwy_02_004,125,39.17485307545876,-76.67224742876358
Rwy_02_004,125,39.17485307545876,-76.67224742876358,Rwy_01_02,85,39.1736909079322,-76.67117930715318
Rwy_01_02,85,39.1736909079322,-76.67117930715318,Rwy_02_005,222,39.17286962431399,-76.67040823468935
Rwy_02_005,222,39.17286962431399,-76.67040823468935,Rwy_02_006,127,39.17187621418873,-76.66948264015423
Rwy_02_006,127,39.17187621418873,-76.66948264015423,Rwy_02_007,129,39.17115708308813,-76.66882327604353
Rwy_02_007,129,39.17115708308813,-76.66882327604353,Rwy_02_04,130,39.17057400093263,-76.66827674082627
Rwy_02_04,130,39.17057400093263,-76.66827674082627,Rwy_02_008,131,39.16996226107283,-76.66771944651472
Rwy_02_008,131,39.16996226107283,-76.66771944651472,Rwy_02_009,133,39.166746760503,-76.66473147722955
Rwy_02_009,133,39.166746760503,-76.66473147722955,Rwy_02_010,135,39.16430909110324,-76.66247759161644
Rwy_02_010,135,39.16430909110324,-76.66247759161644,Txy_D_001,134,39.16479115089523,-76.66162942848915
Rwy_02_009,133,39.166746760503,-76.66473147722955,Txy_T_001,132,39.16722067124157,-76.66387514923683
Txy_T_001,132,39.16722067124157,-76.66387514923683,Txy_D_T,137,39.16756121882492,-76.66324814963926
Txy_D_T,137,39.16756121882492,-76.66324814963926,Txy_D_002,136,39.16713543382582,-76.66297487730856
Txy_D_002,136,39.16713543382582,-76.66297487730856,Txy_D_001,134,39.16479115089523,-76.66162942848915
Rwy_04_001,143,39.16696525085656,-76.67129350872358,Rwy_02_04,130,39.17057400093263,-76.66827674082627
Rwy_04_001,143,39.16696525085656,-76.67129350872358,Txy_E_001,142,39.16734094978563,-76.67203715305693
Txy_E_001,142,39.16734094978563,-76.67203715305693,Txy_E_002,223,39.16877133752287,-76.67209725716155
Txy_E_002,223,39.16877133752287,-76.67209725716155,Txy_E_003,128,39.17120760373506,-76.67004671192502
Rwy_02_04,130,39.17057400093263,-76.66827674082627,Rwy_04_002,140,39.17125984815675,-76.66768560045094
Rwy_04_002,140,39.17125984815675,-76.66768560045094,Rwy_04_003,139,39.17191659701424,-76.6671341969138
