id,index,lat,lon,yEdId,domain,refName,type
Rwy_01_001,0,41.39998568547551,-81.87329438582472,n0,Rwy,RW06L,Entry
Rwy_01_002,1,41.40139709386546,-81.871109514943,n1,Rwy,null,null
Rwy_01_003,2,41.40457081142428,-81.86609878879854,n2,Rwy,RW06R,Entry
Rwy_01_004,3,41.40642577920956,-81.86315692208106,n3,Rwy,null,null
Rwy_01_005,4,41.40894496867176,-81.85917194963525,n4,Rwy,null,null
Rwy_02_003,5,41.40812601284761,-81.85342393008018,n5,Rwy,null,null
Rwy_01_006,6,41.41114995213887,-81.85568152969812,n6,Rwy,null,null
Rwy_01_007,7,41.41321051080535,-81.85242366536717,n7,Rwy,null,null
Rwy_01_008,8,41.41486786356302,-81.8498031588775,n8,Rwy,null,null
Rwy_02_004,9,41.40900466544093,-81.85204117322772,n9,Rwy,null,null
Rwy_01_009,10,41.4156791628016,-81.84852647856607,n10,Rwy,RW24R,Entry
Rwy_02_001,11,41.40374987809064,-81.86036329055479,n11,Rwy,null,null
Rwy_02_002,12,41.40663893698079,-81.85578034253834,n12,Rwy,null,null
Rwy_02_006,13,41.41074634714127,-81.84928965433461,n13,Rwy,null,null
Rwy_02_007,14,41.41340058918989,-81.84509563092988,n14,Rwy,null,null
Rwy_02_008,15,41.41538634891867,-81.84195221255445,n15,Rwy,RW24L,Entry
Rwy_02_009,16,41.41573920579542,-81.84139654199217,n16,Rwy,null,null
Rwy_02_03,17,41.41641565563948,-81.84032951471174,n17,Rwy,null,null
Rwy_02_010,18,41.41697122492154,-81.83945028133164,n18,Rwy,null,null
Rwy_03_001,19,41.41706984043706,-81.85527856686159,n19,Rwy,RW10 ,Entry
Rwy_03_002,20,41.41696295670338,-81.85288236005405,n20,Rwy,null,null
Rwy_03_003,21,41.41684602115423,-81.85010611908571,n21,Rwy,null,null
Rwy_03_004,22,41.41657409260566,-81.84402998613078,n22,Rwy,null,null
Rwy_03_005,23,41.41655242615416,-81.84340955378187,n23,Rwy,null,null
Rwy_03_02,24,41.41651782303003,-81.84261482401583,n24,Rwy,null,null
Rwy_03_006,25,41.41648416055871,-81.84185692502794,n25,Rwy,null,null
Rwy_03_007,26,41.41645914923026,-81.84131066865993,n26,Rwy,null,null
Rwy_03_008,27,41.41635089500376,-81.83882189502332,n27,Rwy,null,null
Rwy_03_009,28,41.41625743253928,-81.8366586830438,n28,Rwy,null,null
Rwy_03_010,29,41.41611024477137,-81.83393570249386,n29,Rwy,RW28 ,Entry
Rwy_04_001,30,41.40466651795046,-81.8613963663083,n30,Rwy,null,null
Rwy_04_002,31,41.40726329059361,-81.85729420659783,n31,Rwy,null,null
Rwy_04_003,32,41.41081008266714,-81.85169706399078,n32,Rwy,null,null
Rwy_04_004,33,41.41153386558867,-81.85054925292215,n33,Rwy,null,null
Rwy_04_005,34,41.41402784319161,-81.84660562934451,n34,Rwy,null,null
