id,index,lat,lon,yEdId,domain,refName,type
rwy_01_001,0,35.20014184796975,-80.95083164020798,n0,Rwy,RW36C,Entry
ramp_05_001,1,35.22213590060142,-80.94043781921852,n1,Ramp,null,null
ramp_05_003,2,35.22230081092243,-80.93961645194575,n2,Ramp,null,null
ramp_05_002,3,35.22225038263217,-80.9401806167752,n3,Ramp,null,null
ramp_05_004,4,35.22231990043557,-80.93931657838661,n4,Ramp,null,null
ramp_05_005,5,35.22234030373171,-80.93902736626623,n5,Ramp,null,null
ramp_05_008,6,35.22317088910007,-80.93820788002715,n6,Ramp,null,null
ramp_05_006,7,35.2223662041992,-80.93855753415788,n7,Ramp,null,null
ramp_05_007,8,35.22297709312093,-80.93819149485404,n8,Ramp,null,null
ramp_05_009,9,35.22339619071818,-80.93822864187119,n9,Ramp,null,null
ramp_05_010,10,35.22365392399829,-80.93825349673011,n10,Ramp,null,null
ramp_05_011,11,35.22393732391016,-80.93827507333842,n11,Ramp,null,null
ramp_05_012,12,35.22442677706771,-80.93864034873502,n12,Ramp,null,null
ramp_05_013,13,35.2240551723992,-80.93920223658249,n13,Ramp,null,null
ramp_05_014,14,35.22379559829755,-80.93948309599061,n14,Ramp,null,null
ramp_05_015,15,35.22472056052482,-80.94179977626717,n15,Ramp,null,null
ramp_05_016,16,35.22419925598901,-80.94175767870789,n16,Ramp,null,null
ramp_05_017,17,35.22397364181329,-80.9417352384294,n17,Ramp,null,null
ramp_05_020,18,35.22311499751498,-80.94182446764532,n18,Ramp,null,null
ramp_05_018,19,35.2237493244118,-80.94171721084601,n19,Ramp,null,null
ramp_05_019,20,35.22351837919398,-80.94169840864517,n20,Ramp,null,null
rwy_01_002,21,35.20096476349902,-80.95089575656677,n21,Rwy,RW36L,Entry
rwy_01_003,22,35.20410285580935,-80.95115514563446,n22,Rwy,null,null
rwy_01_004,23,35.20752870202896,-80.95145599011741,n23,Rwy,null,null
rwy_01_005,24,35.21368573241221,-80.95198718133304,n24,Rwy,null,null
rwy_01_006,25,35.21868418985044,-80.95241251461289,n25,Rwy,null,null
rwy_01_007,26,35.22328508418411,-80.95280596962284,n26,Rwy,null,null
rwy_01_008,27,35.22643960538454,-80.95308484735324,n27,Rwy,RW18R,Entry
rwy_01_009,28,35.22725011653824,-80.95316102396322,n28,Rwy,RW18C,Entry
rwy_02_03,29,35.21930595567708,-80.93569269344862,n29,Rwy,null,null
rwy_02_001,30,35.20109992486593,-80.9341257021914,n30,Rwy,RW36R,Entry
rwy_02_002,31,35.20214538529222,-80.93421761681213,n31,Rwy,null,null
rwy_02_003,32,35.20378516865124,-80.93436023631531,n32,Rwy,null,null
rwy_02_004,33,35.20780267392879,-80.93470354777932,n33,Rwy,null,null
rwy_02_005,34,35.21000509727436,-80.93489041165732,n34,Rwy,null,null
rwy_02_006,35,35.21216855948944,-80.93507999156867,n35,Rwy,null,null
rwy_02_007,36,35.21449327512003,-80.93527734627571,n36,Rwy,null,null
rwy_02_008,37,35.21574340126549,-80.93538657106544,n37,Rwy,null,null
rwy_02_009,38,35.21777757998666,-80.93556204295642,n38,Rwy,null,null
rwy_02_010,39,35.2207000479046,-80.93581338767707,n39,Rwy,null,null
rwy_02_011,40,35.22404645271111,-80.93609383061977,n40,Rwy,null,null
rwy_02_012,41,35.22509223840402,-80.93618868701493,n41,Rwy,RW18L,Entry
rwy_03_001,42,35.20921103710885,-80.94959115312462,n42,Rwy,RW05 ,Entry
rwy_03_002,43,35.20984162082092,-80.94872027935538,n43,Rwy,null,null
rwy_03_003,44,35.21364995181067,-80.94346724274406,n44,Rwy,null,null
rwy_03_004,45,35.21660090868027,-80.9394109131858,n45,Rwy,null,null
rwy_03_005,46,35.21708559522955,-80.9387514309844,n46,Rwy,null,null
rwy_03_006,47,35.21839477981867,-80.9369507817885,n47,Rwy,null,null
rwy_03_007,48,35.22066144719982,-80.93383005338956,n48,Rwy,null,null
rwy_03_008,49,35.221822373666,-80.93223865814511,n49,Rwy,null,null
rwy_03_009,50,35.22253109669359,-80.93125391614771,n50,Rwy,RW23 ,Entry
gate_01_001,51,35.22068150757788,-80.9467690988211,n51,Gate,null,null
gate_01_002,52,35.22064771974193,-80.94725460811888,n52,Gate,null,null
gate_01_003,53,35.22057611334941,-80.9477393617846,n53,Gate,null,null
gate_01_004,54,35.22057170031893,-80.94822802907743,n54,Gate,null,null
gate_01_005,55,35.2205467565718,-80.94868027423112,n55,Gate,null,null
gate_01_006,56,35.22011335598747,-80.94887483119305,n56,Gate,null,null
