n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
rwy_01_003,22,35.20410285580935,-80.95115514563446,txy_E3_001,291,35.20415418484041,-80.9501659474532
txy_E3_001,291,35.20415418484041,-80.9501659474532,txy_E_004,146,35.20421017758473,-80.94915613017393
txy_E_004,146,35.20421017758473,-80.94915613017393,txy_E_003,145,35.20106043824311,-80.94888713113183
txy_E_003,145,35.20106043824311,-80.94888713113183,txy_E_002,144,35.2003983872922,-80.94888192917722
txy_E_002,144,35.2003983872922,-80.94888192917722,txy_E_001,143,35.2001833942551,-80.94981314509586
txy_E_001,143,35.2001833942551,-80.94981314509586,rwy_01_001,0,35.20014184796975,-80.95083164020798
rwy_01_001,0,35.20014184796975,-80.95083164020798,rwy_01_002,21,35.20096476349902,-80.95089575656677
rwy_01_002,21,35.20096476349902,-80.95089575656677,txy_E2_001,290,35.2010041996087,-80.9498797317406
txy_E2_001,290,35.2010041996087,-80.9498797317406,txy_E_003,145,35.20106043824311,-80.94888713113183
rwy_01_003,22,35.20410285580935,-80.95115514563446,rwy_01_002,21,35.20096476349902,-80.95089575656677
rwy_01_004,23,35.20752870202896,-80.95145599011741,rwy_01_003,22,35.20410285580935,-80.95115514563446
rwy_01_004,23,35.20752870202896,-80.95145599011741,txy_E4_001,292,35.20596863611632,-80.9502569265756
txy_E4_001,292,35.20596863611632,-80.9502569265756,txy_E_006,148,35.20507928051212,-80.94923792425655
txy_E_006,148,35.20507928051212,-80.94923792425655,txy_E_004,146,35.20421017758473,-80.94915613017393
txy_E_006,148,35.20507928051212,-80.94923792425655,txy_E_005,147,35.20595368100324,-80.94930326569678
txy_E_005,147,35.20595368100324,-80.94930326569678,txy_E4_002,301,35.20602501481604,-80.94840627386651
txy_E4_002,301,35.20602501481604,-80.94840627386651,txy_E4_003,302,35.20696144395129,-80.94704390162607
txy_E_005b,300,35.20651349305243,-80.9493525077527,txy_E_005,147,35.20595368100324,-80.94930326569678
txy_E_007,149,35.20785546380105,-80.94946902850039,txy_E_008,150,35.20839866035978,-80.94952164798057
txy_E_007,149,35.20785546380105,-80.94946902850039,txy_E_005b,300,35.20651349305243,-80.9493525077527
txy_E_007,149,35.20785546380105,-80.94946902850039,txy_A_001,197,35.20832878572135,-80.94879390646813
txy_E_008,150,35.20839866035978,-80.94952164798057,txy_A_001,197,35.20832878572135,-80.94879390646813
txy_E_009,151,35.21053968414602,-80.94969942686603,rwy_03_001,42,35.20921103710885,-80.94959115312462
txy_E_008,150,35.20839866035978,-80.94952164798057,rwy_03_001,42,35.20921103710885,-80.94959115312462
txy_A_001,197,35.20832878572135,-80.94879390646813,txy_A_002,198,35.20860660948554,-80.94842810080847
txy_A_002,198,35.20860660948554,-80.94842810080847,txy_F_001,188,35.20894358409663,-80.9486675174612
txy_F_001,188,35.20894358409663,-80.9486675174612,rwy_03_002,43,35.20984162082092,-80.94872027935538
txy_A_002,198,35.20860660948554,-80.94842810080847,txy_A_003,199,35.21078664089387,-80.94540410395729
txy_A_003,199,35.21078664089387,-80.94540410395729,ramp_D_002,304,35.20921090818322,-80.94368507407809
rwy_01_005,24,35.21368573241221,-80.95198718133304,rwy_01_004,23,35.20752870202896,-80.95145599011741
rwy_01_005,24,35.21368573241221,-80.95198718133304,txy_E5_001,293,35.21200351716394,-80.95076855181982
txy_E5_001,293,35.21200351716394,-80.95076855181982,txy_E_010,152,35.21162263734686,-80.94979647971627
txy_E_010,152,35.21162263734686,-80.94979647971627,txy_F_003,190,35.21201250565083,-80.94893214295654
txy_E_011,153,35.21269288447374,-80.94988734391863,txy_E_010,152,35.21162263734686,-80.94979647971627
txy_E_010,152,35.21162263734686,-80.94979647971627,txy_E_009,151,35.21053968414602,-80.94969942686603
txy_F_003,190,35.21201250565083,-80.94893214295654,txy_F_002,189,35.21070988787346,-80.94882759501647
txy_F_002,189,35.21070988787346,-80.94882759501647,rwy_03_002,43,35.20984162082092,-80.94872027935538
txy_F_004,191,35.21284471719082,-80.94899930910684,txy_F_003,190,35.21201250565083,-80.94893214295654
txy_F_003,190,35.21201250565083,-80.94893214295654,txy_M_001,214,35.2125064872226,-80.94829672899893
txy_M_001,214,35.2125064872226,-80.94829672899893,txy_M_002,215,35.21335062418297,-80.9459775214636
