n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
txy_S_002,164,39.02991336086137,-84.64996242819498,txy_S_001,163,39.02858242398642,-84.64999480249796
txy_S_003,165,39.03433797368201,-84.64992842564901,txy_S_002,164,39.02991336086137,-84.64996242819498
txy_S_002,164,39.02991336086137,-84.64996242819498,txy_T_003,150,39.02991376665562,-84.64890269786211
txy_T3_001,294,39.02990391287736,-84.6478640816374,txy_T_003,150,39.02991376665562,-84.64890269786211
txy_T3_001,294,39.02990391287736,-84.6478640816374,rwy_02_002,13,39.02989534084284,-84.64679337359479
rwy_02_002,13,39.02989534084284,-84.64679337359479,rwy_02_001,12,39.02857313819509,-84.64680089969225
rwy_02_001,12,39.02857313819509,-84.64680089969225,txy_T_001,148,39.02856102306158,-84.64789268078441
txy_T_001,148,39.02856102306158,-84.64789268078441,txy_T_002,149,39.02856443054594,-84.64894643478729
txy_T_002,149,39.02856443054594,-84.64894643478729,txy_S_001,163,39.02858242398642,-84.64999480249796
txy_T_003,150,39.02991376665562,-84.64890269786211,txy_T_002,149,39.02856443054594,-84.64894643478729
txy_S_003,165,39.03433797368201,-84.64992842564901,txy_T_004,151,39.03433655966531,-84.6488770510754
txy_T_004,151,39.03433655966531,-84.6488770510754,txy_T4_001,295,39.03448441371022,-84.64781789403041
txy_T4_001,295,39.03448441371022,-84.64781789403041,rwy_02_003,14,39.0349111725923,-84.64680658770364
rwy_02_003,14,39.0349111725923,-84.64680658770364,rwy_02_002,13,39.02989534084284,-84.64679337359479
txy_T_004,151,39.03433655966531,-84.6488770510754,txy_T_003,150,39.02991376665562,-84.64890269786211
txy_S_004,166,39.03956771052071,-84.64992670299308,txy_T_005,152,39.03956119339017,-84.64889219633412
txy_T_005,152,39.03956119339017,-84.64889219633412,txy_T_004,151,39.03433655966531,-84.6488770510754
txy_T_005,152,39.03956119339017,-84.64889219633412,txy_T5_001,296,39.03972463809451,-84.64787767973903
txy_T5_001,296,39.03972463809451,-84.64787767973903,rwy_02_004,15,39.04017458237957,-84.64685284261431
rwy_02_004,15,39.04017458237957,-84.64685284261431,rwy_02_003,14,39.0349111725923,-84.64680658770364
txy_S_M,168,39.04461164396643,-84.64990796284387,txy_T_M,153,39.04460225813019,-84.64885974505955
txy_T_M,153,39.04460225813019,-84.64885974505955,txy_T6_001,211,39.04460093921462,-84.64779886485367
txy_T6_001,211,39.04460093921462,-84.64779886485367,rwy_02_005,16,39.04408604098556,-84.6467835419911
rwy_02_005,16,39.04408604098556,-84.6467835419911,rwy_02_004,15,39.04017458237957,-84.64685284261431
txy_T_M,153,39.04460225813019,-84.64885974505955,txy_T_007,154,39.0436522550125,-84.64888615228571
txy_T_007,154,39.0436522550125,-84.64888615228571,txy_T_005,152,39.03956119339017,-84.64889219633412
txy_S_M,168,39.04461164396643,-84.64990796284387,txy_S_005,167,39.04378016779724,-84.64994616148651
txy_S_005,167,39.04378016779724,-84.64994616148651,txy_S_004,166,39.03956771052071,-84.64992670299308
txy_M_003,214,39.04462080406943,-84.65705180060432,txy_M_002,213,39.04461764530414,-84.6558458354045
txy_M_002,213,39.04461764530414,-84.6558458354045,txy_M_001,212,39.04462188299259,-84.65299975456199
txy_M_001,212,39.04462188299259,-84.65299975456199,txy_S_M,168,39.04461164396643,-84.64990796284387
rwy_03_008,27,39.04628185770248,-84.65920271211503,txy_M_005,216,39.04486754573049,-84.65918621110477
txy_M_005,216,39.04486754573049,-84.65918621110477,txy_M_004,215,39.04464609891083,-84.65860320335688
txy_M_004,215,39.04464609891083,-84.65860320335688,txy_M_003,214,39.04462080406943,-84.65705180060432
txy_M_006,217,39.04518709472123,-84.65995102091638,txy_M_005,216,39.04486754573049,-84.65918621110477
txy_M_007,218,39.04518723375415,-84.66269916905345,txy_M_006,217,39.04518709472123,-84.65995102091638
txy_D_M,182,39.04520205333782,-84.6672754162707,txy_M_009,220,39.045203350612,-84.66651297206873
txy_M_009,220,39.045203350612,-84.66651297206873,txy_M_008,219,39.04518159858719,-84.66432608873028
txy_M_008,219,39.04518159858719,-84.66432608873028,txy_M_007,218,39.04518723375415,-84.66269916905345
txy_E_003,203,39.04880870036882,-84.66650365169697,txy_E_J,201,39.04813494907307,-84.66650820462712
txy_E_J,201,39.04813494907307,-84.66650820462712,txy_E_K,200,39.047396156643,-84.66651165995714
txy_E_K,200,39.047396156643,-84.66651165995714,txy_E_002,199,39.04708565045321,-84.66651855667905
txy_E_002,199,39.04708565045321,-84.66651855667905,rwy_03_007,26,39.04629937899455,-84.6665171394374
rwy_03_007,26,39.04629937899455,-84.6665171394374,txy_E_001,198,39.04552275471968,-84.6665087866977
txy_E_001,198,39.04552275471968,-84.6665087866977,txy_M_009,220,39.045203350612,-84.66651297206873
txy_D_011,188,39.04881536094665,-84.66725891351604,txy_D_J,187,39.04813474977601,-84.66724972868087
txy_D_J,187,39.04813474977601,-84.66724972868087,txy_D_K,186,39.04740450018997,-84.66727594974526
txy_D_K,186,39.04740450018997,-84.66727594974526,txy_D_008,185,39.04709610964161,-84.66726845732049
txy_D_008,185,39.04709610964161,-84.66726845732049,rwy_03_006,25,39.04629891790207,-84.66727829105648
rwy_03_006,25,39.04629891790207,-84.66727829105648,rwy_03_007,26,39.04629937899455,-84.6665171394374
rwy_03_006,25,39.04629891790207,-84.66727829105648,txy_D_007,184,39.04552505871452,-84.66727220433775
txy_D_007,184,39.04552505871452,-84.66727220433775,txy_D_M,182,39.04520205333782,-84.6672754162707
txy_M_010,221,39.04519975764844,-84.66769089518,txy_D_M,182,39.04520205333782,-84.6672754162707
rwy_01_104,176,39.04521198371361,-84.6686893681581,rwy_01_02,0,39.0462938118932,-84.66868417549232
rwy_01_02,0,39.0462938118932,-84.66868417549232,rwy_03_006,25,39.04629891790207,-84.66727829105648
rwy_01_002,2,39.03591687748016,-84.66871696305279,txy_D2_001,258,39.03590890110277,-84.66772270664849
txy_D2_001,258,39.03590890110277,-84.66772270664849,txy_D_002,179,39.03590676851451,-84.66731399027549
txy_D_002,179,39.03590676851451,-84.66731399027549,txy_D_006,183,39.03464004856271,-84.66732890818611
txy_D_006,183,39.03464004856271,-84.66732890818611,txy_D_001,178,39.03463453133886,-84.66772428362094
txy_D_001,178,39.03463453133886,-84.66772428362094,rwy_01_001,1,39.03467129910129,-84.6687277846854
rwy_01_001,1,39.03467129910129,-84.6687277846854,rwy_01_002,2,39.03591687748016,-84.66871696305279
rwy_01_003,3,39.04120065925439,-84.6687075115209,rwy_01_002,2,39.03591687748016,-84.66871696305279
rwy_01_003,3,39.04120065925439,-84.6687075115209,txy_D3_001,259,39.04121003806953,-84.66770218801925
txy_D3_001,259,39.04121003806953,-84.66770218801925,txy_D_003,180,39.04122583536561,-84.6672938917192
txy_D_003,180,39.04122583536561,-84.6672938917192,txy_D_002,179,39.03590676851451,-84.66731399027549
rwy_01_004,4,39.04357057536283,-84.66870090255405,rwy_01_003,3,39.04120065925439,-84.6687075115209
rwy_01_004,4,39.04357057536283,-84.66870090255405,rwy_01_104,176,39.04521198371361,-84.6686893681581
txy_D_M,182,39.04520205333782,-84.6672754162707,txy_D_004,181,39.04356925163412,-84.66729986728565
txy_D_004,181,39.04356925163412,-84.66729986728565,txy_D4_001,260,39.04356502258077,-84.66771035058645
txy_D4_001,260,39.04356502258077,-84.66771035058645,rwy_01_004,4,39.04357057536283,-84.66870090255405
txy_D_004,181,39.04356925163412,-84.66729986728565,txy_D_003,180,39.04122583536561,-84.6672938917192
txy_M_011,222,39.04520761984115,-84.66969004809097,rwy_01_104,176,39.04521198371361,-84.6686893681581
txy_M_010,221,39.04519975764844,-84.66769089518,rwy_01_104,176,39.04521198371361,-84.6686893681581
rwy_03_004,23,39.04631636337288,-84.67406014026463,txy_M6_001,299,39.04555045602375,-84.67318285422
txy_M6_001,299,39.04555045602375,-84.67318285422,txy_M_013,224,39.0452193410121,-84.6726836970531
txy_M_013,224,39.0452193410121,-84.6726836970531,txy_M_012,223,39.0452194135598,-84.67080632323028
txy_M_012,223,39.0452194135598,-84.67080632323028,txy_M_011,222,39.04520761984115,-84.66969004809097
rwy_03_005,24,39.04631142882787,-84.6708125468686,txy_C_001,300,39.04553749258335,-84.6708070742747
txy_C_001,300,39.04553749258335,-84.6708070742747,txy_M_012,223,39.0452194135598,-84.67080632323028
rwy_03_004,23,39.04631636337288,-84.67406014026463,rwy_03_005,24,39.04631142882787,-84.6708125468686
rwy_03_005,24,39.04631142882787,-84.6708125468686,rwy_01_02,0,39.0462938118932,-84.66868417549232
rwy_01_02,0,39.0462938118932,-84.66868417549232,rwy_01_005,5,39.04741505949884,-84.66868218928543
rwy_01_005,5,39.04741505949884,-84.66868218928543,rwy_01_006,6,39.04817296387662,-84.66867017705766
txy_K_002,235,39.04738739005966,-84.67407501216755,txy_K6_001,256,39.0471017412332,-84.67407444425106
txy_K6_001,256,39.0471017412332,-84.67407444425106,rwy_03_004,23,39.04631636337288,-84.67406014026463
txy_K_002,235,39.04738739005966,-84.67407501216755,txy_C_002,301,39.04741867846871,-84.67083218682937
txy_C_002,301,39.04741867846871,-84.67083218682937,txy_K_003,236,39.04741137194875,-84.66973018277098
txy_K_003,236,39.04741137194875,-84.66973018277098,rwy_01_005,5,39.04741505949884,-84.66868218928543
rwy_01_005,5,39.04741505949884,-84.66868218928543,txy_K_004,237,39.04740182779868,-84.6676806722797
txy_K_004,237,39.04740182779868,-84.6676806722797,txy_D_K,186,39.04740450018997,-84.66727594974526
txy_D_K,186,39.04740450018997,-84.66727594974526,txy_E_K,200,39.047396156643,-84.66651165995714
rwy_01_006,6,39.04817296387662,-84.66867017705766,txy_J_001,245,39.04813831294646,-84.66768132841722
txy_J_001,245,39.04813831294646,-84.66768132841722,txy_D_J,187,39.04813474977601,-84.66724972868087
txy_D_J,187,39.04813474977601,-84.66724972868087,txy_E_J,201,39.04813494907307,-84.66650820462712
txy_E_J,201,39.04813494907307,-84.66650820462712,txy_J_002,246,39.04813011976878,-84.66369394289373
txy_J_002,246,39.04813011976878,-84.66369394289373,spot_J5,268,39.04879932461627,-84.66369044597437
spot_06,267,39.04880534799116,-84.66622491543555,txy_E_003,203,39.04880870036882,-84.66650365169697
txy_E_004,204,39.05013020822294,-84.66649229448498,txy_E_003,203,39.04880870036882,-84.66650365169697
spot_07,266,39.05012963380023,-84.66621445778185,txy_E_004,204,39.05013020822294,-84.66649229448498
txy_E_004,204,39.05013020822294,-84.66649229448498,txy_D_012,189,39.05013531805493,-84.66722622732071
txy_D_012,189,39.05013531805493,-84.66722622732071,txy_D_011,188,39.04881536094665,-84.66725891351604
spot_08N,202,39.0521756625778,-84.66623512033036,spot_08S,265,39.05158695052335,-84.66621581901565
spot_08S,265,39.05158695052335,-84.66621581901565,txy_E_005,205,39.05158917677609,-84.66651398266022
txy_E_005,205,39.05158917677609,-84.66651398266022,txy_D_013,190,39.05158360212325,-84.66724050093117
txy_D_014,191,39.05218497757655,-84.66724050219956,txy_D_013,190,39.05158360212325,-84.66724050093117
txy_D6_001,261,39.05218893773571,-84.66765849916412,txy_D_014,191,39.05218497757655,-84.66724050219956
txy_E_005,205,39.05158917677609,-84.66651398266022,txy_E_004,204,39.05013020822294,-84.66649229448498
rwy_01_007,7,39.05217057273367,-84.6686574567989,rwy_01_006,6,39.04817296387662,-84.66867017705766
rwy_01_007,7,39.05217057273367,-84.6686574567989,txy_D6_001,261,39.05218893773571,-84.66765849916412
rwy_01_008,8,39.0552422308215,-84.66863676736085,rwy_01_007,7,39.05217057273367,-84.6686574567989
rwy_01_008,8,39.0552422308215,-84.66863676736085,txy_D7_001,262,39.0552508295925,-84.66764950064841
txy_D7_001,262,39.0552508295925,-84.66764950064841,txy_D_015,192,39.0552509370221,-84.66723575066257
txy_D_015,192,39.0552509370221,-84.66723575066257,txy_D_014,191,39.05218497757655,-84.66724050219956
rwy_01_009,9,39.05795191858222,-84.66862812162661,rwy_01_008,8,39.0552422308215,-84.66863676736085
rwy_01_009,9,39.05795191858222,-84.66862812162661,txy_D8_001,263,39.05795916460762,-84.66764075803135
txy_D8_001,263,39.05795916460762,-84.66764075803135,txy_D_016,193,39.05796445737438,-84.66722210493405
txy_D_016,193,39.05796445737438,-84.66722210493405,txy_E_007,207,39.05796694130194,-84.66627519197233
txy_D_016,193,39.05796445737438,-84.66722210493405,txy_D_015,192,39.0552509370221,-84.66723575066257
rwy_01_010,10,39.06337559173686,-84.66860743817847,rwy_01_009,9,39.05795191858222,-84.66862812162661
rwy_01_010,10,39.06337559173686,-84.66860743817847,txy_D11_001,264,39.06337997950201,-84.6676057987359
txy_D11_001,264,39.06337997950201,-84.6676057987359,txy_D_018,195,39.06337891931225,-84.66719955446165
txy_D_018,195,39.06337891931225,-84.66719955446165,txy_E_009,209,39.06336759540619,-84.66627512018032
txy_E_009,209,39.06336759540619,-84.66627512018032,txy_E_008,208,39.06052526725006,-84.6662691701302
