id,index,lat,lon,yEdId,domain,refName,type
Rwy_01_001,0,38.84256917086373,-77.03685709176064,n0,Rwy,RW01 ,Entry
Rwy_01_002,1,38.84396513055891,-77.03698797301737,n1,Rwy,null,null
Rwy_01_03,2,38.84782245930856,-77.03736435875516,n2,Rwy,null,null
Rwy_01_003,3,38.84881024794773,-77.03747997828701,n3,Rwy,null,null
Rwy_01_004,4,38.85160608379205,-77.03775810515737,n4,Rwy,null,null
Rwy_01_005,5,38.8526315524442,-77.03786265301164,n5,Rwy,null,null
Rwy_01_006,6,38.85292934421074,-77.03789399726665,n6,Rwy,null,null
Rwy_01_007,7,38.85466486938976,-77.03806868747336,n7,Rwy,null,null
Rwy_01_02,8,38.85594191650463,-77.03819472179067,n8,Rwy,null,null
Rwy_01_009,9,38.85879285709927,-77.03848648704725,n9,Rwy,null,null
Rwy_01_010,10,38.86090260996128,-77.03869153974617,n10,Rwy,RW19 ,Entry
Rwy_02_001,11,38.8504375725645,-77.0328291042302,n11,Rwy,RW33 ,Entry
Rwy_02_002,12,38.85228127586976,-77.0346360932716,n12,Rwy,null,null
Rwy_02_003,13,38.85346173116546,-77.03578183616835,n13,Rwy,null,null
Rwy_02_004,14,38.85369982631542,-77.03601370753086,n14,Rwy,null,null
Rwy_2_005,15,38.85476104200322,-77.03704550138104,n15,Rwy,null,null
Rwy_02_006,16,38.85754162319727,-77.03976445249985,n16,Rwy,null,null
Rwy_02_007,17,38.85840601975497,-77.04060766444721,n17,Rwy,null,null
Rwy_02_008,18,38.85925010364365,-77.04143006643712,n18,Rwy,null,null
Rwy_02_009,19,38.86152543304856,-77.04365465921865,n19,Rwy,RW15 ,Entry
Rwy_03_001,20,38.84233489916674,-77.04071867983966,n20,Rwy,RW04 ,Entry
Rwy_03_002,21,38.84353414422279,-77.03998743403494,n21,Rwy,null,null
Rwy_03_003,22,38.84381882181422,-77.03980529315128,n22,Rwy,null,null
Rwy_03_004,23,38.8458135118085,-77.0385894919856,n23,Rwy,null,null
Rwy_03_005,24,38.84698401552255,-77.03787342802553,n24,Rwy,null,null
Rwy_03_006,25,38.84895128282649,-77.03667204785287,n25,Rwy,null,null
Rwy_03_007,26,38.84939117659166,-77.03640871704654,n26,Rwy,null,null
Rwy_03_008,27,38.85042699276468,-77.03576913112985,n27,Rwy,null,null
Rwy_03_009,28,38.85084238455244,-77.03551550722563,n28,Rwy,null,null
Rwy_03_010,29,38.85432179192109,-77.03338544364591,n29,Rwy,RW22 ,Entry
Gate_01_001,30,38.84574722534872,-77.04720904552438,n30,Gate,null,null
Gate_01_002,31,38.84664075153242,-77.04576552031163,n31,Gate,null,null
Gate_01_003,32,38.84683712529083,-77.04548271981412,n32,Gate,null,null
Gate_01_004,33,38.8472674416199,-77.04477680323569,n33,Gate,null,null
Gate_01_005,34,38.84765027070723,-77.04412561512171,n34,Gate,null,null
Gate_02_001,35,38.84723756349678,-77.04294068139967,n35,Gate,null,null
Gate_02_002,36,38.84705865375137,-77.04307855729753,n36,Gate,null,null
Gate_02_003,37,38.84684757543455,-77.04334598407708,n37,Gate,null,null
Gate_02_004,38,38.84661720531522,-77.04301625114536,n38,Gate,null,null
Gate_02_005,39,38.84638789951436,-77.04286270205358,n39,Gate,null,null
Gate_02_006,40,38.84654333722942,-77.04251878885093,n40,Gate,null,null
Gate_02_007,41,38.8467110572085,-77.04234841259093,n41,Gate,null,null
Gate_02_008,42,38.84688756040197,-77.04224091276755,n42,Gate,null,null
Gate_02_009,43,38.84710073546477,-77.04237107401767,n43,Gate,null,null
Gate_02_022,44,38.84998858393408,-77.04053500532696,n44,Gate,null,null
Gate_02_023,45,38.8503197822921,-77.04051405312504,n45,Gate,null,null
Gate_02_024,46,38.8505223230183,-77.04099138928284,n46,Gate,null,null
Gate_02_025,47,38.85094669489519,-77.04132241021956,n47,Gate,null,null
Gate_03_001,48,38.85156554434891,-77.04107967383888,n48,Gate,null,null
Gate_03_002,49,38.85166492426512,-77.0405679671452,n49,Gate,null,null
Gate_03_003,50,38.8520758811238,-77.04066432054397,n50,Gate,null,null
Gate_03_004,51,38.85231640924243,-77.04078066314916,n51,Gate,null,null
Gate_03_005,52,38.85257236771378,-77.04082474009095,n52,Gate,null,null
Gate_03_006,53,38.85245400359385,-77.04134068432069,n53,Gate,null,null
Gate_03_007,54,38.85231977886533,-77.04157864725313,n54,Gate,null,null
Gate_03_008,55,38.85217173497405,-77.04198690002966,n55,Gate,null,null
Gate_03_009,56,38.85340594559625,-77.04239465053185,n56,Gate,null,null
Gate_03_010,57,38.853597650511,-77.0420531206785,n57,Gate,null,null
Gate_03_011,58,38.85371453218289,-77.04158744128897,n58,Gate,null,null
Gate_03_012,59,38.85381554578061,-77.0411942346344,n59,Gate,null,null
Gate_03_013,60,38.85394789345736,-77.04082252312969,n60,Gate,null,null
Gate_03_014,61,38.85424368873802,-77.04092859746171,n61,Gate,null,null
Gate_03_015,62,38.85449776772138,-77.04092807217515,n62,Gate,null,null
Gate_03_016,63,38.85469310355598,-77.0411056557069,n63,Gate,null,null
Gate_03_017,64,38.85462646375594,-77.04150979109409,n64,Gate,null,null
Gate_03_018,65,38.85448561446624,-77.04197929301954,n65,Gate,null,null
Gate_03_019,66,38.85430964732571,-77.04232581300866,n66,Gate,null,null
Gate_03_020,67,38.85426391382242,-77.04281918054969,n67,Gate,null,null
Gate_03_021,68,38.85543652600943,-77.04321694126762,n68,Gate,null,null
Gate_03_022,69,38.85563494617613,-77.04280624525565,n69,Gate,null,null
Gate_03_023,70,38.8556843156148,-77.04227261694474,n70,Gate,null,null
Gate_03_024,71,38.85585046984687,-77.04175242202128,n71,Gate,null,null
Gate_03_025,72,38.85599107087772,-77.04159458349275,n72,Gate,null,null
Gate_03_026,73,38.85629116142857,-77.04177617037925,n73,Gate,null,null
Gate_03_027,74,38.85654504324825,-77.04193180523144,n74,Gate,null,null
Gate_03_028,75,38.85658862185048,-77.04226931907962,n75,Gate,null,null
Gate_03_029,76,38.85639821314265,-77.04256173877084,n76,Gate,null,null
Gate_03_030,77,38.85639984432619,-77.0429614393512,n77,Gate,null,null
Gate_03_031,78,38.85619624727126,-77.04359012159945,n78,Gate,null,null
Parking_04_001,79,38.85768072085811,-77.04303866786653,n79,Park,null,null
Parking_04_002,80,38.85811404175628,-77.0432724066441,n80,Park,null,null
Parking_04_003,81,38.85835693636037,-77.04327820611701,n81,Park,null,null
Parking_04_004,82,38.85865306456415,-77.04340336188994,n82,Park,null,null
Parking_04_005,83,38.85906216252816,-77.04373735972815,n83,Park,null,null
Parking_04_006,84,38.85939660243232,-77.04382565556313,n84,Park,null,null
Parking_04_007,85,38.85973702142984,-77.04413100888802,n85,Park,null,null
Parking_04_008,86,38.85983685156425,-77.04449678895783,n86,Park,null,null
Parking_04_009,87,38.86012334407128,-77.0446986115913,n87,Park,null,null
Parking_Holding_101,88,38.84299880137481,-77.03927431088698,n88,Park,null,null
Parking_Holding_102,89,38.84249674145219,-77.03778445803874,n89,Park,null,null
Txy_C_001,90,38.84277319670909,-77.03774528919323,n90,Txy,null,null
Txy_C_J,91,38.842954452068,-77.03827787854705,n91,Txy,null,null
Txy_C_002,92,38.84325008040302,-77.03914582835272,n92,Txy,null,null
Txy_B_001,93,38.84341027500596,-77.04101349018133,n93,Txy,null,null
Txy_B_A,94,38.84375565865203,-77.04108782354626,n94,Txy,null,null
Txy_B_P,95,38.84534567678153,-77.04142276423721,n95,Txy,null,null
Parking_Holding_201,96,38.84497174472707,-77.04177534378903,n96,Park,null,null
Parking_Holding_202,97,38.84399894264963,-77.04156395716137,n97,Park,null,null
