n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Rwy_01_001,0,38.84256917086373,-77.03685709176064,Rwy_01_002,1,38.84396513055891,-77.03698797301737
Rwy_03_001,20,38.84233489916674,-77.04071867983966,Rwy_03_002,21,38.84353414422279,-77.03998743403494
Rwy_03_002,21,38.84353414422279,-77.03998743403494,Rwy_03_003,22,38.84381882181422,-77.03980529315128
Rwy_03_003,22,38.84381882181422,-77.03980529315128,Rwy_03_004,23,38.8458135118085,-77.0385894919856
Rwy_03_005,24,38.84698401552255,-77.03787342802553,Rwy_03_004,23,38.8458135118085,-77.0385894919856
Txy_J_D,106,38.84716873657536,-77.03872155371623,Rwy_03_005,24,38.84698401552255,-77.03787342802553
Txy_P_D,154,38.84734413341686,-77.03904064352707,Txy_J_D,106,38.84716873657536,-77.03872155371623
Txy_D_K,153,38.84754566019855,-77.03962736816632,Txy_P_D,154,38.84734413341686,-77.03904064352707
Txy_J_001,105,38.84445629025154,-77.03844752188446,Rwy_03_004,23,38.8458135118085,-77.0385894919856
Txy_J_D,106,38.84716873657536,-77.03872155371623,Rwy_03_004,23,38.8458135118085,-77.0385894919856
Txy_J_D,106,38.84716873657536,-77.03872155371623,Txy_J_P,107,38.84789109204301,-77.03879702848798
Txy_J_F,108,38.84876672180384,-77.03888356068231,Txy_J_P,107,38.84789109204301,-77.03879702848798
Txy_F_K,131,38.84873387934987,-77.03952491965404,Txy_K_010,176,38.8482914361709,-77.03947973551455
Txy_K_010,176,38.8482914361709,-77.03947973551455,Txy_D_K,153,38.84754566019855,-77.03962736816632
Txy_D_K,153,38.84754566019855,-77.03962736816632,Txy_C_K,100,38.84636235635649,-77.04035393590517
Txy_C_K,100,38.84636235635649,-77.04035393590517,Txy_B_P,95,38.84534567678153,-77.04142276423721
Txy_C_K,100,38.84636235635649,-77.04035393590517,Txy_C_P,99,38.84568336136979,-77.04020170305499
Txy_C_P,99,38.84568336136979,-77.04020170305499,Txy_C_003,98,38.84510199810533,-77.0400790259924
Txy_C_003,98,38.84510199810533,-77.0400790259924,Rwy_03_003,22,38.84381882181422,-77.03980529315128
Txy_P_D,154,38.84734413341686,-77.03904064352707,Txy_C_P,99,38.84568336136979,-77.04020170305499
Txy_B_P,95,38.84534567678153,-77.04142276423721,Txy_C_P,99,38.84568336136979,-77.04020170305499
Parking_Holding_201,96,38.84497174472707,-77.04177534378903,Txy_B_P,95,38.84534567678153,-77.04142276423721
