id,index,lat,lon,yEdId,domain,refName,type
Txy_F2_001,0,39.86540031460344,-104.685999231509,n0,Txy,null,null
Txy_F2_F,1,39.86539894221912,-104.685033692481,n1,Txy,null,null
Txy_F_001,2,39.84158601630211,-104.6852912616884,n2,Txy,null,null
Txy_B3_B,3,39.84234096699139,-104.6892577750116,n3,Txy,null,null
Txy_B8_001,4,39.84182157149494,-104.7212970613574,n4,Txy,null,null
Txy_F_B,5,39.84231427768803,-104.6852924269838,n5,Txy,null,null
Rwy_05_003,6,39.83225715913081,-104.6604910222111,n6,Rwy,null,null
Rwy_02_004,7,39.88754135301677,-104.6869046797931,n7,Rwy,null,null
Rwy_04_006,8,39.85504163405875,-104.6414245762874,n8,Rwy,null,null
Rwy_01_003,9,39.84090324264729,-104.7213160964381,n9,Rwy,null,null
Rwy_01_002,10,39.84093457417423,-104.7253493988642,n10,Rwy,null,null
Txy_F6_001,11,39.87658291987125,-104.6858420357699,n11,Txy,null,null
Txy_F_077,12,39.88067978685896,-104.6848394455313,n12,Txy,null,null
Rwy_01_001,13,39.84094558339222,-104.726506366716,n13,Rwy,RW07 ,Entry
Rwy_01_005,14,39.84076481295046,-104.6989721737503,n14,Rwy,RW34L,Entry
Rwy_01_004,15,39.84085904090431,-104.7139580644007,n15,Rwy,null,null
Rwy_01_006,16,39.84070222100738,-104.6892753919403,n16,Rwy,null,null
Rwy_01_007,17,39.84066947403494,-104.6853798621719,n17,Rwy,null,null
Rwy_02_001,18,39.89691503316884,-104.6867914946978,n18,Rwy,RW16L,Entry
Rwy_01_008,19,39.84066224172477,-104.6841759385177,n19,Rwy,RW25 ,Entry
Rwy_02_002,20,39.89561013127602,-104.6868057351021,n20,Rwy,RW16R,Entry
Rwy_02_003,21,39.89295263987005,-104.6868372263546,n21,Rwy,null,null
Rwy_02_005,22,39.8846574396477,-104.6869247611547,n22,Rwy,null,null
Rwy_02_006,23,39.87823566081545,-104.6870146438301,n23,Rwy,null,null
Rwy_02_007,24,39.8749850050003,-104.6870497425723,n24,Rwy,null,null
Rwy_02_008,25,39.87413435133184,-104.6870568748452,n25,Rwy,null,null
Rwy_02_009,26,39.86823349892693,-104.6871248990673,n26,Rwy,null,null
Rwy_02_010,27,39.86542410297643,-104.6871568783738,n27,Rwy,null,null
Rwy_02_011,28,39.86428224481746,-104.687165949558,n28,Rwy,RW34R,Entry
Rwy_03_001,29,39.87725211407484,-104.6196448143761,n29,Rwy,RW26 ,Entry
Rwy_03_002,30,39.87724914659327,-104.6208124992164,n30,Rwy,null,null
Rwy_03_003,31,39.87728848385244,-104.6248252779858,n31,Rwy,null,null
Rwy_03_004,32,39.87735418069549,-104.6319256795412,n32,Rwy,null,null
Rwy_03_005,33,39.87743486527775,-104.6443809070793,n33,Rwy,null,null
Rwy_03_006,34,39.87747103776243,-104.6496265351966,n34,Rwy,null,null
Rwy_03_007,35,39.8775148026936,-104.6569163883188,n35,Rwy,null,null
Rwy_03_008,36,39.87754817711331,-104.660936881962,n36,Rwy,null,null
Rwy_03_009,37,39.8775608532176,-104.6620838279966,n37,Rwy,RW08 ,Entry
Rwy_04_001,38,39.83212403701261,-104.641703701207,n38,Rwy,RW35R,Entry
Rwy_04_002,39,39.83302232083054,-104.6417011391311,n39,Rwy,null,null
Rwy_04_003,40,39.83613211153647,-104.6416505073658,n40,Rwy,null,null
Rwy_04_004,41,39.84157042722124,-104.6415854451164,n41,Rwy,null,null
Rwy_04_005,42,39.85120376634034,-104.641470442854,n42,Rwy,null,null
Rwy_05_005,43,39.84209871258863,-104.6603685190374,n43,Rwy,null,null
Rwy_04_007,44,39.86082607115004,-104.6413486914777,n44,Rwy,null,null
Rwy_04_008,45,39.86394576036584,-104.6413143057158,n45,Rwy,null,null
Rwy_04_009,46,39.86483016186784,-104.6412898342288,n46,Rwy,RW17L,Entry
Rwy_05_001,47,39.82843409858266,-104.6605376240778,n47,Rwy,RW35L,Entry
Rwy_05_002,48,39.82932001761498,-104.6605269874078,n48,Rwy,null,null
Rwy_05_004,49,39.83800124952379,-104.6604269944899,n49,Rwy,null,null
Rwy_05_006,50,39.84760774200605,-104.6603143804867,n50,Rwy,null,null
Rwy_05_007,51,39.85142704300777,-104.6602733563082,n51,Rwy,null,null
Rwy_05_008,52,39.85675350890418,-104.6602014357206,n52,Rwy,null,null
Rwy_05_009,53,39.86013300076587,-104.6601623879817,n53,Rwy,null,null
Rwy_05_010,54,39.86101722722557,-104.6601558765387,n54,Rwy,RW17R,Entry
Txy_B10_001,55,39.84185326473881,-104.7265132669879,n55,Txy,null,null
Txy_B9_001,56,39.8418391140643,-104.7253411246485,n56,Txy,null,null
Txy_B10_B,57,39.84258822293467,-104.726481844317,n57,Txy,null,null
Txy_B9_B,58,39.84257294316718,-104.7253404792981,n58,Txy,null,null
Txy_G_AA,59,39.85205023635471,-104.684017369227,n59,Txy,null,null
Txy_B8_B,60,39.84255568561454,-104.7213059122794,n60,Txy,null,null
Txy_B7_B,61,39.84253206346556,-104.7175438395585,n61,Txy,null,null
Txy_B7_001,62,39.8417893565618,-104.7160412438029,n62,Txy,null,null
Txy_B_B4,63,39.84238369371899,-104.6951672320192,n63,Txy,null,null
Txy_B4_001,64,39.84167384182614,-104.6967548959697,n64,Txy,null,null
Txy_B3_001,65,39.84161099317866,-104.6892527712628,n65,Txy,null,null
Txy_AA_001,66,39.85210472749296,-104.6831037771122,n66,Txy,null,null
Txy_G_001,67,39.84157360703266,-104.6841532490909,n67,Txy,null,null
Txy_F_G,68,39.84232038868633,-104.6841294678137,n68,Txy,null,null
Txy_F_AA,69,39.85205744122736,-104.685180434973,n69,Txy,null,null
Txy_F_AS,70,39.85309531037548,-104.6851731489467,n70,Txy,null,null
Txy_G_AS,71,39.85307828300307,-104.6840149551294,n71,Txy,null,null
Txy_AS_001,72,39.85307038332506,-104.6833353976187,n72,Txy,null,null
Txy_F_003,73,39.85485532950276,-104.6851468756154,n73,Txy,null,null
Txy_AN_F,74,39.85597130671384,-104.6851346209972,n74,Txy,null,null
Txy_G_AN,75,39.85597073503008,-104.6839866318829,n75,Txy,null,null
Txy_BS_F,76,39.85688248930769,-104.6851337130511,n76,Txy,null,null
Txy_AN_001,77,39.85597055393877,-104.683298535522,n77,Txy,null,null
Txy_BS_G,78,39.85686335112079,-104.6839709079027,n78,Txy,null,null
Txy_BS_001,79,39.85686183401935,-104.6832874610941,n79,Txy,null,null
Txy_F_BN,80,39.86032355129442,-104.6851010279938,n80,Txy,null,null
Txy_CS_G,81,39.86138812347126,-104.6839336028137,n81,Txy,null,null
Txy_G_BN,82,39.86029580670256,-104.6839377599555,n82,Txy,null,null
Txy_BN_001,83,39.86029475440677,-104.6832599444567,n83,Txy,null,null
Txy_CS_F,84,39.86140532480388,-104.6850766112272,n84,Txy,null,null
Txy_CS_001,85,39.86138061075672,-104.6832453964532,n85,Txy,null,null
Txy_F_004,86,39.86358767349119,-104.6850411469612,n86,Txy,null,null
Txy_F_F1,87,39.86426280789696,-104.6850426324226,n87,Txy,null,null
Txy_F1_001,88,39.86427133266071,-104.6859754235725,n88,Txy,null,null
Txy_G_F1,89,39.86425383459348,-104.6838956434931,n89,Txy,null,null
Txy_F1_002,90,39.86424502141859,-104.6832035504884,n90,Txy,null,null
Txy_F3_F,91,39.86821821804058,-104.6849907286942,n91,Txy,null,null
Txy_F2_G,92,39.86538482781582,-104.6838793948492,n92,Txy,null,null
Txy_F3_001,93,39.86823009146928,-104.6859471121,n93,Txy,null,null
Txy_Z_003,94,39.87099944887747,-104.6674074117362,n94,Txy,null,null
Txy_F_ZS,95,39.86913855679353,-104.6849837175212,n95,Txy,null,null
Txy_F3_G,96,39.86819999757861,-104.6838474540604,n96,Txy,null,null
Txy_F4_001,97,39.87248260829689,-104.6858798983508,n97,Txy,null,null
Txy_G_ZS,98,39.86910322313577,-104.6838329886436,n98,Txy,null,null
Txy_F4_F,99,39.87109822720177,-104.6849460069004,n99,Txy,null,null
Txy_G_Z,100,39.87110718115412,-104.6838036212151,n100,Txy,null,null
Txy_ZN_F,101,39.87406213890627,-104.6849107130582,n101,Txy,null,null
Txy_ZN_G,102,39.87407503415115,-104.6837744186579,n102,Txy,null,null
Txy_WC_001,103,39.87497012423562,-104.6858662109897,n103,Txy,null,null
Txy_Z_F,104,39.87496589386416,-104.6849055673369,n104,Txy,null,null
Txy_WC_G,105,39.87494137072655,-104.6837682585569,n105,Txy,null,null
Txy_F12_001,106,39.89693919670888,-104.6856060000959,n106,Txy,null,null
Txy_F_F12,107,39.89691753237027,-104.6846494877545,n107,Txy,null,null
Txy_F11_001,108,39.89563148472357,-104.6856186945451,n108,Txy,null,null
Txy_F_F11,109,39.89562180915459,-104.6846630046932,n109,Txy,null,null
Txy_F10_001,110,39.89295128164055,-104.6856589934348,n110,Txy,null,null
Txy_F10_F,111,39.89294896533785,-104.6846967885738,n111,Txy,null,null
Txy_F9_F,112,39.88971927576452,-104.6847352611242,n112,Txy,null,null
Txy_F9_001,113,39.88885389281501,-104.6857064089306,n113,Txy,null,null
Txy_WD_001,114,39.88464086267138,-104.6857546799907,n114,Txy,null,null
Txy_F_WD,115,39.88460470344666,-104.6847943962214,n115,Txy,null,null
Txy_Z_001,116,39.8710318440631,-104.6723408919111,n116,Txy,null,null
Txy_Z_002,117,39.87155233732281,-104.6723527672041,n117,Txy,null,null
Txy_Z_004,118,39.87151739416954,-104.6674001999581,n118,Txy,null,null
Txy_M_001,119,39.8766545225558,-104.6620967484392,n119,Txy,null,null
Txy_R9_001,120,39.87663002227411,-104.6609437059852,n120,Txy,null,null
Txy_R7_R,121,39.87584645824123,-104.6534329789992,n121,Txy,null,null
Txy_R9_R,122,39.87590710852989,-104.6609560083811,n122,Txy,null,null
Txy_R_M,123,39.8759088206184,-104.6621079244547,n123,Txy,null,null
Txy_R8_001,124,39.87659909477109,-104.6569053276714,n124,Txy,null,null
Txy_R8_R,125,39.87587762483866,-104.6569147872904,n125,Txy,null,null
Txy_R7_001,126,39.87656766840321,-104.6516360827385,n126,Txy,null,null
Txy_R4_R,127,39.87567127813782,-104.6284057359214,n127,Txy,null,null
Txy_R6_001,128,39.87652318894219,-104.6462967057245,n128,Txy,null,null
Txy_R6_R,129,39.87581007794407,-104.6480710874917,n129,Txy,null,null
Txy_R4_001,130,39.87641411437338,-104.6300910834177,n130,Txy,null,null
Txy_R3_R,131,39.87564158680024,-104.6248500283115,n131,Txy,null,null
Txy_R3_001,132,39.87636868446939,-104.6248281140106,n132,Txy,null,null
Txy_M_002,133,39.86945325376534,-104.6621819655081,n133,Txy,null,null
Txy_R2_001,134,39.87634009511883,-104.6207776536741,n134,Txy,null,null
Txy_R2_R,135,39.87560723627078,-104.6208362161516,n135,Txy,null,null
Txy_R1_001,136,39.87632781603215,-104.6196262786789,n136,Txy,null,null
Txy_R1_R,137,39.87559790095685,-104.6196637083573,n137,Txy,null,null
Txy_M_EE,138,39.87481577612306,-104.6621287532092,n138,Txy,null,null
Txy_R9_EE,139,39.87479994136156,-104.6609354193836,n139,Txy,null,null
Txy_R8_EE,140,39.87477105358634,-104.6569548278957,n140,Txy,null,null
Txy_ZN_M,141,39.87391740750837,-104.6621348876811,n141,Txy,null,null
Txy_L_EE,142,39.87480741570045,-104.6632452401004,n142,Txy,null,null
Txy_ZN_L,143,39.87392020532983,-104.6632914903179,n143,Txy,null,null
Txy_L_Z,144,39.87096741559905,-104.663322437143,n144,Txy,null,null
Txy_L_M,145,39.8709351620624,-104.6621681793949,n145,Txy,null,null
Txy_L_001,146,39.86948300913854,-104.6633386036728,n146,Txy,null,null
Txy_A_002,147,39.82853642267535,-104.6773392760558,n147,Txy,null,null
Txy_A_001,148,39.82902530958742,-104.6773644598208,n148,Txy,null,null
Txy_EA_P2,149,39.83302149625471,-104.6428740211203,n149,Txy,null,null
Txy_EA_P,150,39.83215150136931,-104.6438497162242,n150,Txy,null,null
Txy_EA_003,151,39.83212634027654,-104.6428757539793,n151,Txy,null,null
Txy_EA_002,152,39.83225608776548,-104.6593176355057,n152,Txy,null,null
Txy_EA_M,153,39.83226522869146,-104.6626278979827,n153,Txy,null,null
Txy_EA_L,154,39.8322825089169,-104.6637915669754,n154,Txy,null,null
Txy_M4_001,155,39.83648793667413,-104.6616312292803,n155,Txy,null,null
Txy_M7_001,156,39.8527762310659,-104.6614378331076,n156,Txy,null,null
Txy_M_M4,157,39.8356297741484,-104.6625731880996,n157,Txy,null,null
Txy_M9_002,158,39.86017143960587,-104.6641326243885,n158,Txy,null,null
Txy_M9_001,159,39.86014675810496,-104.6613487947954,n159,Txy,null,null
Txy_M_CN,160,39.86499065036208,-104.6622400756777,n160,Txy,null,null
Txy_L_CN,161,39.86500415547091,-104.6634034877772,n161,Txy,null,null
Txy_M10_001,162,39.8610327254985,-104.6613395254351,n162,Txy,null,null
Txy_L_002,163,39.86304003153512,-104.6634164555715,n163,Txy,null,null
Txy_M_M10,164,39.86104029479342,-104.662283000227,n164,Txy,null,null
Txy_M_003,165,39.86151447381359,-104.6622672498425,n165,Txy,null,null
Txy_AA_M,166,39.85202916797415,-104.6623974502783,n166,Txy,null,null
Txy_M9_M,167,39.86014887010354,-104.6622947052465,n167,Txy,null,null
Txy_M10_002,168,39.86104890926475,-104.664119793415,n168,Txy,null,null
Txy_L_M10,169,39.86104681382139,-104.6634469052698,n169,Txy,null,null
Txy_M9_L,170,39.86014961698319,-104.6634525550684,n170,Txy,null,null
Txy_ED_P7,171,39.86489847467639,-104.6488055376838,n171,Txy,null,null
Txy_ED_001,172,39.864953910386,-104.6564470416593,n172,Txy,null,null
Txy_ED_002,173,39.86485563557456,-104.642481601974,n173,Txy,null,null
Txy_ED_P,174,39.86485774678645,-104.643453390469,n174,Txy,null,null
Txy_P9_001,175,39.86396583518653,-104.6424965626565,n175,Txy,null,null
Txy_P_P9,176,39.86396208263341,-104.6434496008357,n176,Txy,null,null
Txy_BS_M,177,39.85676830783457,-104.6623396988771,n177,Txy,null,null
Txy_BS_002,178,39.85677877375841,-104.6641728237079,n178,Txy,null,null
Txy_BS_L,179,39.85677592817433,-104.6635022472211,n179,Txy,null,null
Txy_AN_L,180,39.8558335405667,-104.6635104394078,n180,Txy,null,null
Txy_AN_M,181,39.85583782508228,-104.6623563513663,n181,Txy,null,null
Txy_AA_L,182,39.85204361093844,-104.6635551826298,n182,Txy,null,null
Txy_AS_L,183,39.85293649370975,-104.6635483483089,n183,Txy,null,null
Txy_AS_M,184,39.85293480742228,-104.6623833777377,n184,Txy,null,null
Txy_L_005,185,39.85345193228449,-104.6635372256474,n185,Txy,null,null
Txy_L_006,186,39.84801673806359,-104.6624438390643,n186,Txy,null,null
Txy_M6_001,187,39.84897937318794,-104.6614738650892,n187,Txy,null,null
Txy_M5_001,188,39.84061526254047,-104.6615853028313,n188,Txy,null,null
Txy_M5_M,189,39.839578970701,-104.662533251906,n189,Txy,null,null
Txy_L1_001,190,39.84019473267175,-104.6630631637498,n190,Txy,null,null
Txy_L1_M,191,39.84019375282291,-104.6625370305866,n191,Txy,null,null
Txy_EA_001,192,39.83226071053267,-104.6616780799231,n192,Txy,null,null
Txy_P_P4,193,39.83944933266096,-104.6437517166746,n193,Txy,null,null
Txy_P_P2,194,39.8330238079448,-104.6438239918598,n194,Txy,null,null
Txy_SC_L,195,39.82933390568874,-104.6638281512285,n195,Txy,null,null
Txy_SC_M,196,39.82932560779817,-104.6626677527843,n196,Txy,null,null
Txy_L_A,197,39.82844165316455,-104.663827835961,n197,Txy,null,null
Txy_A_M,198,39.82843626552191,-104.6626740600152,n198,Txy,null,null
Txy_L_009,199,39.82792381120808,-104.6638436197013,n199,Txy,null,null
Txy_M_009,200,39.82720363324156,-104.6627261582287,n200,Txy,null,null
Txy_M_010,201,39.82692151067826,-104.6634224766428,n201,Txy,null,null
