n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Txy_F_F12,107,39.89691753237027,-104.6846494877545,Txy_F_F11,109,39.89562180915459,-104.6846630046932
Txy_F_F11,109,39.89562180915459,-104.6846630046932,Txy_F10_F,111,39.89294896533785,-104.6846967885738
Txy_F10_F,111,39.89294896533785,-104.6846967885738,Txy_F9_F,112,39.88971927576452,-104.6847352611242
Txy_F9_F,112,39.88971927576452,-104.6847352611242,Txy_F9_001,113,39.88885389281501,-104.6857064089306
Txy_F10_F,111,39.89294896533785,-104.6846967885738,Txy_F10_001,110,39.89295128164055,-104.6856589934348
Txy_F10_001,110,39.89295128164055,-104.6856589934348,Rwy_02_003,21,39.89295263987005,-104.6868372263546
Txy_F_F11,109,39.89562180915459,-104.6846630046932,Txy_F11_001,108,39.89563148472357,-104.6856186945451
Txy_F11_001,108,39.89563148472357,-104.6856186945451,Rwy_02_002,20,39.89561013127602,-104.6868057351021
Rwy_02_002,20,39.89561013127602,-104.6868057351021,Rwy_02_003,21,39.89295263987005,-104.6868372263546
Txy_F_F12,107,39.89691753237027,-104.6846494877545,Txy_F12_001,106,39.89693919670888,-104.6856060000959
Txy_F12_001,106,39.89693919670888,-104.6856060000959,Rwy_02_001,18,39.89691503316884,-104.6867914946978
Rwy_02_001,18,39.89691503316884,-104.6867914946978,Rwy_02_002,20,39.89561013127602,-104.6868057351021
Rwy_02_003,21,39.89295263987005,-104.6868372263546,Rwy_02_004,7,39.88754135301677,-104.6869046797931
Rwy_02_004,7,39.88754135301677,-104.6869046797931,Txy_F9_001,113,39.88885389281501,-104.6857064089306
Txy_F_WD,115,39.88460470344666,-104.6847943962214,Txy_F9_F,112,39.88971927576452,-104.6847352611242
Rwy_02_004,7,39.88754135301677,-104.6869046797931,Rwy_02_005,22,39.8846574396477,-104.6869247611547
Rwy_02_005,22,39.8846574396477,-104.6869247611547,Txy_WD_001,114,39.88464086267138,-104.6857546799907
Txy_WD_001,114,39.88464086267138,-104.6857546799907,Txy_F_WD,115,39.88460470344666,-104.6847943962214
Txy_F_WD,115,39.88460470344666,-104.6847943962214,Txy_F_077,12,39.88067978685896,-104.6848394455313
Rwy_02_005,22,39.8846574396477,-104.6869247611547,Rwy_02_006,23,39.87823566081545,-104.6870146438301
Txy_F_077,12,39.88067978685896,-104.6848394455313,Txy_Z_F,104,39.87496589386416,-104.6849055673369
Rwy_02_006,23,39.87823566081545,-104.6870146438301,Txy_F6_001,11,39.87658291987125,-104.6858420357699
Txy_F6_001,11,39.87658291987125,-104.6858420357699,Txy_Z_F,104,39.87496589386416,-104.6849055673369
Txy_WC_001,103,39.87497012423562,-104.6858662109897,Rwy_02_007,24,39.8749850050003,-104.6870497425723
Txy_Z_F,104,39.87496589386416,-104.6849055673369,Txy_WC_001,103,39.87497012423562,-104.6858662109897
Txy_Z_F,104,39.87496589386416,-104.6849055673369,Txy_WC_G,105,39.87494137072655,-104.6837682585569
