id,index,lat,lon,yEdId,domain,refName,type
Txy_R1_001,0,32.9080961939,-97.0177810882,n0,Txy,null,null
Txy_P_002,1,32.9125093922,-97.0195542277,n1,Txy,null,null
Txy_P_001,2,32.9111506805,-97.0211850605,n2,Txy,null,null
Txy_N_002,3,32.9132464942,-97.0204228617,n3,Txy,null,null
Txy_Q10_001,4,32.8750711319,-97.0108625056,n4,Txy,null,null
Txy_N_001,5,32.9118756457,-97.0220263692,n5,Txy,null,null
Txy_Q9_001,6,32.8757948185,-97.0108721719,n6,Txy,null,null
Txy_Q8_002,7,32.877013899,-97.0108569493,n7,Txy,null,null
Txy_Q7_002,8,32.8797341526,-97.0108307251,n8,Txy,null,null
Txy_Q6_002,9,32.8852291712,-97.0108188393,n9,Txy,null,null
Txy_Q5_002,10,32.8880617441,-97.0108176334,n10,Txy,null,null
Txy_Q4_002,11,32.8926681993,-97.0107841918,n11,Txy,null,null
Txy_Q3_002,12,32.896279162,-97.0107598514,n12,Txy,null,null
Txy_Q2_001,13,32.8974996421,-97.0107003471,n13,Txy,null,null
Txy_Q1_001,14,32.8982408804,-97.0107260751,n14,Txy,null,null
Txy_R_007,15,32.8945117609,-97.0016160936,n15,Txy,null,null
Txy_R3_001,16,32.898017561,-97.0057270189,n16,Txy,null,null
Txy_ER_004,17,32.8790338123,-97.0250949264,n17,Txy,null,null
Txy_ER_003,18,32.8790176024,-97.0271816189,n18,Txy,null,null
Txy_ER_002,19,32.8790333652,-97.0290818417,n19,Txy,null,null
Txy_ER_001,20,32.8790383708,-97.0310280822,n20,Txy,null,null
Txy_EQ_001,21,32.8797612793,-97.031037177,n21,Txy,null,null
Txy_EP_001,22,32.8805030894,-97.0310334459,n22,Txy,null,null
Txy_L6_001,23,32.8872250316,-97.0311791216,n23,Txy,null,null
Txy_EM_002,24,32.8903658945,-97.0290103581,n24,Txy,null,null
Txy_EM_001,25,32.8903769055,-97.0310004882,n25,Txy,null,null
Txy_L5_001,26,32.8914678128,-97.0312306771,n26,Txy,null,null
Txy_L4_001,27,32.8928578877,-97.0312189724,n27,Txy,null,null
Txy_M6_001,28,32.8915649557,-97.0272139022,n28,Txy,null,null
Txy_M5_001,29,32.8927150013,-97.0272067984,n29,Txy,null,null
Txy_EL_005,30,32.8938766118,-97.0107446436,n30,Txy,null,null
Txy_M4_001,31,32.8951440773,-97.0271959073,n31,Txy,null,null
Txy_EL_004,32,32.8939258659,-97.0249357684,n32,Txy,null,null
Txy_EL_003,33,32.893925836,-97.0271211432,n33,Txy,null,null
Txy_EL_002,34,32.8939329205,-97.0290160558,n34,Txy,null,null
Txy_EL_001,35,32.8939500857,-97.0309785327,n35,Txy,null,null
Txy_L3_001,36,32.8951721929,-97.0311099809,n36,Txy,null,null
Txy_K8_002,37,32.8975012127,-97.0290213968,n37,Txy,null,null
Txy_K8_001,38,32.8975213127,-97.030955573,n38,Txy,null,null
Txy_M3_001,39,32.8987698915,-97.0271108778,n39,Txy,null,null
Txy_M2_001,40,32.8998673327,-97.0271675403,n40,Txy,null,null
Txy_L2_001,41,32.8998796001,-97.0310857428,n41,Txy,null,null
Txy_M1_001,42,32.9034055212,-97.0271032719,n42,Txy,null,null
Txy_EK_003,43,32.9010659692,-97.0269723511,n43,Txy,null,null
Txy_EK_002,44,32.901077748,-97.0290040773,n44,Txy,null,null
Txy_EK_001,45,32.9010850188,-97.030932931,n45,Txy,null,null
Txy_L1_001,46,32.9034394901,-97.0310679241,n46,Txy,null,null
Txy_R2_001,47,32.9040978138,-97.0130979839,n47,Txy,null,null
Txy_WJ_004,48,32.9046474375,-97.0250088261,n48,Txy,null,null
