n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Rwy_01_001,735,32.9094720934,-97.083026674,Rwy_01_002,734,32.9036135188,-97.0769823784
Rwy_01_002,734,32.9036135188,-97.0769823784,Txy_A1_001,132,32.9054520018,-97.0773793025
Rwy_01_002,734,32.9036135188,-97.0769823784,Rwy_01_003,733,32.9015960911,-97.0749095351
Rwy_01_003,733,32.9015960911,-97.0749095351,Rwy_01_004,732,32.8978408332,-97.071058899
Rwy_01_004,732,32.8978408332,-97.071058899,Rwy_01_005,731,32.8962868502,-97.0694547419
Rwy_01_005,731,32.8962868502,-97.0694547419,Rwy_01_006,730,32.8909066288,-97.0639013396
Rwy_01_006,730,32.8909066288,-97.0639013396,Rwy_01_007,729,32.8903868534,-97.0633620249
Txy_A_001,736,32.9105542579,-97.0815701309,Txy_A_A1,737,32.9068243355,-97.0776861276
Txy_A_A2,738,32.9026713081,-97.0734232486,Txy_A_A3,739,32.8989291829,-97.0695812727
Txy_A_A3,739,32.8989291829,-97.0695812727,Txy_A_A4,740,32.8951907996,-97.0657301703
Txy_A_A4,740,32.8951907996,-97.0657301703,Txy_B_A4,741,32.8945139018,-97.0634247809
Txy_A_A4,740,32.8951907996,-97.0657301703,Txy_A_A5,728,32.8919608596,-97.0624249694
Txy_A_A5,728,32.8919608596,-97.0624249694,Txy_A_A6,743,32.891460025,-97.0618942925
Txy_A_A6,743,32.891460025,-97.0618942925,Txy_B_A6,742,32.8921220505,-97.0609890253
Txy_A_A6,743,32.891460025,-97.0618942925,Txy_A_009,721,32.8880969168,-97.0584583282
Txy_A_009,721,32.8880969168,-97.0584583282,Txy_C_010,668,32.8885231687,-97.0579481815
Txy_A_009,721,32.8880969168,-97.0584583282,Txy_A_C,749,32.8876194198,-97.0579594374
Txy_A_C,749,32.8876194198,-97.0579594374,Txy_C_010,668,32.8885231687,-97.0579481815
Txy_A_C,749,32.8876194198,-97.0579594374,Txy_A_011,746,32.8868773277,-97.0570969947
Txy_A_C,749,32.8876194198,-97.0579594374,Txy_C_WR,748,32.8791355136,-97.0579912114
Txy_A_011,746,32.8868773277,-97.0570969947,Txy_B_D,747,32.8876423956,-97.0562628389
Txy_A_E,770,32.8851507352,-97.0528676956,Txy_B_E,771,32.8861924758,-97.0528619485
Txy_A_F,800,32.8850443362,-97.0489465516,Txy_B_F,801,32.8860754625,-97.0489409421
Txy_A_F,800,32.8850443362,-97.0489465516,Txy_A_G,725,32.8850425999,-97.0480792799
Txy_A_F,800,32.8850443362,-97.0489465516,Txy_F_WP,799,32.8805639506,-97.0489718863
Txy_A_G,725,32.8850425999,-97.0480792799,Txy_A_012,660,32.8850411273,-97.0477211827
Txy_A_G,725,32.8850425999,-97.0480792799,Txy_G_WQ,823,32.8798307142,-97.0481063859
Txy_A_012,660,32.8850411273,-97.0477211827,Txy_B_G,824,32.8860707436,-97.0477149998
Txy_A_012,660,32.8850411273,-97.0477211827,Txy_A_HS,819,32.8850344043,-97.0471953752
Txy_A_HS,819,32.8850344043,-97.0471953752,Txy_A_H1,820,32.8850270447,-97.0461425769
Txy_A_HS,819,32.8850344043,-97.0471953752,Txy_HS_WR,818,32.8790890811,-97.0472245728
Txy_A_H1,820,32.8850270447,-97.0461425769,Txy_B_HA,821,32.8860599654,-97.0460351833
Txy_A_H1,820,32.8850270447,-97.0461425769,Txy_H1_WR,817,32.8790882883,-97.0461666862
Txy_A_H1,820,32.8850270447,-97.0461425769,Txy_A_K12,859,32.8849882894,-97.0348888028
Txy_A_K12,859,32.8849882894,-97.0348888028,Txy_B_JA,860,32.886024005,-97.0348866581
Txy_A_K12,859,32.8849882894,-97.0348888028,Txy_A_JS,864,32.8849895856,-97.0337435817
Txy_A_K12,859,32.8849882894,-97.0348888028,Ramp_10_001,858,32.8840872515,-97.0348622175
Txy_A_JS,864,32.8849895856,-97.0337435817,Txy_A_K,717,32.8849877497,-97.0332310747
Txy_A_JS,864,32.8849895856,-97.0337435817,Txy_JS_001,863,32.8819959105,-97.0337560717
Txy_A_K,717,32.8849877497,-97.0332310747,Txy_B_K,873,32.8860144496,-97.0332273039
Txy_A_K,717,32.8849877497,-97.0332310747,Txy_A_019,865,32.8849839442,-97.0328702541
Txy_A_019,865,32.8849839442,-97.0328702541,Txy_A_L,898,32.8849832103,-97.0320097217
Txy_A_019,865,32.8849839442,-97.0328702541,Txy_K_025,872,32.8819933928,-97.0328961935
Txy_A_L,898,32.8849832103,-97.0320097217,Txy_B_L,899,32.8860124777,-97.0320025159
Txy_A_L,898,32.8849832103,-97.0320097217,Txy_L_016,897,32.8819939596,-97.0320227928
Txy_A_M,943,32.8849664064,-97.028096015,Txy_B_M,944,32.8860044696,-97.0280903578
Txy_A_M,943,32.8849664064,-97.028096015,Txy_M_ER,942,32.879020248,-97.0281239151
Txy_A_P,971,32.8849514888,-97.0229523453,Txy_B_P,972,32.8859805962,-97.0229484152
Txy_A_P,971,32.8849514888,-97.0229523453,Txy_P_ER,970,32.8787698542,-97.0229811541
Txy_C_001,1021,32.9130463696,-97.0578137451,Txy_C_002,1019,32.912372032,-97.0578211823
Txy_C_001,1021,32.9130463696,-97.0578137451,Ramp_06_015,404,32.9130496503,-97.0586846895
Txy_C_002,1019,32.912372032,-97.0578211823,Txy_C_Y,1018,32.9101585011,-97.0578428229
Txy_C_002,1019,32.912372032,-97.0578211823,Ramp_06_017,402,32.9123714806,-97.05868786
Txy_C_Y,1018,32.9101585011,-97.0578428229,Txy_C_Z,1017,32.9091371693,-97.0578487559
Txy_C_Z,1017,32.9091371693,-97.0578487559,Txy_C_005,1016,32.9053200408,-97.0578678339
Txy_C_Z,1017,32.9091371693,-97.0578487559,Ramp_07_001,666,32.9090174568,-97.0591142234
Txy_C_005,1016,32.9053200408,-97.0578678339,Txy_C_WK,1020,32.9011944041,-97.0578869052
Txy_C_005,1016,32.9053200408,-97.0578678339,Ramp_08_001,665,32.9053221708,-97.0589011465
Txy_C_WK,1020,32.9011944041,-97.0578869052,Txy_C_007,752,32.8965775169,-97.0579015582
Txy_C_WK,1020,32.9011944041,-97.0578869052,Ramp_08_002,664,32.9011950459,-97.0588638818
Txy_C_007,752,32.8965775169,-97.0579015582,Txy_C_WL,751,32.8940488526,-97.0579169384
Txy_C_007,752,32.8965775169,-97.0579015582,Ramp_09_001,663,32.8965895682,-97.0588888849
Txy_C_WL,751,32.8940488526,-97.0579169384,Txy_C_WM,750,32.8904708174,-97.0579502329
Txy_C_WM,750,32.8904708174,-97.0579502329,Txy_B_C,720,32.8891916187,-97.0579369836
Txy_C_WM,750,32.8904708174,-97.0579502329,Txy_B_WM,745,32.8904750984,-97.0592808231
Txy_B_C,720,32.8891916187,-97.0579369836,Txy_B_005,744,32.8888266715,-97.0575678349
Txy_B_C,720,32.8891916187,-97.0579369836,Txy_C_010,668,32.8885231687,-97.0579481815
Txy_B_C,720,32.8891916187,-97.0579369836,Txy_B_WM,745,32.8904750984,-97.0592808231
Txy_C_010,668,32.8885231687,-97.0579481815,Txy_B_005,744,32.8888266715,-97.0575678349
Rwy_02_001,769,32.9156750284,-97.0546082559,Rwy_02_002,768,32.9149482721,-97.0546105926
Rwy_02_002,768,32.9149482721,-97.0546105926,Rwy_02_003,767,32.9101375129,-97.0546720614
Rwy_02_003,767,32.9101375129,-97.0546720614,Rwy_02_004,766,32.9091165439,-97.0546784749
Rwy_02_004,766,32.9091165439,-97.0546784749,Rwy_02_005,765,32.9018496728,-97.0547259488
Rwy_02_005,765,32.9018496728,-97.0547259488,Rwy_02_006,764,32.901178793,-97.0547302018
Rwy_02_006,764,32.901178793,-97.0547302018,Rwy_02_007,763,32.9005087653,-97.0547375156
Rwy_02_007,763,32.9005087653,-97.0547375156,Txy_E2_E3,715,32.8993658318,-97.053978646
Rwy_02_007,763,32.9005087653,-97.0547375156,Rwy_02_008,762,32.8983293168,-97.0547389884
Rwy_02_008,762,32.8983293168,-97.0547389884,Txy_E2_E3,715,32.8993658318,-97.053978646
Rwy_02_008,762,32.8983293168,-97.0547389884,Rwy_02_009,761,32.8969114877,-97.0547436369
Rwy_02_009,761,32.8969114877,-97.0547436369,Rwy_02_010,760,32.8940342149,-97.0547558785
Rwy_02_010,760,32.8940342149,-97.0547558785,Rwy_02_011,759,32.8933508634,-97.0547561582
Rwy_02_011,759,32.8933508634,-97.0547561582,Txy_E5_E6,714,32.892266489,-97.0540160221
Rwy_02_011,759,32.8933508634,-97.0547561582,Rwy_02_012,758,32.8911796811,-97.054761926
Rwy_02_012,758,32.8911796811,-97.054761926,Txy_E5_E6,714,32.892266489,-97.0540160221
Rwy_02_012,758,32.8911796811,-97.054761926,Rwy_02_013,757,32.8904633832,-97.0547618723
Rwy_02_013,757,32.8904633832,-97.0547618723,Rwy_02_014,756,32.8891656287,-97.054765575
Rwy_02_014,756,32.8891656287,-97.054765575,Rwy_02_015,755,32.8867650666,-97.0547691507
Rwy_02_015,755,32.8867650666,-97.0547691507,Rwy_02_016,754,32.8856328148,-97.0547777912
Rwy_02_016,754,32.8856328148,-97.0547777912,Rwy_02_017,753,32.879122669,-97.0547903782
Txy_E_WF,780,32.9156773089,-97.0527129533,Txy_E_WG,779,32.9149419702,-97.0527189182
Txy_E_WG,779,32.9149419702,-97.0527189182,Txy_E_Y,778,32.9101367466,-97.0527210387
Txy_E_Y,778,32.9101367466,-97.0527210387,Txy_E_Z,775,32.9091123876,-97.052724892
Txy_E_Z,775,32.9091123876,-97.052724892,Txy_E_WJ,777,32.9047557392,-97.0527247621
Txy_E_WJ,777,32.9047557392,-97.0527247621,Txy_E_WK,776,32.9011600201,-97.0527392136
Txy_E_WK,776,32.9011600201,-97.0527392136,Txy_E_G8,774,32.8976003784,-97.0527739518
Txy_E_G8,774,32.8976003784,-97.0527739518,Txy_E_WL,773,32.8940248676,-97.0528079441
Txy_E_WL,773,32.8940248676,-97.0528079441,Txy_E_WM,772,32.8904532349,-97.0528282171
Rwy_03_001,796,32.9156757095,-97.0507623566,Rwy_03_002,795,32.9149384388,-97.0507616966
Rwy_03_002,795,32.9149384388,-97.0507616966,Rwy_03_003,794,32.9141972379,-97.0507576461
Rwy_03_003,794,32.9141972379,-97.0507576461,Rwy_03_004,793,32.9101376158,-97.0507709276
Rwy_03_004,793,32.9101376158,-97.0507709276,Rwy_03_005,792,32.9090982889,-97.0507763516
Rwy_03_005,792,32.9090982889,-97.0507763516,Rwy_03_006,791,32.9047339708,-97.0507763221
Rwy_03_006,791,32.9047339708,-97.0507763221,Rwy_03_007,1011,32.9018887049,-97.0507871316
Rwy_03_007,1011,32.9018887049,-97.0507871316,Rwy_03_008,1012,32.901162654,-97.0507892423
