id,index,lat,lon,yEdId,domain,refName,type
Txy_Z_025,0,40.7005808332,-74.1574315792,n0,Txy,null,null
Txy_K_015,1,40.6980265761,-74.1591966658,n1,Txy,null,null
Parking_08_002,2,40.6850286045,-74.1774923301,n2,Park,null,null
Parking_08_001,3,40.6842194955,-74.1835367147,n3,Park,null,null
Parking_08_003,4,40.6845388551,-74.187237352,n4,Park,null,null
Gate_07_009,5,40.6823480752,-74.1847715639,n5,Gate,null,null
Gate_07_008,6,40.6818704322,-74.1850933706,n6,Gate,null,null
Gate_07_007,7,40.6813963227,-74.1854291694,n7,Gate,null,null
Gate_07_006,8,40.6803492194,-74.1861936691,n8,Gate,null,null
Rwy_03_102,9,40.7012545465,-74.1573523846,n9,Rwy,RW29 ,Entry
Txy_H_002,10,40.6940448688,-74.16870014,n10,Txy,null,null
Txy_V_007,11,40.679592576,-74.1740805923,n11,Txy,null,null
Txy_R_107,12,40.6972611653,-74.1666475678,n12,Txy,null,null
Txy_R_007,13,40.6979172903,-74.1667145742,n13,Txy,null,null
Txy_B_101,14,40.6996913498,-74.1754621658,n14,Txy,null,null
Txy_RK_002,15,40.6992427629,-74.1752186161,n15,Txy,null,null
Txy_RC_001,16,40.686133203,-74.1760289293,n16,Txy,null,null
Txy_DK_001,17,40.6873887299,-74.1751649881,n17,Txy,null,null
Txy_A_214,18,40.6894993392,-74.1732729177,n18,Txy,null,null
Txy_RD_001,19,40.6883022128,-74.1745787517,n19,Txy,null,null
Txy_Q_R,20,40.6983845224,-74.1664216033,n20,Txy,null,null
Txy_Q_004,21,40.7011560819,-74.1661098354,n21,Txy,null,null
Txy_Q_002,22,40.7025896664,-74.1659483359,n22,Txy,null,null
Txy_U_006,23,40.701652091,-74.17355772,n23,Txy,null,null
Txy_U_003,24,40.702752796,-74.173433633,n24,Txy,null,null
Txy_T_002,25,40.7015365082,-74.1719831359,n25,Txy,null,null
Txy_BB_002,26,40.7019337754,-74.1779943799,n26,Txy,null,null
Txy_AA_005,27,40.6778362049,-74.1746230108,n27,Txy,null,null
Txy_AA_004,28,40.6782350464,-74.1749429727,n28,Txy,null,null
Txy_AA_002,29,40.679335554,-74.1758352049,n29,Txy,null,null
Txy_V_002,30,40.6802466807,-74.1774581292,n30,Txy,null,null
Txy_V_005,31,40.679608203,-74.1756479203,n31,Txy,null,null
Txy_V_AA,32,40.6797889287,-74.1762307003,n32,Txy,null,null
Txy_PC_004,33,40.6762599897,-74.1777854345,n33,Txy,null,null
Txy_PC_002,34,40.6769293996,-74.179576984,n34,Txy,null,null
Txy_PB_005,35,40.6773557549,-74.1770822757,n35,Txy,null,null
Txy_PB_003,36,40.6780166965,-74.1788636222,n36,Txy,null,null
Gate_04_21,37,40.6817001766,-74.1842919154,n37,Gate,null,null
Txy_RB_006,38,40.6809122719,-74.179218938,n38,Txy,null,null
Txy_F_002,39,40.6873256567,-74.1729644139,n39,Txy,null,null
Txy_N_011,40,40.6820381733,-74.173119712,n40,Txy,null,null
Txy_N_009,41,40.681452855,-74.1744932252,n41,Txy,null,null
Txy_N_006,42,40.6821104097,-74.176278798,n42,Txy,null,null
Txy_C_001,43,40.6828222799,-74.1758454844,n43,Txy,null,null
Txy_E_003,44,40.6868933576,-74.1732443476,n44,Txy,null,null
Txy_G_007,45,40.6897728666,-74.1675988902,n45,Txy,null,null
Txy_G_005,46,40.6902503332,-74.1688896961,n46,Txy,null,null
Txy_G_003,47,40.6909162322,-74.1706877187,n47,Txy,null,null
Txy_J_010,48,40.6924685636,-74.1659125738,n48,Txy,null,null
Txy_J_008,49,40.6940930636,-74.1664468966,n49,Txy,null,null
Txy_J_005,50,40.6947522238,-74.1682489443,n50,Txy,null,null
Txy_Y_016,51,40.6974151581,-74.16050355,n51,Txy,null,null
Txy_K_013,52,40.6953019028,-74.1610892765,n52,Txy,null,null
Txy_K_011,53,40.6949854309,-74.1620384484,n53,Txy,null,null
Txy_K_008,54,40.6956199628,-74.163881646,n54,Txy,null,null
Txy_K_006,55,40.6960879902,-74.1651746059,n55,Txy,null,null
Txy_M_004,56,40.6986349282,-74.1652137346,n56,Txy,null,null
Txy_L_003,57,40.6983141838,-74.1624556419,n57,Txy,null,null
Txy_Y_L,58,40.6980329751,-74.1621784264,n58,Txy,null,null
Txy_Y_012,59,40.6982157494,-74.1626424491,n59,Txy,null,null
Txy_Y_010,60,40.6985596945,-74.1635790338,n60,Txy,null,null
Txy_Y_008,61,40.6992202218,-74.1653801883,n61,Txy,null,null
Txy_Y_U,62,40.7004177595,-74.1736942286,n62,Txy,null,null
Txy_Y_RL,63,40.700611143,-74.1766903358,n63,Txy,null,null
Txy_Y_RM,64,40.7009153172,-74.1811826068,n64,Txy,null,null
Txy_RM_001,65,40.7004184834,-74.1813739086,n65,Txy,null,null
Txy_W_012,66,40.7001280016,-74.1610148254,n66,Txy,null,null
Txy_W_010,67,40.7006327759,-74.1644925352,n67,Txy,null,null
Txy_W_002,68,40.7016882912,-74.1804345045,n68,Txy,null,null
Txy_W_RL,69,40.7014335851,-74.1765934346,n69,Txy,null,null
Txy_Z_022,70,40.7023275005,-74.1565443681,n70,Txy,null,null
Txy_Z_020,71,40.7025573799,-74.1583517011,n71,Txy,null,null
Txy_Z_019,72,40.7025253042,-74.1594893363,n72,Txy,null,null
Txy_Z_018,73,40.7026103658,-74.161151632,n73,Txy,null,null
Txy_Z_117,74,40.7032425983,-74.1622734949,n74,Txy,null,null
Txy_Z_016,75,40.7027734754,-74.1636436125,n75,Txy,null,null
Gate_05_004,76,40.7046885736,-74.1679657754,n76,Gate,null,null
Txy_Z_002,77,40.7036944949,-74.1798139538,n77,Txy,null,null
Txy_P_018,78,40.6807142659,-74.1744537073,n78,Txy,null,null
Txy_P_N,79,40.6821627508,-74.1735319016,n79,Txy,null,null
Txy_P_014,80,40.6837086782,-74.1725534085,n80,Txy,null,null
Txy_P_013,81,40.6860829278,-74.1710435854,n81,Txy,null,null
Txy_P_008,82,40.6962813259,-74.1645479611,n82,Txy,null,null
Txy_P_005,83,40.6995868907,-74.1624382199,n83,Txy,null,null
Txy_P_003,84,40.7007799175,-74.1616842369,n84,Txy,null,null
Txy_P_002,85,40.7021686915,-74.1608073656,n85,Txy,null,null
Txy_R_Z,86,40.7028365734,-74.1645492161,n86,Txy,null,null
Txy_R_008,87,40.7010689722,-74.1647571512,n87,Txy,null,null
Txy_D_002,88,40.6824916127,-74.1765356879,n88,Txy,null,null
Txy_PA_003,89,40.680758571,-74.1788309816,n89,Txy,null,null
Txy_B_N,90,40.6833738296,-74.177525811,n90,Txy,null,null
Txy_B_PA,91,40.6836105221,-74.1770229722,n91,Txy,null,null
Txy_B_D,92,40.6855998497,-74.1745708703,n92,Txy,null,null
