n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Gate_01_001,314,40.6874299872,-74.1850942241,Ramp_01_001,220,40.68776182,-74.1846407385
Gate_01_002,313,40.6875320153,-74.1854629568,Ramp_01_002,217,40.6881788575,-74.1853136547
Gate_01_003,312,40.6875063273,-74.1858505246,Ramp_01_003,219,40.6879822352,-74.1863819658
Gate_01_004,311,40.687245932,-74.1861626075,Ramp_01_004,218,40.6875133491,-74.1868637553
Gate_01_005,310,40.6869086499,-74.1861755397,Ramp_01_005,216,40.6865101783,-74.1870544637
Ramp_01_001,220,40.68776182,-74.1846407385,Ramp_01_002,217,40.6881788575,-74.1853136547
Ramp_01_002,217,40.6881788575,-74.1853136547,Ramp_01_003,219,40.6879822352,-74.1863819658
Ramp_01_003,219,40.6879822352,-74.1863819658,Ramp_01_004,218,40.6875133491,-74.1868637553
Ramp_01_004,218,40.6875133491,-74.1868637553,Ramp_01_005,216,40.6865101783,-74.1870544637
Gate_01_008,307,40.6869324711,-74.1849009866,Ramp_01_008,213,40.68667945,-74.1840768174
Ramp_01_008,213,40.68667945,-74.1840768174,Ramp_01_009,214,40.6864312335,-74.1842267914
Gate_01_009,306,40.686571925,-74.1832163172,Ramp_01_008,213,40.68667945,-74.1840768174
Gate_01_010,304,40.686396273,-74.1833930484,Ramp_01_009,214,40.6864312335,-74.1842267914
Gate_01_012,303,40.6857769294,-74.1834142724,Ramp_01_007,215,40.6852901184,-74.184967571
Gate_01_013,302,40.6855551337,-74.1828290981,Ramp_01_011,211,40.6848973162,-74.1832354813
Gate_01_014,301,40.6855722222,-74.1824166667,Ramp_01_012,208,40.6847974242,-74.1824717442
Ramp_01_007,215,40.6852901184,-74.184967571,Ramp_01_011,211,40.6848973162,-74.1832354813
Ramp_01_011,211,40.6848973162,-74.1832354813,Ramp_01_012,208,40.6847974242,-74.1824717442
Gate_01_015,300,40.6857100282,-74.1821952262,Ramp_01_013,207,40.6852245827,-74.1812134271
Gate_01_016,299,40.6860312574,-74.1821556583,Ramp_01_014,210,40.6856383561,-74.1812360777
Gate_01_017,298,40.686313193,-74.1821922739,Ramp_01_015,209,40.6862144159,-74.1812804135
Ramp_01_015,209,40.6862144159,-74.1812804135,Ramp_01_014,210,40.6856383561,-74.1812360777
Ramp_01_013,207,40.6852245827,-74.1812134271,Ramp_01_016,206,40.6846987961,-74.1807491629
Ramp_01_012,208,40.6847974242,-74.1824717442,Ramp_01_016,206,40.6846987961,-74.1807491629
Gate_01_019,296,40.6862666617,-74.1804949901,Ramp_01_015,209,40.6862144159,-74.1812804135
Gate_01_020,295,40.685964872,-74.1803805573,Ramp_01_014,210,40.6856383561,-74.1812360777
Gate_01_021,294,40.6857191223,-74.1800897692,Ramp_01_016,206,40.6846987961,-74.1807491629
Gate_01_022,293,40.6855442822,-74.1796346342,Ramp_01_017,203,40.6848331211,-74.1796575097
Ramp_01_016,206,40.6846987961,-74.1807491629,Ramp_01_017,203,40.6848331211,-74.1796575097
Gate_01_024,291,40.6859888037,-74.1789625203,Ramp_01_018,204,40.6855206627,-74.1781315655
Gate_01_028,288,40.6867338684,-74.1799799409,Ramp_01_019,205,40.6871640996,-74.1801517599
Gate_01_027,289,40.6867782902,-74.1796135414,Ramp_01_020,202,40.6873481175,-74.179399243
Gate_01_026,290,40.6866681533,-74.1792570885,Ramp_02_002,201,40.6873052226,-74.178467698
Ramp_01_019,205,40.6871640996,-74.1801517599,Ramp_01_020,202,40.6873481175,-74.179399243
Ramp_01_020,202,40.6873481175,-74.179399243,Ramp_02_002,201,40.6873052226,-74.178467698
Ramp_02_002,201,40.6873052226,-74.178467698,Ramp_02_004,200,40.6868431024,-74.1779698533
Ramp_02_004,200,40.6868431024,-74.1779698533,Ramp_02_005,198,40.6864762737,-74.176959943
Ramp_01_018,204,40.6855206627,-74.1781315655,Ramp_02_005,198,40.6864762737,-74.176959943
Gate_01_025,287,40.6864051271,-74.1790026092,Ramp_02_004,200,40.6868431024,-74.1779698533
Gate_01_006,309,40.686567469,-74.1858165101,Ramp_01_006,212,40.6855809823,-74.1858132387
Gate_01_007,308,40.686581344,-74.1852468665,Ramp_01_007,215,40.6852901184,-74.184967571
Ramp_02_001,199,40.6881025927,-74.1784632112,Ramp_02_002,201,40.6873052226,-74.178467698
Gate_02_004,334,40.6874664224,-74.1773838462,Ramp_02_004,200,40.6868431024,-74.1779698533
Gate_02_005,333,40.6874126459,-74.1766368425,Ramp_02_006,197,40.6870426635,-74.1759658982
Ramp_02_005,198,40.6864762737,-74.176959943,Ramp_02_006,197,40.6870426635,-74.1759658982
Gate_02_006,332,40.6877015397,-74.1763231233,Ramp_02_007,196,40.6874442173,-74.1756492891
Gate_02_007,331,40.6880300738,-74.1762372406,Ramp_02_008,194,40.6880248667,-74.1756066583
Gate_02_008,330,40.6882570829,-74.1765015862,Ramp_02_009,195,40.6885061736,-74.1760083991
Gate_02_009,329,40.6884611922,-74.176767387,Ramp_02_011,191,40.6890252923,-74.1765317692
Ramp_02_006,197,40.6870426635,-74.1759658982,Ramp_02_007,196,40.6874442173,-74.1756492891
Ramp_02_007,196,40.6874442173,-74.1756492891,Ramp_02_008,194,40.6880248667,-74.1756066583
Ramp_02_009,195,40.6885061736,-74.1760083991,Ramp_02_012,193,40.6886863949,-74.1756265988
Ramp_02_008,194,40.6880248667,-74.1756066583,Ramp_02_012,193,40.6886863949,-74.1756265988
Ramp_02_011,191,40.6890252923,-74.1765317692,Ramp_02_012,193,40.6886863949,-74.1756265988
Gate_02_010,328,40.689765239,-74.17612453,Ramp_02_010,190,40.6891862664,-74.1769731856
Gate_02_011,327,40.6894840509,-74.175824975,Ramp_02_011,191,40.6890252923,-74.1765317692
Gate_02_012,326,40.689404036,-74.1753057773,Ramp_02_012,193,40.6886863949,-74.1756265988
Ramp_02_010,190,40.6891862664,-74.1769731856,Ramp_02_011,191,40.6890252923,-74.1765317692
Gate_02_013,325,40.6896787573,-74.1749891424,Ramp_02_013,192,40.6889818199,-74.1741272633
Gate_02_014,324,40.6899556342,-74.174892165,Ramp_02_014,189,40.6896544271,-74.1737028116
Gate_02_016,322,40.6903557743,-74.1757451572,Ramp_02_017,188,40.6909450771,-74.1748937024
Gate_02_015,323,40.6902887401,-74.1751460768,Ramp_02_015,186,40.6905644544,-74.1738427662
Gate_02_017,321,40.6915759713,-74.1747525816,Ramp_02_017,188,40.6909450771,-74.1748937024
Gate_02_018,320,40.6914484213,-74.1741960868,Ramp_02_018,187,40.690740127,-74.17435582
Ramp_02_017,188,40.6909450771,-74.1748937024,Ramp_02_018,187,40.690740127,-74.17435582
Ramp_02_018,187,40.690740127,-74.17435582,Ramp_02_015,186,40.6905644544,-74.1738427662
Gate_02_019,319,40.6915936571,-74.173888083,Ramp_02_019,185,40.6910722264,-74.1728052117
Gate_02_021,317,40.6923826017,-74.173769049,Ramp_02_020,184,40.6926233718,-74.172967249
Gate_02_023,315,40.6922538646,-74.1750184721,Ramp_02_022,182,40.6927075395,-74.1755023787
Gate_02_022,316,40.6925670631,-74.1745274457,Ramp_02_021,497,40.6930411532,-74.1745358275
Ramp_02_022,182,40.6927075395,-74.1755023787,Ramp_03_001,183,40.6934137811,-74.1745417816
Ramp_02_021,497,40.6930411532,-74.1745358275,Ramp_03_001,183,40.6934137811,-74.1745417816
Ramp_02_021,497,40.6930411532,-74.1745358275,Ramp_02_020,184,40.6926233718,-74.172967249
Ramp_03_001,183,40.6934137811,-74.1745417816,Ramp_03_002,181,40.6932638856,-74.1736610185
Gate_03_001,285,40.6945231948,-74.1754199355,Ramp_03_001,183,40.6934137811,-74.1745417816
Gate_03_002,286,40.6944685236,-74.1747707173,Ramp_03_001,183,40.6934137811,-74.1745417816
Gate_03_103,180,40.6941740986,-74.1735716501,Ramp_03_002,181,40.6932638856,-74.1736610185
Gate_03_005,282,40.6936722645,-74.172546829,Ramp_03_003,179,40.6929395111,-74.172786202
Ramp_02_020,184,40.6926233718,-74.172967249,Ramp_03_003,179,40.6929395111,-74.172786202
Gate_03_010,277,40.6946334726,-74.1727700959,Ramp_03_004,178,40.6951956896,-74.1717134385
Gate_03_011,278,40.695065162,-74.1729754518,Ramp_03_004,178,40.6951956896,-74.1717134385
Gate_03_012,275,40.6955428564,-74.1728121178,Ramp_03_004,178,40.6951956896,-74.1717134385
Gate_03_013,271,40.6957905561,-74.172308081,Ramp_03_004,178,40.6951956896,-74.1717134385
Gate_03_017,260,40.6962175478,-74.1730693757,Ramp_03_007,175,40.6969032605,-74.1734334951
Gate_03_018,270,40.6959906712,-74.1734344858,Ramp_03_006,176,40.6964801551,-74.173935163
Gate_03_022,265,40.6952206342,-74.1751756683,Ramp_03_005,177,40.6959542904,-74.1745385698
Gate_03_021,267,40.6951331166,-74.1744858731,Ramp_03_005,177,40.6959542904,-74.1745385698
Gate_03_020,269,40.6954099511,-74.174049397,Ramp_03_005,177,40.6959542904,-74.1745385698
Ramp_03_006,176,40.6964801551,-74.173935163,Ramp_03_007,175,40.6969032605,-74.1734334951
Gate_03_023,266,40.6953281848,-74.175730575,Ramp_03_008,174,40.6958250528,-74.1753151347
Gate_03_024,264,40.695975,-74.1761805556,Ramp_03_008,174,40.6958250528,-74.1753151347
Gate_03_025,263,40.6961805556,-74.1759027778,Ramp_03_008,174,40.6958250528,-74.1753151347
Gate_03_027,261,40.6965730842,-74.175494717,Ramp_03_009,173,40.6962493548,-74.174831409
Gate_03_029,255,40.6969464429,-74.175032916,Ramp_03_010,172,40.696625451,-74.1744086638
Gate_03_031,257,40.6972733957,-74.1745766713,Ramp_03_011,171,40.6970100941,-74.1739802774
Gate_03_033,253,40.6976193293,-74.1741649361,Ramp_03_012,170,40.6975058575,-74.1734222383
Gate_03_034,252,40.6978197085,-74.1742845754,Ramp_03_013,169,40.6977858271,-74.1735692286
Ramp_03_017,168,40.6986475739,-74.1760249927,Gate_03_040,248,40.6978722222,-74.1753806623
Gate_03_042,246,40.6976284335,-74.1756508294,Ramp_03_018,167,40.6983036295,-74.1764143322
Gate_03_043,245,40.6973951268,-74.1760786003,Ramp_03_019,166,40.6980201941,-74.1767169416
Ramp_03_020,165,40.6974613188,-74.1770876131,Gate_03_045,241,40.6970157789,-74.1764363105
Ramp_03_020,165,40.6974613188,-74.1770876131,Gate_03_046,242,40.6968697246,-74.176681461
Ramp_03_020,165,40.6974613188,-74.1770876131,Gate_03_047,240,40.696681946,-74.1768690695
Ramp_03_019,166,40.6980201941,-74.1767169416,Ramp_03_018,167,40.6983036295,-74.1764143322
Gate_03_048,239,40.6969346781,-74.1779029873,Ramp_03_020,165,40.6974613188,-74.1770876131
Gate_03_052,235,40.6985526738,-74.1783964595,Ramp_03_021,164,40.6982879822,-74.1773713477
Ramp_03_021,164,40.6982879822,-74.1773713477,Ramp_03_022,163,40.6986831476,-74.1769196787
Gate_03_053,236,40.6987345785,-74.1781329668,Ramp_03_022,163,40.6986831476,-74.1769196787
Ramp_03_022,163,40.6986831476,-74.1769196787,Ramp_03_023,162,40.6992056479,-74.1761552947
Gate_03_055,233,40.6991684147,-74.1783866885,Ramp_03_024,161,40.6998485463,-74.177778842
Gate_03_060,227,40.6990270699,-74.1804672658,Ramp_03_027,158,40.7001423408,-74.1814913865
Ramp_03_025,160,40.699889805,-74.1784229114,Ramp_03_024,161,40.6998485463,-74.177778842
Gate_03_061,226,40.6988373084,-74.1804956829,Ramp_03_028,157,40.6989802158,-74.1818498576
Gate_03_062,225,40.6984801718,-74.1804593473,Ramp_03_029,156,40.6984626753,-74.1815463651
Gate_03_064,223,40.6978872207,-74.1798250119,Ramp_03_030,155,40.6976370686,-74.181024078
Ramp_03_029,156,40.6984626753,-74.1815463651,Ramp_03_028,157,40.6989802158,-74.1818498576
Ramp_03_028,157,40.6989802158,-74.1818498576,Ramp_03_027,158,40.7001423408,-74.1814913865
Gate_05_001,145,40.7064442967,-74.1703997749,Ramp_05_001,143,40.7061101944,-74.1694146659
Gate_05_002,144,40.7058925879,-74.1704344422,Ramp_05_001,143,40.7061101944,-74.1694146659
Txy_S_001,442,40.7046259918,-74.1666955844,Txy_S_002,153,40.7029770569,-74.1667850567
Txy_S_002,153,40.7029770569,-74.1667850567,Txy_SZ,498,40.702994887,-74.1671753973
Gate_06_001,152,40.7045146421,-74.1771854382,Ramp_06_002,375,40.7039746386,-74.1766109237
Gate_06_002,151,40.7052479401,-74.1762656622,Ramp_06_002,375,40.7039746386,-74.1766109237
Gate_06_003,150,40.7055924562,-74.1732311311,Ramp_06_001,147,40.7050784184,-74.1744565869
