id,index,lat,lon,yEdId,domain,refName,type
Rwy_01_001,0,26.07694048319289,-80.16643019643682,n0,Rwy,null,null
Rwy_01_002,1,26.0769311272325,-80.16471958037648,n1,Rwy,RW10L,Entry
Rwy_01_003,2,26.07692099145313,-80.16302736035422,n2,Rwy,null,null
Rwy_01_004,3,26.07689609660001,-80.16098394502053,n3,Rwy,null,null
Rwy_01_005,4,26.07690412522676,-80.15994452827026,n4,Rwy,null,null
Rwy_01_02,5,26.07688453829492,-80.15818364426615,n5,Rwy,null,null
Rwy_01_006,6,26.07688251489867,-80.15647705639336,n6,Rwy,null,null
Rwy_01_007,7,26.07685120917779,-80.15123363773561,n7,Rwy,null,null
Rwy_01_008,8,26.07684302390189,-80.15040004711574,n8,Rwy,null,null
Rwy_01_009,9,26.07681609200329,-80.14508457072762,n9,Rwy,null,null
Rwy_01_010,10,26.07680572915128,-80.14229563804743,n10,Rwy,null,null
Rwy_01_011,11,26.07679683954836,-80.14099571851342,n11,Rwy,RW28R,Entry
Rwy_01_012,12,26.0767916670622,-80.13924066201912,n12,Rwy,null,null
Rwy_02_001,13,26.0786280703727,-80.16008954952446,n13,Rwy,null,null
Rwy_02_002,14,26.07814378236323,-80.15955471929277,n14,Rwy,null,null
Rwy_02_003,15,26.07564407893062,-80.15683887422517,n15,Rwy,null,null
Rwy_02_004,16,26.07451210573286,-80.15559443000376,n16,Rwy,null,null
Rwy_02_005,17,26.07304767499046,-80.1539922843791,n17,Rwy,null,null
Rwy_02_006,18,26.07265485530357,-80.15356042217611,n18,Rwy,null,null
Rwy_02_007,19,26.07055896478386,-80.15127448737849,n19,Rwy,null,null
Rwy_02_009,20,26.06718178664299,-80.1475766257089,n20,Rwy,null,null
Rwy_02_03,21,26.06588690039351,-80.14616536501715,n21,Rwy,null,null
Rwy_02_010,22,26.06538476502907,-80.14561248373421,n22,Rwy,null,null
Rwy_03_001,23,26.06596811085267,-80.16014940572727,n23,Rwy,null,null
Rwy_03_002,24,26.06595937755511,-80.15915205434386,n24,Rwy,RW10R,Entry
Rwy_03_003,25,26.06594693638958,-80.1573756804109,n25,Rwy,null,null
Rwy_03_004,26,26.06592766799049,-80.15367206170373,n26,Rwy,null,null
Rwy_03_005,27,26.06591301173,-80.15131480544221,n27,Rwy,null,null
Rwy_03_006,28,26.06590364240713,-80.14792392426087,n28,Rwy,null,null
Rwy_03_007,29,26.06587394627631,-80.14549176474856,n29,Rwy,null,null
Rwy_03_008,30,26.0658690552073,-80.14434435762075,n30,Rwy,RW28L,Entry
