n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Rwy_01_001,0,26.07694048319289,-80.16643019643682,Rwy_01_002,1,26.0769311272325,-80.16471958037648
Rwy_01_002,1,26.0769311272325,-80.16471958037648,Rwy_01_003,2,26.07692099145313,-80.16302736035422
Rwy_01_003,2,26.07692099145313,-80.16302736035422,Rwy_01_004,3,26.07689609660001,-80.16098394502053
Rwy_01_004,3,26.07689609660001,-80.16098394502053,Rwy_01_005,4,26.07690412522676,-80.15994452827026
Rwy_01_005,4,26.07690412522676,-80.15994452827026,Rwy_01_02,5,26.07688453829492,-80.15818364426615
Rwy_01_02,5,26.07688453829492,-80.15818364426615,Rwy_01_006,6,26.07688251489867,-80.15647705639336
Rwy_01_006,6,26.07688251489867,-80.15647705639336,Rwy_01_007,7,26.07685120917779,-80.15123363773561
Rwy_01_007,7,26.07685120917779,-80.15123363773561,Rwy_01_008,8,26.07684302390189,-80.15040004711574
Rwy_01_008,8,26.07684302390189,-80.15040004711574,Rwy_01_009,9,26.07681609200329,-80.14508457072762
Rwy_01_009,9,26.07681609200329,-80.14508457072762,Rwy_01_010,10,26.07680572915128,-80.14229563804743
Rwy_01_010,10,26.07680572915128,-80.14229563804743,Rwy_01_011,11,26.07679683954836,-80.14099571851342
Rwy_01_011,11,26.07679683954836,-80.14099571851342,Rwy_01_012,12,26.0767916670622,-80.13924066201912
Rwy_02_001,13,26.0786280703727,-80.16008954952446,Rwy_02_002,14,26.07814378236323,-80.15955471929277
Rwy_02_002,14,26.07814378236323,-80.15955471929277,Rwy_01_02,5,26.07688453829492,-80.15818364426615
Rwy_01_02,5,26.07688453829492,-80.15818364426615,Rwy_02_003,15,26.07564407893062,-80.15683887422517
Rwy_02_003,15,26.07564407893062,-80.15683887422517,Rwy_02_004,16,26.07451210573286,-80.15559443000376
Rwy_02_004,16,26.07451210573286,-80.15559443000376,Rwy_02_005,17,26.07304767499046,-80.1539922843791
Rwy_02_005,17,26.07304767499046,-80.1539922843791,Rwy_02_006,18,26.07265485530357,-80.15356042217611
Rwy_02_006,18,26.07265485530357,-80.15356042217611,Rwy_02_007,19,26.07055896478386,-80.15127448737849
Rwy_02_009,20,26.06718178664299,-80.1475766257089,Rwy_02_03,21,26.06588690039351,-80.14616536501715
