n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Rwy_01_001,1,41.62122968903431,-87.42145065370921,Rwy_01_002,2,41.62023131664363,-87.41953104119688
Rwy_01_001,1,41.62122968903431,-87.42145065370921,Txy_A_001,7,41.62185873886989,-87.42106353559137
Txy_A_001,7,41.62185873886989,-87.42106353559137,Txy_A_002,8,41.62198957906298,-87.42042220896342
Txy_A_002,8,41.62198957906298,-87.42042220896342,Txy_A_003,9,41.62124947996192,-87.41896024569138
Txy_A_003,9,41.62124947996192,-87.41896024569138,Txy_E_001,53,41.62175993003221,-87.41848645191506
Txy_E_001,53,41.62175993003221,-87.41848645191506,Ramp_E_001,50,41.62226200346028,-87.41802682713352
Ramp_E_001,50,41.62226200346028,-87.41802682713352,Parking_E_001,49,41.62264528064391,-87.41773787063912
Txy_A_003,9,41.62124947996192,-87.41896024569138,Txy_A_004,10,41.61967555229124,-87.41587463755023
Rwy_01_002,2,41.62023131664363,-87.41953104119688,Rwy_01_003,3,41.61875480502437,-87.41659809825828
Rwy_01_003,3,41.61875480502437,-87.41659809825828,Txy_A1_001,48,41.61954398933907,-87.4165142728909
Txy_A1_001,48,41.61954398933907,-87.4165142728909,Txy_A_004,10,41.61967555229124,-87.41587463755023
Txy_A_004,10,41.61967555229124,-87.41587463755023,Txy_A_005,11,41.61948217300542,-87.415484937892
Txy_A_005,11,41.61948217300542,-87.415484937892,Rwy_02_004,31,41.61916936008144,-87.41486096971242
Rwy_02_004,31,41.61916936008144,-87.41486096971242,Txy_A_006,12,41.61884175166797,-87.41422850817321
Txy_A_006,12,41.61884175166797,-87.41422850817321,Txy_A_007,13,41.61869231759954,-87.41393288072287
Rwy_01_003,3,41.61875480502437,-87.41659809825828,Rwy_01_004,4,41.61812477656097,-87.41537183417357
Rwy_01_004,4,41.61812477656097,-87.41537183417357,Rwy_01_104,39,41.61765654265021,-87.41446337774308
Txy_A_007,13,41.61869231759954,-87.41393288072287,Txy_B_004,38,41.61830896162351,-87.41412769301212
Rwy_01_104,39,41.61765654265021,-87.41446337774308,Txy_B_004,38,41.61830896162351,-87.41412769301212
Rwy_01_104,39,41.61765654265021,-87.41446337774308,Txy_B_005,40,41.6169972855605,-87.41479516188801
Rwy_02_004,31,41.61916936008144,-87.41486096971242,Rwy_02_005,32,41.62066270583048,-87.41408545254852
Rwy_02_005,32,41.62066270583048,-87.41408545254852,Rwy_02_006,33,41.62142417004629,-87.41369397392425
Rwy_02_006,33,41.62142417004629,-87.41369397392425,Txy_B_001,35,41.62124572525219,-87.41299598091511
Txy_B_001,35,41.62124572525219,-87.41299598091511,Txy_B_002,34,41.62089675682029,-87.4127971269464
Txy_B_002,34,41.62089675682029,-87.4127971269464,Txy_B_003,37,41.62013407535696,-87.41318517241642
Txy_B_003,37,41.62013407535696,-87.41318517241642,Txy_A_007,13,41.61869231759954,-87.41393288072287
Rwy_02_005,32,41.62066270583048,-87.41408545254852,Txy_B3_001,36,41.62048304288556,-87.4133986795159
Txy_B3_001,36,41.62048304288556,-87.4133986795159,Txy_B_003,37,41.62013407535696,-87.41318517241642
Txy_B_005,40,41.6169972855605,-87.41479516188801,Txy_B_006,41,41.6153441570624,-87.41565884692781
Txy_B_006,41,41.6153441570624,-87.41565884692781,Txy_C_003,47,41.61522421882974,-87.41547031586072
Txy_C_003,47,41.61522421882974,-87.41547031586072,Txy_B_007,42,41.6151358090784,-87.41585921679123
Txy_B_007,42,41.6151358090784,-87.41585921679123,Txy_B_006,41,41.6153441570624,-87.41565884692781
Txy_B_007,42,41.6151358090784,-87.41585921679123,Txy_B2_001,43,41.61516106563769,-87.41613746594861
Txy_B2_001,43,41.61516106563769,-87.41613746594861,Rwy_02_003,30,41.61534752335555,-87.4168238249556
Rwy_02_003,30,41.61534752335555,-87.4168238249556,Rwy_01_004,4,41.61812477656097,-87.41537183417357
Rwy_02_004,31,41.61916936008144,-87.41486096971242,Rwy_01_004,4,41.61812477656097,-87.41537183417357
Rwy_02_003,30,41.61534752335555,-87.4168238249556,Rwy_02_002,29,41.6128581492416,-87.41812039605517
Rwy_02_002,29,41.6128581492416,-87.41812039605517,Rwy_02_001,28,41.61235348290506,-87.41837798567204
Rwy_02_001,28,41.61235348290506,-87.41837798567204,Txy_B_009,46,41.61221892588793,-87.41760291626494
Txy_B1_001,45,41.61270621846091,-87.41737033018418,Txy_B_008,44,41.61282899845606,-87.41714862486401
Txy_B1_001,45,41.61270621846091,-87.41737033018418,Rwy_02_002,29,41.6128581492416,-87.41812039605517
Txy_B_008,44,41.61282899845606,-87.41714862486401,Txy_B_007,42,41.6151358090784,-87.41585921679123
Rwy_01_005,5,41.61643299705864,-87.41207294016087,Txy_C_002,25,41.61700414152517,-87.4115259286119
Rwy_01_104,39,41.61765654265021,-87.41446337774308,Rwy_01_005,5,41.61643299705864,-87.41207294016087
Txy_C_002,25,41.61700414152517,-87.4115259286119,Txy_A_008,14,41.61732177122507,-87.41124085727769
Txy_A_008,14,41.61732177122507,-87.41124085727769,Txy_A_007,13,41.61869231759954,-87.41393288072287
Txy_A_008,14,41.61732177122507,-87.41124085727769,Txy_C_001,26,41.61766082876751,-87.41115071014517
Txy_C_001,26,41.61766082876751,-87.41115071014517,Ramp_C_001,27,41.61809249025094,-87.41105225787817
Ramp_C_001,27,41.61809249025094,-87.41105225787817,Parking_C_001,51,41.61900854250614,-87.41095471171872
Txy_A_008,14,41.61732177122507,-87.41124085727769,Txy_A_009,15,41.61574482634152,-87.40815219448882
Txy_A_009,15,41.61574482634152,-87.40815219448882,Txy_A_010,16,41.61387853191123,-87.40448230325751
