n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Rwy_03_001,127,38.94373078379,-77.49031011131848,Txy_Q_001,47,38.94454859850739,-77.48993061920486
Txy_Q_001,47,38.94454859850739,-77.48993061920486,Txy_Q_002,133,38.94533782027642,-77.48882647805158
Txy_Q_002,133,38.94533782027642,-77.48882647805158,Txy_Q_Q1,122,38.94340095997869,-77.48217410676365
Rwy_03_001,127,38.94373078379,-77.49031011131848,Rwy_03_002,123,38.94041272168569,-77.47901893504482
Txy_Q_Q1,122,38.94340095997869,-77.48217410676365,Txy_Q1_001,46,38.94188214263217,-77.4805796461832
Txy_Q1_001,46,38.94188214263217,-77.4805796461832,Rwy_03_002,123,38.94041272168569,-77.47901893504482
Rwy_03_002,123,38.94041272168569,-77.47901893504482,Rwy_03_003,124,38.9399637434835,-77.47748895230276
Rwy_03_003,124,38.9399637434835,-77.47748895230276,Txy_Q2_001,45,38.94024610370717,-77.47502376282142
Rwy_03_003,124,38.9399637434835,-77.47748895230276,Rwy_03_004,125,38.93799820776211,-77.47080336241261
Txy_Q3_001,44,38.93957972976381,-77.47248131744371,Rwy_03_004,125,38.93799820776211,-77.47080336241261
Rwy_03_004,125,38.93799820776211,-77.47080336241261,Rwy_03_005,128,38.93751320482744,-77.46916609705976
Rwy_03_005,128,38.93751320482744,-77.46916609705976,Txy_Q4_001,43,38.93779097133096,-77.46705990192342
Txy_Q4_001,43,38.93779097133096,-77.46705990192342,Txy_Q_Q4,129,38.93814923228096,-77.46431163327131
Txy_Q_Q4,129,38.93814923228096,-77.46431163327131,Txy_Q_003,134,38.93782603958223,-77.46323202103106
Rwy_03_005,128,38.93751320482744,-77.46916609705976,Rwy_03_006,130,38.93444022150359,-77.45874399846149
Txy_Q_003,134,38.93782603958223,-77.46323202103106,Txy_Q_004,40,38.93639070383019,-77.45839422956892
Rwy_03_006,130,38.93444022150359,-77.45874399846149,Rwy_03_007,131,38.93411908414296,-77.45767068157241
Rwy_03_007,131,38.93411908414296,-77.45767068157241,Rwy_03_008,132,38.93363469842615,-77.45602912749217
Txy_Q_004,40,38.93639070383019,-77.45839422956892,Txy_Q_Y,37,38.93623903649122,-77.45787047961785
Txy_Q_Y,37,38.93623903649122,-77.45787047961785,Txy_Q_005,38,38.93607868148276,-77.45732412074851
Txy_Q_005,38,38.93607868148276,-77.45732412074851,Txy_Q_Z,42,38.93592716800035,-77.45679606924661
Txy_Q_Z,42,38.93592716800035,-77.45679606924661,Txy_Q_006,91,38.93560588150126,-77.45572021713167
Txy_Q_006,91,38.93560588150126,-77.45572021713167,Txy_Q_007,135,38.93543185462755,-77.45516284934462
Txy_Y_005,39,38.93674417097846,-77.45762836934793,Txy_Q_Y,37,38.93623903649122,-77.45787047961785
Txy_Q_Y,37,38.93623903649122,-77.45787047961785,Txy_Y_006,36,38.93521914082599,-77.45835834826738
