n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Txy_SB_SC,7,29.97969020959596,-95.33397206575872,Txy_SB_SF,1,29.97969222746952,-95.33024300882809
Txy_SA_SC,8,29.97869121873343,-95.33396629682562,Txy_SA_SF,12,29.97869820898297,-95.33025012401384
Rwy_05_001,10,29.97760219444304,-95.3339592691503,Rwy_05_002,11,29.97760382343283,-95.32768995269728
Txy_SA_SF,12,29.97869820898297,-95.33025012401384,Txy_SF_001,2,29.97839761415088,-95.3292869887133
Txy_SF_001,2,29.97839761415088,-95.3292869887133,Rwy_05_002,11,29.97760382343283,-95.32768995269728
Txy_SB_SF,1,29.97969222746952,-95.33024300882809,Txy_SA_SF,12,29.97869820898297,-95.33025012401384
Txy_SB_SC,7,29.97969020959596,-95.33397206575872,Txy_SA_SC,8,29.97869121873343,-95.33396629682562
Txy_SA_SC,8,29.97869121873343,-95.33396629682562,Txy_SC_001,9,29.97840970829113,-95.33397204475983
Txy_SC_001,9,29.97840970829113,-95.33397204475983,Rwy_05_001,10,29.97760219444304,-95.3339592691503
Txy_SB_SC,7,29.97969020959596,-95.33397206575872,Txy_RA_SC,24,29.98227537642608,-95.33397297571724
Txy_SB_SF,1,29.97969222746952,-95.33024300882809,Txy_RA_SF,25,29.98228411226669,-95.33024657529093
Txy_SB_SF,1,29.97969222746952,-95.33024300882809,Txy_SB_SG,14,29.9796955330094,-95.32386626573114
Txy_SA_SF,12,29.97869820898297,-95.33025012401384,Txy_SA_SG,15,29.97870472840505,-95.32386096845048
Txy_SB_SG,14,29.9796955330094,-95.32386626573114,Txy_SA_SG,15,29.97870472840505,-95.32386096845048
Rwy_05_002,11,29.97760382343283,-95.32768995269728,Rwy_05_003,13,29.9776119302017,-95.32129953377043
Txy_SA_SG,15,29.97870472840505,-95.32386096845048,Txy_SG_001,3,29.97842563790547,-95.32295450094296
Txy_SG_001,3,29.97842563790547,-95.32295450094296,Rwy_05_003,13,29.9776119302017,-95.32129953377043
Rwy_05_003,13,29.9776119302017,-95.32129953377043,Rwy_05_004,18,29.97760961271949,-95.31525476019509
Txy_SB_SG,14,29.9796955330094,-95.32386626573114,Txy_SB_SH,17,29.97969700061069,-95.31276273020578
Txy_SA_SG,15,29.97870472840505,-95.32386096845048,Txy_SA_SH,16,29.97870695776963,-95.3127629266312
Txy_SB_SH,17,29.97969700061069,-95.31276273020578,Txy_SA_SH,16,29.97870695776963,-95.3127629266312
Rwy_05_004,18,29.97760961271949,-95.31525476019509,Txy_SH_001,4,29.97842435191197,-95.31368053670963
Txy_SH_001,4,29.97842435191197,-95.31368053670963,Txy_SA_SH,16,29.97870695776963,-95.3127629266312
Rwy_05_004,18,29.97760961271949,-95.31525476019509,Rwy_05_005,23,29.97760525635963,-95.30910657114173
Txy_SA_SH,16,29.97870695776963,-95.3127629266312,Txy_SA_SJ,20,29.9787071901408,-95.3064552975212
Rwy_05_005,23,29.97760525635963,-95.30910657114173,Txy_SJ_001,5,29.97842416311265,-95.30735532263648
Txy_SJ_001,5,29.97842416311265,-95.30735532263648,Txy_SA_SJ,20,29.9787071901408,-95.3064552975212
Txy_SB_SJ,19,29.97969909642231,-95.30644460480012,Txy_SA_SJ,20,29.9787071901408,-95.3064552975212
Txy_SB_SH,17,29.97969700061069,-95.31276273020578,Txy_SB_SJ,19,29.97969909642231,-95.30644460480012
Rwy_05_005,23,29.97760525635963,-95.30910657114173,Rwy_05_006,21,29.97761399919073,-95.30267047470353
Txy_SB_SJ,19,29.97969909642231,-95.30644460480012,Txy_SB_SK,22,29.97970285454464,-95.30267624528054
Rwy_05_006,21,29.97761399919073,-95.30267047470353,Txy_SA_SK,6,29.97842021100221,-95.30266999147536
Txy_RA_SF,25,29.98228411226669,-95.33024657529093,Txy_RB_SF,28,29.98301921803759,-95.33024385312898
Txy_RB_SF,28,29.98301921803759,-95.33024385312898,Txy_NN_002,530,29.98919571834667,-95.33025497334896
Txy_RA_SF,25,29.98228411226669,-95.33024657529093,Txy_RA_SC,24,29.98227537642608,-95.33397297571724
Txy_RB_SF,28,29.98301921803759,-95.33024385312898,Txy_RB_001,27,29.98301595205974,-95.33075407998366
Txy_RB_001,27,29.98301595205974,-95.33075407998366,Txy_RB_002,474,29.98301154324759,-95.33206258372732
Txy_RB_002,474,29.98301154324759,-95.33206258372732,Txy_RB_003,473,29.98301364203874,-95.3330418375912
Txy_RB_003,473,29.98301364203874,-95.3330418375912,Txy_RB_SC,26,29.98301261551273,-95.33396792228663
Txy_RA_SC,24,29.98227537642608,-95.33397297571724,Txy_RB_SC,26,29.98301261551273,-95.33396792228663
Txy_RB_SC,26,29.98301261551273,-95.33396792228663,Txy_RB_004,490,29.98301258688617,-95.33505632429119
Txy_RB_004,490,29.98301258688617,-95.33505632429119,Txy_RB_005,501,29.98306288514405,-95.33585215166136
Txy_RA_SC,24,29.98227537642608,-95.33397297571724,Txy_RA_R2,30,29.98236355294363,-95.33693828163062
Txy_RA_R2,30,29.98236355294363,-95.33693828163062,Txy_RB_006,29,29.98313475160402,-95.33684773518863
Txy_RB_005,501,29.98306288514405,-95.33585215166136,Txy_RB_006,29,29.98313475160402,-95.33684773518863
Txy_RB_006,29,29.98313475160402,-95.33684773518863,Ramp_05_003,500,29.98351433387602,-95.3367191176135
Txy_RB_005,501,29.98306288514405,-95.33585215166136,Ramp_05_004,494,29.98341352231969,-95.33561934371005
