n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Txy_A_003,89,40.78821849347025,-73.11095380886829,Txy_A_004,90,40.78824814248099,-73.11168985870454
Txy_A_004,90,40.78824814248099,-73.11168985870454,Rwy_01_001,31,40.78877993280598,-73.11226962985339
Rwy_01_001,31,40.78877993280598,-73.11226962985339,Rwy_01_002,32,40.79065804696317,-73.1097600868322
Rwy_01_002,32,40.79065804696317,-73.1097600868322,Rwy_01_003,33,40.79260876402608,-73.10719348292409
Rwy_01_003,33,40.79260876402608,-73.10719348292409,Rwy_01_103,77,40.79320765480221,-73.10642603403079
Rwy_01_103,77,40.79320765480221,-73.10642603403079,Rwy_01_004,34,40.79656089543378,-73.1019955124916
Rwy_01_004,34,40.79656089543378,-73.1019955124916,Rwy_01_005,35,40.79691072311551,-73.10156075452007
Rwy_01_005,35,40.79691072311551,-73.10156075452007,Rwy_01_006,36,40.79739537602343,-73.10090327203359
Rwy_01_006,36,40.79739537602343,-73.10090327203359,Rwy_01_007,37,40.79878670255749,-73.09907767227129
Rwy_01_007,37,40.79878670255749,-73.09907767227129,Rwy_01_008,54,40.79918021245658,-73.09856617024293
Rwy_01_008,54,40.79918021245658,-73.09856617024293,Rwy_01_009,38,40.80211429783956,-73.0946877279498
Rwy_01_009,38,40.80211429783956,-73.0946877279498,Txy_E_001,56,40.80115992624234,-73.09465226277878
Txy_F_001,55,40.80165839895584,-73.09401409327167,Rwy_01_009,38,40.80211429783956,-73.0946877279498
Txy_E_001,56,40.80115992624234,-73.09465226277878,Txy_E_101,125,40.80065992624234,-73.0946288499817
Txy_E_101,125,40.80065992624234,-73.0946288499817,Txy_F_001,55,40.80165839895584,-73.09401409327167
Txy_E_101,125,40.80065992624234,-73.0946288499817,Txy_E_002,57,40.79700238731931,-73.09466570116442
Txy_E_002,57,40.79700238731931,-73.09466570116442,Rwy_04_002,52,40.79623119918684,-73.09465609939915
Rwy_04_002,52,40.79623119918684,-73.09465609939915,Txy_E_003,58,40.79546821474879,-73.09465562696275
Txy_E_003,58,40.79546821474879,-73.09465562696275,Txy_E_004,59,40.79358259517516,-73.09464527370983
Txy_E_004,59,40.79358259517516,-73.09464527370983,Rwy_02_008,46,40.79254430214532,-73.09463064804572
Rwy_02_008,46,40.79254430214532,-73.09463064804572,Rwy_02_007,45,40.79320415813594,-73.09544281427169
Rwy_02_007,45,40.79320415813594,-73.09544281427169,Rwy_02_006,44,40.79657706443398,-73.0998887114437
Rwy_02_006,44,40.79657706443398,-73.0998887114437,Rwy_02_005,43,40.7968983382423,-73.10031765940097
Rwy_01_006,36,40.79739537602343,-73.10090327203359,Rwy_02_005,43,40.7968983382423,-73.10031765940097
Rwy_02_006,44,40.79657706443398,-73.0998887114437,Txy_B3_001,99,40.79609095440646,-73.10052919430865
Txy_C_001,100,40.79567441793315,-73.10093505004362,Txy_B3_001,99,40.79609095440646,-73.10052919430865
Txy_C_001,100,40.79567441793315,-73.10093505004362,Txy_C_002,101,40.79320447345942,-73.1009396942529
Txy_C_002,101,40.79320447345942,-73.1009396942529,Rwy_03_002,48,40.79253167863202,-73.10094130105897
Txy_C_003,102,40.7918526632862,-73.10093500636596,Rwy_03_002,48,40.79253167863202,-73.10094130105897
Txy_A_003,89,40.78821849347025,-73.11095380886829,Txy_A_002,88,40.7898861838198,-73.10875188939178
Txy_A_002,88,40.7898861838198,-73.10875188939178,Ramp_A_001,119,40.78942062083284,-73.1081447071495
Txy_A_002,88,40.7898861838198,-73.10875188939178,Txy_A1_001,91,40.79018349860206,-73.10914443680784
Rwy_01_002,32,40.79065804696317,-73.1097600868322,Txy_A1_001,91,40.79018349860206,-73.10914443680784
Txy_A_002,88,40.7898861838198,-73.10875188939178,Txy_A_001,87,40.79153266751709,-73.10660054186776
Txy_A_001,87,40.79153266751709,-73.10660054186776,Txy_S_015,86,40.79184701823709,-73.10638246355485
Txy_S_015,86,40.79184701823709,-73.10638246355485,Txy_S_014,85,40.7915207644436,-73.10594358931303
Txy_A_001,87,40.79153266751709,-73.10660054186776,Txy_S_014,85,40.7915207644436,-73.10594358931303
Txy_S_015,86,40.79184701823709,-73.10638246355485,Rwy_01_003,33,40.79260876402608,-73.10719348292409
Rwy_03_001,47,40.79253153471247,-73.10606416400205,Rwy_01_003,33,40.79260876402608,-73.10719348292409
Rwy_01_003,33,40.79260876402608,-73.10719348292409,Txy_W_008,76,40.79358845361154,-73.10718287685742
Txy_W_008,76,40.79358845361154,-73.10718287685742,Txy_W_007,75,40.79506084488571,-73.10717587639165
Ramp_W_001,120,40.79507341553705,-73.10752785268943,Txy_W_007,75,40.79506084488571,-73.10717587639165
Txy_W_007,75,40.79506084488571,-73.10717587639165,Txy_W_006,74,40.79637073001275,-73.10718126764334
Ramp_W_002,121,40.79636789203912,-73.10751871680884,Txy_W_006,74,40.79637073001275,-73.10718126764334
Txy_W_006,74,40.79637073001275,-73.10718126764334,Txy_W_005,73,40.79703090997111,-73.10717608324896
Ramp_W_003,122,40.79702986128672,-73.10751878972611,Txy_W_005,73,40.79703090997111,-73.10717608324896
Txy_W_005,73,40.79703090997111,-73.10717608324896,Txy_W_004,72,40.79801169535315,-73.10718469239282
Ramp_W_004,123,40.79803642063162,-73.10753017557667,Txy_W_004,72,40.79801169535315,-73.10718469239282
Txy_W_004,72,40.79801169535315,-73.10718469239282,Txy_W_003,71,40.79990665469807,-73.10719045859491
Txy_W_003,71,40.79990665469807,-73.10719045859491,Txy_B_001,92,40.80010374756924,-73.10662979141959
Txy_W_003,71,40.79990665469807,-73.10719045859491,Txy_W_002,70,40.80065462179026,-73.10718729781408
Txy_W_002,70,40.80065462179026,-73.10718729781408,Txy_B_001,92,40.80010374756924,-73.10662979141959
Ramp_W_005,124,40.80063924314244,-73.1075238719884,Txy_W_002,70,40.80065462179026,-73.10718729781408
Txy_W_002,70,40.80065462179026,-73.10718729781408,Txy_W_001,69,40.80115490178631,-73.10717763080298
Txy_W_001,69,40.80115490178631,-73.10717763080298,Rwy_02_001,39,40.80183102374485,-73.10680334711648
Rwy_02_001,39,40.80183102374485,-73.10680334711648,Rwy_02_002,40,40.80008776355567,-73.1044776654124
Rwy_02_002,40,40.80008776355567,-73.1044776654124,Rwy_02_003,41,40.79812507463434,-73.10190204039861
Rwy_02_003,41,40.79812507463434,-73.10190204039861,Rwy_02_004,42,40.79785907932617,-73.10155978258678
Rwy_02_004,42,40.79785907932617,-73.10155978258678,Rwy_01_006,36,40.79739537602343,-73.10090327203359
Rwy_02_003,41,40.79812507463434,-73.10190204039861,Txy_B2_001,96,40.79766568207925,-73.10259537268469
Txy_B2_001,96,40.79766568207925,-73.10259537268469,Txy_B_003,95,40.79732595233607,-73.10297400027848
Txy_B_003,95,40.79732595233607,-73.10297400027848,Txy_B_002,94,40.79928988571793,-73.10554985536228
Txy_B_002,94,40.79928988571793,-73.10554985536228,Txy_B_001,92,40.80010374756924,-73.10662979141959
Txy_B_002,94,40.79928988571793,-73.10554985536228,Txy_B1_001,93,40.79962254769325,-73.10514318026574
Txy_B1_001,93,40.79962254769325,-73.10514318026574,Rwy_02_002,40,40.80008776355567,-73.1044776654124
Txy_B_003,95,40.79732595233607,-73.10297400027848,Txy_B_004,97,40.7970676299929,-73.1026140490389
Txy_B_004,97,40.7970676299929,-73.1026140490389,Rwy_01_004,34,40.79656089543378,-73.1019955124916
Rwy_01_004,34,40.79656089543378,-73.1019955124916,Txy_B_005,98,40.7960909487973,-73.1013706010217
