id,index,lat,lon,yEdId,domain,refName,type
Txy_A_004,0,30.49907677209987,-81.68489085301047,n0,Txy,null,null
Txy_A_005,1,30.49938783488884,-81.68386504617231,n1,Txy,null,null
Txy_A_H,2,30.49923230443604,-81.68437264013508,n2,Txy,null,null
Txy_J_001,3,30.49771965947193,-81.69202921537217,n3,Txy,null,null
Rwy_01_002,4,30.4986974581803,-81.69183926305281,n4,Rwy,null,null
Txy_L_004,5,30.49439884519174,-81.69918159885484,n5,Txy,null,null
Txy_L_005,6,30.49552692517004,-81.6995379233449,n6,Txy,null,null
Rwy_01_001,7,30.49625775165227,-81.69981655733487,n7,Rwy,RW08 ,Entry
JAX-Ref,8,30.49405555555556,-81.68786111111112,n8,Unknown,null,null
Txy_H_001,9,30.49999827639394,-81.68468648784538,n9,Txy,null,null
Rwy_01_003,10,30.50078302747987,-81.68503607687923,n10,Rwy,null,null
Rwy_01_004,11,30.50193794067047,-81.68124579255831,n11,Rwy,null,null
Txy_G_001,12,30.50131588061703,-81.6802944645401,n12,Txy,null,null
Rwy_01_005,13,30.50349852578028,-81.67615213849214,n13,Rwy,null,null
Txy_F_001,14,30.50277351782172,-81.67585633737208,n14,Txy,null,null
Rwy_01_006,15,30.50491884398928,-81.67149937027578,n15,Rwy,null,null
Txy_E_001,16,30.50418306303422,-81.67123339249127,n16,Txy,null,null
Rwy_01_007,17,30.5053376051115,-81.6701470128343,n17,Rwy,RW26 ,Entry
Txy_C_001,18,30.50461015489413,-81.66984959645305,n18,Txy,null,null
Txy_A_C,19,30.50378525535711,-81.66950572728096,n19,Txy,null,null
Txy_A_E,20,30.50335756868609,-81.67089260372425,n20,Txy,null,null
Txy_B_E,21,30.50269979292288,-81.67063913487074,n21,Txy,null,null
Txy_B_C,22,30.50312747632351,-81.66924434323825,n22,Txy,null,null
Txy_B_002,23,30.50144787273267,-81.67474350437958,n23,Txy,null,null
Txy_B_F,24,30.50129866981088,-81.67522587848838,n24,Txy,null,null
Txy_A_007,25,30.50208853173793,-81.67503123388472,n25,Txy,null,null
Txy_A_F,26,30.50194391991077,-81.67551627639085,n26,Txy,null,null
Txy_F_002,27,30.50070712607358,-81.67498810966347,n27,Txy,null,null
Txy_B_G,28,30.49996099787801,-81.67960349672688,n28,Txy,null,null
Txy_B_001,29,30.50010416880625,-81.6791236513303,n29,Txy,null,null
Txy_A_006,30,30.50076014342237,-81.67938629613697,n30,Txy,null,null
Txy_A_G,31,30.50061235261889,-81.6798715063736,n31,Txy,null,null
Txy_B_H,32,30.49845591117846,-81.68452949032122,n32,Txy,null,null
Txy_A_003,33,30.49710421083859,-81.69132944279681,n33,Txy,null,null
Txy_J_002,34,30.4965323055377,-81.69156607525288,n34,Txy,null,null
Txy_A_002,35,30.49678307188421,-81.6923739725112,n35,Txy,null,null
Txy_A_J,36,30.49694481480082,-81.69184626785265,n36,Txy,null,null
Txy_A_001,37,30.49521162234349,-81.69752060723329,n37,Txy,null,null
Txy_K_002,38,30.49454498849803,-81.69813963820438,n38,Txy,null,null
Txy_A_K,39,30.495053833424,-81.69802880640249,n39,Txy,null,null
Txy_A_L,40,30.49470087091428,-81.69919937289218,n40,Txy,null,null
Txy_L_003,41,30.49361017051482,-81.69936890366648,n41,Txy,null,null
Txy_L_002,42,30.49318908485953,-81.69965163498193,n42,Txy,null,null
Txy_K_001,43,30.49314240290819,-81.69844358871883,n43,Txy,null,null
Txy_N_001,44,30.49235293526454,-81.69816977296308,n44,Txy,null,null
Txy_N_K,45,30.49262971438015,-81.69854985869218,n45,Txy,null,null
Txy_N_L,46,30.49333682561605,-81.69950163159339,n46,Txy,null,null
Txy_L_001,47,30.4926645759346,-81.70016279966565,n47,Txy,null,null
Rwy_02_001,48,30.49207508745804,-81.70073482856472,n48,Rwy,RW14 ,Entry
Rwy_02_002,49,30.48986422430202,-81.69775823218663,n49,Rwy,null,null
Rwy_02_003,50,30.4872883351269,-81.69425808624797,n50,Rwy,null,null
Txy_P_001,51,30.488160894566,-81.69405425191627,n51,Txy,null,null
Rwy_02_004,52,30.48412481452032,-81.68998621368416,n52,Rwy,null,null
Txy_Q_001,53,30.48420304676412,-81.68872597966943,n53,Txy,null,null
Txy_R_001,54,30.48348705038061,-81.68774851021902,n54,Txy,null,null
Rwy_02_005,55,30.48260559086704,-81.687933528651,n55,Rwy,null,null
Rwy_02_006,56,30.48141376940718,-81.68635875241903,n56,Rwy,null,null
Txy_T_001,57,30.48171158522685,-81.68534988704201,n57,Txy,null,null
Txy_N_T,58,30.48203646685433,-81.6842432703208,n58,Txy,null,null
Rwy_02_007,59,30.47848620632702,-81.68238559278961,n59,Rwy,RW32 ,Entry
Txy_U_001,60,30.47904859925044,-81.68176666366261,n60,Txy,null,null
Txy_N_U,61,30.47972188854739,-81.68111095218126,n61,Txy,null,null
Txy_S_002,62,30.48315749791762,-81.6845138758779,n62,Txy,null,null
Txy_N_S,63,30.48288826734936,-81.68538620312049,n63,Txy,null,null
Txy_S_001,64,30.48304122135754,-81.68490550313889,n64,Txy,null,null
Txy_R_003,65,30.48515986439338,-81.6873930177176,n65,Txy,null,null
Txy_R_002,66,30.48498205059925,-81.68742923596483,n66,Txy,null,null
Txy_N_R,67,30.4844019945926,-81.68755541869602,n67,Txy,null,null
Txy_N_003,68,30.48866994539476,-81.69318403595061,n68,Txy,null,null
Txy_P_002,69,30.48921239798665,-81.69316429864305,n69,Txy,null,null
Txy_N_002,70,30.48922772450952,-81.69396468409474,n70,Txy,null,null
Txy_N_P,71,30.4889523640614,-81.69358391467107,n71,Txy,null,null
Txy_P_003,72,30.49147307213814,-81.68987197237777,n72,Txy,null,null
Txy_P_004,73,30.49158473257687,-81.68970729476625,n73,Txy,null,null
Txy_J_003,74,30.49341511669507,-81.68944582064127,n74,Txy,null,null
Txy_J_004,75,30.49325635510419,-81.68933994527707,n75,Txy,null,null
Ramp_02_001,76,30.49289721484721,-81.68906952491162,n76,Ramp,null,null
Ramp_02_002,77,30.49184623411941,-81.68929559418918,n77,Ramp,null,null
Txy_G_002,78,30.4993690079203,-81.67936805831533,n78,Txy,null,null
Txy_G_003,79,30.49839483420225,-81.67898088547874,n79,Txy,null,null
Txy_G_004,80,30.49832854110521,-81.67861872098972,n80,Txy,null,null
