n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Rwy_01_001,7,30.49625775165227,-81.69981655733487,Rwy_01_002,4,30.4986974581803,-81.69183926305281
Txy_A_L,40,30.49470087091428,-81.69919937289218,Txy_A_K,39,30.495053833424,-81.69802880640249
Txy_A_K,39,30.495053833424,-81.69802880640249,Txy_A_001,37,30.49521162234349,-81.69752060723329
Txy_A_001,37,30.49521162234349,-81.69752060723329,Txy_A_002,35,30.49678307188421,-81.6923739725112
Txy_A_002,35,30.49678307188421,-81.6923739725112,Txy_A_J,36,30.49694481480082,-81.69184626785265
Txy_A_J,36,30.49694481480082,-81.69184626785265,Txy_A_003,33,30.49710421083859,-81.69132944279681
Rwy_01_001,7,30.49625775165227,-81.69981655733487,Txy_L_005,6,30.49552692517004,-81.6995379233449
Txy_L_005,6,30.49552692517004,-81.6995379233449,Txy_A_L,40,30.49470087091428,-81.69919937289218
Rwy_01_002,4,30.4986974581803,-81.69183926305281,Rwy_01_003,10,30.50078302747987,-81.68503607687923
Rwy_01_003,10,30.50078302747987,-81.68503607687923,Rwy_01_004,11,30.50193794067047,-81.68124579255831
Txy_A_003,33,30.49710421083859,-81.69132944279681,Txy_A_004,0,30.49907677209987,-81.68489085301047
Txy_A_004,0,30.49907677209987,-81.68489085301047,Txy_A_H,2,30.49923230443604,-81.68437264013508
Txy_A_H,2,30.49923230443604,-81.68437264013508,Txy_A_005,1,30.49938783488884,-81.68386504617231
Rwy_01_004,11,30.50193794067047,-81.68124579255831,Rwy_01_005,13,30.50349852578028,-81.67615213849214
Txy_A_005,1,30.49938783488884,-81.68386504617231,Txy_A_G,31,30.50061235261889,-81.6798715063736
Txy_A_G,31,30.50061235261889,-81.6798715063736,Txy_A_006,30,30.50076014342237,-81.67938629613697
Txy_A_006,30,30.50076014342237,-81.67938629613697,Txy_A_F,26,30.50194391991077,-81.67551627639085
Rwy_01_005,13,30.50349852578028,-81.67615213849214,Rwy_01_006,15,30.50491884398928,-81.67149937027578
Rwy_01_006,15,30.50491884398928,-81.67149937027578,Rwy_01_007,17,30.5053376051115,-81.6701470128343
Txy_A_F,26,30.50194391991077,-81.67551627639085,Txy_A_007,25,30.50208853173793,-81.67503123388472
Txy_A_007,25,30.50208853173793,-81.67503123388472,Txy_A_E,20,30.50335756868609,-81.67089260372425
Txy_A_E,20,30.50335756868609,-81.67089260372425,Txy_A_C,19,30.50378525535711,-81.66950572728096
Rwy_01_006,15,30.50491884398928,-81.67149937027578,Txy_E_001,16,30.50418306303422,-81.67123339249127
Txy_E_001,16,30.50418306303422,-81.67123339249127,Txy_A_E,20,30.50335756868609,-81.67089260372425
Txy_A_E,20,30.50335756868609,-81.67089260372425,Txy_B_E,21,30.50269979292288,-81.67063913487074
Rwy_01_007,17,30.5053376051115,-81.6701470128343,Txy_C_001,18,30.50461015489413,-81.66984959645305
Txy_C_001,18,30.50461015489413,-81.66984959645305,Txy_A_C,19,30.50378525535711,-81.66950572728096
Txy_A_C,19,30.50378525535711,-81.66950572728096,Txy_B_C,22,30.50312747632351,-81.66924434323825
Txy_B_G,28,30.49996099787801,-81.67960349672688,Txy_B_001,29,30.50010416880625,-81.6791236513303
Txy_B_001,29,30.50010416880625,-81.6791236513303,Txy_B_F,24,30.50129866981088,-81.67522587848838
Txy_B_F,24,30.50129866981088,-81.67522587848838,Txy_B_002,23,30.50144787273267,-81.67474350437958
Txy_B_002,23,30.50144787273267,-81.67474350437958,Txy_B_E,21,30.50269979292288,-81.67063913487074
Txy_B_E,21,30.50269979292288,-81.67063913487074,Txy_B_C,22,30.50312747632351,-81.66924434323825
Rwy_01_005,13,30.50349852578028,-81.67615213849214,Txy_F_001,14,30.50277351782172,-81.67585633737208
Txy_F_001,14,30.50277351782172,-81.67585633737208,Txy_A_F,26,30.50194391991077,-81.67551627639085
Txy_A_F,26,30.50194391991077,-81.67551627639085,Txy_B_F,24,30.50129866981088,-81.67522587848838
Txy_B_F,24,30.50129866981088,-81.67522587848838,Txy_F_002,27,30.50070712607358,-81.67498810966347
Txy_F_002,27,30.50070712607358,-81.67498810966347,Parking_F_001,155,30.49852210125083,-81.67412631545135
Rwy_01_004,11,30.50193794067047,-81.68124579255831,Txy_G_001,12,30.50131588061703,-81.6802944645401
Txy_G_001,12,30.50131588061703,-81.6802944645401,Txy_A_G,31,30.50061235261889,-81.6798715063736
Txy_A_G,31,30.50061235261889,-81.6798715063736,Txy_B_G,28,30.49996099787801,-81.67960349672688
Txy_B_G,28,30.49996099787801,-81.67960349672688,Txy_G_002,78,30.4993690079203,-81.67936805831533
Txy_G_002,78,30.4993690079203,-81.67936805831533,Txy_G_003,79,30.49839483420225,-81.67898088547874
Txy_G_003,79,30.49839483420225,-81.67898088547874,Txy_G_005,82,30.49661601079804,-81.67922831073145
Txy_G_005,82,30.49661601079804,-81.67922831073145,Txy_G_006,81,30.4965690011984,-81.67893606683357
Txy_G_006,81,30.4965690011984,-81.67893606683357,Parking_G_002,157,30.49643636036748,-81.67816427119398
Txy_G_003,79,30.49839483420225,-81.67898088547874,Txy_G_004,80,30.49832854110521,-81.67861872098972
Txy_G_004,80,30.49832854110521,-81.67861872098972,Parking_G_001,156,30.49819353522061,-81.6778542296605
Rwy_01_003,10,30.50078302747987,-81.68503607687923,Txy_H_001,9,30.49999827639394,-81.68468648784538
Txy_H_001,9,30.49999827639394,-81.68468648784538,Txy_A_H,2,30.49923230443604,-81.68437264013508
Txy_A_H,2,30.49923230443604,-81.68437264013508,Txy_B_H,32,30.49845591117846,-81.68452949032122
Txy_B_H,32,30.49845591117846,-81.68452949032122,Txy_H_002,130,30.4964634045354,-81.6849545236497
Txy_H_002,130,30.4964634045354,-81.6849545236497,Txy_H_003,131,30.49503942880389,-81.68526645841372
Gate_01_004,86,30.49388039869607,-81.68413736420877,Ramp_01_004,124,30.49394302174413,-81.68327380264367
Gate_01_003,85,30.49350663000798,-81.68417365675823,Ramp_01_003,123,30.49357042606406,-81.68335347328023
Gate_01_002,84,30.49309480699997,-81.68427619801241,Ramp_01_002,122,30.49317822170256,-81.6834331448381
Gate_01_001,83,30.49267661656614,-81.68442525350551,Ramp_01_001,121,30.49279827355001,-81.6835213493465
Ramp_01_001,121,30.49279827355001,-81.6835213493465,Ramp_01_002,122,30.49317822170256,-81.6834331448381
Ramp_01_002,122,30.49317822170256,-81.6834331448381,Ramp_01_003,123,30.49357042606406,-81.68335347328023
Ramp_01_003,123,30.49357042606406,-81.68335347328023,Ramp_01_004,124,30.49394302174413,-81.68327380264367
Ramp_01_004,124,30.49394302174413,-81.68327380264367,Ramp_01_005,133,30.49438981351404,-81.68407077445593
Txy_H_003,131,30.49503942880389,-81.68526645841372,Ramp_01_006,132,30.49444778003494,-81.68549457425274
Ramp_01_006,132,30.49444778003494,-81.68549457425274,Ramp_01_007,125,30.49401306046277,-81.68560632240792
Ramp_01_007,125,30.49401306046277,-81.68560632240792,Ramp_01_008,126,30.49356855719919,-81.68570398439714
Ramp_01_008,126,30.49356855719919,-81.68570398439714,Ramp_01_010,127,30.49297588969719,-81.68599694971459
Ramp_01_010,127,30.49297588969719,-81.68599694971459,Ramp_01_009,128,30.4929082022272,-81.68560422483331
Ramp_01_009,128,30.4929082022272,-81.68560422483331,Gate_01_007,89,30.49279852869628,-81.68502227837048
Ramp_01_009,128,30.4929082022272,-81.68560422483331,Gate_02_001,90,30.49206867322913,-81.68578413699629
Ramp_01_010,127,30.49297588969719,-81.68599694971459,Gate_02_002,91,30.49219100449497,-81.68627309956855
Ramp_01_010,127,30.49297588969719,-81.68599694971459,Ramp_01_011,134,30.49330229824364,-81.6871659831909
Ramp_01_006,132,30.49444778003494,-81.68549457425274,Ramp_01_011,134,30.49330229824364,-81.6871659831909
Gate_01_005,87,30.49380838165717,-81.68485347501151,Ramp_01_007,125,30.49401306046277,-81.68560632240792
Gate_01_006,88,30.493203556307,-81.68491343155542,Ramp_01_008,126,30.49356855719919,-81.68570398439714
Ramp_01_005,133,30.49438981351404,-81.68407077445593,Ramp_01_006,132,30.49444778003494,-81.68549457425274
Rwy_01_002,4,30.4986974581803,-81.69183926305281,Txy_J_001,3,30.49771965947193,-81.69202921537217
Txy_J_001,3,30.49771965947193,-81.69202921537217,Txy_A_J,36,30.49694481480082,-81.69184626785265
Txy_A_J,36,30.49694481480082,-81.69184626785265,Txy_J_002,34,30.4965323055377,-81.69156607525288
Txy_J_002,34,30.4965323055377,-81.69156607525288,Txy_J_003,74,30.49341511669507,-81.68944582064127
Txy_J_003,74,30.49341511669507,-81.68944582064127,Txy_J_004,75,30.49325635510419,-81.68933994527707
Txy_J_004,75,30.49325635510419,-81.68933994527707,Ramp_02_001,76,30.49289721484721,-81.68906952491162
Ramp_02_001,76,30.49289721484721,-81.68906952491162,Ramp_02_002,77,30.49184623411941,-81.68929559418918
Ramp_01_011,134,30.49330229824364,-81.6871659831909,Ramp_02_001,76,30.49289721484721,-81.68906952491162
Gate_02_003,96,30.49225713252993,-81.68799192603211,Ramp_02_001,76,30.49289721484721,-81.68906952491162
Gate_02_004,97,30.49197233410392,-81.68796989180285,Ramp_02_003,129,30.49155274870936,-81.68909840836044
Ramp_02_002,77,30.49184623411941,-81.68929559418918,Ramp_02_003,129,30.49155274870936,-81.68909840836044
Ramp_02_003,129,30.49155274870936,-81.68909840836044,Ramp_02_004,120,30.49085813870757,-81.68820539907213
Ramp_02_004,120,30.49085813870757,-81.68820539907213,Ramp_02_005,135,30.49085586933904,-81.68770061933813
Ramp_02_005,135,30.49085586933904,-81.68770061933813,Ramp_02_006,118,30.49098541888412,-81.68716221120675
Ramp_02_006,118,30.49098541888412,-81.68716221120675,Ramp_02_007,119,30.49097348274382,-81.68667292893622
Ramp_02_007,119,30.49097348274382,-81.68667292893622,Ramp_03_001,117,30.49070499454263,-81.68634751286318
Ramp_03_001,117,30.49070499454263,-81.68634751286318,Ramp_03_002,116,30.4903390592426,-81.68635674943317
Ramp_03_002,116,30.4903390592426,-81.68635674943317,Ramp_03_003,115,30.48990749665022,-81.68645599607636
Ramp_03_003,115,30.48990749665022,-81.68645599607636,Ramp_03_004,114,30.48944013542831,-81.68655293423348
Ramp_03_004,114,30.48944013542831,-81.68655293423348,Ramp_03_005,113,30.48878384249145,-81.68669141722101
Gate_02_007,94,30.49156624699935,-81.68625458693316,Ramp_02_007,119,30.49097348274382,-81.68667292893622
Gate_02_008,95,30.49146330805101,-81.68587812863339,Ramp_02_007,119,30.49097348274382,-81.68667292893622
Gate_02_006,92,30.49161459928213,-81.68666000573124,Ramp_02_006,118,30.49098541888412,-81.68716221120675
Gate_02_005,93,30.49170349997513,-81.68710705213977,Ramp_02_004,120,30.49085813870757,-81.68820539907213
Ramp_02_005,135,30.49085586933904,-81.68770061933813,Ramp_03_004,114,30.48944013542831,-81.68655293423348
Gate_03_001,98,30.49054549669601,-81.68551428581267,Ramp_03_001,117,30.49070499454263,-81.68634751286318
Gate_03_002,99,30.49017936535466,-81.68557004282773,Ramp_03_002,116,30.4903390592426,-81.68635674943317
Gate_03_003,100,30.48975610050997,-81.685643881596,Ramp_03_003,115,30.48990749665022,-81.68645599607636
Gate_03_004,101,30.48944449229627,-81.68557156677075,Ramp_03_004,114,30.48944013542831,-81.68655293423348
Gate_03_005,102,30.48862912384188,-81.68574636219954,Ramp_03_005,113,30.48878384249145,-81.68669141722101
Ramp_03_005,113,30.48878384249145,-81.68669141722101,Txy_R_006,137,30.48817242472905,-81.6868036178561
Txy_R_006,137,30.48817242472905,-81.6868036178561,Txy_R_005,140,30.48736624663363,-81.68692340365061
Txy_R_005,140,30.48736624663363,-81.68692340365061,Txy_R_004,139,30.48589815135692,-81.68723849029944
Ramp_03_011,108,30.49012426950489,-81.68409681687638,Ramp_03_010,109,30.48967481012389,-81.68418684253119
Ramp_03_010,109,30.48967481012389,-81.68418684253119,Ramp_03_009,110,30.48930291228628,-81.68426763304149
Ramp_03_009,110,30.48930291228628,-81.68426763304149,Ramp_03_008,111,30.48875396897408,-81.68439045455554
Ramp_03_008,111,30.48875396897408,-81.68439045455554,Ramp_03_007,112,30.48845167745013,-81.68445047006675
Gate_03_011,105,30.49045086073517,-81.68478432517874,Ramp_03_011,108,30.49012426950489,-81.68409681687638
Gate_03_010,106,30.49007260662372,-81.68488301694825,Ramp_03_010,109,30.48967481012389,-81.68418684253119
Gate_03_009,107,30.4896533015291,-81.68494938322172,Ramp_03_009,110,30.48930291228628,-81.68426763304149
Gate_03_008,103,30.48948170523038,-81.68501535489379,Ramp_03_008,111,30.48875396897408,-81.68439045455554
Gate_03_007,136,30.4888949117152,-81.68505081026187,Ramp_03_008,111,30.48875396897408,-81.68439045455554
Gate_03_006,104,30.48857161552555,-81.6852055019585,Ramp_03_007,112,30.48845167745013,-81.68445047006675
Ramp_03_007,112,30.48845167745013,-81.68445047006675,Ramp_03_006,138,30.48780679974283,-81.68459236822943
Gate_04_001,143,30.4866613447162,-81.68457207232987,Ramp_04_002,144,30.48677458406032,-81.68535334759241
Gate_04_002,142,30.48614982960961,-81.6847292829932,Ramp_04_003,145,30.48626711083245,-81.68545893829037
Gate_04_003,141,30.48555340049156,-81.68494984016999,Ramp_04_004,146,30.48563428464694,-81.68559737679159
Ramp_03_006,138,30.48780679974283,-81.68459236822943,Ramp_04_001,147,30.48710006010091,-81.68528435594064
Ramp_04_001,147,30.48710006010091,-81.68528435594064,Txy_R_005,140,30.48736624663363,-81.68692340365061
Ramp_03_006,138,30.48780679974283,-81.68459236822943,Txy_R_006,137,30.48817242472905,-81.6868036178561
Ramp_04_001,147,30.48710006010091,-81.68528435594064,Ramp_04_002,144,30.48677458406032,-81.68535334759241
Ramp_04_002,144,30.48677458406032,-81.68535334759241,Ramp_04_003,145,30.48626711083245,-81.68545893829037
Ramp_04_003,145,30.48626711083245,-81.68545893829037,Ramp_04_004,146,30.48563428464694,-81.68559737679159
Ramp_04_004,146,30.48563428464694,-81.68559737679159,Txy_R_004,139,30.48589815135692,-81.68723849029944
Ramp_05_001,152,30.4862316412682,-81.680990515513,Ramp_05_002,153,30.48567207483325,-81.68111196431548
Ramp_05_002,153,30.48567207483325,-81.68111196431548,Ramp_05_003,151,30.48512214648355,-81.68122478979782
Ramp_05_003,151,30.48512214648355,-81.68122478979782,Txy_S_003,154,30.4841043071053,-81.68144513092496
Gate_05_001,148,30.48638281318384,-81.68190338043297,Ramp_05_001,152,30.4862316412682,-81.680990515513
Gate_05_002,149,30.4858078214236,-81.68195808655348,Ramp_05_002,153,30.48567207483325,-81.68111196431548
Gate_05_003,150,30.48526158906113,-81.68207118888155,Ramp_05_003,151,30.48512214648355,-81.68122478979782
Txy_S_003,154,30.4841043071053,-81.68144513092496,Txy_S_002,62,30.48315749791762,-81.6845138758779
Txy_S_002,62,30.48315749791762,-81.6845138758779,Txy_S_001,64,30.48304122135754,-81.68490550313889
Txy_S_001,64,30.48304122135754,-81.68490550313889,Txy_N_S,63,30.48288826734936,-81.68538620312049
Txy_R_004,139,30.48589815135692,-81.68723849029944,Txy_R_003,65,30.48515986439338,-81.6873930177176
Txy_R_003,65,30.48515986439338,-81.6873930177176,Txy_R_002,66,30.48498205059925,-81.68742923596483
Txy_R_002,66,30.48498205059925,-81.68742923596483,Txy_N_R,67,30.4844019945926,-81.68755541869602
Txy_N_R,67,30.4844019945926,-81.68755541869602,Txy_R_001,54,30.48348705038061,-81.68774851021902
Txy_R_001,54,30.48348705038061,-81.68774851021902,Rwy_02_005,55,30.48260559086704,-81.687933528651
Txy_N_S,63,30.48288826734936,-81.68538620312049,Txy_N_T,58,30.48203646685433,-81.6842432703208
Txy_N_T,58,30.48203646685433,-81.6842432703208,Txy_T_001,57,30.48171158522685,-81.68534988704201
Txy_T_001,57,30.48171158522685,-81.68534988704201,Rwy_02_006,56,30.48141376940718,-81.68635875241903
Txy_N_R,67,30.4844019945926,-81.68755541869602,Txy_N_S,63,30.48288826734936,-81.68538620312049
Rwy_02_004,52,30.48412481452032,-81.68998621368416,Rwy_02_005,55,30.48260559086704,-81.687933528651
Rwy_02_005,55,30.48260559086704,-81.687933528651,Rwy_02_006,56,30.48141376940718,-81.68635875241903
Rwy_02_006,56,30.48141376940718,-81.68635875241903,Rwy_02_007,59,30.47848620632702,-81.68238559278961
Txy_N_T,58,30.48203646685433,-81.6842432703208,Txy_N_U,61,30.47972188854739,-81.68111095218126
Txy_N_R,67,30.4844019945926,-81.68755541869602,Txy_Q_001,53,30.48420304676412,-81.68872597966943
Txy_Q_001,53,30.48420304676412,-81.68872597966943,Rwy_02_004,52,30.48412481452032,-81.68998621368416
Rwy_02_003,50,30.4872883351269,-81.69425808624797,Rwy_02_004,52,30.48412481452032,-81.68998621368416
Txy_N_U,61,30.47972188854739,-81.68111095218126,Txy_U_001,60,30.47904859925044,-81.68176666366261
Txy_U_001,60,30.47904859925044,-81.68176666366261,Rwy_02_007,59,30.47848620632702,-81.68238559278961
Rwy_02_002,49,30.48986422430202,-81.69775823218663,Rwy_02_003,50,30.4872883351269,-81.69425808624797
Rwy_02_002,49,30.48986422430202,-81.69775823218663,Txy_M3_002,165,30.48932918708529,-81.69865790746087
Txy_M3_002,165,30.48932918708529,-81.69865790746087,Txy_M3_001,164,30.48921473003898,-81.69884790728135
Txy_P_001,51,30.488160894566,-81.69405425191627,Rwy_02_003,50,30.4872883351269,-81.69425808624797
Txy_P_002,69,30.48921239798665,-81.69316429864305,Txy_N_P,71,30.4889523640614,-81.69358391467107
Txy_N_P,71,30.4889523640614,-81.69358391467107,Txy_P_001,51,30.488160894566,-81.69405425191627
Txy_N_002,70,30.48922772450952,-81.69396468409474,Txy_N_P,71,30.4889523640614,-81.69358391467107
Txy_N_P,71,30.4889523640614,-81.69358391467107,Txy_N_003,68,30.48866994539476,-81.69318403595061
Ramp_02_002,77,30.49184623411941,-81.68929559418918,Txy_P_004,73,30.49158473257687,-81.68970729476625
Txy_P_004,73,30.49158473257687,-81.68970729476625,Txy_P_003,72,30.49147307213814,-81.68987197237777
Txy_P_003,72,30.49147307213814,-81.68987197237777,Txy_P_002,69,30.48921239798665,-81.69316429864305
Txy_N_003,68,30.48866994539476,-81.69318403595061,Txy_N_R,67,30.4844019945926,-81.68755541869602
Txy_A_L,40,30.49470087091428,-81.69919937289218,Txy_L_004,5,30.49439884519174,-81.69918159885484
Txy_L_004,5,30.49439884519174,-81.69918159885484,Txy_L_003,41,30.49361017051482,-81.69936890366648
Txy_L_003,41,30.49361017051482,-81.69936890366648,Txy_N_L,46,30.49333682561605,-81.69950163159339
Txy_N_L,46,30.49333682561605,-81.69950163159339,Txy_L_002,42,30.49318908485953,-81.69965163498193
Txy_L_002,42,30.49318908485953,-81.69965163498193,Txy_L_001,47,30.4926645759346,-81.70016279966565
Txy_L_001,47,30.4926645759346,-81.70016279966565,Rwy_02_001,48,30.49207508745804,-81.70073482856472
Rwy_02_001,48,30.49207508745804,-81.70073482856472,Txy_M2_002,158,30.49146870404861,-81.70122908516257
Txy_M2_002,158,30.49146870404861,-81.70122908516257,Txy_M2_001,159,30.49129283475367,-81.70132619689691
Txy_M2_001,159,30.49129283475367,-81.70132619689691,Parking_M2_001,163,30.48965023107843,-81.70216172223472
Txy_M3_001,164,30.48921473003898,-81.69884790728135,Parking_M3_001,166,30.48831161425204,-81.70045835828137
Rwy_02_001,48,30.49207508745804,-81.70073482856472,Rwy_02_002,49,30.48986422430202,-81.69775823218663
Txy_N_L,46,30.49333682561605,-81.69950163159339,Txy_N_K,45,30.49262971438015,-81.69854985869218
Txy_N_K,45,30.49262971438015,-81.69854985869218,Txy_N_001,44,30.49235293526454,-81.69816977296308
Txy_N_001,44,30.49235293526454,-81.69816977296308,Txy_N_002,70,30.48922772450952,-81.69396468409474
Rwy_02_001,48,30.49207508745804,-81.70073482856472,Txy_M1_002,160,30.4916209345081,-81.70264787980109
Txy_M1_002,160,30.4916209345081,-81.70264787980109,Txy_M1_001,161,30.49159522156311,-81.70286318017459
Txy_M1_001,161,30.49159522156311,-81.70286318017459,Parking_M1_001,162,30.49136094580372,-81.70471476085532
Txy_A_K,39,30.495053833424,-81.69802880640249,Txy_K_002,38,30.49454498849803,-81.69813963820438
Txy_K_002,38,30.49454498849803,-81.69813963820438,Txy_K_001,43,30.49314240290819,-81.69844358871883
Txy_K_001,43,30.49314240290819,-81.69844358871883,Txy_N_K,45,30.49262971438015,-81.69854985869218
Txy_B_H,32,30.49845591117846,-81.68452949032122,Txy_B_G,28,30.49996099787801,-81.67960349672688
