n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Txy_Q_001,378,40.65417658827219,-73.82237668956796,Txy_Q_002,379,40.65372221916938,-73.82226934836794
Txy_Q_002,379,40.65372221916938,-73.82226934836794,Txy_Q_003,380,40.65333801350673,-73.82171626656694
Txy_Q_004,237,40.65259390854648,-73.8200690952875,Txy_Q_003,380,40.65333801350673,-73.82171626656694
Txy_Q_004,237,40.65259390854648,-73.8200690952875,Txy_QH_001,381,40.65298956900121,-73.81975237370577
Txy_Q_004,237,40.65259390854648,-73.8200690952875,Txy_Q_005,238,40.65164671571412,-73.81797191593603
Txy_QG_001,382,40.65202149388456,-73.81768178295432,Txy_Q_005,238,40.65164671571412,-73.81797191593603
Txy_QG_002,426,40.6537337198232,-73.81625338808065,Txy_QG_003,255,40.65399037331453,-73.81532447883257
Txy_QG_001,382,40.65202149388456,-73.81768178295432,Txy_QG_002,426,40.6537337198232,-73.81625338808065
Txy_QF_001,383,40.65152766657179,-73.81651401346599,Txy_Q_006,239,40.65112586781761,-73.81682508884091
Txy_Q_005,238,40.65164671571412,-73.81797191593603,Txy_Q_006,239,40.65112586781761,-73.81682508884091
Txy_PE_Q,170,40.65034747652806,-73.81511350368267,Txy_Q_006,239,40.65112586781761,-73.81682508884091
Txy_P_PE,376,40.6496406883148,-73.81566844303073,Txy_PE_Q,170,40.65034747652806,-73.81511350368267
Txy_Q_PD,377,40.64967744561933,-73.81363660192983,Txy_PE_Q,170,40.65034747652806,-73.81511350368267
Txy_PD_P,171,40.64897295049327,-73.81418467962888,Txy_Q_PD,377,40.64967744561933,-73.81363660192983
Txy_Q_PC,367,40.64859821789266,-73.81125205557814,Txy_Q_009,385,40.64911185196016,-73.81234739318589
Txy_Q_PC,367,40.64859821789266,-73.81125205557814,Txy_PC_P,172,40.64789095816408,-73.81180512688564
Txy_PC_002,182,40.64727243359832,-73.81229453667724,Txy_PC_P,172,40.64789095816408,-73.81180512688564
Txy_PC_P,172,40.64789095816408,-73.81180512688564,Txy_PD_P,171,40.64897295049327,-73.81418467962888
Txy_PD_P,171,40.64897295049327,-73.81418467962888,Txy_PD_001,181,40.64833493886099,-73.81467797795112
Txy_PC_P,172,40.64789095816408,-73.81180512688564,Txy_PB_P,173,40.64680123809812,-73.80937458397433
Txy_Q_PC,367,40.64859821789266,-73.81125205557814,Txy_Q_010,240,40.64750534152024,-73.80881051716752
Txy_PB_P,173,40.64680123809812,-73.80937458397433,Txy_Q_010,240,40.64750534152024,-73.80881051716752
Txy_Q_010,240,40.64750534152024,-73.80881051716752,Txy_PB_001,368,40.64790841789805,-73.80849428388987
Txy_Q_010,240,40.64750534152024,-73.80881051716752,Txy_Q_011,242,40.64692443632128,-73.80752788312873
