n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Rwy_02_001,122,33.9398547967988,-118.3800163725477,Rwy_02_002,123,33.93952347131495,-118.3832116958463
Rwy_02_004,124,33.93882585768444,-118.3899766300862,Rwy_02_005,125,33.93845223561373,-118.3937006800255
Rwy_02_007,127,33.93793293651586,-118.3988145847201,Rwy_02_008,128,33.93765315742328,-118.4015327800683
Rwy_02_008,128,33.93765315742328,-118.4015327800683,Rwy_02_009,129,33.93730238237107,-118.4049704576348
Rwy_02_009,129,33.93730238237107,-118.4049704576348,Rwy_02_010,130,33.93703656246363,-118.4075787969158
Rwy_02_010,130,33.93703656246363,-118.4075787969158,Rwy_02_011,131,33.9368918815354,-118.4089751444786
Rwy_02_011,131,33.9368918815354,-118.4089751444786,Rwy_02_012,132,33.9365108557929,-118.4126738734051
Rwy_02_012,132,33.9365108557929,-118.4126738734051,Rwy_02_013,133,33.9358433861288,-118.4192322188735
Txy_B_002,160,33.9407074404111,-118.3810610136193,Txy_B_F,162,33.9404787946458,-118.3833299272026
Rwy_02_001,122,33.9398547967988,-118.3800163725477,Txy_B_001,159,33.94059992564316,-118.3804560666303
Txy_B_001,159,33.94059992564316,-118.3804560666303,Txy_B_002,160,33.9407074404111,-118.3810610136193
Txy_A_F,148,33.93612666432757,-118.382716087964,Txy_F_001,191,33.93658187345485,-118.3827678338218
Txy_F_001,191,33.93658187345485,-118.3827678338218,Rwy_01_001,111,33.93733937538401,-118.3828757454976
Rwy_01_001,111,33.93733937538401,-118.3828757454976,Txy_F_002,192,33.93809306035693,-118.382985693054
Txy_F_002,192,33.93809306035693,-118.382985693054,Txy_F_003,193,33.93882614085836,-118.3830927048273
Txy_F_003,193,33.93882614085836,-118.3830927048273,Rwy_02_002,123,33.93952347131495,-118.3832116958463
Rwy_02_002,123,33.93952347131495,-118.3832116958463,Txy_F_004,194,33.9402228270127,-118.3832950322044
Txy_F_004,194,33.9402228270127,-118.3832950322044,Txy_B_F,162,33.9404787946458,-118.3833299272026
Txy_B_F,162,33.9404787946458,-118.3833299272026,Txy_C_F,172,33.9412112641964,-118.3834457778252
Txy_G_001,195,33.93545164407991,-118.3936978478532,Rwy_01_004,114,33.93625488001031,-118.3936955760733
Rwy_01_004,114,33.93625488001031,-118.3936955760733,Txy_G_002,196,33.93708668246403,-118.3937092267299
Txy_G_003,197,33.93776855330562,-118.3937002447512,Rwy_02_005,125,33.93845223561373,-118.3937006800255
Rwy_02_005,125,33.93845223561373,-118.3937006800255,Txy_G_004,198,33.9391589360233,-118.3937037352642
Txy_G_004,198,33.9391589360233,-118.3937037352642,Txy_B_G,163,33.93941437592535,-118.3937365544214
Rwy_01_005,115,33.9358486091171,-118.397598153157,Txy_AK_001,155,33.93656482329298,-118.3996265341304
Rwy_01_003,113,33.93635499669276,-118.3926120452038,Rwy_01_004,114,33.93625488001031,-118.3936955760733
Rwy_01_004,114,33.93625488001031,-118.3936955760733,Rwy_01_005,115,33.9358486091171,-118.397598153157
Rwy_02_008,128,33.93765315742328,-118.4015327800683,Txy_K_001,218,33.93832088840071,-118.4025445689405
Rwy_01_006,116,33.93552728716697,-118.4007135488046,Txy_AN_001,156,33.93607854564313,-118.4027481716059
Txy_AN_002,157,33.93669840295316,-118.4040424915912,Rwy_02_009,129,33.93730238237107,-118.4049704576348
Rwy_01_007,117,33.93511073838483,-118.404824794352,Rwy_01_008,118,33.93485729274723,-118.4072703337464
Rwy_01_008,118,33.93485729274723,-118.4072703337464,Rwy_01_009,119,33.93467145251969,-118.4089680389226
Rwy_01_009,119,33.93467145251969,-118.4089680389226,Rwy_01_010,120,33.93431350780505,-118.4123443713363
Rwy_01_009,119,33.93467145251969,-118.4089680389226,Txy_T_001,213,33.93536623552374,-118.4112913051619
Txy_T_001,213,33.93536623552374,-118.4112913051619,Txy_T_002,214,33.93581714764208,-118.4119997732905
Txy_A_ST,152,33.93312216455192,-118.4121782816574,Txy_ST_001,205,33.93356369621405,-118.4122454675072
Txy_ST_001,205,33.93356369621405,-118.4122454675072,Rwy_01_010,120,33.93431350780505,-118.4123443713363
Rwy_01_010,120,33.93431350780505,-118.4123443713363,Txy_ST_002,206,33.93509417182825,-118.4124640062623
Txy_ST_002,206,33.93509417182825,-118.4124640062623,Txy_ST_003,207,33.93581989420505,-118.4125737251307
Txy_ST_003,207,33.93581989420505,-118.4125737251307,Rwy_02_012,132,33.9365108557929,-118.4126738734051
Txy_T_002,214,33.93581714764208,-118.4119997732905,Rwy_02_012,132,33.9365108557929,-118.4126738734051
Rwy_02_012,132,33.9365108557929,-118.4126738734051,Txy_T_003,215,33.93726942620344,-118.41278491523
Txy_T_003,215,33.93726942620344,-118.41278491523,Txy_B_T,167,33.93746802619128,-118.4128108333439
Txy_B_T,167,33.93746802619128,-118.4128108333439,Txy_C_T,176,33.93828529715653,-118.4129372098291
Txy_B_S,166,33.93768713015616,-118.4106817627102,Txy_B_T,167,33.93746802619128,-118.4128108333439
Txy_B_P,165,33.9378237559972,-118.4091149441468,Txy_B_S,166,33.93768713015616,-118.4106817627102
Rwy_02_011,131,33.9368918815354,-118.4089751444786,Txy_P_001,204,33.93764105424393,-118.4090868509301
Txy_P_001,204,33.93764105424393,-118.4090868509301,Txy_B_P,165,33.9378237559972,-118.4091149441468
Txy_C_P,173,33.93865186873953,-118.4092351878924,Txy_C_Q,174,33.93859404079147,-118.4098796996603
Txy_C_Q,174,33.93859404079147,-118.4098796996603,Txy_C_S,175,33.93850047904368,-118.4107779563048
Txy_A_N,151,33.93364460317771,-118.4070696763655,Txy_N_001,202,33.93409044087476,-118.4071485029965
Txy_N_001,202,33.93409044087476,-118.4071485029965,Rwy_01_008,118,33.93485729274723,-118.4072703337464
Rwy_02_010,130,33.93703656246363,-118.4075787969158,Txy_N_002,203,33.93778644869459,-118.4076922558492
Txy_N_002,203,33.93778644869459,-118.4076922558492,Txy_B_N,164,33.93798491001015,-118.4077062840075
Txy_B_N,164,33.93798491001015,-118.4077062840075,Txy_B_P,165,33.9378237559972,-118.4091149441468
Rwy_01_006,116,33.93552728716697,-118.4007135488046,Rwy_01_007,117,33.93511073838483,-118.404824794352
Rwy_01_010,120,33.93431350780505,-118.4123443713363,Rwy_01_011,121,33.93366652834157,-118.4188560514244
