n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Rwy_02_009,115,40.77249787618641,-73.85801699667309,Rwy_02_008,65,40.77357392581384,-73.86027299754944
Rwy_02_009,115,40.77249787618641,-73.85801699667309,Rwy_02_010,114,40.77213622229559,-73.85723597577473
Rwy_02_010,114,40.77213622229559,-73.85723597577473,Txy_Z_003,183,40.77157573964455,-73.85788134936818
Txy_Z_003,183,40.77157573964455,-73.85788134936818,Txy_B_019,163,40.77142143248147,-73.85811787546827
Txy_B_019,163,40.77142143248147,-73.85811787546827,Txy_B_018,164,40.77185449315032,-73.85902409322014
Txy_B_018,164,40.77185449315032,-73.85902409322014,Txy_W_001,191,40.77197601270707,-73.8585717634033
Txy_B_018,164,40.77185449315032,-73.85902409322014,Txy_B_017,159,40.7727211806711,-73.86084535395105
Txy_B_018,164,40.77185449315032,-73.85902409322014,Txy_V_001,196,40.77234366526327,-73.85936719587076
Txy_A_013,187,40.77132839741503,-73.85953705004383,Txy_B_018,164,40.77185449315032,-73.85902409322014
Txy_A_013,187,40.77132839741503,-73.85953705004383,Txy_A_012,184,40.77152023015833,-73.85995456994375
Txy_A_012,184,40.77152023015833,-73.85995456994375,Txy_M_005,195,40.77097459690076,-73.86041129882825
Txy_M_005,195,40.77097459690076,-73.86041129882825,Txy_Z_002,180,40.77041856053925,-73.85923717913082
Txy_Z_002,180,40.77041856053925,-73.85923717913082,Txy_A_014,185,40.77096801402071,-73.85878872182971
Txy_A_014,185,40.77096801402071,-73.85878872182971,Txy_B_019,163,40.77142143248147,-73.85811787546827
Rwy_02_009,115,40.77249787618641,-73.85801699667309,Txy_W_001,191,40.77197601270707,-73.8585717634033
Rwy_02_008,65,40.77357392581384,-73.86027299754944,Txy_V_001,196,40.77234366526327,-73.85936719587076
Txy_A_014,185,40.77096801402071,-73.85878872182971,Txy_A_013,187,40.77132839741503,-73.85953705004383
Txy_B_M,151,40.77359913730777,-73.86267590224193,Txy_M_001,189,40.77403510916181,-73.86292754744288
Txy_B_M,151,40.77359913730777,-73.86267590224193,Txy_B_016,144,40.77336343563439,-73.86218535383176
Txy_B_016,144,40.77336343563439,-73.86218535383176,Txy_B_017,159,40.7727211806711,-73.86084535395105
Txy_A_M,160,40.77290632210112,-73.86285197709904,Txy_B_016,144,40.77336343563439,-73.86218535383176
Txy_B_M,151,40.77359913730777,-73.86267590224193,Txy_A_M,160,40.77290632210112,-73.86285197709904
Txy_M_002,188,40.77215857090515,-73.8628799613555,Txy_A_M,160,40.77290632210112,-73.86285197709904
Txy_M_002,188,40.77215857090515,-73.8628799613555,Txy_M_003,193,40.77162876668164,-73.86175251622534
Txy_A_M,160,40.77290632210112,-73.86285197709904,Txy_A_011b,211,40.77215133652942,-73.86131603893075
Txy_B_017,159,40.7727211806711,-73.86084535395105,Txy_A_011b,211,40.77215133652942,-73.86131603893075
Txy_A_012,184,40.77152023015833,-73.85995456994375,Txy_A_011b,211,40.77215133652942,-73.86131603893075
Txy_M_003,193,40.77162876668164,-73.86175251622534,Txy_A_011b,211,40.77215133652942,-73.86131603893075
Txy_M_004,194,40.77138371424073,-73.86126223657936,Txy_M_003,193,40.77162876668164,-73.86175251622534
Txy_M_004,194,40.77138371424073,-73.86126223657936,Txy_M_005,195,40.77097459690076,-73.86041129882825
Txy_A_010,181,40.77400688935666,-73.86514683557208,Txy_A_011,153,40.77438964249758,-73.8659511428179
Txy_A_010,181,40.77400688935666,-73.86514683557208,Txy_A_M,160,40.77290632210112,-73.86285197709904
Rwy_02_007,113,40.77523061956558,-73.86374607645608,Txy_M_001,189,40.77403510916181,-73.86292754744288
Rwy_02_007,113,40.77523061956558,-73.86374607645608,Rwy_02_008,65,40.77357392581384,-73.86027299754944
Txy_B_013,157,40.77507467480187,-73.86575838160604,Txy_B_014,152,40.77483957109707,-73.86527655266335
Txy_B_014,152,40.77483957109707,-73.86527655266335,Txy_B_M,151,40.77359913730777,-73.86267590224193
Rwy_02_006,111,40.77675956052183,-73.86693657776772,Txy_L_001,197,40.7755450570145,-73.86603615131179
Txy_B_013,157,40.77507467480187,-73.86575838160604,Txy_B_012,156,40.77611539041386,-73.86794585380754
Txy_B_012,156,40.77611539041386,-73.86794585380754,Txy_A_008,176,40.77564698271063,-73.8683290291257
Txy_A_008,176,40.77564698271063,-73.8683290291257,Txy_A_009,178,40.77520487824706,-73.86758292942882
Txy_A_009,178,40.77520487824706,-73.86758292942882,Txy_A_011,153,40.77438964249758,-73.8659511428179
Rwy_02_006,111,40.77675956052183,-73.86693657776772,Txy_J_001,192,40.77679133298886,-73.86863035110002
Txy_B_011,158,40.77681365644892,-73.86940632902551,Txy_J_001,192,40.77679133298886,-73.86863035110002
Txy_B_011,158,40.77681365644892,-73.86940632902551,Txy_B_012,156,40.77611539041386,-73.86794585380754
Txy_A_006,182,40.77650617138034,-73.87011699228188,Txy_A_007,161,40.77625171292267,-73.86959564144396
Txy_A_007,161,40.77625171292267,-73.86959564144396,Txy_A_008,176,40.77564698271063,-73.8683290291257
Txy_A_006,182,40.77650617138034,-73.87011699228188,Txy_B_010,56,40.7769669426178,-73.8697426530789
Txy_B_010,56,40.7769669426178,-73.8697426530789,Txy_B_011,158,40.77681365644892,-73.86940632902551
Txy_B_010,56,40.7769669426178,-73.8697426530789,Txy_B_009,154,40.77770452447024,-73.8712725825282
