n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Rwy_03_001,55,33.82611904935362,-118.1614395923616,Rwy_03_002,56,33.82477237306589,-118.1597969566828
Txy_D_A,58,33.82477871584356,-118.1616789182673,Txy_A_002,57,33.82477322330037,-118.160996954993
Txy_A_002,57,33.82477322330037,-118.160996954993,Rwy_03_002,56,33.82477237306589,-118.1597969566828
Txy_D4_001,54,33.82563588195181,-118.1620146655514,Rwy_03_001,55,33.82611904935362,-118.1614395923616
Txy_D4_001,54,33.82563588195181,-118.1620146655514,Txy_D_D4,163,33.8253628682923,-118.1621419870857
Txy_D_D4,163,33.8253628682923,-118.1621419870857,Txy_D_A,58,33.82477871584356,-118.1616789182673
Rwy_03_002,56,33.82477237306589,-118.1597969566828,Rwy_03_003,63,33.8235866373053,-118.1583551387941
Txy_D_A,58,33.82477871584356,-118.1616789182673,Txy_D_001,61,33.82329796894403,-118.1598850628152
Txy_A_001,60,33.82478993462448,-118.1631345664326,Txy_D_A,58,33.82477871584356,-118.1616789182673
Rwy_03_002,56,33.82477237306589,-118.1597969566828,Txy_A_003,59,33.82477319480705,-118.1585188670871
Txy_A_003,59,33.82477319480705,-118.1585188670871,Txy_A_004,230,33.82476766318768,-118.1574838395062
Txy_A_004,230,33.82476766318768,-118.1574838395062,Ramp_I_001,229,33.82498219279831,-118.1574879619778
Ramp_I_001,229,33.82498219279831,-118.1574879619778,Parking_I_001,228,33.82547255799791,-118.1575266495157
Txy_A_004,230,33.82476766318768,-118.1574838395062,Txy_A_B,161,33.82476423871997,-118.15651967768
Txy_A_B,161,33.82476423871997,-118.15651967768,Txy_A_005,65,33.82476502487886,-118.1562956735357
Txy_A_005,65,33.82476502487886,-118.1562956735357,Rwy_04_001,102,33.82475822932726,-118.1557804986126
Rwy_04_001,102,33.82475822932726,-118.1557804986126,Txy_A_006,101,33.82476113583964,-118.1552707855584
Txy_A_006,101,33.82476113583964,-118.1552707855584,Ramp_J_001,231,33.82489872340833,-118.1544254238703
Ramp_J_001,231,33.82489872340833,-118.1544254238703,Ramp_J_002,241,33.82496467023152,-118.1539291770117
