id,index,lat,lon,yEdId,domain,refName,type
Gate_05_002,0,28.41483064424238,-81.33658353435789,n0,Gate,null,null
Gate_05_001,1,28.41482869627539,-81.33698340263936,n1,Gate,null,null
Parking_B1_001,2,28.44827905793888,-81.31705839544829,n2,Park,null,null
Ramp_04_008,3,28.4293458854057,-81.30242268141838,n3,Ramp,null,null
Ramp_04_007,4,28.42924245237855,-81.30217749846027,n4,Ramp,null,null
Ramp_04_005,5,28.42884647027421,-81.30183416085724,n5,Ramp,null,null
Ramp_04_006,6,28.42902569881403,-81.301993491879,n6,Ramp,null,null
Ramp_04_004,7,28.42865823792338,-81.30171012215452,n7,Ramp,null,null
Ramp_04_003,8,28.42845398833622,-81.30158836488943,n8,Ramp,null,null
Ramp_04_001,9,28.42811357331591,-81.30139037031738,n9,Ramp,null,null
Ramp_04_002,10,28.42826327831337,-81.30146711306247,n10,Ramp,null,null
Gate_04_028,11,28.42784046619044,-81.30205548041467,n11,Gate,null,null
Gate_04_029,12,28.42803328603295,-81.3021318556558,n12,Gate,null,null
Gate_04_030,13,28.42822501509103,-81.30226836654785,n13,Gate,null,null
Gate_04_031,14,28.42840793378386,-81.3024249252252,n14,Gate,null,null
Gate_04_034,15,28.42895340646647,-81.30291748899312,n15,Gate,null,null
Gate_04_032,16,28.42859858170392,-81.30257304579462,n16,Gate,null,null
Gate_04_033,17,28.4287804005376,-81.30274213392663,n17,Gate,null,null
Gate_04_035,18,28.42924363612158,-81.3026607697413,n18,Gate,null,null
Gate_04_036,19,28.42903647865153,-81.30250170952878,n19,Gate,null,null
Gate_04_037,20,28.42882712267426,-81.30237271777176,n20,Gate,null,null
Gate_04_038,21,28.42864971331654,-81.30222242086704,n21,Gate,null,null
Gate_04_039,22,28.4284667975536,-81.30208465415389,n22,Gate,null,null
Gate_04_040,23,28.42826846045806,-81.30196317854744,n23,Gate,null,null
Gate_04_041,24,28.42809876552119,-81.30182666223095,n24,Gate,null,null
Rwy_01_001,25,28.44817502651715,-81.32698064801608,n25,Rwy,RW18R,Entry
Txy_B1_001,26,28.44818341953333,-81.32611609852266,n26,Txy,null,null
Txy_A1_B1,27,28.44804285571075,-81.32796343797533,n27,Txy,null,null
Txy_B1_002,28,28.4481985499145,-81.32519526688093,n28,Txy,null,null
Rwy_01_002,29,28.43671704410831,-81.32684861141504,n29,Rwy,null,null
