n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Rwy_01_001,25,28.44817502651715,-81.32698064801608,Rwy_01_002,29,28.43671704410831,-81.32684861141504
Rwy_01_002,29,28.43671704410831,-81.32684861141504,Rwy_01_003,32,28.43054772339227,-81.32678758459089
Rwy_01_003,32,28.43054772339227,-81.32678758459089,Rwy_01_004,35,28.42908887908033,-81.32676743520263
Rwy_01_004,35,28.42908887908033,-81.32676743520263,Rwy_01_005,37,28.42651814982854,-81.32674434911186
Rwy_01_005,37,28.42651814982854,-81.32674434911186,Rwy_01_006,40,28.41537445291605,-81.32662185798227
Rwy_02_001,65,28.44822762051931,-81.32230415039567,Rwy_02_002,62,28.44712952995386,-81.32229165177645
Rwy_02_002,62,28.44712952995386,-81.32229165177645,Rwy_02_003,61,28.43917275097627,-81.32220522763666
Rwy_02_003,61,28.43917275097627,-81.32220522763666,Rwy_02_004,57,28.43210833623719,-81.32213411161857
Rwy_02_004,57,28.43210833623719,-81.32213411161857,Rwy_02_005,55,28.4305764539935,-81.32211538266287
Rwy_02_005,55,28.4305764539935,-81.32211538266287,Rwy_02_006,51,28.42767491926404,-81.32207680248646
Rwy_02_006,51,28.42767491926404,-81.32207680248646,Rwy_02_007,48,28.42412714825059,-81.3220488165564
Rwy_02_007,48,28.42412714825059,-81.3220488165564,Rwy_02_008,46,28.41685940093163,-81.32197221988025
Rwy_02_008,46,28.41685940093163,-81.32197221988025,Rwy_02_009,43,28.41540628757058,-81.32194921369789
Rwy_02_008,46,28.41685940093163,-81.32197221988025,Txy_B9_001,47,28.4168613974735,-81.32110974886776
Txy_B9_001,47,28.4168613974735,-81.32110974886776,Txy_B_B9,96,28.41686323343171,-81.31979219872875
Txy_B_B9,96,28.41686323343171,-81.31979219872875,Txy_C_B9,97,28.41687925760887,-81.3187297972083
Rwy_01_006,40,28.41537445291605,-81.32662185798227,Txy_B10_001,42,28.41538447079487,-81.32576359685306
Txy_B10_001,42,28.41538447079487,-81.32576359685306,Txy_B10_002,102,28.41538768260286,-81.32373917531159
Txy_B10_002,102,28.41538768260286,-81.32373917531159,Txy_B10_003,44,28.41539652480204,-81.32280946946459
Txy_B10_003,44,28.41539652480204,-81.32280946946459,Rwy_02_009,43,28.41540628757058,-81.32194921369789
Rwy_02_009,43,28.41540628757058,-81.32194921369789,Txy_B10_004,45,28.41541410346151,-81.3210889597005
Txy_B10_004,45,28.41541410346151,-81.3210889597005,Txy_B_B10,98,28.41543768454577,-81.31978302269687
Txy_B_B10,98,28.41543768454577,-81.31978302269687,Txy_C_B10,99,28.41544580653644,-81.31871654205322
Rwy_02_001,65,28.44822762051931,-81.32230415039567,Txy_B1_004,64,28.44822767831275,-81.32144262710287
Txy_B1_004,64,28.44822767831275,-81.32144262710287,Txy_B_B1,77,28.44823443439772,-81.3201078343491
Txy_B_B1,77,28.44823443439772,-81.3201078343491,Txy_C_B1,78,28.44824874467725,-81.31907416603977
Txy_C_B1,78,28.44824874467725,-81.31907416603977,Txy_B1_005,80,28.44825232870229,-81.3186444852304
Txy_C_B1,78,28.44824874467725,-81.31907416603977,Txy_C_B2,79,28.44714030350479,-81.31905788524098
Txy_B_B1,77,28.44823443439772,-81.3201078343491,Txy_B_B2,76,28.4471366853064,-81.32011180904567
Rwy_02_002,62,28.44712952995386,-81.32229165177645,Txy_B2_001,63,28.44712958880941,-81.3214270408779
Txy_B2_001,63,28.44712958880941,-81.3214270408779,Txy_B_B2,76,28.4471366853064,-81.32011180904567
Txy_B_B2,76,28.4471366853064,-81.32011180904567,Txy_C_B2,79,28.44714030350479,-81.31905788524098
Txy_B_B2,76,28.4471366853064,-81.32011180904567,Txy_B_J,81,28.43985582410349,-81.32003577823382
Txy_B_J,81,28.43985582410349,-81.32003577823382,Txy_B_B4,86,28.43400148665698,-81.31997083583049
Txy_B_B4,86,28.43400148665698,-81.31997083583049,Txy_B5_B6,89,28.43104407904059,-81.32005551230432
Txy_B5_B6,89,28.43104407904059,-81.32005551230432,Txy_B_B7,53,28.42706742428124,-81.31989858203895
Txy_B_B7,53,28.42706742428124,-81.31989858203895,Txy_B_E,93,28.42344772364881,-81.31985739269624
Txy_B_E,93,28.42344772364881,-81.31985739269624,Txy_B_F,94,28.42261013604374,-81.3198461729731
Txy_B_F,94,28.42261013604374,-81.3198461729731,Txy_B_B9,96,28.41686323343171,-81.31979219872875
Txy_B_B9,96,28.41686323343171,-81.31979219872875,Txy_B_B10,98,28.41543768454577,-81.31978302269687
Txy_C_B2,79,28.44714030350479,-81.31905788524098,Txy_C_001,83,28.44101755320256,-81.31899149848573
Txy_C_001,83,28.44101755320256,-81.31899149848573,Txy_C_J,82,28.4392209317879,-81.31849523061622
Txy_C_J,82,28.4392209317879,-81.31849523061622,Txy_C_C1,84,28.43845646401287,-81.31847456440289
Txy_C_B4,87,28.43401782574192,-81.31841725727257,Txy_C_B5,88,28.4321575394722,-81.31838921507165
Txy_C_B5,88,28.4321575394722,-81.31838921507165,Txy_C_B6,90,28.42998181375595,-81.31837266269702
Txy_C_B6,90,28.42998181375595,-81.31837266269702,Txy_C_B7,91,28.4270806080669,-81.31834196851462
Txy_C_B7,91,28.4270806080669,-81.31834196851462,Txy_C_E,92,28.42344452415635,-81.3183060296138
