id,index,lat,lon,yEdId,domain,refName,type
Rwy_1_001,0,41.79144904058638,-87.76088777248049,n0,Rwy,null,null
Rwy_1_003,1,41.79068867229968,-87.75982279024308,n1,Rwy,RW13C,Entry
Rwy_1_004,2,41.78857175242406,-87.75684854495947,n2,Rwy,null,null
Rwy_1_3,3,41.78679102064957,-87.75434463621148,n3,Rwy,null,null
Rwy_1_4,4,41.78504871323428,-87.75187928306329,n4,Rwy,null,null
Rwy_1_006,5,41.78428192288857,-87.75081173709636,n5,Rwy,null,null
Rwy_1_007,6,41.78205618425555,-87.74768679553966,n6,Rwy,RW31L,Entry
Rwy_1_008,7,41.78057165319277,-87.74558856336314,n7,Rwy,RW31C,Entry
Rwy_1_009,8,41.7790742704211,-87.7442252211489,n8,Rwy,null,null
Rwy_2_001,9,41.79214314949535,-87.75769634559782,n9,Rwy,null,null
Rwy_2_002,10,41.79088071850095,-87.7559250933246,n10,Rwy,RW13L,Entry
Rwy_2_003,11,41.78883503342385,-87.75304038173957,n11,Rwy,null,null
Rwy_2_3,12,41.78835173923119,-87.75235019097008,n12,Rwy,null,null
Rwy_2_004,13,41.78786348067484,-87.75167525399378,n13,Rwy,null,null
Rwy_2_005,14,41.78709236455896,-87.75058274134325,n14,Rwy,null,null
Rwy_2_4,15,41.78659718853304,-87.74989282247579,n15,Rwy,null,null
Rwy_2_006,16,41.78611294324566,-87.74921477919166,n16,Rwy,null,null
Rwy_2_007,17,41.78584255444135,-87.74883270163616,n17,Rwy,null,null
Rwy_2_008,18,41.78509757078565,-87.74779704297534,n18,Rwy,null,null
Rwy_2_009,19,41.78261196634587,-87.74428125378383,n19,Rwy,RW31R,Entry
Rwy_3_001,20,41.79224707900465,-87.74740275724189,n20,Rwy,null,null
Rwy_3_003,21,41.79059200619369,-87.74953794271242,n21,Rwy,RW22R,Entry
Rwy_3_5,22,41.78579069049135,-87.75559280231829,n22,Rwy,null,null
Rwy_5_002,23,41.78757964182539,-87.75812140204677,n23,Rwy,null,null
Rwy_3_005,24,41.78538907741827,-87.75610053631497,n24,Rwy,null,null
Rwy_3_006,25,41.78521813263544,-87.75633925470247,n25,Rwy,null,null
Rwy_3_009,26,41.7823668781198,-87.75992437051623,n26,Rwy,null,null
Rwy_3_011,27,41.78146823447277,-87.76106638133034,n27,Rwy,null,null
Rwy_4_001,28,41.79190523571836,-87.74316587484618,n28,Rwy,null,null
Rwy_4_003,29,41.79119368686522,-87.7440576687496,n29,Rwy,null,null
Rwy_4_005,30,41.79053069254836,-87.74494172211506,n30,Rwy,null,null
Rwy_4_004,31,41.79072741805781,-87.74466837951996,n31,Rwy,RW22L,Entry
Rwy_4_006,32,41.78817389054645,-87.74789880190646,n32,Rwy,null,null
rw_4_007,33,41.78581873557339,-87.75087859325521,n33,Rwy,null,null
Rwy_4_5,34,41.78403966639485,-87.75312152953818,n34,Rwy,null,null
Rwy_4_009,35,41.78363815732862,-87.75364393777066,n35,Rwy,null,null
Rwy_4_010,36,41.78189605904377,-87.755848833661,n36,Rwy,null,null
Rwy_4_011,37,41.78020714089674,-87.75800883619519,n37,Rwy,RW04R,Entry
Rwy_4_012,38,41.77963189925877,-87.75871527190534,n38,Rwy,null,null
Rwy_4_013,39,41.77922914127684,-87.7592117334661,n39,Rwy,null,null
Rwy_5_001,40,41.78801255497567,-87.75873366070591,n40,Rwy,RW13R,Entry
Rwy_5_004,41,41.78200372390594,-87.75028535507506,n41,Rwy,null,null
Txy_5_005,42,41.78081613229787,-87.7486370730432,n42,Txy,null,null
Txy_W_001,43,41.79208266362532,-87.76017593484453,n43,Txy,null,null
Txy_W_002,44,41.79210658109892,-87.75973375566662,n44,Txy,null,null
Txy_N_001,45,41.79121784875706,-87.75928328800542,n45,Txy,null,null
Txy_N_002,46,41.79124369284553,-87.75778990716493,n46,Txy,null,null
Rwy_2_011,47,41.79125933074733,-87.75644447360268,n47,Rwy,null,null
Txy_N_003,48,41.7912797623684,-87.75494290761502,n48,Txy,null,null
Txy_N_004,49,41.79129941099293,-87.75407429344685,n49,Txy,null,null
Txy_N_007,50,41.79134969122289,-87.75042826038673,n50,Txy,null,null
Txy_N_008,51,41.79135301649494,-87.75000682554426,n51,Txy,null,null
Txy_N_010,52,41.79141594434812,-87.74668009044022,n52,Txy,null,null
Txy_N_Q,53,41.79142483439733,-87.7462005243519,n53,Txy,null,null
Txy_N_012,54,41.79144412841101,-87.74519722901566,n54,Txy,null,null
Txy_N_013,55,41.79144733522282,-87.74449499679623,n55,Txy,null,null
Txy_R_001,56,41.79240856521885,-87.74383874568163,n56,Txy,null,null
Txy_R_002,57,41.79248258026523,-87.74437753643342,n57,Txy,null,null
Txy_R_004,58,41.791736799389,-87.74663890435762,n58,Txy,null,null
Txy_Q_001,59,41.7909888849195,-87.74558533216482,n59,Txy,null,null
Txy_Q_002,60,41.79002442469514,-87.74418038614556,n60,Txy,null,null
Txy_N_015,61,41.79071144180259,-87.74331646577858,n61,Txy,null,null
Txy_R_005,62,41.79160986233794,-87.74269716310158,n62,Txy,null,null
Txy_R_006,63,41.79117227787263,-87.74257392441048,n63,Txy,null,null
Txy_P_010,64,41.78716905131564,-87.74786641190572,n64,Txy,null,null
Txy_P_011,65,41.78737201442944,-87.7476121805298,n65,Txy,null,null
Txy_P_012,66,41.78757520088114,-87.74788108620629,n66,Txy,null,null
Txy_P_014,67,41.78927824708656,-87.74793487735285,n67,Txy,null,null
Txy_P_015,68,41.79067282347496,-87.74798189770375,n68,Txy,null,null
Txy_B_002,69,41.79055679923737,-87.7581253180414,n69,Txy,null,null
Txy_B_003,70,41.78911576195717,-87.75759252777159,n70,Txy,null,null
Txy_W_003,71,41.79066652824363,-87.76133954818044,n71,Txy,null,null
Txy_W_004,72,41.79065613895295,-87.76171909437845,n72,Txy,null,null
Txy_W_005,73,41.79025305868151,-87.7613227391201,n73,Txy,null,null
Txy_W_006,74,41.79024154440648,-87.76170497275132,n74,Txy,null,null
Txy_W_007,75,41.78944647778539,-87.76128586275264,n75,Txy,null,null
Txy_W_009,76,41.78854864212211,-87.76026000150175,n76,Txy,null,null
Txy_W_011,77,41.78813501656919,-87.76015671499455,n77,Txy,null,null
Txy_F_001,78,41.78812723027556,-87.76039072021521,n78,Txy,null,null
Txy_W_012,79,41.78689424302174,-87.76010548439446,n79,Txy,null,null
Txy_W2_001,80,41.78688870745746,-87.76034086625187,n80,Txy,null,null
Txy_W_014,81,41.7834171647925,-87.75996713466874,n81,Txy,null,null
Txy_V_001,82,41.78178089784842,-87.75940428617334,n82,Txy,null,null
Txy_V_004,83,41.78098597727156,-87.75829604006,n83,Txy,null,null
Txy_V_W,84,41.78144914611215,-87.75893027766314,n84,Txy,null,null
Txy_J_002,85,41.78512609633704,-87.75786639703377,n85,Txy,null,null
Txy_F1_001,86,41.78776142895851,-87.75906060439917,n86,Txy,null,null
Txy_A_001,87,41.7880828918446,-87.75749031415509,n87,Txy,null,null
Txy_A_002,88,41.7878378934694,-87.75780192256758,n88,Txy,null,null
Txy_A_003,89,41.78732867953126,-87.75844964867662,n89,Txy,null,null
Txy_F_002,90,41.78719294115187,-87.75863073232235,n90,Txy,null,null
Txy_F_003,91,41.78588030306453,-87.75679149349318,n91,Txy,null,null
Txy_F_004,92,41.78490288965963,-87.75542181111558,n92,Txy,null,null
Txy_F_005,93,41.78412815333036,-87.75433797368727,n93,Txy,null,null
Txy_F_006,94,41.7831540069593,-87.75296113285637,n94,Txy,null,null
Txy_F_Y,95,41.78288443627329,-87.75257884670685,n95,Txy,null,null
Txy_F_008,96,41.78198371477848,-87.7513130839686,n96,Txy,null,null
Txy_F_009,97,41.78158972265191,-87.75076223025873,n97,Txy,null,null
Txy_F_010,98,41.78101115179147,-87.74994964043151,n98,Txy,null,null
Txy_F_012,99,41.77944800793114,-87.74770881098894,n99,Txy,null,null
Txy_F_011,100,41.78043653587437,-87.74914289236774,n100,Txy,null,null
Txy_K_Y,101,41.78193261614351,-87.75378520579467,n101,Txy,null,null
Txy_K_004,102,41.78198960938053,-87.75102462189666,n102,Txy,null,null
Txy_K_005,103,41.78202188616996,-87.74950056949761,n103,Txy,null,null
Txy_K_006,104,41.78202733017854,-87.74912943271201,n104,Txy,null,null
Txy_K_007,105,41.7820844864189,-87.74622394526043,n105,Txy,null,null
Txy_K_E,106,41.78212466601996,-87.74420374491612,n106,Txy,null,null
Txy_K_009,107,41.78213412208304,-87.74365108515741,n107,Txy,null,null
Rwy_4_060,108,41.78254472307057,-87.75505913067381,n108,Rwy,null,null
Txy_D_001,109,41.78110677514464,-87.75550702043834,n109,Txy,null,null
Txy_Y_002,110,41.77913546442584,-87.75780842702753,n110,Txy,null,null
Txy_Y_003,111,41.77927163634337,-87.75630033087725,n111,Txy,null,null
Txy_Y_004,112,41.7791853841486,-87.75730544548917,n112,Txy,null,null
Txy_Y_005,113,41.78009092963574,-87.75612601225744,n113,Txy,null,null
Txy_Y_006,114,41.78051765614914,-87.7555782304752,n114,Txy,null,null
Txy_Y_007,115,41.78082246299286,-87.75519713465887,n115,Txy,null,null
Txy_Y_008,116,41.78177921123732,-87.75397575797625,n116,Txy,null,null
Txy_Y_009,117,41.78302445968708,-87.75240073334,n117,Txy,null,null
Txy_Y_010,118,41.78353772238675,-87.75175339410545,n118,Txy,null,null
Txy_Y_011,119,41.78376017288855,-87.75147093651506,n119,Txy,null,null
Txy_Y_012,120,41.78479961555086,-87.75015781241987,n120,Txy,null,null
Txy_Y_013,121,41.78534178063028,-87.74946936616956,n121,Txy,null,null
Txy_Y_014,122,41.78627084338957,-87.74829662033989,n122,Txy,null,null
Txy_P_001,123,41.77951471133554,-87.74759965986843,n123,Txy,null,null
Txy_P_003,124,41.78074582727834,-87.74764913800682,n124,Txy,null,null
Txy_P_004,125,41.78097768867698,-87.747657524955,n125,Txy,null,null
Txy_P_005,126,41.78314149172501,-87.74772724441587,n126,Txy,null,null
Txy_P_007,127,41.78396072394648,-87.74775282455295,n127,Txy,null,null
Txy_P_008,128,41.78591900301061,-87.74782638701679,n128,Txy,null,null
Txy_F_013,129,41.77943080921688,-87.7482407335573,n129,Txy,null,null
Txy_F_014,130,41.77944367699777,-87.7475166301141,n130,Txy,null,null
Txy_F_015,131,41.77944789928023,-87.74734201695169,n131,Txy,null,null
Txy_F_017,132,41.77894821966145,-87.74559099110836,n132,Txy,null,null
Txy_F_018,133,41.77896502938297,-87.74488823028344,n133,Txy,null,null
Rwy_1_017,134,41.77930645415547,-87.74384041749886,n134,Rwy,null,null
Txy_G_001,135,41.7835997113342,-87.74772783257345,n135,Txy,null,null
Txy_G_E,136,41.78107900432219,-87.74416096346401,n136,Txy,null,null
Txy_E_001,137,41.78054276135086,-87.7441439280584,n137,Txy,null,null
Rwy_1_018,138,41.77949988979448,-87.74410813655736,n138,Rwy,null,null
Txy_E_002,139,41.78026078010921,-87.74357818679503,n139,Txy,null,null
Txy_E_004,140,41.77952860140282,-87.74355985097453,n140,Txy,null,null
Rwy_E_005,141,41.78033248684305,-87.74302713311306,n141,Rwy,null,null
Rwy_E_006,142,41.78095114643196,-87.74360758877252,n142,Rwy,null,null
Txy_E_007,143,41.78142106064639,-87.74307025869408,n143,Txy,null,null
Txy_E_009,144,41.78140006868632,-87.74417536086833,n144,Txy,null,null
Txy_E_010,145,41.78157128503774,-87.74418260367622,n145,Txy,null,null
Txy_E_011,146,41.78213799136987,-87.74320880722999,n146,Txy,null,null
Txy_E_013,147,41.78294998494465,-87.7436784017565,n147,Txy,null,null
Txy_E_014,148,41.78276820195255,-87.74409826757592,n148,Txy,null,null
Txy_E_016,149,41.78335123634633,-87.74424761594724,n149,Txy,null,null
Txy_E_015,150,41.78307795445625,-87.74385831288465,n150,Txy,null,null
Txy_Y1_001,151,41.78036363311096,-87.7553795972305,n151,Txy,null,null
Txy_Y2_001,152,41.78163621778753,-87.75376123070404,n152,Txy,null,null
Txy_F2_001,153,41.78084557722003,-87.75017509730978,n153,Txy,null,null
Gate_01_003,154,41.78991396229036,-87.74204200828872,n154,Gate,null,null
Gate_01_002,155,41.78974759805716,-87.74235462341619,n155,Gate,null,null
Gate_01_004,156,41.7887129242396,-87.74250582358773,n156,Gate,null,null
Gate_01_005,157,41.78863556401463,-87.74308319327461,n157,Gate,null,null
Gate_01_006,158,41.78866937173849,-87.74356326058596,n158,Gate,null,null
Gate_01_007,159,41.78858559722175,-87.74391580729326,n159,Gate,null,null
Gate_01_008,160,41.7883395957687,-87.74411937365335,n160,Gate,null,null
Gate_01_009,161,41.78805788829742,-87.74449703199879,n161,Gate,null,null
Gate_01_010,162,41.78775359868569,-87.74480663193636,n162,Gate,null,null
Gate_01_011,163,41.7875981635551,-87.74521689620455,n163,Gate,null,null
Gate_01_012,164,41.78719297079792,-87.74544979912116,n164,Gate,null,null
Gate_01_013,165,41.78694910547183,-87.74582527121134,n165,Gate,null,null
Gate_01_014,166,41.78672722284055,-87.7462257473954,n166,Gate,null,null
Gate_01_015,167,41.78653940849839,-87.7465733069932,n167,Gate,null,null
Gate_01_016,168,41.78627120033396,-87.7463021172529,n168,Gate,null,null
Gate_01_017,169,41.78611987241722,-87.74604763084793,n169,Gate,null,null
Gate_01_018,170,41.78601834207059,-87.74569339259885,n170,Gate,null,null
Gate_01_019,171,41.78630738560263,-87.74538906250207,n171,Gate,null,null
Gate_01_020,172,41.7865053893157,-87.7451277675154,n172,Gate,null,null
Gate_01_021,173,41.78679984268175,-87.7448468659112,n173,Gate,null,null
Gate_01_022,174,41.78704278901102,-87.74447922112515,n174,Gate,null,null
Gate_01_023,175,41.7873759737889,-87.74416306098718,n175,Gate,null,null
Gate_01_024,176,41.78763981798488,-87.74386012383115,n176,Gate,null,null
Gate_01_025,177,41.78791612844823,-87.74342954589603,n177,Gate,null,null
Gate_01_026,178,41.78810508949261,-87.74297031061138,n178,Gate,null,null
Gate_01_027,179,41.78738294422774,-87.74209663363885,n179,Gate,null,null
Gate_01_028,180,41.78714779876611,-87.7421809728151,n180,Gate,null,null
Gate_01_029,181,41.78667958945373,-87.74216741278813,n181,Gate,null,null
Gate_01_030,182,41.78627707206162,-87.74235346917189,n182,Gate,null,null
Gate_01_031,183,41.7859339533991,-87.74271529226345,n183,Gate,null,null
Gate_01_032,184,41.78563812231499,-87.74318829089734,n184,Gate,null,null
Gate_01_033,185,41.7853233049463,-87.74352086870212,n185,Gate,null,null
Gate_01_034,186,41.78507922353214,-87.74389298740844,n186,Gate,null,null
Gate_01_035,187,41.78488078448007,-87.74418698586507,n187,Gate,null,null
Gate_01_036,188,41.78461777489021,-87.74408972424432,n188,Gate,null,null
Gate_01_037,189,41.78443304008346,-87.74377303739914,n189,Gate,null,null
Gate_01_038,190,41.78454440358577,-87.74333486320228,n190,Gate,null,null
Gate_01_039,191,41.78488064052888,-87.74304996520051,n191,Gate,null,null
Gate_01_040,192,41.7851939379459,-87.74270389659566,n192,Gate,null,null
Gate_01_041,193,41.78539046003659,-87.74224354584524,n193,Gate,null,null
Gate_01_043,194,41.78344617263099,-87.74263624607664,n194,Gate,null,null
