n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Rwy_1_4,4,41.78504871323428,-87.75187928306329,Rwy_4_5,34,41.78403966639485,-87.75312152953818
Rwy_4_009,35,41.78363815732862,-87.75364393777066,Rwy_4_5,34,41.78403966639485,-87.75312152953818
Rwy_4_060,108,41.78254472307057,-87.75505913067381,Rwy_4_009,35,41.78363815732862,-87.75364393777066
rw_4_007,33,41.78581873557339,-87.75087859325521,Rwy_1_4,4,41.78504871323428,-87.75187928306329
Rwy_2_4,15,41.78659718853304,-87.74989282247579,rw_4_007,33,41.78581873557339,-87.75087859325521
Rwy_4_010,36,41.78189605904377,-87.755848833661,Rwy_4_060,108,41.78254472307057,-87.75505913067381
Rwy_4_011,37,41.78020714089674,-87.75800883619519,Rwy_4_012,38,41.77963189925877,-87.75871527190534
Txy_Y_006,114,41.78051765614914,-87.7555782304752,Txy_Y_005,113,41.78009092963574,-87.75612601225744
Txy_Y_006,114,41.78051765614914,-87.7555782304752,Txy_Y1_001,151,41.78036363311096,-87.7553795972305
Txy_D_001,109,41.78110677514464,-87.75550702043834,Txy_Y_006,114,41.78051765614914,-87.7555782304752
Txy_Y_006,114,41.78051765614914,-87.7555782304752,Txy_Y_007,115,41.78082246299286,-87.75519713465887
Txy_Y_008,116,41.78177921123732,-87.75397575797625,Txy_Y_007,115,41.78082246299286,-87.75519713465887
Txy_K_002,291,41.78186836587694,-87.75728250000795,Rwy_4_010,36,41.78189605904377,-87.755848833661
Txy_K_001,292,41.78178403048775,-87.75843609712905,Txy_K_002,291,41.78186836587694,-87.75728250000795
Txy_F_005,93,41.78412815333036,-87.75433797368727,Rwy_4_009,35,41.78363815732862,-87.75364393777066
Txy_F_004,92,41.78490288965963,-87.75542181111558,Txy_F_005,93,41.78412815333036,-87.75433797368727
Rwy_3_005,24,41.78538907741827,-87.75610053631497,Txy_F_004,92,41.78490288965963,-87.75542181111558
Txy_F_003,91,41.78588030306453,-87.75679149349318,Rwy_3_005,24,41.78538907741827,-87.75610053631497
Rwy_3_006,25,41.78521813263544,-87.75633925470247,Rwy_3_005,24,41.78538907741827,-87.75610053631497
Rwy_3_005,24,41.78538907741827,-87.75610053631497,Rwy_3_5,22,41.78579069049135,-87.75559280231829
Rwy_3_008,305,41.78289465844202,-87.75927604949443,Rwy_3_006,25,41.78521813263544,-87.75633925470247
Rwy_3_009,26,41.7823668781198,-87.75992437051623,Rwy_3_008,305,41.78289465844202,-87.75927604949443
Txy_V_001,82,41.78178089784842,-87.75940428617334,Rwy_3_009,26,41.7823668781198,-87.75992437051623
Txy_V_002,310,41.78164577066178,-87.75921151365631,Txy_V_001,82,41.78178089784842,-87.75940428617334
Txy_V_W,84,41.78144914611215,-87.75893027766314,Txy_V_002,310,41.78164577066178,-87.75921151365631
Txy_W_J,308,41.78508687112375,-87.76003332119494,Txy_W_014,81,41.7834171647925,-87.75996713466874
Txy_W_014,81,41.7834171647925,-87.75996713466874,Rwy_3_009,26,41.7823668781198,-87.75992437051623
Txy_J_001,311,41.78508032397619,-87.76031366703982,Txy_W_J,308,41.78508687112375,-87.76003332119494
Txy_W_J,308,41.78508687112375,-87.76003332119494,Txy_J_002,85,41.78512609633704,-87.75786639703377
Txy_J_002,85,41.78512609633704,-87.75786639703377,Rwy_3_006,25,41.78521813263544,-87.75633925470247
Txy_F_002,90,41.78719294115187,-87.75863073232235,Txy_F_003,91,41.78588030306453,-87.75679149349318
Txy_A_003,89,41.78732867953126,-87.75844964867662,Txy_F_002,90,41.78719294115187,-87.75863073232235
Rwy_5_002,23,41.78757964182539,-87.75812140204677,Txy_A_003,89,41.78732867953126,-87.75844964867662
Rwy_5_002,23,41.78757964182539,-87.75812140204677,Rwy_3_5,22,41.78579069049135,-87.75559280231829
Txy_A_002,88,41.7878378934694,-87.75780192256758,Rwy_5_002,23,41.78757964182539,-87.75812140204677
Txy_A_001,87,41.7880828918446,-87.75749031415509,Txy_A_002,88,41.7878378934694,-87.75780192256758
Rwy_1_004,2,41.78857175242406,-87.75684854495947,Txy_A_001,87,41.7880828918446,-87.75749031415509
Txy_W_009,76,41.78854864212211,-87.76026000150175,Txy_W_010,309,41.78832131131925,-87.76016185110507
Txy_W_010,309,41.78832131131925,-87.76016185110507,Txy_W_011,77,41.78813501656919,-87.76015671499455
Txy_F_001,78,41.78812723027556,-87.76039072021521,Txy_W_011,77,41.78813501656919,-87.76015671499455
Txy_W_012,79,41.78689424302174,-87.76010548439446,Txy_W_011,77,41.78813501656919,-87.76015671499455
Txy_W2_001,80,41.78688870745746,-87.76034086625187,Txy_W_012,79,41.78689424302174,-87.76010548439446
Txy_W_012,79,41.78689424302174,-87.76010548439446,Txy_W_J,308,41.78508687112375,-87.76003332119494
Txy_W_004,72,41.79065613895295,-87.76171909437845,Txy_W_006,74,41.79024154440648,-87.76170497275132
Txy_W_003,71,41.79066652824363,-87.76133954818044,Txy_W_005,73,41.79025305868151,-87.7613227391201
Txy_W_005,73,41.79025305868151,-87.7613227391201,Txy_W_007,75,41.78944647778539,-87.76128586275264
Txy_W_006,74,41.79024154440648,-87.76170497275132,Txy_W_007,75,41.78944647778539,-87.76128586275264
Txy_W_002,44,41.79210658109892,-87.75973375566662,Txy_W_001,43,41.79208266362532,-87.76017593484453
Txy_N_001,45,41.79121784875706,-87.75928328800542,Txy_N_002,46,41.79124369284553,-87.75778990716493
Txy_N_002,46,41.79124369284553,-87.75778990716493,Rwy_2_011,47,41.79125933074733,-87.75644447360268
Rwy_2_011,47,41.79125933074733,-87.75644447360268,Rwy_2_002,10,41.79088071850095,-87.7559250933246
Txy_N_003,48,41.7912797623684,-87.75494290761502,Rwy_2_011,47,41.79125933074733,-87.75644447360268
Rwy_2_003,11,41.78883503342385,-87.75304038173957,Rwy_2_002,10,41.79088071850095,-87.7559250933246
Rwy_2_3,12,41.78835173923119,-87.75235019097008,Rwy_2_003,11,41.78883503342385,-87.75304038173957
Txy_N_008,51,41.79135301649494,-87.75000682554426,Txy_N_007,50,41.79134969122289,-87.75042826038673
Rwy_3_003,21,41.79059200619369,-87.74953794271242,Rwy_3_002,304,41.79138180291371,-87.74851769110523
Rwy_3_002,304,41.79138180291371,-87.74851769110523,Txy_N_008,51,41.79135301649494,-87.75000682554426
Txy_P_014,67,41.78927824708656,-87.74793487735285,Txy_P_015,68,41.79067282347496,-87.74798189770375
Rwy_2_3,12,41.78835173923119,-87.75235019097008,Rwy_3_003,21,41.79059200619369,-87.74953794271242
Rwy_2_004,13,41.78786348067484,-87.75167525399378,Rwy_2_3,12,41.78835173923119,-87.75235019097008
Txy_N_Q,53,41.79142483439733,-87.7462005243519,Txy_Q_001,59,41.7909888849195,-87.74558533216482
Rwy_4_005,30,41.79053069254836,-87.74494172211506,Txy_Q_001,59,41.7909888849195,-87.74558533216482
Rwy_4_004,31,41.79072741805781,-87.74466837951996,Rwy_4_005,30,41.79053069254836,-87.74494172211506
Rwy_4_003,29,41.79119368686522,-87.7440576687496,Rwy_4_004,31,41.79072741805781,-87.74466837951996
Txy_N_013,55,41.79144733522282,-87.74449499679623,Txy_N_012,54,41.79144412841101,-87.74519722901566
Txy_N_012,54,41.79144412841101,-87.74519722901566,Txy_N_Q,53,41.79142483439733,-87.7462005243519
Txy_N_Q,53,41.79142483439733,-87.7462005243519,Txy_N_010,52,41.79141594434812,-87.74668009044022
Txy_R_002,57,41.79248258026523,-87.74437753643342,Txy_R_003,307,41.79243092396324,-87.74546143895552
Txy_R_002,57,41.79248258026523,-87.74437753643342,Txy_N_Q,53,41.79142483439733,-87.7462005243519
Txy_R_001,56,41.79240856521885,-87.74383874568163,Txy_R_002,57,41.79248258026523,-87.74437753643342
Txy_N_013,55,41.79144733522282,-87.74449499679623,Rwy_4_003,29,41.79119368686522,-87.7440576687496
Txy_P_011,65,41.78737201442944,-87.7476121805298,Ramp_01_043,221,41.78742296471925,-87.74727636254812
Txy_P_011,65,41.78737201442944,-87.7476121805298,Txy_P_012,66,41.78757520088114,-87.74788108620629
Txy_P_010,64,41.78716905131564,-87.74786641190572,Txy_P_012,66,41.78757520088114,-87.74788108620629
Rwy_4_006,32,41.78817389054645,-87.74789880190646,Txy_P_012,66,41.78757520088114,-87.74788108620629
Rwy_4_006,32,41.78817389054645,-87.74789880190646,Rwy_4_005,30,41.79053069254836,-87.74494172211506
Txy_P_010,64,41.78716905131564,-87.74786641190572,Ramp_01_042,220,41.78682693802074,-87.74785711867689
Ramp_01_042,220,41.78682693802074,-87.74785711867689,Ramp_01_041,219,41.78605569398758,-87.74782848088205
Txy_P_008,128,41.78591900301061,-87.74782638701679,Ramp_01_041,219,41.78605569398758,-87.74782848088205
Ramp_01_032,282,41.7836119116767,-87.74439227824465,Txy_E_016,149,41.78335123634633,-87.74424761594724
Txy_E_016,149,41.78335123634633,-87.74424761594724,Txy_E_014,148,41.78276820195255,-87.74409826757592
Txy_K_E,106,41.78212466601996,-87.74420374491612,Txy_E_014,148,41.78276820195255,-87.74409826757592
Txy_E_015,150,41.78307795445625,-87.74385831288465,Ramp_01_033,281,41.78363668784829,-87.7434332902052
Txy_E_013,147,41.78294998494465,-87.7436784017565,Ramp_01_033,281,41.78363668784829,-87.7434332902052
Txy_E_012,299,41.78244889535777,-87.74366294254119,Txy_E_013,147,41.78294998494465,-87.7436784017565
Txy_K_009,107,41.78213412208304,-87.74365108515741,Txy_E_012,299,41.78244889535777,-87.74366294254119
Rwy_E_005,141,41.78033248684305,-87.74302713311306,Txy_E_007,143,41.78142106064639,-87.74307025869408
Txy_E_003,297,41.77997615179248,-87.74303354729778,Rwy_E_005,141,41.78033248684305,-87.74302713311306
Txy_K_008,296,41.78211195937163,-87.74481453881808,Txy_K_E,106,41.78212466601996,-87.74420374491612
Txy_E_010,145,41.78157128503774,-87.74418260367622,Txy_K_E,106,41.78212466601996,-87.74420374491612
Txy_E_002,139,41.78026078010921,-87.74357818679503,Rwy_E_006,142,41.78095114643196,-87.74360758877252
Txy_K_008,296,41.78211195937163,-87.74481453881808,Txy_K_G,294,41.78209615435598,-87.74561907983554
Txy_K_007,105,41.7820844864189,-87.74622394526043,Txy_K_G,294,41.78209615435598,-87.74561907983554
Txy_K_007,105,41.7820844864189,-87.74622394526043,Rwy_1_007,6,41.78205618425555,-87.74768679553966
Txy_G_002,295,41.78138936621409,-87.74463074157781,Txy_K_G,294,41.78209615435598,-87.74561907983554
Txy_G_002,295,41.78138936621409,-87.74463074157781,Txy_E_009,144,41.78140006868632,-87.74417536086833
Txy_E_009,144,41.78140006868632,-87.74417536086833,Txy_E_008,298,41.78140077570209,-87.7440270072728
Txy_E_010,145,41.78157128503774,-87.74418260367622,Txy_E_009,144,41.78140006868632,-87.74417536086833
Rwy_1_017,134,41.77930645415547,-87.74384041749886,Rwy_1_018,138,41.77949988979448,-87.74410813655736
Txy_F_017,132,41.77894821966145,-87.74559099110836,Txy_F_018,133,41.77896502938297,-87.74488823028344
Rwy_1_007,6,41.78205618425555,-87.74768679553966,Rwy_1_008,7,41.78057165319277,-87.74558856336314
Txy_P_004,125,41.78097768867698,-87.747657524955,Txy_P_003,124,41.78074582727834,-87.74764913800682
Txy_F_014,130,41.77944367699777,-87.7475166301141,Txy_F_015,131,41.77944789928023,-87.74734201695169
Txy_F_012,99,41.77944800793114,-87.74770881098894,Txy_F_014,130,41.77944367699777,-87.7475166301141
Rwy_1_007,6,41.78205618425555,-87.74768679553966,Txy_P_004,125,41.78097768867698,-87.747657524955
Txy_F_012,99,41.77944800793114,-87.74770881098894,Txy_F_013,129,41.77943080921688,-87.7482407335573
Txy_F_012,99,41.77944800793114,-87.74770881098894,Txy_F_011,100,41.78043653587437,-87.74914289236774
Txy_F_011,100,41.78043653587437,-87.74914289236774,Txy_F_010,98,41.78101115179147,-87.74994964043151
Parking_SR_001,224,41.77941148029906,-87.74909352408416,Txy_F_013,129,41.77943080921688,-87.7482407335573
Parking_SR_002,225,41.77940463386264,-87.7497092472888,Parking_SR_001,224,41.77941148029906,-87.74909352408416
Parking_SR_003,287,41.77938653279419,-87.7503188902592,Parking_SR_002,225,41.77940463386264,-87.7497092472888
Parking_SR_004,289,41.77938543757481,-87.75095456818507,Parking_SR_003,287,41.77938653279419,-87.7503188902592
Txy_F2_001,153,41.78084557722003,-87.75017509730978,Txy_F_010,98,41.78101115179147,-87.74994964043151
Txy_F_009,97,41.78158972265191,-87.75076223025873,Txy_F_010,98,41.78101115179147,-87.74994964043151
Txy_F_009,97,41.78158972265191,-87.75076223025873,Txy_F_008,96,41.78198371477848,-87.7513130839686
Txy_F_008,96,41.78198371477848,-87.7513130839686,Txy_K_004,102,41.78198960938053,-87.75102462189666
Rwy_5_004,41,41.78200372390594,-87.75028535507506,Txy_K_004,102,41.78198960938053,-87.75102462189666
Rwy_5_004,41,41.78200372390594,-87.75028535507506,Txy_K_005,103,41.78202188616996,-87.74950056949761
Txy_K_005,103,41.78202188616996,-87.74950056949761,Txy_K_006,104,41.78202733017854,-87.74912943271201
Txy_K_006,104,41.78202733017854,-87.74912943271201,Rwy_1_007,6,41.78205618425555,-87.74768679553966
Txy_5_005,42,41.78081613229787,-87.7486370730432,Txy_F_011,100,41.78043653587437,-87.74914289236774
Rwy_5_004,41,41.78200372390594,-87.75028535507506,Txy_5_005,42,41.78081613229787,-87.7486370730432
Txy_F_008,96,41.78198371477848,-87.7513130839686,Txy_K_Y,101,41.78193261614351,-87.75378520579467
Txy_Y2_001,152,41.78163621778753,-87.75376123070404,Txy_Y_008,116,41.78177921123732,-87.75397575797625
Txy_Y_008,116,41.78177921123732,-87.75397575797625,Txy_K_Y,101,41.78193261614351,-87.75378520579467
Txy_K_003,293,41.78192259257286,-87.75444721096166,Txy_K_Y,101,41.78193261614351,-87.75378520579467
Txy_F_Y,95,41.78288443627329,-87.75257884670685,Txy_K_Y,101,41.78193261614351,-87.75378520579467
Txy_F_Y,95,41.78288443627329,-87.75257884670685,Txy_F_008,96,41.78198371477848,-87.7513130839686
Txy_F_006,94,41.7831540069593,-87.75296113285637,Txy_F_Y,95,41.78288443627329,-87.75257884670685
Txy_F_006,94,41.7831540069593,-87.75296113285637,Rwy_4_009,35,41.78363815732862,-87.75364393777066
