id,index,lat,lon,yEdId,domain,refName,type
Rwy_01_001,0,35.04930322666336,-89.98743796155613,n0,Rwy,RW18R,Entry
Gate_03_029,1,35.06121421368543,-89.96962358886357,n1,Gate,null,null
Gate_03_030,2,35.06117922619121,-89.9701893723962,n2,Gate,null,null
Rwy_01_002,3,35.04820075001468,-89.9874129521823,n3,Rwy,null,null
Rwy_01_003,4,35.04529630270604,-89.98734304568826,n4,Rwy,null,null
Rwy_01_004,5,35.04183901784057,-89.98727649092284,n5,Rwy,null,null
Rwy_01_005,6,35.03657367493657,-89.98716086282094,n6,Rwy,null,null
Rwy_01_006,7,35.03229089512677,-89.987067019828,n7,Rwy,null,null
Rwy_01_007,8,35.02808498280491,-89.98697430894941,n8,Rwy,null,null
Rwy_01_008,9,35.02510916801985,-89.98691192162738,n9,Rwy,null,null
Rwy_01_009,10,35.02403691884451,-89.98689176531606,n10,Rwy,RW36L,Entry
Rwy_02_001,11,35.05444168025687,-89.97616975200562,n11,Rwy,RW18C,Entry
Rwy_02_002,12,35.05366510546136,-89.97615153426744,n12,Rwy,null,null
Rwy_02_003,13,35.05286635353164,-89.97612313857803,n13,Rwy,null,null
Rwy_02_004,14,35.05303839643855,-89.97612634291636,n14,Rwy,null,null
Rwy_02_005,15,35.04867186823305,-89.97604467783727,n15,Rwy,null,null
Rwy_02_006,16,35.0463559761657,-89.97600025085463,n16,Rwy,null,null
Rwy_02_007,17,35.04494286171432,-89.9759650135482,n17,Rwy,null,null
Rwy_02_008,18,35.04196349657981,-89.97591146415084,n18,Rwy,null,null
Rwy_02_009,19,35.0407520155203,-89.97587606001086,n19,Rwy,null,null
Rwy_02_010,20,35.03947872393352,-89.97584719145385,n20,Rwy,null,null
Rwy_02_011,21,35.03799455490346,-89.97581960196096,n21,Rwy,null,null
Rwy_02_012,22,35.03303643708335,-89.9757096896211,n22,Rwy,null,null
Rwy_02_013,23,35.03161071147668,-89.97568447018337,n23,Rwy,null,null
Rwy_02_014,24,35.02552200400623,-89.97553671763986,n24,Rwy,null,null
Rwy_02_015,25,35.02415671367842,-89.97552943345049,n25,Rwy,RW36C,Entry
Rwy_03_001,26,35.04869993995466,-89.97294450639782,n26,Rwy,RW18L,Entry
Rwy_03_002,27,35.04733964163647,-89.9729228247806,n27,Rwy,null,null
Rwy_03_003,28,35.0450035231196,-89.97286544176039,n28,Rwy,null,null
Rwy_03_004,29,35.04325577234888,-89.97283139396644,n29,Rwy,null,null
Rwy_03_005,30,35.04059844114451,-89.97277605169516,n30,Rwy,null,null
Rwy_03_006,31,35.03803967020806,-89.97272378863542,n31,Rwy,null,null
Rwy_03_007,32,35.03316910286416,-89.97259761108928,n32,Rwy,null,null
Rwy_03_008,33,35.03166789463376,-89.97258016237579,n33,Rwy,null,null
Rwy_03_009,34,35.02809356436949,-89.97249690392601,n34,Rwy,null,null
Rwy_03_010,35,35.02560328865189,-89.97245071519214,n35,Rwy,null,null
Rwy_03_011,36,35.0242103676672,-89.972416729309,n36,Rwy,RW36R,Entry
Rwy_04_001,37,35.05860461177831,-89.9850594476492,n37,Rwy,RW09 ,Entry
Rwy_04_002,38,35.05846990518265,-89.98025754179918,n38,Rwy,null,null
Rwy_04_003,39,35.0584057143407,-89.97783314909616,n39,Rwy,null,null
