n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Rwy_04_004,40,35.05832417939462,-89.97483205445327,Rwy_04_005,41,35.0581612303768,-89.96913983335868
Rwy_04_005,41,35.0581612303768,-89.96913983335868,Rwy_04_006,42,35.05801058961247,-89.9638232643427
Rwy_04_007,43,35.05779750533561,-89.95616591841085,Rwy_04_006,42,35.05801058961247,-89.9638232643427
Txy_V_V3,211,35.0591620708894,-89.9637795244325,Txy_V3_001,212,35.0588195852548,-89.96379628667466
Txy_V3_001,212,35.0588195852548,-89.96379628667466,Rwy_04_006,42,35.05801058961247,-89.9638232643427
Rwy_04_006,42,35.05801058961247,-89.9638232643427,Txy_A2_001,238,35.05720709476049,-89.96385523533843
Txy_A2_001,238,35.05720709476049,-89.96385523533843,Txy_A_V3,234,35.05636693837143,-89.96389155713567
Txy_A_V3,234,35.05636693837143,-89.96389155713567,Txy_A2_002,239,35.05580621202937,-89.96390629423423
Txy_A2_002,239,35.05580621202937,-89.96390629423423,Parking_03_006,540,35.05430648199641,-89.96362197923929
Txy_A_V3,234,35.05636693837143,-89.96389155713567,Txy_A_014,235,35.05634824244664,-89.96323010656484
Txy_A_014,235,35.05634824244664,-89.96323010656484,Txy_A_015,236,35.05617030928457,-89.95679779361011
Txy_A_015,236,35.05617030928457,-89.95679779361011,Txy_A1_001,237,35.05698518863337,-89.95622994750387
Txy_A1_001,237,35.05698518863337,-89.95622994750387,Rwy_04_007,43,35.05779750533561,-89.95616591841085
Rwy_04_008,44,35.0577897171535,-89.95585826479441,Rwy_04_007,43,35.05779750533561,-89.95616591841085
Txy_V2_001,216,35.05855631977763,-89.95582689242394,Txy_V_009,213,35.05895789684315,-89.9562419247143
Txy_V_009,213,35.05895789684315,-89.9562419247143,Txy_V_V3,211,35.0591620708894,-89.9637795244325
Txy_A_013,233,35.05638470639447,-89.96454534389532,Txy_A_V3,234,35.05636693837143,-89.96389155713567
Txy_A_013,233,35.05638470639447,-89.96454534389532,Txy_A_012,232,35.05642438574802,-89.96596751595965
Txy_A_012,232,35.05642438574802,-89.96596751595965,Txy_A_011,231,35.05645186441081,-89.96690363777343
Txy_A_011,231,35.05645186441081,-89.96690363777343,Txy_A_010,230,35.05650191125962,-89.9687801410635
Txy_Y_003,291,35.05587528864785,-89.96958923087998,Txy_A_Y,229,35.05652391601792,-89.96946945664101
Txy_A_Y,229,35.05652391601792,-89.96946945664101,Txy_A_010,230,35.05650191125962,-89.9687801410635
Txy_A_Y,229,35.05652391601792,-89.96946945664101,Txy_A_009,228,35.05653809871254,-89.97014777319295
Txy_A_009,228,35.05653809871254,-89.97014777319295,Txy_A_008,227,35.05656086828785,-89.97106707634812
Txy_A_008,227,35.05656086828785,-89.97106707634812,Txy_A_B,226,35.05658388904244,-89.97199370208892
Txy_A_Y,229,35.05652391601792,-89.96946945664101,Txy_Y_002,290,35.05734770905782,-89.96930491586592
Txy_Y_002,290,35.05734770905782,-89.96930491586592,Rwy_04_005,41,35.0581612303768,-89.96913983335868
Rwy_04_005,41,35.0581612303768,-89.96913983335868,Txy_Y_001,289,35.0589788509678,-89.96906730593824
Txy_V_Y,206,35.05919395075366,-89.96906932706462,Txy_Y_001,289,35.0589788509678,-89.96906730593824
Txy_B_003,242,35.0572980605066,-89.97069437304955,Rwy_04_005,41,35.0581612303768,-89.96913983335868
Rwy_04_005,41,35.0581612303768,-89.96913983335868,Txy_B_002,241,35.05891902397179,-89.9667358636296
Txy_B_002,241,35.05891902397179,-89.9667358636296,Txy_V_B,209,35.05910604865426,-89.96615795784938
Txy_V_B,209,35.05910604865426,-89.96615795784938,Ramp_03_032,661,35.05912445573241,-89.96687092073464
Ramp_03_032,661,35.05912445573241,-89.96687092073464,Txy_V_007,208,35.05915113799297,-89.96750794086878
Txy_V_007,208,35.05915113799297,-89.96750794086878,Ramp_03_031,660,35.05916853679499,-89.96810764195746
