n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Rwy_01_001,20,42.94167338283221,-71.43955440318163,Rwy_01_002,30,42.94087829045155,-71.43908115748098
Rwy_01_002,30,42.94087829045155,-71.43908115748098,Rwy_01_02,10,42.9378091571112,-71.43726522592881
Rwy_01_02,10,42.9378091571112,-71.43726522592881,Rwy_01_003,11,42.93704788159597,-71.43680898601895
Rwy_01_003,11,42.93704788159597,-71.43680898601895,Rwy_01_004,28,42.93595082411976,-71.43616467119969
Rwy_01_001,20,42.94167338283221,-71.43955440318163,Txy_H_001,22,42.94211777877051,-71.438165298097
Txy_L_001,25,42.94199129979663,-71.43663590130686,Parking_L_001,23,42.94283209500064,-71.43646037498365
Txy_H_L,21,42.94081854566284,-71.43689944252145,Txy_L_001,25,42.94199129979663,-71.43663590130686
Txy_H_001,22,42.94211777877051,-71.438165298097,Txy_H_003,19,42.94112576778755,-71.43720963608975
Txy_H_003,19,42.94112576778755,-71.43720963608975,Txy_H_L,21,42.94081854566284,-71.43689944252145
Txy_H_L,21,42.94081854566284,-71.43689944252145,Txy_H_004,12,42.9399004376029,-71.43599519354663
Txy_H_004,12,42.9399004376029,-71.43599519354663,Rwy_02_003,13,42.93930164317978,-71.43540742467519
Txy_L_001,25,42.94199129979663,-71.43663590130686,Txy_H_002,24,42.94201011664437,-71.43719300949475
Txy_H_002,24,42.94201011664437,-71.43719300949475,Txy_H_001,22,42.94211777877051,-71.438165298097
Rwy_02_003,13,42.93930164317978,-71.43540742467519,Txy_H_005,18,42.93865504041975,-71.43476724922601
Txy_H_005,18,42.93865504041975,-71.43476724922601,Txy_H_J,103,42.93846266355589,-71.4347274657425
Txy_H_J,103,42.93846266355589,-71.4347274657425,Txy_H_006,49,42.93761149024515,-71.43483868340675
Txy_H_006,49,42.93761149024515,-71.43483868340675,Txy_H_007,50,42.93758473008948,-71.43436357797637
Txy_H_007,50,42.93758473008948,-71.43436357797637,Parking_H_001,51,42.93756208408685,-71.43387441578096
Txy_H_006,49,42.93761149024515,-71.43483868340675,Txy_H_B,48,42.93639883315132,-71.43480111836507
Txy_B_002,27,42.93568014581217,-71.43702036924256,Rwy_01_004,28,42.93595082411976,-71.43616467119969
Rwy_01_004,28,42.93595082411976,-71.43616467119969,Txy_B_003,29,42.93622149514592,-71.435320893912
Txy_B_003,29,42.93622149514592,-71.435320893912,Txy_H_B,48,42.93639883315132,-71.43480111836507
Txy_A_B,26,42.9355142436542,-71.43754213122364,Txy_B_002,27,42.93568014581217,-71.43702036924256
Rwy_02_002,15,42.94269107995812,-71.43120786458992,Rwy_02_003,13,42.93930164317978,-71.43540742467519
Rwy_02_003,13,42.93930164317978,-71.43540742467519,Rwy_01_02,10,42.9378091571112,-71.43726522592881
Rwy_01_02,10,42.9378091571112,-71.43726522592881,Rwy_02_004,7,42.93718025897847,-71.43804202170354
Rwy_02_004,7,42.93718025897847,-71.43804202170354,Rwy_02_005,9,42.93691846700452,-71.43838725971071
Rwy_02_005,9,42.93691846700452,-71.43838725971071,Rwy_02_006,5,42.93563356730854,-71.43997366807623
Rwy_02_001,14,42.94354758069333,-71.43013551999955,Rwy_02_002,15,42.94269107995812,-71.43120786458992
Rwy_02_001,14,42.94354758069333,-71.43013551999955,Txy_J_001,16,42.94282596562572,-71.42946206703252
Rwy_02_002,15,42.94269107995812,-71.43120786458992,Txy_J_J1,17,42.94207249740459,-71.43031339823501
Txy_J_001,16,42.94282596562572,-71.42946206703252,Txy_J_J1,17,42.94207249740459,-71.43031339823501
Txy_J_J1,17,42.94207249740459,-71.43031339823501,Txy_H_005,18,42.93865504041975,-71.43476724922601
Rwy_02_005,9,42.93691846700452,-71.43838725971071,Txy_A_001,8,42.93615418698069,-71.43791457184392
Txy_A_001,8,42.93615418698069,-71.43791457184392,Txy_A_B,26,42.9355142436542,-71.43754213122364
Txy_A_B,26,42.9355142436542,-71.43754213122364,Txy_A_C,66,42.9320602108329,-71.43548781717712
