id,index,lat,lon,yEdId,domain,refName,type
rwy_01_001,0,25.78610615706236,-80.31461262211063,n0,Rwy,null,null
rwy_01_002,1,25.78615486824969,-80.31366389933795,n1,Rwy,null,null
rwy_01_003,2,25.78659139652532,-80.3028227603294,n2,Rwy,null,null
rwy_01_004,3,25.78681613144616,-80.29739365276114,n3,Rwy,null,null
rwy_01_005,4,25.78702226263464,-80.29253035280438,n4,Rwy,null,null
rwy_01_006,5,25.78722145739636,-80.28778941969813,n5,Rwy,null,null
rwy_01_007,6,25.78730807557483,-80.28560912934223,n6,Rwy,null,null
rwy_01_008,7,25.78748773587806,-80.28114244249123,n7,Rwy,null,null
rwy_01_009,8,25.78762886525444,-80.27778156552222,n8,Rwy,null,null
rwy_01_010,9,25.78767603811871,-80.27670882007067,n9,Rwy,RW27 ,Entry
rwy_01_011,10,25.78774051556535,-80.27549367565929,n10,Rwy,null,null
rwy_01_04,11,25.78756402874564,-80.27935223797583,n11,Rwy,null,null
rwy_01_013,12,25.78626041493114,-80.31069861373965,n12,Rwy,RW09 ,Entry
rwy_02_001,13,25.80070192409244,-80.30128632480893,n13,Rwy,RW08R,Entry
rwy_02_003,14,25.80086515182304,-80.2974817934637,n14,Rwy,null,null
rwy_02_004,15,25.80096032296472,-80.29514985833549,n15,Rwy,null,null
rwy_02_005,16,25.80107936439893,-80.29234393342847,n16,Rwy,null,null
rwy_02_006,17,25.80122820590792,-80.28859395370631,n17,Rwy,null,null
rwy_02_007,18,25.8013008464726,-80.2869109760599,n18,Rwy,null,null
rwy_02_008,19,25.80136500020198,-80.28536038222195,n19,Rwy,null,null
rwy_02_009,20,25.80150415625643,-80.2821393933708,n20,Rwy,null,null
rwy_02_010,21,25.80160184287557,-80.27970400379792,n21,Rwy,null,null
rwy_02_011,22,25.80173991383178,-80.27628316770193,n22,Rwy,null,null
rwy_02_012,23,25.80177292183767,-80.27541163000978,n23,Rwy,null,null
rwy_02_013,24,25.80201963273088,-80.26975884189675,n24,Rwy,RW26L,Entry
rwy_03_001,25,25.80290716953943,-80.30142173785804,n25,Rwy,RW08L,Entry
rwy_03_002,26,25.80293703400148,-80.30057633366847,n26,Rwy,null,null
rwy_03_003,27,25.80306330324292,-80.29759836323831,n27,Rwy,null,null
rwy_03_004,28,25.80312852372206,-80.29605109583656,n28,Rwy,null,null
rwy_03_005,29,25.80321876980337,-80.2938335911944,n29,Rwy,null,null
rwy_03_006,30,25.80338349325501,-80.28988504998307,n30,Rwy,null,null
rwy_03_007,31,25.80350482031467,-80.286976531013,n31,Rwy,null,null
rwy_03_008,32,25.80365187026831,-80.28343860962707,n32,Rwy,null,null
rwy_03_009,33,25.80376697260228,-80.28062553904752,n33,Rwy,null,null
rwy_03_010,34,25.80393836065369,-80.27636104182571,n34,Rwy,null,null
rwy_03_011,35,25.80397434247098,-80.27554120262315,n35,Rwy,RW26R,Entry
rwy_04_001,36,25.79920821250945,-80.30215068015262,n36,Rwy,RW12 ,Entry
rwy_04_002,37,25.79678749390532,-80.29741610240723,n37,Rwy,null,null
rwy_04_003,38,25.79534265333708,-80.29459006366976,n38,Rwy,null,null
rwy_04_004,39,25.79358396211442,-80.29115377101007,n39,Rwy,null,null
rwy_04_005,40,25.79242228517762,-80.28886578211984,n40,Rwy,null,null
rwy_04_006,41,25.79142884009078,-80.28691994456464,n41,Rwy,null,null
rwy_04_007,42,25.79041144845457,-80.2849241606382,n42,Rwy,null,null
rwy_04_008,43,25.78968463710729,-80.28350891599064,n43,Rwy,null,null
rwy_04_009,44,25.789308059314,-80.28277025287008,n44,Rwy,null,null
rwy_04_010,45,25.78890748234084,-80.28198136899894,n45,Rwy,null,null
rwy_04_011,46,25.78837747336407,-80.2809583344298,n46,Rwy,null,null
rwy_04_012,47,25.78790762294476,-80.280035032166,n47,Rwy,RW30 ,Entry
rwy_04_013,48,25.78685780235317,-80.27798213329896,n48,Rwy,null,null
rwy_04_014,49,25.78662633721887,-80.27752847100442,n49,Rwy,null,null
gate_01_001,50,25.79721757152399,-80.27377133942805,n50,Gate,null,null
gate_01_002,51,25.79759960411352,-80.27346700915426,n51,Gate,null,null
gate_01_003,52,25.79796212619944,-80.27314436685766,n52,Gate,null,null
gate_01_004,53,25.79796097259911,-80.27241707626014,n53,Gate,null,null
gate_01_005,54,25.79803617628245,-80.27191703832473,n54,Gate,null,null
gate_01_006,55,25.79801841357144,-80.27155424934841,n55,Gate,null,null
gate_01_007,56,25.79817418970563,-80.27136825168506,n56,Gate,null,null
gate_01_008,57,25.79850583985289,-80.27115138725239,n57,Gate,null,null
gate_01_009,58,25.79888079974666,-80.27124493383053,n58,Gate,null,null
gate_01_010,59,25.79900631329858,-80.27145218080994,n59,Gate,null,null
gate_01_011,60,25.79891723516024,-80.27179741144018,n60,Gate,null,null
gate_01_012,61,25.79893362880952,-80.27223112628397,n61,Gate,null,null
gate_01_013,62,25.79887507771911,-80.27262985618715,n62,Gate,null,null
gate_01_014,63,25.79894469061581,-80.27313381112782,n63,Gate,null,null
gate_01_015,64,25.79892184586828,-80.27353609353696,n64,Gate,null,null
gate_01_016,65,25.79892483208419,-80.2738790860554,n65,Gate,null,null
gate_01_017,66,25.79860124176058,-80.27408943190666,n66,Gate,null,null
gate_02_001,67,25.79896001420305,-80.27608977923316,n67,Gate,null,null
gate_02_002,68,25.79895177277077,-80.27643123139268,n68,Gate,null,null
gate_02_003,69,25.79893314411638,-80.27681122420397,n69,Gate,null,null
gate_02_004,70,25.7989110521921,-80.27720406384373,n70,Gate,null,null
gate_02_005,71,25.79875472300124,-80.27744028980072,n71,Gate,null,null
gate_03_001,72,25.79784454214094,-80.27852706933461,n72,Gate,null,null
gate_03_002,73,25.79830610140086,-80.27885363780703,n73,Gate,null,null
gate_03_003,74,25.79868006605986,-80.27904739826707,n74,Gate,null,null
gate_03_004,75,25.79893391330445,-80.27958442026029,n75,Gate,null,null
gate_04_001,76,25.79827675570383,-80.28154017329254,n76,Gate,null,null
gate_04_002,77,25.79825113802249,-80.28207771716075,n77,Gate,null,null
gate_04_003,78,25.79823629707866,-80.28260073852621,n78,Gate,null,null
gate_04_004,79,25.79820849851475,-80.2831909300413,n79,Gate,null,null
gate_04_005,80,25.79819874994441,-80.2836727612515,n80,Gate,null,null
gate_04_006,81,25.79819331883507,-80.28413220570783,n81,Gate,null,null
gate_04_007,82,25.79841356344857,-80.28548553614974,n82,Gate,null,null
gate_04_008,83,25.79806106132787,-80.28546519488522,n83,Gate,null,null
gate_04_009,84,25.79740488017575,-80.28541026698784,n84,Gate,null,null
gate_04_010,85,25.79735106804269,-80.2844496730893,n85,Gate,null,null
gate_04_011,86,25.7973715525446,-80.28407151520344,n86,Gate,null,null
gate_04_012,87,25.79737508856205,-80.2835176786169,n87,Gate,null,null
gate_04_013,88,25.79741392664234,-80.28310549458739,n88,Gate,null,null
gate_04_014,89,25.79742217997779,-80.2825545920682,n89,Gate,null,null
gate_04_015,90,25.79705729147491,-80.28183404794606,n90,Gate,null,null
gate_04_016,91,25.796860515431,-80.28120545618054,n91,Gate,null,null
gate_04_017,92,25.79675326226648,-80.28081271694751,n92,Gate,null,null
gate_04_018,93,25.7964882857119,-80.28042807239446,n93,Gate,null,null
gate_04_019,94,25.79639922731927,-80.28012232313726,n94,Gate,null,null
parking_04_001,95,25.79811168010387,-80.286295643598,n95,Park,null,null
gate_05_001,96,25.79531123488151,-80.2806553467601,n96,Gate,null,null
gate_05_002,97,25.7954596539138,-80.2811936943992,n97,Gate,null,null
gate_05_003,98,25.79549177797019,-80.28155988526265,n98,Gate,null,null
gate_05_004,99,25.79551815258119,-80.28200160235136,n99,Gate,null,null
gate_05_005,100,25.79566585811023,-80.28363647688982,n100,Gate,null,null
gate_05_006,101,25.795663059695,-80.284592907966,n101,Gate,null,null
gate_05_007,102,25.79520331351308,-80.28459861092335,n102,Gate,null,null
gate_05_008,103,25.79476826208752,-80.28451516715036,n103,Gate,null,null
gate_05_009,104,25.79424824999117,-80.28451779460258,n104,Gate,null,null
gate_05_010,105,25.79423856714169,-80.28405360053955,n105,Gate,null,null
gate_05_011,106,25.79429399996944,-80.28366563897255,n106,Gate,null,null
gate_05_012,107,25.79457267134405,-80.28346696422942,n107,Gate,null,null
gate_05_013,108,25.79496977298984,-80.2834522285951,n108,Gate,null,null
gate_05_014,109,25.79482537855307,-80.28186419123753,n109,Gate,null,null
gate_05_015,110,25.79445182146751,-80.28169057146638,n110,Gate,null,null
gate_05_016,111,25.79465722987889,-80.28123151595982,n111,Gate,null,null
gate_05_017,112,25.79473115010113,-80.2805756840665,n112,Gate,null,null
gate_05_018,113,25.79465013342913,-80.28005827517431,n113,Gate,null,null
gate_06_001,114,25.79377761138214,-80.27985874408353,n114,Gate,null,null
gate_06_002,115,25.79327758921177,-80.28068367926159,n115,Gate,null,null
gate_06_003,116,25.79302983754354,-80.28117247804445,n116,Gate,null,null
gate_06_004,117,25.79356048594455,-80.28024748355801,n117,Gate,null,null
gate_06_005,118,25.79282439753464,-80.28168616364707,n118,Gate,null,null
gate_06_006,119,25.79260206987529,-80.28196765994466,n119,Gate,null,null
gate_06_007,120,25.79242564490509,-80.28233277731591,n120,Gate,null,null
gate_06_008,121,25.79213940852975,-80.28264577739097,n121,Gate,null,null
gate_06_009,122,25.79192640674956,-80.28243968939918,n122,Gate,null,null
gate_06_010,123,25.79175423404748,-80.28214877076385,n123,Gate,null,null
gate_06_011,124,25.79156340813805,-80.28166836422416,n124,Gate,null,null
gate_06_012,125,25.79149518612334,-80.28130920674585,n125,Gate,null,null
gate_06_013,126,25.79183499257867,-80.28112730288619,n126,Gate,null,null
gate_06_014,127,25.7921096100935,-80.28077493082984,n127,Gate,null,null
gate_06_015,128,25.79244069397096,-80.28068751653919,n128,Gate,null,null
gate_06_016,129,25.79287244447601,-80.2802895373223,n129,Gate,null,null
gate_06_017,130,25.79319243139883,-80.27982982496535,n130,Gate,null,null
gate_06_018,131,25.79342731282889,-80.27941925986563,n131,Gate,null,null
gate_06_019,132,25.79320523857554,-80.27891869891266,n132,Gate,null,null
gate_06_020,133,25.79305503965624,-80.27851070798837,n133,Gate,null,null
gate_07_001,134,25.79267800962008,-80.2785451056041,n134,Gate,null,null
gate_07_002,135,25.79185437129984,-80.27925911471651,n135,Gate,null,null
gate_07_004,136,25.79146970528099,-80.27947750280073,n136,Gate,null,null
gate_07_005,137,25.79119331016734,-80.27976020740219,n137,Gate,null,null
gate_07_006,138,25.79070901683431,-80.27976631491568,n138,Gate,null,null
gate_07_007,139,25.79054841150551,-80.27932132652853,n139,Gate,null,null
gate_07_008,140,25.79028281317686,-80.27891579236703,n140,Gate,null,null
gate_07_009,141,25.79062488974043,-80.27881283169977,n141,Gate,null,null
gate_07_010,142,25.79107186732055,-80.27861162091047,n142,Gate,null,null
gate_07_011,143,25.7915794288237,-80.27846949585665,n143,Gate,null,null
gate_07_012,144,25.79203497324958,-80.27830511323701,n144,Gate,null,null
gate_07_013,145,25.79250445194622,-80.27816944421856,n145,Gate,null,null
gate_07_014,146,25.79294005312112,-80.27781644679213,n146,Gate,null,null
gate_08_001,147,25.79251219233919,-80.27706999541944,n147,Gate,null,null
gate_08_002,148,25.79216372858124,-80.27703496424755,n148,Gate,null,null
gate_08_003,149,25.79175946092619,-80.27705168072053,n149,Gate,null,null
gate_08_004,150,25.79138103073855,-80.27694257872174,n150,Gate,null,null
gate_08_005,151,25.79092117944194,-80.27701952652657,n151,Gate,null,null
gate_08_006,152,25.79022615754741,-80.27703165584943,n152,Gate,null,null
gate_08_007,153,25.7898930144264,-80.27726563104142,n153,Gate,null,null
gate_08_008,154,25.78971938124668,-80.2770930021385,n154,Gate,null,null
gate_08_009,155,25.78972792114101,-80.27677116132513,n155,Gate,null,null
gate_08_010,156,25.78979431769593,-80.27637302040316,n156,Gate,null,null
gate_08_011,157,25.78991286380595,-80.27615188206771,n157,Gate,null,null
gate_08_012,158,25.7902735059953,-80.27623101421241,n158,Gate,null,null
gate_08_013,159,25.79061335238739,-80.27623776458059,n159,Gate,null,null
gate_08_014,160,25.79118001199883,-80.27615833197903,n160,Gate,null,null
gate_08_015,161,25.79155156251587,-80.2762036808355,n161,Gate,null,null
gate_08_016,162,25.79197977242769,-80.27620172576343,n162,Gate,null,null
gate_08_017,163,25.79123167133538,-80.27464924016397,n163,Gate,null,null
gate_08_018,164,25.79040242061311,-80.27449000064435,n164,Gate,null,null
gate_08_019,165,25.78991604034739,-80.27430795168803,n165,Gate,null,null
parking_01_001,166,25.79911388888889,-80.26698611111111,n166,Park,null,null
parking_A_001,167,25.80594378536076,-80.2657767468286,n167,Park,null,null
parking_A_002,168,25.80474118941527,-80.26578556690893,n168,Park,null,null
parking_A_003,169,25.80463003039372,-80.26683530511957,n169,Park,null,null
parking_A_004,170,25.80458537291299,-80.26756535268629,n170,Park,null,null
parking_A_005,171,25.804572400672,-80.26823238761658,n171,Park,null,null
parking_A_006,172,25.8045669627485,-80.26871672896837,n172,Park,null,null
parking_B_001,173,25.80561388888889,-80.274325,n173,Park,null,null
parking_B_003,174,25.80616111111111,-80.28075833333334,n174,Park,null,null
parking_B_004,175,25.80606111111111,-80.28378333333333,n175,Park,null,null
parking_B_005,176,25.80550277777778,-80.28714722222222,n176,Park,null,null
parking_B_006,177,25.806170161746888,-80.29021111101551,n177,Park,null,null
parking_B_007,178,25.80636111111112,-80.2925861111111,n178,Park,null,null
parking_F_001,179,25.80520610409439,-80.29511667290468,n179,Park,null,null
parking_B_009,180,25.80515618337962,-80.29905351179637,n180,Park,null,null
parking_G_001,181,25.80588053301205,-80.30343388704543,n181,Park,null,null
parking_G_004,182,25.80565767714897,-80.30176072232341,n182,Park,null,null
parking_C_001,183,25.78908777946619,-80.30628758025793,n183,Park,null,null
parking_C_002,184,25.78960443065055,-80.30643605820438,n184,Park,null,null
parking_C_003,185,25.79014091218584,-80.3064719472797,n185,Park,null,null
parking_C_004,186,25.79066642341896,-80.30649107252754,n186,Park,null,null
parking_C_005,187,25.79121185852903,-80.30649375924837,n187,Park,null,null
parking_C_006,188,25.79174612707849,-80.30649166665368,n188,Park,null,null
parking_C_007,189,25.79242660788743,-80.30625301416062,n189,Park,null,null
parking_C_008,190,25.79244569440085,-80.30506320144491,n190,Park,null,null
parking_C_009,191,25.7918220694791,-80.30475356517385,n191,Park,null,null
parking_C_010,192,25.79127767640408,-80.30472569557406,n192,Park,null,null
parking_C_011,193,25.79076335631338,-80.30470357676592,n193,Park,null,null
parking_C_012,194,25.7902304811237,-80.30467208877607,n194,Park,null,null
parking_C_013,195,25.78970737951346,-80.30467896877408,n195,Park,null,null
parking_C_014,196,25.78938638574343,-80.30465411916681,n196,Park,null,null
parking_C_015,197,25.789347558188,-80.3040378182153,n197,Park,null,null
parking_D_001,198,25.78949468615229,-80.30199677337082,n198,Park,null,null
parking_D_002,199,25.79032486574639,-80.30200597370089,n199,Park,null,null
parking_D_003,200,25.79103659425875,-80.30205962795385,n200,Park,null,null
parking_D_004,201,25.7915855973888,-80.30203541984599,n201,Park,null,null
parking_D_005,202,25.79236453925336,-80.30198969390703,n202,Park,null,null
parking_D_006,203,25.79242840355949,-80.30081135582451,n203,Park,null,null
parking_D_007,204,25.79187735625726,-80.30031718095057,n204,Park,null,null
parking_D_008,205,25.79130955005341,-80.30027862049192,n205,Park,null,null
parking_D_009,206,25.79071269662688,-80.30026948355791,n206,Park,null,null
parking_D_010,207,25.79013730229053,-80.3002590657293,n207,Park,null,null
parking_D_011,208,25.78947754705308,-80.3002181812525,n208,Park,null,null
parking_E_001,209,25.79055738718613,-80.29069768638706,n209,Park,null,null
parking_E_002,210,25.79081057851711,-80.2912087439539,n210,Park,null,null
parking_E_003,211,25.79108907692242,-80.29172993478146,n211,Park,null,null
parking_E_004,212,25.79136335524443,-80.29225091309262,n212,Park,null,null
parking_E_005,213,25.79161713272642,-80.29275676709793,n213,Park,null,null
parking_E_006,214,25.79192093076287,-80.2932792586083,n214,Park,null,null
parking_E_007,215,25.7921992272297,-80.29380514599511,n215,Park,null,null
parking_E_008,216,25.79238435404379,-80.2943356753756,n216,Park,null,null
parking_E_009,217,25.79265038319542,-80.29485155299876,n217,Park,null,null
parking_E_010,218,25.79290778017588,-80.29537168306476,n218,Park,null,null
parking_E_011,219,25.79318606911251,-80.2958975768554,n219,Park,null,null
parking_E_012,220,25.79342218129379,-80.29642131794061,n220,Park,null,null
parking_E_013,221,25.79373038137735,-80.29693936217961,n221,Park,null,null
parking_F_002,222,25.80520029244067,-80.29572440691057,n222,Park,null,null
parking_F_003,223,25.80523421987583,-80.29452682136116,n223,Park,null,null
parking_F_004,224,25.80526527550787,-80.29392874596002,n224,Park,null,null
parking_G_002,225,25.805453719987,-80.30342376380872,n225,Park,null,null
parking_G_003,226,25.80495398509103,-80.30344001806831,n226,Park,null,null
parking_G_005,227,25.80520823880922,-80.30169936807597,n227,Park,null,null
parking_G_006,228,25.80475379782837,-80.30168308397738,n228,Park,null,null
txy_S_001,229,25.78694397001504,-80.31466937455872,n229,Txy,null,null
txy_S_002,230,25.78699123190015,-80.31372886077573,n230,Txy,null,null
txy_S_003,231,25.78805621732811,-80.31432747176252,n231,Txy,null,null
txy_S_V,232,25.789529372741,-80.28682513645268,n232,Txy,null,null
txy_S_U,233,25.78959353731711,-80.28556193799909,n233,Txy,null,null
txy_S_Y,234,25.78944900865793,-80.28870255175529,n234,Txy,null,null
txy_S_004,235,25.78809620877804,-80.31346364447529,n235,Txy,null,null
txy_S_005,236,25.78816301903573,-80.31142685628467,n236,Txy,null,null
txy_S_006,237,25.78840472211821,-80.30554893219025,n237,Txy,null,null
txy_S_007,238,25.78852228002994,-80.3026094439478,n238,Txy,null,null
txy_S_008,239,25.78859108422862,-80.30116483845053,n239,Txy,null,null
txy_S_009,240,25.78870599274175,-80.29850103687224,n240,Txy,null,null
txy_S_010,241,25.78886781227914,-80.29449001018816,n241,Txy,null,null
txy_S_011,242,25.78898530011433,-80.29165394350375,n242,Txy,null,null
txy_S_012,243,25.7896042053251,-80.28520260509816,n243,Txy,null,null
txy_S_013,244,25.78986115396063,-80.28204863061059,n244,Txy,null,null
txy_S_Q,245,25.78997261282319,-80.2818819425545,n245,Txy,null,null
txy_S_P,246,25.79044252699059,-80.28136675993177,n246,Txy,null,null
txy_T1_001,247,25.7873743816248,-80.30293135115444,n247,Txy,null,null
txy_T_V,248,25.78870883809787,-80.28678549052154,n248,Txy,null,null
txy_T_U,249,25.78873378258316,-80.28625051410756,n249,Txy,null,null
txy_T_001,250,25.78769557249055,-80.30283555233112,n250,Txy,null,null
txy_T_002,251,25.78778098381045,-80.3010995647747,n251,Txy,null,null
txy_T_003,252,25.78788834783216,-80.2984294540176,n252,Txy,null,null
txy_T_004,253,25.78804431633828,-80.29446265806406,n253,Txy,null,null
txy_T_005,254,25.78816694335673,-80.29163804902979,n254,Txy,null,null
txy_T_006,255,25.78822651198484,-80.29029947225357,n255,Txy,null,null
txy_T_007,256,25.78862330205057,-80.28864863446084,n256,Txy,null,null
txy_T_008,257,25.78883523843183,-80.28373034099073,n257,Txy,null,null
txy_T_009,258,25.78906334589016,-80.2805204224663,n258,Txy,null,null
txy_T_Q,259,25.78909964476856,-80.28018555540689,n259,Txy,null,null
txy_T_P,260,25.78906371670362,-80.27864240078219,n260,Txy,null,null
ramp_E_001,261,25.7935664626272,-80.2945284851147,n261,Ramp,null,null
txy_Y_001,262,25.790644365197,-80.28877209069456,n262,Txy,null,null
txy_Y_002,263,25.79144056279031,-80.28880923110732,n263,Txy,null,null
txy_Y_Q,264,25.79373990812196,-80.28895028199611,n264,Txy,null,null
txy_Y_P,265,25.79468654761196,-80.28897876354004,n265,Txy,null,null
txy_Y_Y2,266,25.79584588847608,-80.28903897242996,n266,Txy,null,null
txy_Y_Y1,267,25.79663191851077,-80.2890731451676,n267,Txy,null,null
ramp_07_001,268,25.78959013120429,-80.27970588522915,n268,Ramp,null,null
txy_Q8_002,269,25.78658807923052,-80.27673704364784,n269,Txy,null,null
txy_Q8_003,270,25.78689815699997,-80.27619894129491,n270,Txy,null,null
txy_Q8_004,271,25.78849353437052,-80.27552374834899,n271,Txy,null,null
txy_Q8_005,272,25.78844448048143,-80.2768098727044,n272,Txy,null,null
txy_Q8_006,273,25.78892222152513,-80.27555576089914,n273,Txy,null,null
ramp_08_009,274,25.7887681892559,-80.27754775090222,n274,Ramp,null,null
txy_P_002,275,25.79199694936267,-80.2839839501201,n275,Txy,null,null
txy_P_V,276,25.79307038355242,-80.28577785615828,n276,Txy,null,null
txy_P_003,277,25.79371348579931,-80.28703821566405,n277,Txy,null,null
txy_P_004,278,25.79515419690769,-80.28986125346249,n278,Txy,null,null
txy_P_JJ,279,25.79562272752317,-80.29079763199466,n279,Txy,null,null
txy_P_Z,280,25.79743974621951,-80.29435004351299,n280,Txy,null,null
txy_P_N,281,25.7989443119017,-80.29750658797626,n281,Txy,null,null
txy_P_W,282,25.79421445703908,-80.28801779534626,n282,Txy,null,null
txy_Y2_W,283,25.79549753807613,-80.28804544900684,n283,Txy,null,null
txy_W_Y1,284,25.7962884173882,-80.28805111177347,n284,Txy,null,null
txy_M1_002,285,25.79995512952268,-80.30111927525576,n285,Txy,null,null
txy_M1_001,286,25.79890440282038,-80.29907030919682,n286,Txy,null,null
txy_M2_001,287,25.80003378751583,-80.29758512086869,n287,Txy,null,null
txy_M1_003,288,25.79961108838338,-80.30119572094112,n288,Txy,null,null
txy_M1_004,289,25.79966239829762,-80.29996174326705,n289,Txy,null,null
txy_Q_U,290,25.79124223564003,-80.28428211918468,n290,Txy,null,null
txy_Q_V,291,25.79235114343687,-80.28622625374811,n291,Txy,null,null
txy_Q_V2,292,25.79274484224762,-80.28699459207232,n292,Txy,null,null
txy_Q_JJ,293,25.79465465311834,-80.2907385965652,n293,Txy,null,null
txy_Q_Z,294,25.79659692252271,-80.29456040086423,n294,Txy,null,null
txy_Q_Q1,295,25.79838700123556,-80.29804736108241,n295,Txy,null,null
txy_Q1_001,296,25.79810442365553,-80.29809474127333,n296,Txy,null,null
txy_N_N4,297,25.79936244334242,-80.28732555280384,n297,Txy,null,null
txy_N_001,298,25.80002550090931,-80.2711401360758,n298,Txy,null,null
ramp_01_101,299,25.79999015316419,-80.27207966006,n299,Ramp,null,null
txy_N_003,300,25.79988042669823,-80.27484094486942,n300,Txy,null,null
txy_N_005,301,25.79971624066421,-80.2787615394133,n301,Txy,null,null
txy_N_006,302,25.7996188768188,-80.28123343516194,n302,Txy,null,null
txy_N_008,303,25.79944367515933,-80.28527936276703,n303,Txy,null,null
txy_N_009,304,25.7993998964581,-80.28642043825437,n304,Txy,null,null
txy_N_010,305,25.79925015594466,-80.2900523680544,n305,Txy,null,null
txy_N_JJ,306,25.79920739938322,-80.29097006568578,n306,Txy,null,null
txy_N_Z,307,25.79909410387258,-80.29393535647054,n307,Txy,null,null
txy_AA_001,308,25.8007809954512,-80.2694698764889,n308,Txy,null,null
txy_AA_002,309,25.80091362907048,-80.26655870710117,n309,Txy,null,null
txy_AA_003,310,25.80133665405756,-80.26606902307637,n310,Txy,null,null
txy_AA_004,311,25.80297970555787,-80.2662171195646,n311,Txy,null,null
txy_AA_005,312,25.80332010406209,-80.2672147716827,n312,Txy,null,null
txy_AA_006,313,25.80332758886203,-80.26802350323328,n313,Txy,null,null
txy_AA_007,314,25.80327314251508,-80.26923659045278,n314,Txy,null,null
txy_AA_008,315,25.80325158655505,-80.26989357179872,n315,Txy,null,null
txy_L_001,316,25.80313260353723,-80.27262500031023,n316,Txy,null,null
txy_L_002,317,25.80311854358423,-80.27304761624157,n317,Txy,null,null
txy_L_003,318,25.80288074971385,-80.27548287066807,n318,Txy,null,null
txy_L_004,319,25.80285276524645,-80.27632435919955,n319,Txy,null,null
txy_L_005,320,25.80270912012671,-80.2796853871718,n320,Txy,null,null
txy_L_006,321,25.80260167464214,-80.28220490435119,n321,Txy,null,null
txy_L_007,322,25.80246612401309,-80.28544340577369,n322,Txy,null,null
txy_L_008,323,25.80238755564864,-80.28716290564009,n323,Txy,null,null
txy_L_009,324,25.80227175350587,-80.29021453112388,n324,Txy,null,null
txy_L_Z,325,25.80220964748356,-80.29174190357725,n325,Txy,null,null
txy_L_010,326,25.80207291827846,-80.29517463705209,n326,Txy,null,null
txy_L_011,327,25.80194926165811,-80.29754042307829,n327,Txy,null,null
txy_M_001,328,25.80089861883695,-80.27026677406931,n328,Txy,null,null
txy_M_002,329,25.80081536003928,-80.27210768875538,n329,Txy,null,null
txy_M_003,330,25.80069999536342,-80.27499095538992,n330,Txy,null,null
txy_M_004,331,25.80064236727715,-80.27621311319534,n331,Txy,null,null
txy_M_005,332,25.80052290682051,-80.27921122621672,n332,Txy,null,null
txy_M_006,333,25.80041504196803,-80.28173572524895,n333,Txy,null,null
txy_M_007,334,25.8003541654086,-80.283209114203,n334,Txy,null,null
txy_M_008,335,25.80027448383706,-80.28531086460309,n335,Txy,null,null
txy_M_009,336,25.80021499810069,-80.28648902686291,n336,Txy,null,null
txy_M_010,337,25.80017959741599,-80.28734518111182,n337,Txy,null,null
txy_M_011,338,25.80014839626935,-80.28827338162796,n338,Txy,null,null
txy_M_012,339,25.80003518234462,-80.29101015254341,n339,Txy,null,null
txy_M_Z,340,25.79992584630632,-80.29374661592189,n340,Txy,null,null
txy_M_013,341,25.79986889226401,-80.29508911285198,n341,Txy,null,null
txy_M_014,342,25.79976223891563,-80.29757773843325,n342,Txy,null,null
txy_K_001,343,25.80504304981512,-80.27652997069717,n343,Txy,null,null
txy_K_003,344,25.80487912431453,-80.28015017031804,n344,Txy,null,null
txy_K_002,345,25.80506258493703,-80.27562445315172,n345,Txy,null,null
txy_K_006,346,25.80465271297192,-80.28567874493235,n346,Txy,null,null
txy_K_004,347,25.80498692842862,-80.27794747889652,n347,Txy,null,null
txy_K_007,348,25.80462233388394,-80.28710037277726,n348,Txy,null,null
txy_K_008,349,25.80441327815901,-80.2915603883752,n349,Txy,null,null
txy_K_005,350,25.80479949499645,-80.28240136580948,n350,Txy,null,null
txy_K_010,351,25.8041127165193,-80.29904714401674,n351,Txy,null,null
txy_K_009,352,25.80417328292198,-80.29765056762997,n352,Txy,null,null
txy_K_012,353,25.80404881261478,-80.30236640369255,n353,Txy,null,null
txy_K_011,354,25.804039608281,-80.30063240064757,n354,Txy,null,null
parking_B_101,355,25.80642378150737,-80.27811471855628,n355,Park,null,null
txy_M11_001,356,25.80119307466224,-80.26989885478315,n356,Txy,null,null
txy_L11_001,357,25.80277426511016,-80.26987149745769,n357,Txy,null,null
txy_M10_001,358,25.80098276407895,-80.27514064336232,n358,Txy,null,null
txy_M10_002,359,25.80092654104743,-80.27622755001535,n359,Txy,null,null
txy_L10_001,360,25.80253771391677,-80.27547316915198,n360,Txy,null,null
txy_L10_002,361,25.80249735262495,-80.27631379657971,n361,Txy,null,null
txy_L10_003,362,25.80323217718189,-80.27550849780783,n362,Txy,null,null
