id,index,lat,lon,yEdId,domain,refName,type
Rwy_01_001,0,44.86631083382449,-93.23669613857724,n0,Rwy,RW35 ,Entry
Rwy_01_002,1,44.86738980212144,-93.23696383046995,n1,Rwy,null,null
Rwy_01_003,2,44.87022056859134,-93.23770789426187,n2,Rwy,null,null
Rwy_01_004,3,44.87234276851814,-93.23825919842746,n3,Rwy,null,null
Rwy_01_005,4,44.876017150987,-93.23921711319586,n4,Rwy,null,null
Rwy_01_006,5,44.87858921668962,-93.23988678119765,n5,Rwy,null,null
Rwy_01_007,6,44.88114035508585,-93.24053928554608,n6,Rwy,null,null
Rwy_01_008,7,44.88483446202561,-93.24150110440598,n7,Rwy,null,null
Rwy_01_009,8,44.88652129100843,-93.2419513675269,n8,Rwy,null,null
Rwy_01_010,9,44.88763133229777,-93.24223681274749,n9,Rwy,RW17 ,Entry
Rwy_02_001,10,44.88774491445673,-93.23395974693983,n10,Rwy,RW12R,Entry
Rwy_02_002,11,44.88715213538796,-93.23266905490807,n11,Rwy,null,null
Rwy_02_003,12,44.88531087216638,-93.22841646264331,n12,Rwy,null,null
Rwy_02_004,13,44.88507970309249,-93.22786069421198,n13,Rwy,null,null
Rwy_02_005,14,44.88371280181016,-93.2246998379383,n14,Rwy,null,null
Rwy_02_006,15,44.88345441126696,-93.22410213399534,n15,Rwy,null,null
Rwy_02_007,16,44.88304801890455,-93.22317732748238,n16,Rwy,null,null
Rwy_02_008,17,44.88262062703242,-93.22219666741086,n17,Rwy,null,null
Rwy_02_009,18,44.88235019817775,-93.22155614982636,n18,Rwy,null,null
Rwy_02_010,19,44.88187502408351,-93.2204580388038,n19,Rwy,null,null
Rwy_02_011,20,44.88029655956031,-93.21682611050102,n20,Rwy,null,null
Rwy_02_012,21,44.87900365191295,-93.21383273134593,n21,Rwy,null,null
Rwy_02_013,22,44.8786096510996,-93.21290778839796,n22,Rwy,null,null
Rwy_02_014,23,44.87630831865008,-93.20760026639708,n23,Rwy,null,null
Rwy_02_015,24,44.87416531455084,-93.20265849206409,n24,Rwy,null,null
Rwy_02_016,25,44.87359188122479,-93.2013418577656,n25,Rwy,RW30L,Entry
Rwy_03_001,26,44.8928863883921,-93.22081363461899,n26,Rwy,RW12L,Entry
Rwy_03_002,27,44.89233528861229,-93.21955261735586,n27,Rwy,null,null
Rwy_03_003,28,44.89066228486164,-93.21568113101254,n28,Rwy,null,null
Rwy_03_004,29,44.8902091608785,-93.21462239551317,n29,Rwy,null,null
Rwy_03_005,30,44.88978464047548,-93.21366424753742,n30,Rwy,null,null
Rwy_03_006,31,44.88936505205658,-93.21269220875564,n31,Rwy,null,null
Rwy_03_007,32,44.88910460669329,-93.21209727428864,n32,Rwy,null,null
Rwy_03_008,33,44.88816026413995,-93.20989930194467,n33,Rwy,null,null
Rwy_03_009,34,44.8875407653105,-93.20845209795803,n34,Rwy,null,null
Rwy_03_010,35,44.88662647034953,-93.20634674868644,n35,Rwy,null,null
Rwy_03_011,36,44.88516822608082,-93.20299276464486,n36,Rwy,null,null
Rwy_03_012,37,44.88421640337335,-93.20078942165934,n37,Rwy,null,null
Rwy_03_013,38,44.88196156087779,-93.1955793235704,n38,Rwy,null,null
Rwy_03_014,39,44.88156189808763,-93.19463304803678,n39,Rwy,RW30R,Entry
Rwy_03_015,40,44.88134317137242,-93.1941637409133,n40,Rwy,null,null
Rwy_04_001,41,44.89353429647676,-93.20838743988362,n41,Rwy,null,null
Rwy_04_002,42,44.89234248106183,-93.21006636449688,n42,Rwy,null,null
Rwy_04_003,43,44.8916701420027,-93.21102474887842,n43,Rwy,RW22 ,Entry
Rwy_04_004,44,44.89035404293132,-93.21286158905284,n44,Rwy,null,null
Rwy_04_005,45,44.88922135246303,-93.21447036167169,n45,Rwy,null,null
Rwy_04_006,46,44.88898786452121,-93.21478599734606,n46,Rwy,null,null
Rwy_04_007,47,44.88821174697852,-93.21587906154147,n47,Rwy,null,null
Rwy_04_008,48,44.88700342594697,-93.21758449393623,n48,Rwy,null,null
Rwy_04_009,49,44.88554242397118,-93.21963554293515,n49,Rwy,null,null
Rwy_04_010,50,44.88489850201057,-93.22054490353527,n50,Rwy,null,null
Rwy_04_011,51,44.88384415880601,-93.22202396234785,n51,Rwy,null,null
Rwy_04_012,52,44.88247606818015,-93.22394728186474,n52,Rwy,null,null
Rwy_04_013,53,44.88224477531611,-93.22427744398082,n53,Rwy,null,null
Rwy_04_014,54,44.87936286930523,-93.22832867064861,n54,Rwy,null,null
Rwy_04_015,55,44.87773067571686,-93.23063210197235,n55,Rwy,null,null
Rwy_04_016,56,44.8752976658483,-93.23410099622694,n56,Rwy,RW04 ,Entry
Rwy_04_017,57,44.87489928109955,-93.2346278265567,n57,Rwy,null,null
Rwy_04_018,58,44.87325332813657,-93.23692660355978,n58,Rwy,null,null
Rwy_04_019,59,44.87298899137544,-93.23731371467038,n59,Rwy,null,null
Rwy_04_020,60,44.87203743694337,-93.23864136935704,n60,Rwy,null,null
Rwy_04_021,61,44.8716505194765,-93.23919555058822,n61,Rwy,null,null
Rwy_04_022,62,44.87141187238343,-93.23958418314493,n62,Rwy,null,null
Gate_01_001,63,44.87897055536188,-93.1968936044571,n63,Gate,null,null
Gate_01_002,64,44.87902044572373,-93.19720971983871,n64,Gate,null,null
Gate_01_003,65,44.87913936020324,-93.19749927460754,n65,Gate,null,null
Gate_01_004,66,44.87918495892595,-93.19782623403978,n66,Gate,null,null
Gate_01_005,67,44.87933025008141,-93.19813391112072,n67,Gate,null,null
Gate_01_006,68,44.8794496720717,-93.19842051915207,n68,Gate,null,null
Gate_01_007,69,44.87956042256958,-93.19871251937516,n69,Gate,null,null
Gate_01_008,70,44.87969303645056,-93.19897790867363,n70,Gate,null,null
Gate_01_009,71,44.87981870798793,-93.19925537013107,n71,Gate,null,null
Gate_01_010,72,44.8799385861517,-93.19954410078992,n72,Gate,null,null
Gate_01_011,73,44.88005922490343,-93.19981986236158,n73,Gate,null,null
Gate_01_012,74,44.88017403646938,-93.20010264877978,n74,Gate,null,null
Gate_01_013,75,44.8802918102339,-93.20039166493915,n75,Gate,null,null
Gate_01_014,76,44.88088618516856,-93.20081573874427,n76,Gate,null,null
Gate_01_015,77,44.88120802620759,-93.2009516362089,n77,Gate,null,null
Gate_01_016,78,44.88144350408819,-93.20086830858472,n78,Gate,null,null
Gate_01_017,79,44.88145680248879,-93.20116216850784,n79,Gate,null,null
Gate_01_018,80,44.88151949904374,-93.20155233773454,n80,Gate,null,null
Gate_01_019,81,44.88166407994724,-93.20190233369065,n81,Gate,null,null
Gate_01_020,82,44.88183046564281,-93.20220553276909,n82,Gate,null,null
Gate_01_021,83,44.88205485576901,-93.202264595659,n83,Gate,null,null
Gate_01_022,84,44.88185904848025,-93.20265408868826,n84,Gate,null,null
Gate_01_023,85,44.88189996746117,-93.20302414770455,n85,Gate,null,null
Gate_01_024,86,44.88207376100493,-93.20335074721984,n86,Gate,null,null
Gate_01_025,87,44.88227782717812,-93.20342959284784,n87,Gate,null,null
Gate_01_026,88,44.88250154435423,-93.20378329835266,n88,Gate,null,null
Gate_01_027,89,44.8826311611576,-93.20421351137426,n89,Gate,null,null
Gate_01_028,90,44.88280402788646,-93.20463937066218,n90,Gate,null,null
Gate_01_029,91,44.88302389604165,-93.20502977273492,n91,Gate,null,null
Gate_01_030,92,44.88321035133765,-93.2054500933171,n92,Gate,null,null
Gate_01_031,93,44.88344880965587,-93.20578755093509,n93,Gate,null,null
Gate_01_032,94,44.88355611138808,-93.20624136861106,n94,Gate,null,null
Gate_01_033,95,44.8836620572887,-93.20666524491446,n95,Gate,null,null
Gate_01_034,96,44.88386163607052,-93.2070605182231,n96,Gate,null,null
Gate_01_035,97,44.88403943107101,-93.20740335599203,n97,Gate,null,null
Gate_01_036,98,44.88421088883052,-93.20781183467497,n98,Gate,null,null
Gate_01_037,99,44.88436323721655,-93.20822410675024,n99,Gate,null,null
Gate_01_038,100,44.88447573277232,-93.20870017785836,n100,Gate,null,null
Gate_01_039,101,44.88464352317828,-93.2090992239265,n101,Gate,null,null
Gate_01_040,102,44.88493273304574,-93.20971084925326,n102,Gate,null,null
Gate_01_041,103,44.88551135473319,-93.20986963593889,n103,Gate,null,null
Gate_01_042,104,44.88561675127815,-93.21026288338211,n104,Gate,null,null
Gate_01_043,105,44.88573666039365,-93.21058657714246,n105,Gate,null,null
Gate_01_044,106,44.88563032934609,-93.21084312548103,n106,Gate,null,null
Gate_01_045,107,44.88521686804396,-93.2106606664554,n107,Gate,null,null
Gate_01_046,108,44.8847781205643,-93.21139184783095,n108,Gate,null,null
Gate_01_047,109,44.88506971619084,-93.21204580565005,n109,Gate,null,null
Gate_01_048,110,44.88545454825443,-93.2123124300044,n110,Gate,null,null
Gate_01_049,111,44.88572298331493,-93.21267631795187,n111,Gate,null,null
Gate_01_050,112,44.88588148316597,-93.21294048953149,n112,Gate,null,null
Gate_01_051,113,44.88602238824557,-93.21339573624198,n113,Gate,null,null
Gate_01_052,114,44.885859208185,-93.21382080399508,n114,Gate,null,null
Gate_01_053,115,44.88571701778299,-93.21403259526842,n115,Gate,null,null
Gate_01_054,116,44.8854427713243,-93.21434964439263,n116,Gate,null,null
Gate_01_055,117,44.88533860927423,-93.21404631917262,n117,Gate,null,null
Gate_01_056,118,44.88518660118653,-93.21348225951944,n118,Gate,null,null
Gate_01_057,119,44.8848866453047,-93.21311205889275,n119,Gate,null,null
Gate_01_058,120,44.88476078950767,-93.2127067203838,n120,Gate,null,null
Gate_01_059,121,44.88433525183209,-93.2119142487355,n121,Gate,null,null
Gate_01_060,122,44.88340158470766,-93.21289714966156,n122,Gate,null,null
Gate_01_061,123,44.88350872771544,-93.21339197656053,n123,Gate,null,null
Gate_01_062,124,44.88366850405254,-93.21400088986657,n124,Gate,null,null
Gate_01_063,125,44.88383992332275,-93.2146015145522,n125,Gate,null,null
Gate_01_064,126,44.88394295614344,-93.21512249346384,n126,Gate,null,null
Gate_01_065,127,44.8840863950857,-93.21563999966962,n127,Gate,null,null
Gate_01_066,128,44.88421733796005,-93.2160089935212,n128,Gate,null,null
Gate_01_067,129,44.88406225256325,-93.21626540587881,n129,Gate,null,null
Gate_01_068,130,44.88391173630591,-93.21642845654843,n130,Gate,null,null
Gate_01_069,131,44.88362562921655,-93.21657868190206,n131,Gate,null,null
Gate_01_070,132,44.88343226161065,-93.21609316239854,n132,Gate,null,null
Gate_01_071,133,44.88329791055401,-93.21570587050792,n133,Gate,null,null
Gate_01_072,134,44.88325253346602,-93.21502292958569,n134,Gate,null,null
Gate_01_073,135,44.88315088359363,-93.21438553000782,n135,Gate,null,null
Gate_01_074,136,44.88296039885305,-93.2138053229506,n136,Gate,null,null
Gate_01_075,137,44.88281231774325,-93.21317983395069,n137,Gate,null,null
Gate_01_076,138,44.88212472375979,-93.21336506548343,n138,Gate,null,null
Gate_01_077,139,44.88189102398314,-93.2135383699396,n139,Gate,null,null
Gate_01_078,140,44.88174231372926,-93.21324139678923,n140,Gate,null,null
Gate_01_079,141,44.88125843745217,-93.21302842938778,n141,Gate,null,null
Gate_01_080,142,44.8814134545165,-93.21270053201977,n142,Gate,null,null
Gate_01_081,143,44.88140977697543,-93.21220044929738,n143,Gate,null,null
