n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Rwy_01_002,15,37.70661984249973,-122.2219267952192,Rwy_01_003,16,37.70893193727783,-122.2253918861103
Rwy_01_003,16,37.70893193727783,-122.2253918861103,Rwy_01_004,17,37.71227022953309,-122.230417427987
Rwy_01_005,18,37.7190234454846,-122.2405504927272,Rwy_01_004,17,37.71227022953309,-122.230417427987
Rwy_02_003,21,37.72489158767959,-122.214153073562,Rwy_02_004,22,37.72539382877625,-122.2156674133877
Rwy_02_004,22,37.72539382877625,-122.2156674133877,Rwy_02_005,23,37.72609923113674,-122.217845062619
Rwy_02_005,23,37.72609923113674,-122.217845062619,Rwy_02_006,24,37.72840355903205,-122.2249954507282
Rwy_02_006,24,37.72840355903205,-122.2249954507282,Rwy_02_007,25,37.72867159866181,-122.225807633864
Rwy_03_003,28,37.72744330072555,-122.2128373262152,Rwy_03_004,29,37.72793750382411,-122.2143606000857
Rwy_03_004,29,37.72793750382411,-122.2143606000857,Rwy_03_005,30,37.72942636386568,-122.2189661095201
Rwy_03_005,30,37.72942636386568,-122.2189661095201,Rwy_03_006,31,37.729745870324,-122.2199671019973
Rwy_03_006,31,37.729745870324,-122.2199671019973,Rwy_03_007,32,37.73041660896243,-122.2220331520124
Rwy_04_002,34,37.73429012944459,-122.2207054102777,Rwy_04_001,33,37.73138248944642,-122.2196848468842
Rwy_04_005,37,37.7402228917974,-122.2227849976296,Rwy_04_004,36,37.73991734968891,-122.2226782183035
Rwy_04_004,36,37.73991734968891,-122.2226782183035,Rwy_04_003,35,37.7364150922873,-122.2214503043963
Rwy_04_003,35,37.7364150922873,-122.2214503043963,Rwy_04_002,34,37.73429012944459,-122.2207054102777
Rwy_02_001,19,37.72232022373589,-122.2061391771135,Rwy_02_002,20,37.72268061885734,-122.2072623442614
Rwy_03_002,27,37.72634571431891,-122.2094407715253,Rwy_03_001,26,37.72486133496633,-122.2048368529794
Rwy_02_002,20,37.72268061885734,-122.2072623442614,Rwy_02_003,21,37.72489158767959,-122.214153073562
Rwy_03_003,28,37.72744330072555,-122.2128373262152,Rwy_03_002,27,37.72634571431891,-122.2094407715253
Rwy_01_001,0,37.701593516879,-122.2143961993917,Rwy_01_002,15,37.70661984249973,-122.2219267952192
Txy_W_001,38,37.70220021104029,-122.213688150813,Rwy_01_001,0,37.701593516879,-122.2143961993917
Txy_W_001,38,37.70220021104029,-122.213688150813,Txy_W_002,39,37.70271459765394,-122.2135722644889
Txy_W_002,39,37.70271459765394,-122.2135722644889,Txy_W_003,40,37.70396540706551,-122.2141623069666
Txy_W_003,40,37.70396540706551,-122.2141623069666,Txy_U_W,41,37.70661934059504,-122.2181672654064
Txy_U_W,41,37.70661934059504,-122.2181672654064,Txy_U_002,50,37.70713882685931,-122.2176080948135
Txy_U_002,50,37.70713882685931,-122.2176080948135,Txy_U_T,51,37.70901013437699,-122.2156324654358
Txy_U_T,51,37.70901013437699,-122.2156324654358,Txy_T_001,52,37.70928382020028,-122.2160954665509
Txy_T_001,52,37.70928382020028,-122.2160954665509,Txy_T_002,53,37.70952889634683,-122.2165046937957
Txy_T_003,54,37.7098364252339,-122.2170265663733,Txy_T_002,53,37.70952889634683,-122.2165046937957
Txy_T_004,55,37.71015600846007,-122.217548911952,Txy_T_003,54,37.7098364252339,-122.2170265663733
Txy_U_001,49,37.70625475384907,-122.2196999899337,Rwy_01_002,15,37.70661984249973,-122.2219267952192
Txy_U_W,41,37.70661934059504,-122.2181672654064,Txy_W_004,42,37.71086089395735,-122.2245383267203
Txy_W_004,42,37.71086089395735,-122.2245383267203,Txy_W_V,43,37.71172480551269,-122.2258255718747
Txy_V_001,60,37.71062382499451,-122.226245168283,Rwy_01_003,16,37.70893193727783,-122.2253918861103
Txy_W_V,43,37.71172480551269,-122.2258255718747,Txy_W_005,44,37.71316489414841,-122.2279957182355
Rwy_02_001,19,37.72232022373589,-122.2061391771135,Txy_B_007,66,37.72171245598133,-122.2068086531599
Txy_B_007,66,37.72171245598133,-122.2068086531599,Txy_B_006,65,37.71979861766965,-122.2126793001492
Txy_B_004,64,37.71800850649882,-122.2152178441178,Txy_B_003,63,37.71710664953142,-122.2164946568637
Txy_B_003,63,37.71710664953142,-122.2164946568637,Txy_B_002,62,37.71584539615981,-122.218285230884
Txy_B_002,62,37.71584539615981,-122.218285230884,Txy_B_001,61,37.71498947128652,-122.2194994887298
Txy_B_001,61,37.71498947128652,-122.2194994887298,Txy_T_B,58,37.71311497120155,-122.2221634115583
Txy_T_B,58,37.71311497120155,-122.2221634115583,Txy_T_006,57,37.71220387512395,-122.2207991617065
Txy_T_006,57,37.71220387512395,-122.2207991617065,Txy_T_005,56,37.71056416045505,-122.2182738306668
Txy_V_002,59,37.71341003373496,-122.223442071238,Txy_W_V,43,37.71172480551269,-122.2258255718747
Txy_W_005,44,37.71316489414841,-122.2279957182355,Txy_W_006,45,37.71544756398529,-122.231423017055
Txy_W_006,45,37.71544756398529,-122.231423017055,Txy_W_007,46,37.71841701779604,-122.236529421143
Txy_W_007,46,37.71841701779604,-122.236529421143,Txy_W_008,47,37.71970191323459,-122.2391856163194
Txy_W_008,47,37.71970191323459,-122.2391856163194,Txy_W_009,48,37.71965742157232,-122.2398909627405
Txy_W_009,48,37.71965742157232,-122.2398909627405,Rwy_01_005,18,37.7190234454846,-122.2405504927272
Txy_U_001,49,37.70625475384907,-122.2196999899337,Txy_U_101,68,37.70628163196115,-122.2187848614773
