n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Rwy_01_001,0,34.05687012928011,-117.6226817707794,Txy_N_001,25,34.05765468668118,-117.6226553837148
Txy_N_001,25,34.05765468668118,-117.6226553837148,Txy_N_002,26,34.05797266648011,-117.621921729879
Txy_N_002,26,34.05797266648011,-117.621921729879,Txy_N_003,27,34.05797569683078,-117.6202092996846
Txy_N_003,27,34.05797569683078,-117.6202092996846,Txy_N_004,28,34.05797296985955,-117.6195170144839
Txy_N_002,26,34.05797266648011,-117.621921729879,Txy_B_001,24,34.05872893029332,-117.6219226460354
Parking_09_001,178,34.05953392990534,-117.6219289295214,Txy_B_001,24,34.05872893029332,-117.6219226460354
Rwy_01_001,0,34.05687012928011,-117.6226817707794,Rwy_01_002,2,34.05687438319525,-117.619520282346
Rwy_01_002,2,34.05687438319525,-117.619520282346,Rwy_01_003,5,34.05686117705967,-117.6185497632885
Rwy_01_003,5,34.05686117705967,-117.6185497632885,Rwy_01_004,6,34.05687580367211,-117.6160817361126
Rwy_01_004,6,34.05687580367211,-117.6160817361126,Rwy_01_005,7,34.05688216025553,-117.610145810141
Txy_M_A,237,34.05614926242877,-117.6227153662076,Rwy_01_001,0,34.05687012928011,-117.6226817707794
Txy_A_001,238,34.055486802951,-117.6227001495422,Txy_M_A,237,34.05614926242877,-117.6227153662076
Txy_A_002,239,34.05521419333967,-117.6224884652129,Txy_A_001,238,34.055486802951,-117.6227001495422
Txy_M_A,237,34.05614926242877,-117.6227153662076,Txy_M_002,236,34.05605384235514,-117.6210011862207
Txy_M_002,236,34.05605384235514,-117.6210011862207,Txy_M_001,235,34.05604970996289,-117.6190056390073
Txy_D_004,82,34.05874374703055,-117.6160817395941,Txy_N_D,29,34.05797738576961,-117.6160802179561
Txy_N_D,29,34.05797738576961,-117.6160802179561,Txy_D_003,81,34.05766105883845,-117.6160800172874
Txy_D_003,81,34.05766105883845,-117.6160800172874,Rwy_01_004,6,34.05687580367211,-117.6160817361126
Rwy_01_004,6,34.05687580367211,-117.6160817361126,Txy_D_002,79,34.05617620535006,-117.6160798206745
Txy_D_002,79,34.05617620535006,-117.6160798206745,Txy_D_M,80,34.05605423276349,-117.6160773957014
Txy_D_M,80,34.05605423276349,-117.6160773957014,Txy_D_001,78,34.05573683710643,-117.616080098491
Rwy_02_001,15,34.05495194563564,-117.6160790152327,Txy_D_001,78,34.05573683710643,-117.616080098491
Txy_S_001,77,34.05417529484494,-117.6160451558759,Rwy_02_001,15,34.05495194563564,-117.6160790152327
Rwy_02_001,15,34.05495194563564,-117.6160790152327,Rwy_02_002,16,34.05495512340741,-117.6111038586788
Txy_F_001,68,34.05416585008513,-117.6120591299865,Rwy_02_002,16,34.05495512340741,-117.6111038586788
Txy_F_001,68,34.05416585008513,-117.6120591299865,Txy_S_F,67,34.05385662982954,-117.6124246990937
Txy_S_S,76,34.05385398558114,-117.6151943863918,Txy_S_001,77,34.05417529484494,-117.6160451558759
Parking_05_006,190,34.05257159123404,-117.613587063169,Ramp_05_002,194,34.05246625294715,-117.6127939189225
Ramp_05_003,195,34.05300205875172,-117.6127906469842,Parking_05_009,193,34.0530009240166,-117.6133989201682
Ramp_05_003,195,34.05300205875172,-117.6127906469842,Ramp_05_002,194,34.05246625294715,-117.6127939189225
Parking_05_008,192,34.05301037117408,-117.6114699662953,Ramp_05_003,195,34.05300205875172,-117.6127906469842
Parking_05_007,191,34.05245836413672,-117.6119344256764,Ramp_05_002,194,34.05246625294715,-117.6127939189225
Parking_05_005,189,34.0521364656777,-117.6122126791107,Ramp_05_001,188,34.05198745254721,-117.6127980852368
Parking_05_025,182,34.05158767937281,-117.6116074501492,Ramp_05_001,188,34.05198745254721,-117.6127980852368
Parking_05_026,183,34.05127728105081,-117.612077633035,Ramp_05_001,188,34.05198745254721,-117.6127980852368
Parking_05_004,1,34.05148421159206,-117.612890361685,Ramp_05_001,188,34.05198745254721,-117.6127980852368
Ramp_05_001,188,34.05198745254721,-117.6127980852368,Ramp_05_002,194,34.05246625294715,-117.6127939189225
Txy_K_001,62,34.05417161639137,-117.6037781030115,Txy_S_K,61,34.05385757266583,-117.6030040070247
Rwy_02_003,17,34.05495657560681,-117.6047391379956,Txy_K_001,62,34.05417161639137,-117.6037781030115
Txy_K_002,87,34.05574018552503,-117.605676152307,Rwy_02_003,17,34.05495657560681,-117.6047391379956
Txy_K_M,88,34.0560591871592,-117.6060567874347,Txy_K_002,87,34.05574018552503,-117.605676152307
Txy_K_003,89,34.05617992314627,-117.6062180121042,Txy_K_M,88,34.0560591871592,-117.6060567874347
Rwy_01_006,8,34.05688268977458,-117.6070511818689,Txy_K_003,89,34.05617992314627,-117.6062180121042
Txy_F_M,84,34.05605805434583,-117.6101460489999,Txy_K_M,88,34.0560591871592,-117.6060567874347
Txy_F_M,84,34.05605805434583,-117.6101460489999,Txy_F_002,83,34.05573501730765,-117.6101987152827
Txy_F_M,84,34.05605805434583,-117.6101460489999,Txy_F_003,85,34.05620061073331,-117.6101427033683
Txy_F_003,85,34.05620061073331,-117.6101427033683,Rwy_01_005,7,34.05688216025553,-117.610145810141
Rwy_01_005,7,34.05688216025553,-117.610145810141,Txy_F_004,86,34.05766753932554,-117.6101441989445
Txy_F_004,86,34.05766753932554,-117.6101441989445,Txy_N_005,30,34.05797976060375,-117.6101553045058
Txy_F_002,83,34.05573501730765,-117.6101987152827,Rwy_02_002,16,34.05495512340741,-117.6111038586788
Txy_S_K,61,34.05385757266583,-117.6030040070247,Txy_S_P,58,34.05385959345709,-117.6025236774838
Txy_S_P,58,34.05385959345709,-117.6025236774838,Txy_P_001,59,34.05345042190304,-117.602528476643
Txy_P_002,60,34.05417698267975,-117.6024230944763,Txy_S_P,58,34.05385959345709,-117.6025236774838
Txy_S_P,58,34.05385959345709,-117.6025236774838,Txy_S_Q,57,34.05386338758294,-117.5977343338054
Txy_Q_001,56,34.0541739125761,-117.5980917603417,Txy_S_Q,57,34.05386338758294,-117.5977343338054
Rwy_02_006,20,34.05496110814404,-117.599131129243,Txy_Q_001,56,34.0541739125761,-117.5980917603417
Txy_Q_002,100,34.05574753922782,-117.599769609988,Rwy_02_006,20,34.05496110814404,-117.599131129243
Rwy_02_005,19,34.05496302399914,-117.6015198578859,Txy_P_002,60,34.05417698267975,-117.6024230944763
Rwy_02_004,18,34.05496033965751,-117.602442083586,Rwy_02_003,17,34.05495657560681,-117.6047391379956
Rwy_02_004,18,34.05496033965751,-117.602442083586,Rwy_02_005,19,34.05496302399914,-117.6015198578859
