id,index,lat,lon,yEdId,domain,refName,type
Txy_T4_001,0,-87.9216222522,41.9814489162,n0,Txy,null,null
Rwy_05_007,1,-87.9061939538,41.9690425789,n1,Rwy,null,null
Txy_A_055,2,-87.8977057669,41.9725383577,n2,Txy,null,null
Ramp_03_070,3,-87.9018321017,41.9729542221,n3,Ramp,null,null
Txy_W_T4,4,-87.9209240456,41.9815405637,n4,Txy,null,null
Txy_A_053,5,-87.912645086,41.9770714633,n5,Txy,null,null
Txy_A_054,6,-87.9116759475,41.9759635753,n6,Txy,null,null
Ramp_05_008,7,-87.9115513356,41.9600704121,n7,Ramp,null,null
Txy_A_052,8,-87.9127804423,41.979162285,n8,Txy,null,null
Txy_A_051,9,-87.911990521,41.9803114394,n9,Txy,null,null
Txy_A_050,10,-87.9113688119,41.981131174,n10,Txy,null,null
Ramp_05_007,11,-87.911544174,41.9611177849,n11,Ramp,null,null
Ramp_05_004,12,-87.9094548626,41.9621899104,n12,Ramp,null,null
Ramp_05_005,13,-87.9102264114,41.9621863613,n13,Ramp,null,null
Gate_05_006,14,-87.9106768068,41.9600645986,n14,Gate,null,null
Gate_05_001,15,-87.9088651421,41.9613811686,n15,Gate,null,null
Gate_05_002,16,-87.909481845,41.961376744,n16,Gate,null,null
Gate_05_003,17,-87.9101881084,41.9613855502,n17,Gate,null,null
Gate_05_005,18,-87.9104907689,41.9611162715,n18,Gate,null,null
Gate_05_004,19,-87.9105857774,41.9614076034,n19,Gate,null,null
Gate_07_006,20,-87.8916742062,41.9879164302,n20,Gate,null,null
Gate_07_005,21,-87.8919305008,41.9901911587,n21,Gate,null,null
Gate_07_004,22,-87.8917201024,41.989291184,n22,Gate,null,null
Gate_07_003,23,-87.8917070181,41.9886552885,n23,Gate,null,null
Gate_07_002,24,-87.8945871328,41.9893837987,n24,Gate,null,null
Gate_07_001,25,-87.894619885,41.9902097152,n25,Gate,null,null
Ramp_01_006,26,-87.9071259263,41.9823647166,n26,Ramp,null,null
Ramp_01_001,27,-87.9041607046,41.9823956323,n27,Ramp,null,null
Ramp_01_002,28,-87.9046510519,41.9823956405,n28,Ramp,null,null
Ramp_01_003,29,-87.9051489873,41.9823984443,n29,Ramp,null,null
Ramp_01_004,30,-87.9056053346,41.9823872367,n30,Ramp,null,null
Ramp_01_005,31,-87.9061139197,41.982393607,n31,Ramp,null,null
Ramp_02_006,32,-87.9070881076,41.9743287606,n32,Ramp,null,null
Ramp_03_007,33,-87.9018239002,41.9733009756,n33,Ramp,null,null
Ramp_03_013,34,-87.901820287,41.9739706913,n34,Ramp,null,null
Ramp_03_016,35,-87.901831448,41.9743387691,n35,Ramp,null,null
Ramp_03_012,36,-87.9020943185,41.9738975314,n36,Ramp,null,null
Ramp_03_004,37,-87.9020848763,41.9729550998,n37,Ramp,null,null
Ramp_03_032,38,-87.8991288739,41.9740332851,n38,Ramp,null,null
Ramp_03_056,39,-87.8992630027,41.9764124491,n39,Ramp,null,null
Ramp_03_039,40,-87.8961326238,41.9758714078,n40,Ramp,null,null
Ramp_03_040,41,-87.8964059536,41.9756871264,n41,Ramp,null,null
Ramp_04_027,42,-87.8836761757,41.97334108,n42,Ramp,null,null
Ramp_04_025,43,-87.8845633767,41.9726854682,n43,Ramp,null,null
Ramp_04_024,44,-87.8856661215,41.9727054008,n44,Ramp,null,null
Ramp_04_022,45,-87.8870700536,41.9726968021,n45,Ramp,null,null
Ramp_04_021,46,-87.8879468357,41.9726924974,n46,Ramp,null,null
Ramp_04_020,47,-87.8884631326,41.9726800289,n47,Ramp,null,null
Ramp_04_028,48,-87.8889554146,41.9726800529,n48,Ramp,null,null
Ramp_04_018,49,-87.8899370125,41.9726884164,n49,Ramp,null,null
Ramp_04_016,50,-87.8922083284,41.9726787566,n50,Ramp,null,null
Ramp_04_014,51,-87.8932891529,41.9734627355,n51,Ramp,null,null
Ramp_04_009,52,-87.89359305,41.9775627865,n52,Ramp,null,null
Ramp_04_010,53,-87.8935360139,41.9769522839,n53,Ramp,null,null
Ramp_04_011,54,-87.8933105957,41.9762639965,n54,Ramp,null,null
Ramp_03_043,55,-87.8969169856,41.9758236352,n55,Ramp,null,null
Ramp_03_050,56,-87.8981100276,41.9761602259,n56,Ramp,null,null
Ramp_03_055,57,-87.8989023653,41.9765979532,n57,Ramp,null,null
Ramp_03_057,58,-87.8996070843,41.9761968772,n58,Ramp,null,null
Ramp_03_049,59,-87.8981919848,41.9758536955,n59,Ramp,null,null
Ramp_03_041,60,-87.8963467377,41.97533322,n60,Ramp,null,null
Ramp_03_042,61,-87.8967331129,41.9754200638,n61,Ramp,null,null
Ramp_03_045,62,-87.8971937859,41.9755575041,n62,Ramp,null,null
Ramp_03_051,63,-87.8980777287,41.9763890778,n63,Ramp,null,null
Ramp_03_044,64,-87.8966990052,41.976006825,n64,Ramp,null,null
Ramp_03_025,65,-87.8973936527,41.9731543202,n65,Ramp,null,null
Ramp_03_034,66,-87.8966407887,41.9734935571,n66,Ramp,null,null
Ramp_03_035,67,-87.8961071716,41.9738850228,n67,Ramp,null,null
Ramp_03_026,68,-87.8980173428,41.9733443918,n68,Ramp,null,null
Ramp_03_027,69,-87.8983530062,41.9732082744,n69,Ramp,null,null
Ramp_03_028,70,-87.8986841302,41.9730899019,n70,Ramp,null,null
