n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Txy_K_001,640,-87.9208574696,41.9716596802,Txy_M_M1,717,-87.9208194332,41.9703585504
Txy_K_001,640,-87.9208574696,41.9716596802,Txy_K_002,639,-87.9202686244,41.9720523082
Txy_K_002,639,-87.9202686244,41.9720523082,Txy_K_003,638,-87.9157247815,41.9720611942
Txy_P_P1,653,-87.9165812319,42.0014322357,Txy_P_U,543,-87.9103712125,41.995872986
Txy_P_U,543,-87.9103712125,41.995872986,Txy_P_E,542,-87.908936402,41.9945873807
Txy_P_E,542,-87.908936402,41.9945873807,Txy_P_G,541,-87.9075077044,41.9933222196
Rwy_01_004,693,-87.9042364655,41.9904117814,Txy_P_002,538,-87.9035178295,41.9897763472
Txy_P_002,538,-87.9035178295,41.9897763472,Txy_P_GG,537,-87.9003830795,41.9870061628
Txy_P_005,533,-87.8939938925,41.9815787113,Txy_H_P,650,-87.8957750148,41.9828866216
Txy_P_005,533,-87.8939938925,41.9815787113,Txy_A_P,544,-87.8929711307,41.9808312673
Txy_A_P,544,-87.8929711307,41.9808312673,Txy_B_P,654,-87.8922815459,41.9802446699
Txy_B_A20,612,-87.8942935574,41.9758618042,Txy_B_A19,609,-87.8942950718,41.9748169287
Txy_B_A19,609,-87.8942950718,41.9748169287,Txy_B_D1,608,-87.8942868144,41.9735529802
Txy_B_002,649,-87.895257553,41.9726723707,Txy_B_A18,581,-87.8956466558,41.972542866
Txy_B_A18,581,-87.8956466558,41.972542866,Txy_B_001,579,-87.8959162614,41.9724379074
Txy_B_001,579,-87.8959162614,41.9724379074,Txy_B_A17,580,-87.8968533421,41.9720871213
Txy_B_A17,580,-87.8968533421,41.9720871213,Txy_B_D,648,-87.8972642644,41.9719371288
Txy_B_D,648,-87.8972642644,41.9719371288,Txy_B_A15,576,-87.8986649813,41.971411119
Txy_B_A15,576,-87.8986649813,41.971411119,Txy_B_F,586,-87.9013166025,41.9713634913
Txy_B_F,586,-87.9013166025,41.9713634913,Txy_B_A14,587,-87.9023301174,41.9713580205
Txy_B_A14,587,-87.9023301174,41.9713580205,Txy_B_A13,588,-87.9042093328,41.9713884598
Txy_B_A11,590,-87.9079738941,41.9718816131,Txy_B_A10,591,-87.9097456967,41.9730921055
Txy_B_A10,591,-87.9097456967,41.9730921055,Txy_B_A9,592,-87.9110432001,41.9742052595
Txy_B_A9,592,-87.9110432001,41.9742052595,Txy_B_A8,593,-87.9120127833,41.9750802713
Txy_B_A8,593,-87.9120127833,41.9750802713,Txy_B_A7,594,-87.9133091728,41.9762259752
Txy_B_A7,594,-87.9133091728,41.9762259752,Txy_B_A6,595,-87.9138591814,41.9775437187
Txy_B_A6,595,-87.9138591814,41.9775437187,Txy_B_A5,596,-87.9139002264,41.9785746425
Txy_B_A5,596,-87.9139002264,41.9785746425,Txy_B_A4,597,-87.9131721226,41.9801339459
Txy_B_A4,597,-87.9131721226,41.9801339459,Txy_B_E,598,-87.9124282141,41.9811789537
Txy_B_E,598,-87.9124282141,41.9811789537,Txy_B_R,599,-87.9113894695,41.9821224807
Txy_A_A8,568,-87.9112214496,41.9755082987,Txy_A_003,567,-87.9108199893,41.9751111707
Txy_A_003,567,-87.9108199893,41.9751111707,Txy_A_004,566,-87.9104411595,41.974763684
Txy_A_004,566,-87.9104411595,41.974763684,Txy_A_A10,565,-87.9090656601,41.9735535381
Txy_A_A10,565,-87.9090656601,41.9735535381,Txy_A_005,564,-87.9085591358,41.9731644218
Txy_A_005,564,-87.9085591358,41.9731644218,Txy_A_006,563,-87.9083194104,41.9729905937
Txy_A_006,563,-87.9083194104,41.9729905937,Txy_A_007,562,-87.9080796714,41.9728321722
Txy_A_007,562,-87.9080796714,41.9728321722,Txy_A_A11,561,-87.9074961208,41.9724752
Txy_A_A12,560,-87.9051641395,41.9721205607,Txy_A_008,558,-87.9049063298,41.9721114386
