id,index,lat,lon,yEdId,domain,refName,type
Rwy_01_02,0,45.58942970636041,-122.6067969360009,n0,Rwy,null,null
Rwy_01_001,1,45.59507427728083,-122.621306344471,n1,Rwy,RW10R,Entry
Rwy_01_002,2,45.59217119143427,-122.6138457232475,n2,Rwy,null,null
Rwy_01_003,3,45.58887827966985,-122.605388870662,n3,Rwy,null,null
Rwy_01_004,4,45.58750504109583,-122.6018553413629,n4,Rwy,null,null
Rwy_01_005,5,45.58635153953215,-122.5989069941197,n5,Rwy,null,null
Rwy_01_006,6,45.58594185401434,-122.5978518798957,n6,Rwy,null,null
Rwy_01_007,7,45.58374957550325,-122.5922141770536,n7,Rwy,null,null
Rwy_01_008,8,45.58057702593565,-122.5840743523917,n8,Rwy,RW28L,Entry
Rwy_02_001,9,45.59583580824705,-122.5977013338007,n9,Rwy,null,null
Rwy_02_002,10,45.59465788557077,-122.5993651296178,n10,Rwy,RW21 ,Entry
Rwy_02_003,11,45.59138226112535,-122.6040485984301,n11,Rwy,null,null
Rwy_02_004,12,45.59046539663312,-122.6053522359479,n12,Rwy,null,null
Rwy_02_005,13,45.58999012799671,-122.6060251831885,n13,Rwy,null,null
Rwy_02_006,14,45.58888356554522,-122.6076088074487,n14,Rwy,null,null
Rwy_02_007,15,45.58862907390504,-122.6079687878004,n15,Rwy,null,null
Rwy_02_008,16,45.58697382894725,-122.6103311865024,n16,Rwy,null,null
Rwy_02_009,17,45.5864041214939,-122.6111405362506,n17,Rwy,null,null
Rwy_02_010,18,45.58252011265399,-122.616674441414,n18,Rwy,RW03 ,Entry
Rwy_03_001,19,45.59472625240073,-122.5954400704082,n19,Rwy,RW10L,Entry
Rwy_03_002,20,45.59208845950241,-122.5886603362021,n20,Rwy,null,null
Rwy_03_003,21,45.5902512388587,-122.5839488712682,n21,Rwy,null,null
Rwy_03_004,22,45.5893384959992,-122.5816194354912,n22,Rwy,null,null
Rwy_03_005,23,45.58706079168303,-122.5757617355801,n23,Rwy,null,null
Rwy_03_006,24,45.58421310459317,-122.5684469650313,n24,Rwy,RW28R,Entry
Txy_B1_001,25,45.59575172213227,-122.6208010646004,n25,Txy,null,null
Txy_B_001,26,45.59617208322286,-122.6203982113373,n26,Txy,null,null
Txy_B_002,27,45.59623771027851,-122.6194514686837,n27,Txy,null,null
Txy_B_003,28,45.59547457061733,-122.6174857765547,n28,Txy,null,null
Txy_B_004,29,45.59360223765145,-122.6126911033765,n29,Txy,null,null
Txy_B_005,30,45.5931591033323,-122.6115585624781,n30,Txy,null,null
Txy_B_006,31,45.59135996554154,-122.6068777054228,n31,Txy,null,null
Txy_B_007,32,45.59093909828065,-122.6060310603192,n32,Txy,null,null
Txy_B_008,33,45.58997902108528,-122.6046614236378,n33,Txy,null,null
Txy_B_009,34,45.58970182488214,-122.6042149298105,n34,Txy,null,null
Txy_B_010,35,45.58896617162812,-122.6023914566631,n35,Txy,null,null
Txy_B_011,36,45.58797197575572,-122.5998433241823,n36,Txy,null,null
Txy_B_012,37,45.58689460664802,-122.5970822794891,n37,Txy,null,null
