n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Txy_S_002,165,39.86222759280643,-75.27379826704632,Txy_S10_001,251,39.86190082454948,-75.27370908316468
Txy_S10_001,251,39.86190082454948,-75.27370908316468,Rwy_01_002,1,39.86116737406285,-75.27344957663216
Txy_S_001,164,39.861562047997,-75.27538755394794,Rwy_01_001,0,39.86085853712946,-75.27500733661392
Rwy_01_001,0,39.86085853712946,-75.27500733661392,Rwy_01_002,1,39.86116737406285,-75.27344957663216
Txy_S_002,165,39.86222759280643,-75.27379826704632,Txy_S_003,166,39.86335293269235,-75.26821732524458
Txy_S_003,166,39.86335293269235,-75.26821732524458,Txy_Z_009,210,39.864431310259604,-75.26855892892455
Txy_Z_009,210,39.864431310259604,-75.26855892892455,Txy_Z_010,211,39.86484162139808,-75.26870129382512
Rwy_01_002,1,39.86116737406285,-75.27344957663216,Rwy_01_003,2,39.86274483923756,-75.26556142563945
Rwy_01_003,2,39.86274483923756,-75.26556142563945,Txy_Z_021,221,39.86347438520554,-75.26580174504693
Txy_S_003,166,39.86335293269235,-75.26821732524458,Txy_S_Z,161,39.86380656335472,-75.26589228133615
Txy_S_Z,161,39.86380656335472,-75.26589228133615,Txy_Z_021,221,39.86347438520554,-75.26580174504693
Txy_S_Z,161,39.86380656335472,-75.26589228133615,Txy_S9_001,252,39.86362866641082,-75.26506002660012
Txy_S9_001,252,39.86362866641082,-75.26506002660012,Rwy_01_004,3,39.86327402230169,-75.26288597067504
Rwy_01_004,3,39.86327402230169,-75.26288597067504,Txy_S8_001,253,39.86435296622965,-75.26137580771591
Txy_S8_001,253,39.86435296622965,-75.26137580771591,Txy_S_004,167,39.86477973779338,-75.26101272892139
Txy_S_Z,161,39.86380656335472,-75.26589228133615,Txy_S_004,167,39.86477973779338,-75.26101272892139
Txy_S_004,167,39.86477973779338,-75.26101272892139,Txy_S7_001,254,39.86444209266255,-75.26091661300438
Txy_S7_001,254,39.86444209266255,-75.26091661300438,Rwy_01_005,4,39.86371583240921,-75.26067562437454
Rwy_01_005,4,39.86371583240921,-75.26067562437454,Rwy_01_004,3,39.86327402230169,-75.26288597067504
Rwy_01_004,3,39.86327402230169,-75.26288597067504,Rwy_01_003,2,39.86274483923756,-75.26556142563945
Rwy_01_005,4,39.86371583240921,-75.26067562437454,Rwy_01_006,5,39.86425231527909,-75.25797111245714
Rwy_01_006,5,39.86425231527909,-75.25797111245714,Rwy_01_007,6,39.86462374160188,-75.25611370766352
Rwy_01_006,5,39.86425231527909,-75.25797111245714,Txy_S6_001,255,39.86528743716044,-75.25671163203545
Txy_S_Y,162,39.86567772612916,-75.25649601884545,Txy_S_004,167,39.86477973779338,-75.26101272892139
Txy_S_Y,162,39.86567772612916,-75.25649601884545,Txy_Y_006,237,39.8653542759799,-75.25638195125984
Txy_Y_006,237,39.8653542759799,-75.25638195125984,Rwy_01_007,6,39.86462374160188,-75.25611370766352
Rwy_01_007,6,39.86462374160188,-75.25611370766352,Txy_Y_007,238,39.86385599628559,-75.25589803255808
Txy_S_Y,162,39.86567772612916,-75.25649601884545,Txy_S6_001,255,39.86528743716044,-75.25671163203545
Txy_Y_007,238,39.86385599628559,-75.25589803255808,Txy_Y_008,239,39.86261623164,-75.25547097771657
Txy_Y_008,239,39.86261623164,-75.25547097771657,Ramp_08_002,249,39.86153754305073,-75.25510904182684
Ramp_08_002,249,39.86153754305073,-75.25510904182684,Parking_08_001,250,39.86236666666667,-75.25094444444444
Parking_08_001,250,39.86236666666667,-75.25094444444444,Ramp_08_001,248,39.86297516862031,-75.24794382100076
Txy_U_003,247,39.86678119315047,-75.24922281058699,Rwy_01_009,8,39.8660534606158,-75.24897737154062
Rwy_01_009,8,39.8660534606158,-75.24897737154062,Rwy_01_010,9,39.86666456079397,-75.24589601235465
