n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Txy_A_001,154,33.44195424955428,-112.0292731785901,Txy_A1_001,153,33.44164651742869,-112.0296710384964
Txy_A1_001,153,33.44164651742869,-112.0296710384964,Rwy_01_001,0,33.4408595218366,-112.0296774799449
Rwy_01_001,0,33.4408595218366,-112.0296774799449,Txy_B1_001,455,33.44006607872778,-112.0296782664465
Txy_B1_001,455,33.44006607872778,-112.0296782664465,Txy_B_001,173,33.43976094954795,-112.0296740243823
Txy_B_001,173,33.43976094954795,-112.0296740243823,Txy_C_001,194,33.43910793837855,-112.0294533514464
Txy_C_001,194,33.43910793837855,-112.0294533514464,Txy_C_002,195,33.43906751466391,-112.0283679084601
Txy_C_002,195,33.43906751466391,-112.0283679084601,Txy_C_003,196,33.43912751485498,-112.0267171047868
Txy_C_003,196,33.43912751485498,-112.0267171047868,Txy_B_003,175,33.43975811493586,-112.0267002846282
Txy_B_001,173,33.43976094954795,-112.0296740243823,Txy_B_002,174,33.43975622358456,-112.0283697468765
Txy_B_002,174,33.43975622358456,-112.0283697468765,Txy_B_003,175,33.43975811493586,-112.0267002846282
Txy_B_003,175,33.43975811493586,-112.0267002846282,Txy_B_004,176,33.43975636551419,-112.0254891716765
Rwy_01_001,0,33.4408595218366,-112.0296774799449,Rwy_01_002,1,33.44085692031111,-112.0283668279001
Rwy_01_002,1,33.44085692031111,-112.0283668279001,Rwy_01_003,2,33.44085720527568,-112.0266951071758
Rwy_01_003,2,33.44085720527568,-112.0266951071758,Txy_B3_001,453,33.44006574307566,-112.0266996018977
Txy_B3_001,453,33.44006574307566,-112.0266996018977,Txy_B_003,175,33.43975811493586,-112.0267002846282
Rwy_01_002,1,33.44085692031111,-112.0283668279001,Txy_B2_001,454,33.44006664140505,-112.0283689447364
Txy_B2_001,454,33.44006664140505,-112.0283689447364,Txy_B_002,174,33.43975622358456,-112.0283697468765
Txy_B_002,174,33.43975622358456,-112.0283697468765,Txy_C_002,195,33.43906751466391,-112.0283679084601
Txy_A_001,154,33.44195424955428,-112.0292731785901,Txy_A_002,155,33.44196088892281,-112.0283525932234
Txy_A_002,155,33.44196088892281,-112.0283525932234,Txy_A_003,156,33.44195879166875,-112.0277399760875
Txy_A_002,155,33.44196088892281,-112.0283525932234,Txy_A2_001,313,33.44164836813184,-112.0283609617646
Txy_A2_001,313,33.44164836813184,-112.0283609617646,Rwy_01_002,1,33.44085692031111,-112.0283668279001
Txy_A_003,156,33.44195879166875,-112.0277399760875,Txy_A_004,157,33.4419571827901,-112.026692167442
Txy_A_004,157,33.4419571827901,-112.026692167442,Txy_A3_001,314,33.44164627559643,-112.0266885396129
Txy_A_004,157,33.4419571827901,-112.026692167442,Txy_A_005,158,33.44196059045351,-112.0253735544157
