id,index,lat,lon,yEdId,domain,refName,type
Rwy_01_001,0,40.50235120248197,-80.27105949323715,n0,Rwy,RW10L,Entry
Rwy_01_002,1,40.50218438841739,-80.2638495394174,n1,Rwy,null,null
Rwy_01_003,2,40.50205741585136,-80.25955990208428,n2,Rwy,null,null
Rwy_01_004,3,40.50194984401973,-80.25568874603626,n3,Rwy,null,null
Rwy_01_005,4,40.50190628246565,-80.25436522134125,n4,Rwy,null,null
Rwy_01_006,5,40.50187669668656,-80.25064373682659,n5,Rwy,null,null
Rwy_01_007,6,40.50177185803533,-80.2471264164603,n6,Rwy,null,null
Rwy_01_008,7,40.50141023439638,-80.23594888665139,n7,Rwy,null,null
Rwy_01_009,8,40.50135100959486,-80.2335869600065,n8,Rwy,RW28R,Entry
Rwy_02_04,9,40.48909277114488,-80.21622631003402,n9,Rwy,null,null
Rwy_02_001,10,40.48987363165698,-80.2462344595005,n10,Rwy,RW10C,Entry
Rwy_02_002,11,40.48970901966809,-80.24002247484931,n11,Rwy,null,null
Rwy_02_004,12,40.48966960729152,-80.23853782005219,n12,Rwy,null,null
Rwy_02_005,13,40.48952263432609,-80.23298872497912,n13,Rwy,null,null
Rwy_02_006,14,40.48937915160912,-80.22720488743367,n14,Rwy,null,null
Rwy_02_007,15,40.4893104526047,-80.2244625258572,n15,Rwy,null,null
Rwy_02_008,16,40.48925908763764,-80.2225374266105,n16,Rwy,null,null
Rwy_02_009,17,40.48915876618815,-80.21876638887966,n17,Rwy,null,null
Rwy_02_010,18,40.48904557354198,-80.21432569698611,n18,Rwy,null,null
Rwy_02_011,19,40.48895332511206,-80.21140046179059,n19,Rwy,RW28C,Entry
Rwy_02_012,20,40.48889991458914,-80.20939545194202,n20,Rwy,null,null
Rwy_03_001,21,40.48672693626477,-80.25177139569894,n21,Rwy,RW10R,Entry
Rwy_03_002,22,40.48661985825001,-80.24766511472363,n22,Rwy,null,null
Rwy_03_003,23,40.48631761532033,-80.23622421464862,n23,Rwy,null,null
Rwy_03_004,24,40.48619425366126,-80.23107233387631,n24,Rwy,null,null
Rwy_03_005,25,40.48601280001696,-80.22422079004265,n25,Rwy,null,null
Rwy_03_006,26,40.48577416195409,-80.21510312278113,n26,Rwy,null,null
Rwy_03_007,27,40.48576447881542,-80.21456981399638,n27,Rwy,null,null
Rwy_03_008,28,40.48568922920277,-80.21196235877969,n28,Rwy,null,null
Rwy_03_009,29,40.4856577805937,-80.21079082033381,n29,Rwy,RW28L,Entry
Rwy_04_001,30,40.47993275698984,-80.20478829815724,n30,Rwy,RW32 ,Entry
Rwy_04_002,31,40.48739381070374,-80.21412084681421,n31,Rwy,null,null
Rwy_04_003,32,40.49023952642884,-80.21766451341998,n32,Rwy,null,null
Rwy_04_004,33,40.49158398038389,-80.21933835267919,n33,Rwy,null,null
Rwy_04_005,34,40.49245333188151,-80.22042473552675,n34,Rwy,null,null
Rwy_04_006,35,40.4944761789973,-80.22295293248939,n35,Rwy,null,null
Rwy_04_007,36,40.49593529121136,-80.22476656640137,n36,Rwy,RW14 ,Entry
Gate_01_001,37,40.49671521026338,-80.24660786268026,n37,Gate,null,null
Gate_01_002,38,40.49712135045589,-80.246958071619,n38,Gate,null,null
Gate_01_003,39,40.49733855891554,-80.24735020671639,n39,Gate,null,null
Gate_01_004,40,40.49760067012254,-80.24768562581741,n40,Gate,null,null
Gate_01_005,41,40.49793174484574,-80.24807878611236,n41,Gate,null,null
Gate_01_006,42,40.49821416627447,-80.24835704038388,n42,Gate,null,null
Gate_01_007,43,40.49840214394242,-80.248634991197,n43,Gate,null,null
Gate_01_008,44,40.49788747169735,-80.24921401430633,n44,Gate,null,null
Gate_01_009,45,40.49759446401395,-80.2488835596295,n45,Gate,null,null
Gate_01_010,46,40.49741702020116,-80.24861188120754,n46,Gate,null,null
Gate_01_011,47,40.49711486336631,-80.24823426378532,n47,Gate,null,null
Gate_01_012,48,40.49684023609075,-80.24791309011411,n48,Gate,null,null
