n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Rwy_01_001,0,40.50235120248197,-80.27105949323715,Txy_B_001,205,40.50126543933664,-80.27109363114037
Txy_B_001,205,40.50126543933664,-80.27109363114037,Txy_B_002,206,40.50042261246394,-80.27092021719481
Txy_B_002,206,40.50042261246394,-80.27092021719481,Txy_B_003,207,40.50025045478726,-80.26390534146556
Txy_B_003,207,40.50025045478726,-80.26390534146556,Txy_B8_001,235,40.50111597046369,-80.26387951378973
Txy_B8_001,235,40.50111597046369,-80.26387951378973,Rwy_01_002,1,40.50218438841739,-80.2638495394174
Rwy_01_002,1,40.50218438841739,-80.2638495394174,Rwy_01_001,0,40.50235120248197,-80.27105949323715
Txy_B_003,207,40.50025045478726,-80.26390534146556,Txy_B_004,208,40.50015387310875,-80.25950588802387
Txy_B_006,212,40.50068640389735,-80.24836012279462,Txy_B_007,213,40.50063683547088,-80.24730450240018
Rwy_01_003,2,40.50205741585136,-80.25955990208428,Txy_B7_001,236,40.50121501942336,-80.25858133508093
Txy_B7_001,236,40.50121501942336,-80.25858133508093,Txy_B_104,408,40.50090319538733,-80.25759487007056
Txy_B_004,208,40.50015387310875,-80.25950588802387,Txy_B_104,408,40.50090319538733,-80.25759487007056
Rwy_01_003,2,40.50205741585136,-80.25955990208428,Rwy_01_004,3,40.50194984401973,-80.25568874603626
Rwy_01_004,3,40.50194984401973,-80.25568874603626,Txy_B6_001,237,40.50113410686502,-80.25662631368634
Txy_B_005,211,40.50076801296493,-80.25221539018125,Txy_C_001,209,40.50007082489029,-80.25221369421214
Rwy_01_002,1,40.50218438841739,-80.2638495394174,Rwy_01_003,2,40.50205741585136,-80.25955990208428
Txy_B_004,208,40.50015387310875,-80.25950588802387,Txy_C_001,209,40.50007082489029,-80.25221369421214
Txy_C_001,209,40.50007082489029,-80.25221369421214,Txy_Y1_002,373,40.497709842924,-80.25226708741852
Txy_Y1_002,373,40.497709842924,-80.25226708741852,Ramp_06_001,374,40.49772455798175,-80.25330666518786
Ramp_06_001,374,40.49772455798175,-80.25330666518786,Ramp_06_002,375,40.49772796839855,-80.25381678329664
Rwy_01_004,3,40.50194984401973,-80.25568874603626,Rwy_01_005,4,40.50190628246565,-80.25436522134125
Rwy_01_005,4,40.50190628246565,-80.25436522134125,Txy_B5_001,238,40.50110453464808,-80.25360417215549
Rwy_01_005,4,40.50190628246565,-80.25436522134125,Rwy_01_006,5,40.50187669668656,-80.25064373682659
