id,index,lat,lon,yEdId,domain,refName,type
Rwy_01_001,0,47.46366199904598,-122.3109130860158,n0,Rwy,RW16R,Entry
Rwy_01_002,1,47.46293879360781,-122.3109413856389,n1,Rwy,null,null
Rwy_01_003,2,47.4601151034347,-122.3110247088183,n2,Rwy,null,null
Rwy_01_004,3,47.45747729117146,-122.3110563971913,n3,Rwy,null,null
Rwy_01_005,4,47.45502884929405,-122.3110739333292,n4,Rwy,null,null
Rwy_01_006,5,47.45273150880405,-122.3111037912475,n5,Rwy,null,null
Rwy_01_007,6,47.44959516344144,-122.3111168688689,n6,Rwy,null,null
Rwy_01_008,7,47.44857013249354,-122.3111244626232,n7,Rwy,null,null
Rwy_01_009,8,47.44640617412421,-122.3111348045222,n8,Rwy,null,null
Rwy_01_010,9,47.44181759583696,-122.3111731977489,n9,Rwy,RW34L,Entry
Rwy_01_011,10,47.4380724311532,-122.3112032434035,n10,Rwy,RW34C,Entry
Rwy_02_001,11,47.46364623517349,-122.3078215493246,n11,Rwy,RW16L,Entry
Rwy_02_002,12,47.46292611363239,-122.3077750393335,n12,Rwy,null,null
Rwy_02_003,13,47.46009797108364,-122.30778956723,n13,Rwy,null,null
Rwy_02_004,14,47.45653183778929,-122.3078142286739,n14,Rwy,null,null
Rwy_02_005,15,47.45286083199127,-122.3078373731378,n15,Rwy,null,null
Rwy_02_006,16,47.45233796695287,-122.3078617224401,n16,Rwy,null,null
Rwy_02_007,17,47.45010559261926,-122.30787402725,n17,Rwy,null,null
Rwy_02_008,18,47.44591505924092,-122.3079118837002,n18,Rwy,null,null
Rwy_02_009,19,47.44351282654886,-122.3079347373817,n19,Rwy,null,null
Rwy_02_010,20,47.43901897139079,-122.3079677148527,n20,Rwy,null,null
Rwy_02_011,21,47.43805979972753,-122.3079746140639,n21,Rwy,null,null
Rwy_02_012,22,47.4361867869356,-122.3079945401726,n22,Rwy,null,null
Rwy_02_013,23,47.43180292302819,-122.3080354877968,n23,Rwy,null,null
Rwy_02_014,24,47.43118506934808,-122.3080321464386,n24,Rwy,RW34R,Entry
Txy_C_T,25,47.46367759862854,-122.3133703906962,n25,Txy,null,null
Txy_C_001,26,47.46368620014899,-122.3120852475817,n26,Txy,null,null
Txy_C_002,27,47.46366166327911,-122.3097728050885,n27,Txy,null,null
Txy_C_003,28,47.46365949120748,-122.3088225865997,n28,Txy,null,null
Txy_D_001,29,47.46294265651522,-122.3097941573167,n29,Txy,null,null
Txy_D_002,30,47.46293231477065,-122.3088631660463,n30,Txy,null,null
Txy_D_003,31,47.46292164132736,-122.306650976974,n31,Txy,null,null
Txy_T_001,32,47.46071053827099,-122.3134340384564,n32,Txy,null,null
Txy_T_E,33,47.46010964120919,-122.3134487084374,n33,Txy,null,null
Txy_J_T,34,47.45505683829464,-122.3133859107981,n34,Txy,null,null
Txy_T_N,35,47.44645030876618,-122.3134589137322,n35,Txy,null,null
Txy_T_P,36,47.44237062525079,-122.3134976106939,n36,Txy,null,null
Txy_T_002,37,47.44042221362538,-122.3135105691594,n37,Txy,null,null
Txy_T_003,38,47.43956623634409,-122.3135209118436,n38,Txy,null,null
Txy_T_004,39,47.43871664292444,-122.3134706874147,n39,Txy,null,null
Txy_T_Q,40,47.43824775993863,-122.3131233587862,n40,Txy,null,null
Txy_Q_001,41,47.43807865280319,-122.3123499743439,n41,Txy,null,null
Txy_Q_002,42,47.43807421690612,-122.3100757825191,n42,Txy,null,null
Txy_Q_003,43,47.43806986194917,-122.3091154209038,n43,Txy,null,null
Txy_Q_004,44,47.43805990095085,-122.3068401476626,n44,Txy,null,null
Txy_Q_B,45,47.43805232288997,-122.3063583552977,n45,Txy,null,null
Txy_P_001,46,47.44212173436596,-122.3123169165025,n46,Txy,null,null
Txy_P_002,47,47.44049989033658,-122.3100339589304,n47,Txy,null,null
Txy_P_003,48,47.43943917720044,-122.3091055908534,n48,Txy,null,null
Txy_P_004,49,47.43901913482836,-122.3068354762301,n49,Txy,null,null
Txy_P_B,50,47.43900815846801,-122.3063526074328,n50,Txy,null,null
Txy_N_001,51,47.44645906291481,-122.3122715707171,n51,Txy,null,null
Txy_N_002,52,47.44529200860511,-122.3100092317752,n52,Txy,null,null
Txy_N_003,53,47.44418029899933,-122.3090711648901,n53,Txy,null,null
Txy_N_004,54,47.44348001612103,-122.3067876609126,n54,Txy,null,null
Txy_N_B,55,47.44347946319213,-122.3063099815197,n55,Txy,null,null
Txy_M_001,56,47.44740495959027,-122.3099833731894,n56,Txy,null,null
Txy_M_002,57,47.44634416319176,-122.309048211132,n57,Txy,null,null
Txy_M_003,58,47.44590839458181,-122.3067722708735,n58,Txy,null,null
Txy_M_B,59,47.44589104472398,-122.3062892381636,n59,Txy,null,null
Txy_K_001,60,47.45087167946859,-122.3099674017624,n60,Txy,null,null
Txy_K_002,61,47.45192750037383,-122.3090130807971,n61,Txy,null,null
Txy_J_H,62,47.45424793838402,-122.3098718754682,n62,Txy,null,null
Txy_J_001,63,47.45505650810307,-122.3122178642906,n63,Txy,null,null
Txy_J_002,64,47.45401673773592,-122.3095429862471,n64,Txy,null,null
Txy_J_003,65,47.45364069591696,-122.3089796003068,n65,Txy,null,null
Txy_J_004,66,47.45234878159207,-122.3067029670358,n66,Txy,null,null
Txy_J_B,67,47.45235875639046,-122.3062243127615,n67,Txy,null,null
Txy_H_001,68,47.45444984966053,-122.3096993238255,n68,Txy,null,null
Txy_H_002,69,47.45523937220708,-122.3090116523606,n69,Txy,null,null
Txy_F_001,70,47.45862779205299,-122.3099030376281,n70,Txy,null,null
Txy_H_003,71,47.45540682093525,-122.3066849944129,n71,Txy,null,null
Txy_H_B,72,47.45490556980253,-122.3061721247868,n72,Txy,null,null
Txy_L_001,73,47.4501152506368,-122.3067251521763,n73,Txy,null,null
Txy_L_B,74,47.45010421272954,-122.3062477877836,n74,Txy,null,null
Txy_E_001,75,47.46012108972414,-122.3121752033332,n75,Txy,null,null
Txy_E_002,76,47.46010530635315,-122.309871749257,n76,Txy,null,null
Txy_E_003,77,47.46010463719582,-122.3089257178822,n77,Txy,null,null
Txy_F_002,78,47.45968027432224,-122.308936221076,n78,Txy,null,null
Txy_E_004,79,47.46007701887025,-122.3066517746122,n79,Txy,null,null
Txy_E_B,80,47.46007102508115,-122.3061716690751,n80,Txy,null,null
Txy_C_004,81,47.46375679357583,-122.3066502459407,n81,Txy,null,null
Txy_S_001,82,47.43618241282154,-122.3068506006374,n82,Txy,null,null
Txy_S_B,83,47.4361897784916,-122.306141159728,n83,Txy,null,null
Txy_B_001,84,47.4317498549607,-122.3068926722333,n84,Txy,null,null
Txy_B_002,85,47.43115841137017,-122.3068968212531,n85,Txy,null,null
Txy_B_003,86,47.43213975632257,-122.3059162113285,n86,Txy,null,null
Txy_B_004,87,47.43161957594982,-122.3056128678675,n87,Txy,null,null
Txy_B_005,88,47.4321777291613,-122.3055768964766,n88,Txy,null,null
Txy_B_006,89,47.43277237799713,-122.3056060364366,n89,Txy,null,null
Txy_B_007,90,47.43434114071634,-122.3055829080199,n90,Txy,null,null
Txy_B_008,91,47.435468766175,-122.3055947876408,n91,Txy,null,null
Txy_B_009,92,47.43723277267232,-122.306363618861,n92,Txy,null,null
Txy_B_010,93,47.43763533968654,-122.3063607317352,n93,Txy,null,null
Txy_B_011,94,47.43951116634435,-122.3063409838145,n94,Txy,null,null
Txy_B_012,95,47.43992865975081,-122.306340107159,n95,Txy,null,null
Txy_B_013,96,47.44108515925991,-122.3063303502662,n96,Txy,null,null
Txy_B_014,97,47.44189895017836,-122.3063240989823,n97,Txy,null,null
Txy_B_015,98,47.44285837756745,-122.3063169242261,n98,Txy,null,null
Txy_B_016,99,47.44449390282952,-122.3062991624233,n99,Txy,null,null
Txy_B_017,100,47.44537281376177,-122.3062934535499,n100,Txy,null,null
Txy_B_018,101,47.44693423863477,-122.306280600424,n101,Txy,null,null
Txy_B_019,102,47.44802680167215,-122.3062722721095,n102,Txy,null,null
Txy_B_020,103,47.44933185324018,-122.3062568700287,n103,Txy,null,null
Txy_B_021,104,47.45096529895886,-122.3062420178468,n104,Txy,null,null
Txy_B_022,105,47.4514547658642,-122.3062367164817,n105,Txy,null,null
Txy_B_023,106,47.45286861854261,-122.3062258203061,n106,Txy,null,null
Txy_B_024,107,47.45652649031946,-122.3061995185307,n107,Txy,null,null
Txy_B_025,108,47.45714085483261,-122.3061938394256,n108,Txy,null,null
Txy_B_026,109,47.46119271135173,-122.3061206312443,n109,Txy,null,null
Txy_B_027,110,47.46183748155775,-122.3061105818346,n110,Txy,null,null
Txy_B_028,111,47.46291648077153,-122.3061464233026,n111,Txy,null,null
Txy_B_029,112,47.46361672921086,-122.3063379985664,n112,Txy,null,null
Txy_A_001,113,47.46382737657812,-122.3048383946178,n113,Txy,null,null
Txy_A_006,114,47.46183904254414,-122.3049638302176,n114,Txy,null,null
Txy_A_003,115,47.46184098308564,-122.304395963478,n115,Txy,null,null
Txy_A_004,116,47.46109623201383,-122.3049219673722,n116,Txy,null,null
Txy_A_007,117,47.46024968686472,-122.3042792297359,n117,Txy,null,null
Txy_A_005,118,47.46025776642195,-122.3049260677035,n118,Txy,null,null
Txy_A_G,119,47.45714618458981,-122.3049830488782,n119,Txy,null,null
Txy_A_008,120,47.45713160138429,-122.3043268472079,n120,Txy,null,null
Txy_A_009,121,47.45645224473712,-122.3049906170778,n121,Txy,null,null
Txy_A_010,122,47.45086898800578,-122.3050264793324,n122,Txy,null,null
Txy_A_011,123,47.45179451382235,-122.305021591635,n123,Txy,null,null
Txy_A_L,124,47.45010323982267,-122.3050184048489,n124,Txy,null,null
Txy_A_012,125,47.45010126713571,-122.3046734585514,n125,Txy,null,null
Gate_01_001,126,47.44826602302073,-122.3010628046427,n126,Gate,null,null
Gate_01_002,127,47.44854412573734,-122.3014967104546,n127,Gate,null,null
Gate_01_003,128,47.44881964410751,-122.3020386974915,n128,Gate,null,null
Gate_01_004,129,47.44913426725687,-122.3024018791188,n129,Gate,null,null
Gate_01_005,130,47.4492308248862,-122.3027341441031,n130,Gate,null,null
Gate_01_006,131,47.44912284425635,-122.3031486725313,n131,Gate,null,null
Gate_01_007,132,47.44846439250294,-122.3034844561399,n132,Gate,null,null
Gate_01_008,133,47.44824375323095,-122.3030564232264,n133,Gate,null,null
Gate_01_009,134,47.44788319958018,-122.3022639073533,n134,Gate,null,null
Gate_01_010,135,47.44751715072097,-122.3019246383468,n135,Gate,null,null
Gate_01_011,136,47.44758937312051,-122.3015135530772,n136,Gate,null,null
Gate_01_012,137,47.44789943661209,-122.3012162948406,n137,Gate,null,null
Gate_01_013,138,47.44917257081448,-122.3038914973506,n138,Gate,null,null
Gate_01_014,139,47.44925566496763,-122.3042024688987,n139,Gate,null,null
Gate_01_015,140,47.44904858266072,-122.3046366474805,n140,Gate,null,null
Gate_01_016,141,47.44892480683541,-122.3045343579326,n141,Gate,null,null
Gate_01_017,142,47.44896620291027,-122.3039976634067,n142,Gate,null,null
Gate_01_018,143,47.44884697421301,-122.3036292173961,n143,Gate,null,null
Gate_02_001,144,47.44624315667446,-122.2987722764567,n144,Gate,null,null
Gate_02_002,145,47.44660027837386,-122.2990621766088,n145,Gate,null,null
Gate_02_003,146,47.44686972817186,-122.2992405865821,n146,Gate,null,null
Gate_02_004,147,47.44669192262334,-122.2996115063484,n147,Gate,null,null
Gate_02_005,148,47.44647286470269,-122.2999589262015,n148,Gate,null,null
Gate_02_006,149,47.44622534753469,-122.3003083873946,n149,Gate,null,null
Gate_02_007,150,47.44594007248914,-122.3008090467597,n150,Gate,null,null
Gate_02_008,151,47.44568437301454,-122.3010018889875,n151,Gate,null,null
Gate_02_009,152,47.44538316187881,-122.3013768638998,n152,Gate,null,null
Gate_02_010,153,47.44515445237699,-122.3017760093583,n153,Gate,null,null
Gate_02_011,154,47.44487020865391,-122.3022153611987,n154,Gate,null,null
Gate_02_012,155,47.4456512504805,-122.3033641904021,n155,Gate,null,null
Gate_02_013,156,47.44604940112145,-122.3032541438487,n156,Gate,null,null
Gate_02_014,157,47.44629681219567,-122.3032251952085,n157,Gate,null,null
Gate_02_015,158,47.44651476410811,-122.3035062085231,n158,Gate,null,null
Gate_02_016,159,47.44669460123583,-122.3039827064216,n159,Gate,null,null
Gate_02_017,160,47.44685561817423,-122.3042492122538,n160,Gate,null,null
Gate_02_018,161,47.44672565053169,-122.3045327018659,n161,Gate,null,null
Gate_02_019,162,47.44644517810403,-122.3044719877258,n162,Gate,null,null
Gate_02_020,163,47.44606078644007,-122.3044607230387,n163,Gate,null,null
Gate_02_021,164,47.44567028723083,-122.3043055436483,n164,Gate,null,null
Gate_02_022,165,47.44539828325314,-122.3042177517971,n165,Gate,null,null
Gate_02_023,166,47.44494841872391,-122.3042123164817,n166,Gate,null,null
Gate_02_024,167,47.44484794116848,-122.3046189202265,n167,Gate,null,null
Gate_02_025,168,47.44470678343949,-122.3045637975138,n168,Gate,null,null
Gate_02_026,169,47.4447330361161,-122.3041304870017,n169,Gate,null,null
Gate_02_027,170,47.44442783912453,-122.3038530300839,n170,Gate,null,null
Gate_02_028,171,47.44410509295167,-122.3041720706198,n171,Gate,null,null
Gate_02_029,172,47.44401698076636,-122.304682195,n172,Gate,null,null
Gate_02_030,173,47.44383514797141,-122.3045613631144,n173,Gate,null,null
Gate_02_031,174,47.44361273212872,-122.3046626954445,n174,Gate,null,null
Gate_02_032,175,47.44379181414239,-122.304370238607,n175,Gate,null,null
Gate_02_033,176,47.44389123362752,-122.3039398594501,n176,Gate,null,null
Gate_02_034,177,47.4428286063629,-122.3034378163711,n177,Gate,null,null
Gate_02_035,178,47.44291504049233,-122.3040397504768,n178,Gate,null,null
Gate_02_036,179,47.44271384574581,-122.304081779103,n179,Gate,null,null
Gate_02_037,180,47.44224640405902,-122.3042281495061,n180,Gate,null,null
Gate_02_038,181,47.44189675600899,-122.3042191471775,n181,Gate,null,null
Gate_02_039,182,47.44138906561595,-122.3042207520564,n182,Gate,null,null
Gate_02_040,183,47.44090615419014,-122.3044650423487,n183,Gate,null,null
