n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Rwy_01_001,0,47.46366199904598,-122.3109130860158,Rwy_01_002,1,47.46293879360781,-122.3109413856389
Rwy_01_002,1,47.46293879360781,-122.3109413856389,Rwy_01_003,2,47.4601151034347,-122.3110247088183
Rwy_01_003,2,47.4601151034347,-122.3110247088183,Rwy_01_004,3,47.45747729117146,-122.3110563971913
Rwy_01_004,3,47.45747729117146,-122.3110563971913,Rwy_01_005,4,47.45502884929405,-122.3110739333292
Rwy_01_005,4,47.45502884929405,-122.3110739333292,Rwy_01_006,5,47.45273150880405,-122.3111037912475
Rwy_01_006,5,47.45273150880405,-122.3111037912475,Rwy_01_007,6,47.44959516344144,-122.3111168688689
Rwy_01_007,6,47.44959516344144,-122.3111168688689,Rwy_01_008,7,47.44857013249354,-122.3111244626232
Rwy_01_008,7,47.44857013249354,-122.3111244626232,Rwy_01_009,8,47.44640617412421,-122.3111348045222
Rwy_01_009,8,47.44640617412421,-122.3111348045222,Rwy_01_010,9,47.44181759583696,-122.3111731977489
Rwy_01_010,9,47.44181759583696,-122.3111731977489,Rwy_01_011,10,47.4380724311532,-122.3112032434035
Rwy_01_011,10,47.4380724311532,-122.3112032434035,Txy_Q_002,42,47.43807421690612,-122.3100757825191
Txy_Q_002,42,47.43807421690612,-122.3100757825191,Txy_Q_003,43,47.43806986194917,-122.3091154209038
Txy_Q_003,43,47.43806986194917,-122.3091154209038,Rwy_02_011,21,47.43805979972753,-122.3079746140639
Rwy_02_011,21,47.43805979972753,-122.3079746140639,Txy_Q_004,44,47.43805990095085,-122.3068401476626
Txy_Q_004,44,47.43805990095085,-122.3068401476626,Txy_Q_B,45,47.43805232288997,-122.3063583552977
Rwy_01_011,10,47.4380724311532,-122.3112032434035,Txy_Q_001,41,47.43807865280319,-122.3123499743439
Txy_Q_001,41,47.43807865280319,-122.3123499743439,Txy_T_Q,40,47.43824775993863,-122.3131233587862
Txy_T_Q,40,47.43824775993863,-122.3131233587862,Txy_T_004,39,47.43871664292444,-122.3134706874147
Txy_T_004,39,47.43871664292444,-122.3134706874147,Txy_T_003,38,47.43956623634409,-122.3135209118436
Txy_T_003,38,47.43956623634409,-122.3135209118436,Txy_T_002,37,47.44042221362538,-122.3135105691594
Txy_T_002,37,47.44042221362538,-122.3135105691594,Txy_T_P,36,47.44237062525079,-122.3134976106939
Txy_P_001,46,47.44212173436596,-122.3123169165025,Txy_T_P,36,47.44237062525079,-122.3134976106939
Rwy_01_010,9,47.44181759583696,-122.3111731977489,Txy_P_001,46,47.44212173436596,-122.3123169165025
Txy_P_002,47,47.44049989033658,-122.3100339589304,Rwy_01_010,9,47.44181759583696,-122.3111731977489
Txy_P_003,48,47.43943917720044,-122.3091055908534,Txy_P_002,47,47.44049989033658,-122.3100339589304
Rwy_02_010,20,47.43901897139079,-122.3079677148527,Txy_P_003,48,47.43943917720044,-122.3091055908534
Txy_P_004,49,47.43901913482836,-122.3068354762301,Rwy_02_010,20,47.43901897139079,-122.3079677148527
Txy_P_B,50,47.43900815846801,-122.3063526074328,Txy_P_004,49,47.43901913482836,-122.3068354762301
Ramp_03_001,310,47.43849180376495,-122.3063536001806,Txy_P_B,50,47.43900815846801,-122.3063526074328
Txy_Q_B,45,47.43805232288997,-122.3063583552977,Ramp_03_001,310,47.43849180376495,-122.3063536001806
Rwy_02_011,21,47.43805979972753,-122.3079746140639,Rwy_02_010,20,47.43901897139079,-122.3079677148527
Rwy_02_014,24,47.43118506934808,-122.3080321464386,Rwy_02_013,23,47.43180292302819,-122.3080354877968
Rwy_02_013,23,47.43180292302819,-122.3080354877968,Rwy_02_012,22,47.4361867869356,-122.3079945401726
Rwy_02_012,22,47.4361867869356,-122.3079945401726,Rwy_02_011,21,47.43805979972753,-122.3079746140639
Rwy_02_012,22,47.4361867869356,-122.3079945401726,Txy_S_001,82,47.43618241282154,-122.3068506006374
Txy_S_001,82,47.43618241282154,-122.3068506006374,Txy_S_B,83,47.4361897784916,-122.306141159728
Txy_S_B,83,47.4361897784916,-122.306141159728,Txy_B_009,92,47.43723277267232,-122.306363618861
Txy_B_009,92,47.43723277267232,-122.306363618861,Txy_B_010,93,47.43763533968654,-122.3063607317352
Txy_B_010,93,47.43763533968654,-122.3063607317352,Txy_Q_B,45,47.43805232288997,-122.3063583552977
Txy_B_008,91,47.435468766175,-122.3055947876408,Txy_S_B,83,47.4361897784916,-122.306141159728
Txy_B_008,91,47.435468766175,-122.3055947876408,Txy_B_007,90,47.43434114071634,-122.3055829080199
Txy_B_007,90,47.43434114071634,-122.3055829080199,Txy_B_006,89,47.43277237799713,-122.3056060364366
Txy_B_006,89,47.43277237799713,-122.3056060364366,Txy_B_005,88,47.4321777291613,-122.3055768964766
Txy_B_005,88,47.4321777291613,-122.3055768964766,Txy_B_003,86,47.43213975632257,-122.3059162113285
Txy_B_003,86,47.43213975632257,-122.3059162113285,Txy_B_001,84,47.4317498549607,-122.3068926722333
Txy_B_001,84,47.4317498549607,-122.3068926722333,Rwy_02_013,23,47.43180292302819,-122.3080354877968
Txy_B_005,88,47.4321777291613,-122.3055768964766,Txy_B_004,87,47.43161957594982,-122.3056128678675
Txy_B_004,87,47.43161957594982,-122.3056128678675,Txy_B_002,85,47.43115841137017,-122.3068968212531
Txy_B_002,85,47.43115841137017,-122.3068968212531,Rwy_02_014,24,47.43118506934808,-122.3080321464386
Txy_B_012,95,47.43992865975081,-122.306340107159,Txy_B_011,94,47.43951116634435,-122.3063409838145
Txy_B_011,94,47.43951116634435,-122.3063409838145,Txy_P_B,50,47.43900815846801,-122.3063526074328
Txy_B_013,96,47.44108515925991,-122.3063303502662,Txy_B_012,95,47.43992865975081,-122.306340107159
Ramp_02_028,288,47.44142856979685,-122.3063299679277,Txy_B_013,96,47.44108515925991,-122.3063303502662
Txy_B_014,97,47.44189895017836,-122.3063240989823,Ramp_02_028,288,47.44142856979685,-122.3063299679277
Txy_B_015,98,47.44285837756745,-122.3063169242261,Txy_B_014,97,47.44189895017836,-122.3063240989823
Txy_B_015,98,47.44285837756745,-122.3063169242261,Txy_N_B,55,47.44347946319213,-122.3063099815197
Txy_N_B,55,47.44347946319213,-122.3063099815197,Txy_B_016,99,47.44449390282952,-122.3062991624233
Txy_B_016,99,47.44449390282952,-122.3062991624233,Txy_B_017,100,47.44537281376177,-122.3062934535499
Txy_B_017,100,47.44537281376177,-122.3062934535499,Txy_M_B,59,47.44589104472398,-122.3062892381636
Txy_M_B,59,47.44589104472398,-122.3062892381636,Txy_B_018,101,47.44693423863477,-122.306280600424
Txy_B_018,101,47.44693423863477,-122.306280600424,Txy_B_019,102,47.44802680167215,-122.3062722721095
Txy_B_019,102,47.44802680167215,-122.3062722721095,Txy_B_020,103,47.44933185324018,-122.3062568700287
Txy_B_020,103,47.44933185324018,-122.3062568700287,Txy_L_B,74,47.45010421272954,-122.3062477877836
Txy_L_B,74,47.45010421272954,-122.3062477877836,Txy_B_021,104,47.45096529895886,-122.3062420178468
Txy_B_021,104,47.45096529895886,-122.3062420178468,Txy_B_022,105,47.4514547658642,-122.3062367164817
Txy_B_022,105,47.4514547658642,-122.3062367164817,Txy_J_B,67,47.45235875639046,-122.3062243127615
Txy_J_B,67,47.45235875639046,-122.3062243127615,Txy_J_004,66,47.45234878159207,-122.3067029670358
Txy_J_004,66,47.45234878159207,-122.3067029670358,Rwy_02_006,16,47.45233796695287,-122.3078617224401
Rwy_02_006,16,47.45233796695287,-122.3078617224401,Txy_K_002,61,47.45192750037383,-122.3090130807971
Txy_K_002,61,47.45192750037383,-122.3090130807971,Txy_K_001,60,47.45087167946859,-122.3099674017624
Txy_K_001,60,47.45087167946859,-122.3099674017624,Rwy_01_007,6,47.44959516344144,-122.3111168688689
Txy_L_B,74,47.45010421272954,-122.3062477877836,Txy_L_001,73,47.4501152506368,-122.3067251521763
Txy_L_001,73,47.4501152506368,-122.3067251521763,Rwy_02_007,17,47.45010559261926,-122.30787402725
Txy_M_B,59,47.44589104472398,-122.3062892381636,Txy_M_003,58,47.44590839458181,-122.3067722708735
Txy_M_003,58,47.44590839458181,-122.3067722708735,Rwy_02_008,18,47.44591505924092,-122.3079118837002
Rwy_02_008,18,47.44591505924092,-122.3079118837002,Txy_M_002,57,47.44634416319176,-122.309048211132
Txy_M_002,57,47.44634416319176,-122.309048211132,Txy_M_001,56,47.44740495959027,-122.3099833731894
Rwy_01_008,7,47.44857013249354,-122.3111244626232,Txy_M_001,56,47.44740495959027,-122.3099833731894
Txy_T_N,35,47.44645030876618,-122.3134589137322,Txy_N_001,51,47.44645906291481,-122.3122715707171
Txy_N_001,51,47.44645906291481,-122.3122715707171,Rwy_01_009,8,47.44640617412421,-122.3111348045222
Rwy_01_009,8,47.44640617412421,-122.3111348045222,Txy_N_002,52,47.44529200860511,-122.3100092317752
Txy_N_003,53,47.44418029899933,-122.3090711648901,Txy_N_002,52,47.44529200860511,-122.3100092317752
Rwy_02_009,19,47.44351282654886,-122.3079347373817,Txy_N_003,53,47.44418029899933,-122.3090711648901
Rwy_02_009,19,47.44351282654886,-122.3079347373817,Txy_N_004,54,47.44348001612103,-122.3067876609126
Txy_N_004,54,47.44348001612103,-122.3067876609126,Txy_N_B,55,47.44347946319213,-122.3063099815197
Rwy_02_010,20,47.43901897139079,-122.3079677148527,Rwy_02_009,19,47.44351282654886,-122.3079347373817
