n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Txy_F_003,312,37.610416070242,-122.3600469876636,Txy_F_002,311,37.61062609192899,-122.3592808051169
Txy_F_002,311,37.61062609192899,-122.3592808051169,Txy_F_001,310,37.61117495847419,-122.3589002761564
Txy_F_001,310,37.61117495847419,-122.3589002761564,Rwy_03_001,286,37.61178816590628,-122.3585026245123
Rwy_03_001,286,37.61178816590628,-122.3585026245123,Txy_C_001,417,37.61237951606867,-122.3581056704405
Txy_C_001,417,37.61237951606867,-122.3581056704405,Txy_C_002,418,37.61299936162182,-122.3577017761395
Txy_C_002,418,37.61299936162182,-122.3577017761395,Rwy_04_001,287,37.61360257651001,-122.3572832452714
Rwy_04_001,287,37.61360257651001,-122.3572832452714,Txy_C_003,316,37.61433184468936,-122.3568084995764
Txy_C_003,316,37.61433184468936,-122.3568084995764,Txy_C_004,317,37.6149018144102,-122.3568497615511
Txy_C_004,317,37.6149018144102,-122.3568497615511,Txy_C_W,315,37.61549245269747,-122.3580646512325
Rwy_04_002,288,37.61427182649344,-122.3588762081488,Txy_W_001,318,37.61499454654412,-122.3584038856743
Txy_W_001,318,37.61499454654412,-122.3584038856743,Txy_C_W,315,37.61549245269747,-122.3580646512325
Rwy_04_001,287,37.61360257651001,-122.3572832452714,Rwy_04_002,288,37.61427182649344,-122.3588762081488
Rwy_03_001,286,37.61178816590628,-122.3585026245123,Rwy_03_002,307,37.61480479621061,-122.3657037669604
Txy_F_003,312,37.610416070242,-122.3600469876636,Txy_F_004,313,37.61372080743025,-122.3678777391347
Rwy_04_002,288,37.61427182649344,-122.3588762081488,Rwy_04_003,289,37.61663364037688,-122.3645202444545
Txy_C_W,315,37.61549245269747,-122.3580646512325,Txy_C_N,324,37.61785535000374,-122.3637410210176
Txy_N_001,319,37.61406149804859,-122.3676070171588,Txy_N_002,320,37.61427384255935,-122.3662746654478
Txy_N_002,320,37.61427384255935,-122.3662746654478,Rwy_03_002,307,37.61480479621061,-122.3657037669604
Rwy_03_002,307,37.61480479621061,-122.3657037669604,Txy_N_003,321,37.61540194320655,-122.3652972092385
Txy_N_003,321,37.61540194320655,-122.3652972092385,Txy_N_004,322,37.61601344617285,-122.3648932103013
Txy_N_004,322,37.61601344617285,-122.3648932103013,Rwy_04_003,289,37.61663364037688,-122.3645202444545
Rwy_04_003,289,37.61663364037688,-122.3645202444545,Txy_N_005,323,37.6173734157866,-122.3640657489308
Txy_N_005,323,37.6173734157866,-122.3640657489308,Txy_C_N,324,37.61785535000374,-122.3637410210176
Rwy_04_003,289,37.61663364037688,-122.3645202444545,Rwy_04_004,290,37.61767182504637,-122.3669449519442
Rwy_03_002,307,37.61480479621061,-122.3657037669604,Rwy_03_003,306,37.61583273090327,-122.3681546962095
Txy_C_N,324,37.61785535000374,-122.3637410210176,Txy_C_P,329,37.61886696751655,-122.3661403748943
Rwy_04_004,290,37.61767182504637,-122.3669449519442,Rwy_04_005,330,37.61808778973626,-122.3679763636765
Txy_F_004,313,37.61372080743025,-122.3678777391347,Txy_F_N,314,37.61484045872727,-122.3694975108058
Txy_N_001,319,37.61406149804859,-122.3676070171588,Txy_F_N,314,37.61484045872727,-122.3694975108058
Txy_F_N,314,37.61484045872727,-122.3694975108058,Txy_P_001,325,37.61523120676691,-122.3685556084784
Txy_P_001,325,37.61523120676691,-122.3685556084784,Rwy_03_003,306,37.61583273090327,-122.3681546962095
Rwy_03_003,306,37.61583273090327,-122.3681546962095,Txy_P_002,326,37.61642918808776,-122.3677604360636
Txy_P_002,326,37.61642918808776,-122.3677604360636,Txy_P_003,327,37.61705355675952,-122.3673448683281
Txy_P_003,327,37.61705355675952,-122.3673448683281,Rwy_04_004,290,37.61767182504637,-122.3669449519442
Rwy_04_004,290,37.61767182504637,-122.3669449519442,Txy_P_004,328,37.6183774473165,-122.3664655821288
Txy_P_004,328,37.6183774473165,-122.3664655821288,Txy_C_P,329,37.61886696751655,-122.3661403748943
Txy_F_N,314,37.61484045872727,-122.3694975108058,Txy_F_005,308,37.61573080391209,-122.3716518393009
Txy_F_005,308,37.61573080391209,-122.3716518393009,Txy_F_L,280,37.61613064157931,-122.3725929638369
Txy_L_005,309,37.61533438870677,-122.3731236073002,Txy_F_L,280,37.61613064157931,-122.3725929638369
Txy_F_L,280,37.61613064157931,-122.3725929638369,Txy_L_006,333,37.61674461486366,-122.3721841127895
Txy_L_006,333,37.61674461486366,-122.3721841127895,Rwy_03_004,305,37.6173557491172,-122.3717777784523
Rwy_03_004,305,37.6173557491172,-122.3717777784523,Txy_L_007,334,37.61795091834693,-122.3713873432711
Txy_L_007,334,37.61795091834693,-122.3713873432711,Txy_L_008,335,37.6185633332646,-122.370981911268
Txy_L_008,335,37.6185633332646,-122.370981911268,Rwy_04_006,291,37.61918258762836,-122.3705724023104
Rwy_04_005,330,37.61808778973626,-122.3679763636765,Rwy_04_006,291,37.61918258762836,-122.3705724023104
Rwy_03_003,306,37.61583273090327,-122.3681546962095,Rwy_03_004,305,37.6173557491172,-122.3717777784523
Rwy_03_004,305,37.6173557491172,-122.3717777784523,Rwy_02_03,241,37.61798956351178,-122.3733084808166
Txy_C_P,329,37.61886696751655,-122.3661403748943,Txy_C_L,337,37.62038238392909,-122.369773993073
Rwy_04_006,291,37.61918258762836,-122.3705724023104,Txy_L_009,336,37.61989895208134,-122.3700915397836
Txy_L_009,336,37.61989895208134,-122.3700915397836,Txy_C_L,337,37.62038238392909,-122.369773993073
Txy_C_L,337,37.62038238392909,-122.369773993073,Txy_C_005,346,37.62071320629809,-122.3705470933888
Txy_C_005,346,37.62071320629809,-122.3705470933888,Rwy_02_007,243,37.62102914692794,-122.3712967683386
Rwy_04_006,291,37.61918258762836,-122.3705724023104,Rwy_02_04,242,37.61981289338148,-122.3720937296557
Rwy_02_03,241,37.61798956351178,-122.3733084808166,Rwy_01_03,251,37.61895109732735,-122.3756011498733
Rwy_02_04,242,37.61981289338148,-122.3720937296557,Rwy_01_04,252,37.62077792605219,-122.3743991623508
Rwy_02_007,243,37.62102914692794,-122.3712967683386,Txy_C_006,347,37.62134276235332,-122.3720525006268
Txy_C_006,347,37.62134276235332,-122.3720525006268,Txy_C_007,348,37.62167145228353,-122.3728374642767
Txy_C_007,348,37.62167145228353,-122.3728374642767,Rwy_01_006,253,37.62199051649638,-122.3735922764184
Rwy_01_006,253,37.62199051649638,-122.3735922764184,Txy_C_008,349,37.62230497449454,-122.3743441817297
Rwy_01_04,252,37.62077792605219,-122.3743991623508,Rwy_04_007,292,37.62166275717521,-122.3764920309848
Txy_F_L,280,37.61613064157931,-122.3725929638369,Txy_F_006,262,37.6164626736509,-122.3733637499176
Txy_F_006,262,37.6164626736509,-122.3733637499176,Rwy_02_006,240,37.61677714958811,-122.3741196214018
Rwy_02_006,240,37.61677714958811,-122.3741196214018,Txy_F_007,279,37.61709387895265,-122.3748731069853
Txy_F_007,279,37.61709387895265,-122.3748731069853,Txy_F_008,278,37.61737524751704,-122.375686569853
Txy_F_008,278,37.61737524751704,-122.375686569853,Rwy_01_005,250,37.61761868794443,-122.376486850302
Rwy_01_005,250,37.61761868794443,-122.376486850302,Txy_F_009,270,37.61787016386769,-122.377277157173
Txy_F_009,270,37.61787016386769,-122.377277157173,Txy_F_010,271,37.61811696559975,-122.3780582158915
Txy_F_L,280,37.61613064157931,-122.3725929638369,Txy_F1_004,261,37.6162203255283,-122.3734492962244
Txy_F1_004,261,37.6162203255283,-122.3734492962244,Rwy_02_005,239,37.61632043978192,-122.3744114123489
Rwy_02_005,239,37.61632043978192,-122.3744114123489,Txy_F1_003,263,37.61642304501458,-122.3753831549686
