id,index,lat,lon,yEdId,domain,refName,type
Rwy_01_001,0,37.37488422794585,-121.9400722449708,n0,Rwy,null,null
Rwy_01_002,1,37.37407338319361,-121.9391588764552,n1,Rwy,null,null
Rwy_01_003,2,37.37228278877103,-121.9371953930502,n2,Rwy,RW12L,Entry
Rwy_01_004,3,37.37220563653619,-121.9371227869018,n3,Rwy,null,null
Rwy_01_005,4,37.36991507229354,-121.9346073707915,n4,Rwy,null,null
Rwy_01_006,5,37.36822772981783,-121.9327620627254,n5,Rwy,null,null
Rwy_01_007,6,37.36599486825648,-121.9303017501553,n6,Rwy,null,null
Rwy_01_008,7,37.36221839551616,-121.9261649966842,n7,Rwy,null,null
Rwy_01_009,8,37.36065183908147,-121.9244550551811,n8,Rwy,null,null
Rwy_01_010,9,37.35899640750856,-121.9226391339058,n9,Rwy,null,null
Rwy_01_011,10,37.35753030182045,-121.9209880493017,n10,Rwy,RW30R,Entry
Rwy_01_012,11,37.3570184830399,-121.9204637638183,n11,Rwy,null,null
Rwy_01_013,12,37.35399394065626,-121.9171497274525,n12,Rwy,null,null
Rwy_01_014,13,37.35308853182848,-121.9161751746272,n13,Rwy,null,null
Rwy_01_015,14,37.35239420803512,-121.9154111866761,n14,Rwy,null,null
Rwy_02_001,15,37.37361822185463,-121.941867234634,n15,Rwy,null,null
Rwy_02_002,16,37.37280977869128,-121.9409834606706,n16,Rwy,null,null
Rwy_02_003,17,37.37104064101339,-121.9390345157754,n17,Rwy,RW12R,Entry
Rwy_02_004,18,37.37094342214588,-121.9389385716031,n18,Rwy,null,null
Rwy_02_005,19,37.36868442863586,-121.9364567310168,n19,Rwy,null,null
Rwy_02_006,20,37.36705119211084,-121.9346685479917,n20,Rwy,null,null
Rwy_02_007,21,37.36478124809792,-121.9321770743857,n21,Rwy,null,null
Rwy_02_008,22,37.36277240165262,-121.9299772773459,n22,Rwy,null,null
Rwy_02_009,23,37.36100595314927,-121.9280509569705,n23,Rwy,null,null
Rwy_02_010,24,37.3577709473925,-121.9244464123935,n24,Rwy,null,null
Rwy_02_011,25,37.35625702839076,-121.922810471387,n25,Rwy,RW30L,Entry
Rwy_02_012,26,37.35577190902898,-121.922269212388,n26,Rwy,null,null
Rwy_02_013,27,37.35274394672774,-121.9189913878089,n27,Rwy,null,null
Rwy_02_014,28,37.35186626986354,-121.9180200016151,n28,Rwy,null,null
Rwy_02_015,29,37.3511592235503,-121.917245392787,n29,Rwy,null,null
Rwy_03_001,30,37.36584215284864,-121.9365443511995,n30,Rwy,null,null
Rwy_03_002,31,37.36151044395701,-121.9317929295708,n31,Rwy,null,null
Rwy_03_003,32,37.35969477347607,-121.929802684901,n32,Rwy,null,null
Rwy_03_004,33,37.3564474620955,-121.9262481129274,n33,Rwy,null,null
Txy_N_001,34,37.37406774292839,-121.9412396742461,n34,Txy,null,null
Txy_N_002,35,37.37444303549268,-121.9407031249905,n35,Txy,null,null
Txy_N_003,36,37.37532354248038,-121.9393381727412,n36,Txy,null,null
Txy_M_003,37,37.37454401006044,-121.9384780657945,n37,Txy,null,null
Txy_M_002,38,37.37362653631609,-121.9398058349477,n38,Txy,null,null
Txy_M_001,39,37.37326257733444,-121.9403215108619,n39,Txy,null,null
Txy_M_004,40,37.3723549062896,-121.9416323702208,n40,Txy,null,null
Txy_W_001,41,37.37209725046871,-121.9420216234265,n41,Txy,null,null
Txy_N_Y,42,37.37516510085995,-121.9387677940976,n42,Txy,null,null
Txy_M_Y,43,37.37468473374775,-121.9382768134432,n43,Txy,null,null
Txy_Y_L,44,37.3728456373114,-121.936219847291,n44,Txy,null,null
Txy_Y_K,45,37.37054682155821,-121.9337019195109,n45,Txy,null,null
Txy_L_001,46,37.37049167180556,-121.9395915326737,n46,Txy,null,null
Txy_L_002,47,37.3713936357545,-121.9382985958462,n47,Txy,null,null
Txy_L_003,48,37.37176494269636,-121.9377658808036,n48,Txy,null,null
Txy_L_004,49,37.37267348957389,-121.9364627540878,n49,Txy,null,null
Txy_L_Z,50,37.37317052238418,-121.9356421234154,n50,Txy,null,null
Txy_L_006,51,37.37210657220515,-121.9358406551676,n51,Txy,null,null
Rwy_01_020,52,37.37164672211972,-121.9365059030317,n52,Rwy,null,null
Txy_K_Z,53,37.37093014920026,-121.9331333539044,n53,Txy,null,null
Txy_K_001,54,37.37036360467274,-121.9339674345107,n54,Txy,null,null
Txy_K_002,55,37.36946370048597,-121.9352493585963,n55,Txy,null,null
Txy_K_003,56,37.36909313245018,-121.9357825847546,n56,Txy,null,null
Txy_L_Y,57,37.37227715567249,-121.9355965314113,n57,Txy,null,null
Txy_J_V,58,37.36543413015187,-121.9371598840206,n58,Txy,null,null
Txy_J_001,59,37.36561610989138,-121.9368662486728,n59,Txy,null,null
Txy_J_002,60,37.36611161632285,-121.9361573527852,n60,Txy,null,null
Txy_J_003,61,37.36665340851626,-121.9353676814525,n61,Txy,null,null
Txy_J_004,62,37.36741286588206,-121.933977425297,n62,Txy,null,null
Txy_J_005,63,37.36778866694574,-121.9334018874946,n63,Txy,null,null
Txy_J_006,64,37.36868461540156,-121.9321221208054,n64,Txy,null,null
Txy_J_Y,65,37.36886696306662,-121.9318564474263,n65,Txy,null,null
Txy_J_Z,66,37.36924229436959,-121.9312831018488,n66,Txy,null,null
Txy_Z_H,67,37.3670074322857,-121.9288399932157,n67,Txy,null,null
Txy_Y_H,68,37.36663183125572,-121.9294107326735,n68,Txy,null,null
Txy_H_001,69,37.36517942726015,-121.9314911756207,n69,Txy,null,null
Txy_H_002,70,37.36555432848226,-121.9309499522605,n70,Txy,null,null
Txy_H_003,71,37.3664471091125,-121.9296721237228,n71,Txy,null,null
Txy_V_G,72,37.3611060366287,-121.9324162435001,n72,Txy,null,null
Txy_G_001,73,37.36130022739575,-121.9321304461739,n73,Txy,null,null
Txy_G_002,74,37.36178487521715,-121.9314310483203,n74,Txy,null,null
Txy_G_003,75,37.3623388575996,-121.9306405020051,n75,Txy,null,null
Txy_Y_G,76,37.36469979623217,-121.9272903967861,n76,Txy,null,null
Txy_Z_G,77,37.36507710438092,-121.9267225253768,n77,Txy,null,null
Txy_F_001,78,37.3614049191109,-121.9273516175475,n78,Txy,null,null
Txy_F_002,79,37.36178044349529,-121.9268173750438,n79,Txy,null,null
Txy_F_003,80,37.3626727104629,-121.925537817629,n80,Txy,null,null
Txy_Y_F,81,37.3628568776621,-121.925273929422,n81,Txy,null,null
Txy_Z_F,82,37.36323956563554,-121.9247073516099,n82,Txy,null,null
Txy_E_001,83,37.36106263747796,-121.9237702380529,n83,Txy,null,null
Txy_Y_E,84,37.36124444487475,-121.923505959869,n84,Txy,null,null
Txy_Z_E,85,37.36161587073421,-121.9229363591052,n85,Txy,null,null
Txy_V_D,86,37.35603800348646,-121.9268059704674,n86,Txy,null,null
Txy_D_001,87,37.35621693116404,-121.9265490230403,n87,Txy,null,null
Txy_D_002,88,37.35665693652915,-121.9259234260667,n88,Txy,null,null
Txy_D_003,89,37.3581808965562,-121.9238162341236,n89,Txy,null,null
Txy_D_004,90,37.35855485025999,-121.9232871676496,n90,Txy,null,null
Txy_D_005,91,37.35945403454101,-121.921999049874,n91,Txy,null,null
Txy_Y_D,92,37.35963507765882,-121.9217395055017,n92,Txy,null,null
Txy_Z_D,93,37.36001540138508,-121.9211734115769,n93,Txy,null,null
Txy_V_C,94,37.35420491650742,-121.9246300641055,n94,Txy,null,null
Txy_C_001,95,37.3545811067605,-121.9239645077272,n95,Txy,null,null
Txy_C_002,96,37.35475988507616,-121.9237114122346,n96,Txy,null,null
Txy_C_003,97,37.35502654213293,-121.9233293333871,n97,Txy,null,null
Txy_C_004,98,37.35530688114806,-121.9229271027154,n98,Txy,null,null
Txy_C_005,99,37.35620944572971,-121.9216375575732,n99,Txy,null,null
Txy_C_006,100,37.35657551928706,-121.9211120111223,n100,Txy,null,null
Txy_C_007,101,37.35747222430618,-121.9198358260752,n101,Txy,null,null
Txy_Y_C,102,37.35765598842123,-121.9195696130514,n102,Txy,null,null
Txy_Z_C,103,37.35804287973983,-121.9190126039728,n103,Txy,null,null
Txy_W_B,104,37.35255034706333,-121.9205685626162,n104,Txy,null,null
Txy_B_001,105,37.35241049350485,-121.9197431706499,n105,Txy,null,null
Txy_B_002,106,37.35315089326161,-121.9183098510939,n106,Txy,null,null
Txy_B_003,107,37.35352804155851,-121.9177726625147,n107,Txy,null,null
Txy_B_004,108,37.35442144635739,-121.9164974607495,n108,Txy,null,null
Txy_Y_B,109,37.35460714054441,-121.916228183832,n109,Txy,null,null
Txy_Z_B,110,37.35499606671065,-121.9156482329229,n110,Txy,null,null
Txy_A_001,111,37.35227915389803,-121.9173622568196,n111,Txy,null,null
Txy_A_002,112,37.35264012933502,-121.9168045117296,n112,Txy,null,null
Txy_A_003,113,37.35352851911762,-121.9155190810135,n113,Txy,null,null
Txy_A_Y,114,37.35371703199508,-121.9152541257794,n114,Txy,null,null
Txy_A_Z,115,37.35410356888743,-121.9146936365499,n115,Txy,null,null
Txy_A1_001,116,37.35158746370369,-121.9165874189973,n116,Txy,null,null
Txy_A1_002,117,37.35196050945853,-121.9160329508079,n117,Txy,null,null
Txy_A1_003,118,37.35285410082312,-121.9147767937925,n118,Txy,null,null
Txy_Z_A1,119,37.35342400825294,-121.9139822819511,n119,Txy,null,null
Txy_V_L,120,37.37023066862434,-121.9399668118481,n120,Txy,null,null
Txy_V_001,121,37.36997908981699,-121.9402386236057,n121,Txy,null,null
Txy_V_002,122,37.36949969162711,-121.9405181826244,n122,Txy,null,null
Txy_V_003,123,37.36872726301597,-121.9405151945906,n123,Txy,null,null
Txy_V_004,124,37.36815492103523,-121.9401434635485,n124,Txy,null,null
