n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Txy_N_003,36,37.37532354248038,-121.9393381727412,Txy_N_Y,42,37.37516510085995,-121.9387677940976
Txy_N_Y,42,37.37516510085995,-121.9387677940976,Txy_M_Y,43,37.37468473374775,-121.9382768134432
Txy_M_Y,43,37.37468473374775,-121.9382768134432,Txy_Y_L,44,37.3728456373114,-121.936219847291
Rwy_01_001,0,37.37488422794585,-121.9400722449708,Txy_N_003,36,37.37532354248038,-121.9393381727412
Txy_N_002,35,37.37444303549268,-121.9407031249905,Rwy_01_001,0,37.37488422794585,-121.9400722449708
Txy_N_001,34,37.37406774292839,-121.9412396742461,Txy_N_002,35,37.37444303549268,-121.9407031249905
Rwy_02_001,15,37.37361822185463,-121.941867234634,Txy_N_001,34,37.37406774292839,-121.9412396742461
Rwy_02_002,16,37.37280977869128,-121.9409834606706,Rwy_02_001,15,37.37361822185463,-121.941867234634
Rwy_01_001,0,37.37488422794585,-121.9400722449708,Rwy_01_002,1,37.37407338319361,-121.9391588764552
Txy_M_Y,43,37.37468473374775,-121.9382768134432,Txy_M_003,37,37.37454401006044,-121.9384780657945
Txy_M_003,37,37.37454401006044,-121.9384780657945,Rwy_01_002,1,37.37407338319361,-121.9391588764552
Txy_M_002,38,37.37362653631609,-121.9398058349477,Rwy_01_002,1,37.37407338319361,-121.9391588764552
Txy_M_001,39,37.37326257733444,-121.9403215108619,Txy_M_002,38,37.37362653631609,-121.9398058349477
Rwy_02_002,16,37.37280977869128,-121.9409834606706,Txy_M_001,39,37.37326257733444,-121.9403215108619
Txy_M_004,40,37.3723549062896,-121.9416323702208,Rwy_02_002,16,37.37280977869128,-121.9409834606706
Txy_W_001,41,37.37209725046871,-121.9420216234265,Txy_M_004,40,37.3723549062896,-121.9416323702208
Txy_W_001,41,37.37209725046871,-121.9420216234265,Txy_V_L,120,37.37023066862434,-121.9399668118481
Rwy_02_003,17,37.37104064101339,-121.9390345157754,Rwy_02_002,16,37.37280977869128,-121.9409834606706
Rwy_02_003,17,37.37104064101339,-121.9390345157754,Rwy_02_004,18,37.37094342214588,-121.9389385716031
Rwy_02_004,18,37.37094342214588,-121.9389385716031,Txy_L_001,46,37.37049167180556,-121.9395915326737
Txy_V_L,120,37.37023066862434,-121.9399668118481,Txy_L_001,46,37.37049167180556,-121.9395915326737
Txy_L_002,47,37.3713936357545,-121.9382985958462,Rwy_02_004,18,37.37094342214588,-121.9389385716031
Txy_L_002,47,37.3713936357545,-121.9382985958462,Txy_L_003,48,37.37176494269636,-121.9377658808036
Txy_L_003,48,37.37176494269636,-121.9377658808036,Rwy_01_004,3,37.37220563653619,-121.9371227869018
Rwy_01_002,1,37.37407338319361,-121.9391588764552,Rwy_01_003,2,37.37228278877103,-121.9371953930502
Rwy_01_003,2,37.37228278877103,-121.9371953930502,Rwy_01_004,3,37.37220563653619,-121.9371227869018
Txy_L_004,49,37.37267348957389,-121.9364627540878,Rwy_01_004,3,37.37220563653619,-121.9371227869018
Txy_Y_L,44,37.3728456373114,-121.936219847291,Txy_L_004,49,37.37267348957389,-121.9364627540878
Txy_Y_L,44,37.3728456373114,-121.936219847291,Txy_L_Y,57,37.37227715567249,-121.9355965314113
Txy_Y_L,44,37.3728456373114,-121.936219847291,Txy_L_Z,50,37.37317052238418,-121.9356421234154
Txy_L_006,51,37.37210657220515,-121.9358406551676,Txy_L_Y,57,37.37227715567249,-121.9355965314113
Txy_L_006,51,37.37210657220515,-121.9358406551676,Rwy_01_020,52,37.37164672211972,-121.9365059030317
Rwy_01_020,52,37.37164672211972,-121.9365059030317,Rwy_01_004,3,37.37220563653619,-121.9371227869018
Rwy_01_005,4,37.36991507229354,-121.9346073707915,Rwy_01_020,52,37.37164672211972,-121.9365059030317
Rwy_01_005,4,37.36991507229354,-121.9346073707915,Txy_K_001,54,37.37036360467274,-121.9339674345107
Txy_K_001,54,37.37036360467274,-121.9339674345107,Txy_Y_K,45,37.37054682155821,-121.9337019195109
Txy_L_Y,57,37.37227715567249,-121.9355965314113,Txy_Y_K,45,37.37054682155821,-121.9337019195109
Txy_L_Z,50,37.37317052238418,-121.9356421234154,Txy_K_Z,53,37.37093014920026,-121.9331333539044
Txy_Y_K,45,37.37054682155821,-121.9337019195109,Txy_K_Z,53,37.37093014920026,-121.9331333539044
Rwy_01_005,4,37.36991507229354,-121.9346073707915,Txy_K_002,55,37.36946370048597,-121.9352493585963
Txy_K_002,55,37.36946370048597,-121.9352493585963,Txy_K_003,56,37.36909313245018,-121.9357825847546
Txy_K_003,56,37.36909313245018,-121.9357825847546,Rwy_02_005,19,37.36868442863586,-121.9364567310168
Rwy_02_004,18,37.37094342214588,-121.9389385716031,Rwy_02_005,19,37.36868442863586,-121.9364567310168
Txy_V_L,120,37.37023066862434,-121.9399668118481,Txy_V_001,121,37.36997908981699,-121.9402386236057
Txy_V_001,121,37.36997908981699,-121.9402386236057,Txy_V_002,122,37.36949969162711,-121.9405181826244
Txy_V_002,122,37.36949969162711,-121.9405181826244,Txy_V_003,123,37.36872726301597,-121.9405151945906
Txy_V_003,123,37.36872726301597,-121.9405151945906,Txy_V_004,124,37.36815492103523,-121.9401434635485
Txy_V_004,124,37.36815492103523,-121.9401434635485,Txy_J_V,58,37.36543413015187,-121.9371598840206
Txy_J_V,58,37.36543413015187,-121.9371598840206,Txy_J_001,59,37.36561610989138,-121.9368662486728
Txy_J_001,59,37.36561610989138,-121.9368662486728,Rwy_03_001,30,37.36584215284864,-121.9365443511995
Rwy_03_001,30,37.36584215284864,-121.9365443511995,Txy_J_002,60,37.36611161632285,-121.9361573527852
Txy_J_002,60,37.36611161632285,-121.9361573527852,Txy_J_003,61,37.36665340851626,-121.9353676814525
Txy_J_003,61,37.36665340851626,-121.9353676814525,Rwy_02_006,20,37.36705119211084,-121.9346685479917
Rwy_02_006,20,37.36705119211084,-121.9346685479917,Txy_J_004,62,37.36741286588206,-121.933977425297
Txy_J_004,62,37.36741286588206,-121.933977425297,Txy_J_005,63,37.36778866694574,-121.9334018874946
Rwy_02_005,19,37.36868442863586,-121.9364567310168,Rwy_02_006,20,37.36705119211084,-121.9346685479917
Rwy_03_001,30,37.36584215284864,-121.9365443511995,Rwy_03_002,31,37.36151044395701,-121.9317929295708
