id,index,lat,lon,yEdId,domain,refName,type
Rwy_01_001,0,40.80757416525657,-111.9992412411448,n0,Rwy,RW16R,Entry
Rwy_01_002,1,40.80683346617273,-111.9991377480536,n1,Rwy,null,null
Rwy_01_003,2,40.80059131052744,-111.9984305601119,n2,Rwy,null,null
Rwy_01_004,3,40.79732568840072,-111.9980527353843,n3,Rwy,null,null
Rwy_01_005,4,40.79411363878196,-111.9976795605062,n4,Rwy,null,null
Rwy_01_006,5,40.79101663852249,-111.9973162099707,n5,Rwy,null,null
Rwy_01_007,6,40.78810832192825,-111.9969786756069,n6,Rwy,null,null
Rwy_01_008,7,40.78528291427037,-111.996655285833,n7,Rwy,null,null
Rwy_01_009,8,40.78198757843054,-111.9962660324159,n8,Rwy,null,null
Rwy_01_010,9,40.77587017180908,-111.9955517074173,n9,Rwy,null,null
Rwy_01_011,10,40.77515934632623,-111.9954730003797,n10,Rwy,RW34L,Entry
Rwy_02_001,11,40.80744091846156,-111.9769235397058,n11,Rwy,RW16L,Entry
Rwy_02_002,12,40.8063727137656,-111.9768112730557,n12,Rwy,null,null
Rwy_02_003,13,40.80176445284131,-111.9762626440554,n13,Rwy,null,null
Rwy_02_004,14,40.79695042687888,-111.9757051783453,n14,Rwy,null,null
Rwy_02_005,15,40.79428490228504,-111.9753870612125,n15,Rwy,null,null
Rwy_02_006,16,40.79214709167381,-111.9751442325848,n16,Rwy,null,null
Rwy_02_007,17,40.78624502160933,-111.9744579920144,n17,Rwy,null,null
Rwy_02_008,18,40.78181060748497,-111.9739433171009,n18,Rwy,null,null
Rwy_02_009,19,40.77563207757424,-111.9732379805795,n19,Rwy,null,null
Rwy_02_010,20,40.77490926830404,-111.9731451991166,n20,Rwy,RW34R,Entry
Rwy_03_001,21,40.79872039353607,-111.9620363365301,n21,Rwy,RW17 ,Entry
Rwy_03_002,22,40.79806820668517,-111.9620264102152,n22,Rwy,null,null
Rwy_03_003,23,40.79147469488328,-111.9620285816662,n23,Rwy,null,null
Rwy_03_004,24,40.78672006924804,-111.9620283508433,n24,Rwy,null,null
Rwy_03_005,25,40.78239282667741,-111.9620238525531,n25,Rwy,null,null
Rwy_03_006,26,40.78098604097424,-111.9620193309857,n26,Rwy,null,null
Rwy_03_007,27,40.77708301409825,-111.9620263755194,n27,Rwy,null,null
Rwy_03_008,28,40.77367238030494,-111.9620322485863,n28,Rwy,null,null
Rwy_03_009,29,40.77345743603343,-111.9620323041018,n29,Rwy,RW35 ,Entry
Rwy_03_010,30,40.77270623785562,-111.9620324864501,n30,Rwy,null,null
Txy_A11_001,31,40.80766196747416,-111.9980803816877,n31,Txy,null,null
Txy_A_A11,32,40.80771307058991,-111.9971031587349,n32,Txy,null,null
Txy_A11_B,33,40.80773270217215,-111.9961882194239,n33,Txy,null,null
Txy_A10_001,34,40.80694121977708,-111.9980071217931,n34,Txy,null,null
Txy_A10_A,35,40.80700059802291,-111.99699805794,n35,Txy,null,null
Txy_A10_B,36,40.80707084710022,-111.9960449762885,n36,Txy,null,null
Txy_A_001,37,40.80596486633242,-111.9968802959355,n37,Txy,null,null
Txy_A9_A,38,40.8019621417477,-111.9964100154268,n38,Txy,null,null
Txy_A_A8,39,40.79867452498934,-111.9960270108577,n39,Txy,null,null
Txy_A_A7,40,40.79538887587791,-111.9956453882974,n40,Txy,null,null
Txy_A_A6,41,40.79159815082279,-111.9952036458107,n41,Txy,null,null
Txy_A6_A,42,40.79088733377437,-111.9951188199137,n42,Txy,null,null
Txy_A_002,43,40.79032018915428,-111.9950591910537,n43,Txy,null,null
Txy_A_A5,44,40.7874657135297,-111.9947218930923,n44,Txy,null,null
Txy_A5_A,45,40.78683631864882,-111.9946511513744,n45,Txy,null,null
Txy_A_A4,46,40.7841982102236,-111.9943463374697,n46,Txy,null,null
Txy_A4_A,47,40.78365272352346,-111.9942794079409,n47,Txy,null,null
Txy_A_007,48,40.78347010990159,-111.9942624326205,n48,Txy,null,null
Txy_A_A3,49,40.78087992812473,-111.9939564615233,n49,Txy,null,null
Txy_A_009,50,40.77720738800529,-111.9935251619811,n50,Txy,null,null
Txy_A_A2,51,40.77603419760177,-111.9933880563747,n51,Txy,null,null
Txy_A_A1,52,40.77530888180409,-111.9933259253578,n52,Txy,null,null
Txy_B_A1,53,40.77535863781139,-111.9924375108515,n53,Txy,null,null
Txy_B_A2,54,40.77607357589642,-111.9924246737079,n54,Txy,null,null
Txy_B_A3,55,40.78096486657022,-111.9929983599338,n55,Txy,null,null
Txy_A4_B,56,40.78369590983853,-111.9933129713978,n56,Txy,null,null
Txy_B_A4,57,40.78423707315294,-111.9933815043437,n57,Txy,null,null
Txy_B_A5,58,40.78690264278944,-111.9936922451297,n58,Txy,null,null
Txy_A5_B,59,40.78752480433114,-111.9937654229781,n59,Txy,null,null
Txy_B_A6,60,40.79094302503063,-111.9941641410518,n60,Txy,null,null
Txy_A6_B,61,40.79167193425127,-111.9942476707738,n61,Txy,null,null
Txy_B_A7,62,40.79543965800742,-111.9946828370365,n62,Txy,null,null
Txy_B_A8,63,40.79869875455218,-111.9950609073569,n63,Txy,null,null
Txy_B_A9,64,40.80200845926002,-111.9954466508332,n64,Txy,null,null
Txy_A9_001,65,40.80147960448824,-111.9973598307769,n65,Txy,null,null
Txy_A8_001,66,40.79818803586559,-111.9969943691156,n66,Txy,null,null
Txy_A7_001,67,40.79489668957108,-111.9966026124277,n67,Txy,null,null
Txy_A6_001,68,40.79119209267838,-111.9959472529466,n68,Txy,null,null
Txy_A5_001,69,40.78747690464054,-111.9957363135094,n69,Txy,null,null
Txy_A4_001,70,40.78461343133313,-111.9954023974942,n70,Txy,null,null
Txy_A3_001,71,40.78132845404466,-111.9950324575913,n71,Txy,null,null
Txy_A2_001,72,40.77595749195545,-111.9944043595368,n72,Txy,null,null
Txy_A1_001,73,40.77522272623077,-111.9943152975323,n73,Txy,null,null
Txy_F_001,74,40.79172155549566,-111.9935931094596,n74,Txy,null,null
Txy_F4_F,75,40.79175246422164,-111.9930367226925,n75,Txy,null,null
Txy_E_F4,76,40.79102668036791,-111.9929492091311,n76,Txy,null,null
Txy_F4_001,77,40.7899371294475,-111.9928213523495,n77,Txy,null,null
Txy_F4_A5,78,40.78761237486546,-111.9925506853461,n78,Txy,null,null
Txy_A5_F4,79,40.78698230335695,-111.9924823473871,n79,Txy,null,null
Txy_A5_002,80,40.78756395433887,-111.9933122940186,n80,Txy,null,null
Txy_A5_003,81,40.78694534366028,-111.9932399962385,n81,Txy,null,null
Txy_F4_002,82,40.78611578935364,-111.9923712190845,n82,Txy,null,null
Txy_F4_003,83,40.78572404864759,-111.9923226151626,n83,Txy,null,null
Txy_F4_004,84,40.78533465043162,-111.9922801436641,n84,Txy,null,null
Txy_F4_005,85,40.78494856823435,-111.992236956767,n85,Txy,null,null
Txy_F4_006,86,40.78456177597112,-111.9921943619483,n86,Txy,null,null
Txy_F4_007,87,40.78607260704331,-111.9931381063553,n87,Txy,null,null
Txy_F4_008,88,40.78568101208712,-111.9930956860972,n88,Txy,null,null
Txy_F4_009,89,40.78530526597255,-111.9930471307613,n89,Txy,null,null
Txy_F4_010,90,40.78490447100229,-111.9929985624441,n90,Txy,null,null
Txy_F4_011,91,40.78452635517516,-111.9929560600207,n91,Txy,null,null
Txy_B_010,92,40.7844897125376,-111.9934170991406,n92,Txy,null,null
Txy_B_011,93,40.78488224851909,-111.9934495569923,n93,Txy,null,null
Txy_B_012,94,40.78526036999609,-111.993498162939,n94,Txy,null,null
Txy_B_013,95,40.78564828860617,-111.9935499976214,n95,Txy,null,null
Txy_B_014,96,40.78603634121154,-111.9935954604313,n96,Txy,null,null
Txy_A4_002,97,40.78426309062894,-111.9929253453435,n97,Txy,null,null
Txy_A4_003,98,40.7837414370282,-111.9928517874924,n98,Txy,null,null
Txy_A4_004,99,40.78417443259359,-111.9921377264036,n99,Txy,null,null
Txy_A4_005,100,40.78367372365896,-111.9920688543743,n100,Txy,null,null
Txy_A4_006,101,40.78415369776821,-111.9913064001412,n101,Txy,null,null
Txy_A4_007,102,40.78367269197931,-111.9912322359358,n102,Txy,null,null
Txy_A4_008,103,40.78436496712325,-111.9879598454306,n103,Txy,null,null
Txy_A4_009,104,40.78390757456953,-111.9878640563922,n104,Txy,null,null
Txy_A4_010,105,40.78440420126916,-111.9873038745638,n105,Txy,null,null
Txy_A4_011,106,40.78465142204652,-111.9874065578225,n106,Txy,null,null
Txy_F4_012,107,40.78617850691607,-111.9915467418184,n107,Txy,null,null
Txy_F4_013,108,40.78578222425116,-111.9914700739016,n108,Txy,null,null
Txy_F4_014,109,40.78539006051966,-111.9914363663975,n109,Txy,null,null
Txy_F4_015,110,40.78500726213665,-111.9913978785128,n110,Txy,null,null
Txy_F4_016,111,40.78461376543786,-111.9913419250953,n111,Txy,null,null
Txy_F_F3,112,40.79198535654091,-111.9896447533368,n112,Txy,null,null
Txy_F3_E,113,40.79125696165625,-111.9895460462546,n113,Txy,null,null
Txy_F3_001,114,40.79090448681158,-111.98951539411,n114,Txy,null,null
Txy_F_003,115,40.79206020017796,-111.9885471452191,n115,Txy,null,null
Txy_F_F2,116,40.79222264073868,-111.9861450304219,n116,Txy,null,null
Txy_E_001,117,40.7911376215052,-111.9913380580746,n117,Txy,null,null
Txy_E_002,118,40.79136280296321,-111.9880468188885,n118,Txy,null,null
Txy_E_003,119,40.79138634067232,-111.987675532326,n119,Txy,null,null
Txy_E_004,120,40.79142446434118,-111.9871172407897,n120,Txy,null,null
Txy_F2_001,121,40.791854967049,-111.9862396961693,n121,Txy,null,null
Txy_E_F2,122,40.7914842872634,-111.9862036391011,n122,Txy,null,null
Txy_F2_002,123,40.79112728963429,-111.9861567836868,n123,Txy,null,null
Txy_F2_003,124,40.79257065094867,-111.986174369286,n124,Txy,null,null
Txy_F_004,125,40.79226000563176,-111.9855695354406,n125,Txy,null,null
Txy_F1_F,126,40.79242679007653,-111.9831074858114,n126,Txy,null,null
Txy_F_005,127,40.79246740668501,-111.9823812054129,n127,Txy,null,null
Txy_F_G,128,40.79276237367942,-111.9783614877489,n128,Txy,null,null
Txy_F_H,129,40.79281749907434,-111.977400626357,n129,Txy,null,null
Txy_H8_001,130,40.79235261153508,-111.9762234213111,n130,Txy,null,null
Txy_H8_002,131,40.79209015863309,-111.9761938168213,n131,Txy,null,null
Txy_E_005,132,40.79152770619395,-111.9856590767719,n132,Txy,null,null
Txy_E_006,133,40.79154673895906,-111.9852768334797,n133,Txy,null,null
Txy_E_007,134,40.79159408129068,-111.9845783877549,n134,Txy,null,null
Txy_E_008,135,40.79164351405021,-111.9838050966781,n135,Txy,null,null
Txy_E_009,136,40.79169993184662,-111.9830055137594,n136,Txy,null,null
Txy_E_010,137,40.79175344630504,-111.9822056591293,n137,Txy,null,null
