n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Rwy_01_001,0,40.80757416525657,-111.9992412411448,Txy_A11_001,31,40.80766196747416,-111.9980803816877
Txy_A11_001,31,40.80766196747416,-111.9980803816877,Txy_A_A11,32,40.80771307058991,-111.9971031587349
Txy_A_A11,32,40.80771307058991,-111.9971031587349,Txy_A11_B,33,40.80773270217215,-111.9961882194239
Txy_A11_B,33,40.80773270217215,-111.9961882194239,Txy_A10_B,36,40.80707084710022,-111.9960449762885
Txy_A10_B,36,40.80707084710022,-111.9960449762885,Txy_B_A9,64,40.80200845926002,-111.9954466508332
Txy_A_A11,32,40.80771307058991,-111.9971031587349,Txy_A10_A,35,40.80700059802291,-111.99699805794
Txy_A10_A,35,40.80700059802291,-111.99699805794,Txy_A_001,37,40.80596486633242,-111.9968802959355
Txy_A_001,37,40.80596486633242,-111.9968802959355,Txy_A9_A,38,40.8019621417477,-111.9964100154268
Txy_B_A9,64,40.80200845926002,-111.9954466508332,Txy_A9_A,38,40.8019621417477,-111.9964100154268
Txy_A9_A,38,40.8019621417477,-111.9964100154268,Txy_A9_001,65,40.80147960448824,-111.9973598307769
Txy_A9_001,65,40.80147960448824,-111.9973598307769,Rwy_01_003,2,40.80059131052744,-111.9984305601119
Rwy_01_002,1,40.80683346617273,-111.9991377480536,Txy_A10_001,34,40.80694121977708,-111.9980071217931
Txy_A10_001,34,40.80694121977708,-111.9980071217931,Txy_A10_A,35,40.80700059802291,-111.99699805794
Txy_A10_B,36,40.80707084710022,-111.9960449762885,Txy_A10_A,35,40.80700059802291,-111.99699805794
Rwy_01_001,0,40.80757416525657,-111.9992412411448,Rwy_01_002,1,40.80683346617273,-111.9991377480536
Rwy_01_002,1,40.80683346617273,-111.9991377480536,Rwy_01_003,2,40.80059131052744,-111.9984305601119
Txy_A9_A,38,40.8019621417477,-111.9964100154268,Txy_A_A8,39,40.79867452498934,-111.9960270108577
Txy_B_A9,64,40.80200845926002,-111.9954466508332,Txy_B_A8,63,40.79869875455218,-111.9950609073569
Txy_B_A8,63,40.79869875455218,-111.9950609073569,Txy_A_A8,39,40.79867452498934,-111.9960270108577
Txy_A_A8,39,40.79867452498934,-111.9960270108577,Txy_A8_001,66,40.79818803586559,-111.9969943691156
Txy_A8_001,66,40.79818803586559,-111.9969943691156,Rwy_01_004,3,40.79732568840072,-111.9980527353843
Rwy_01_004,3,40.79732568840072,-111.9980527353843,Rwy_01_003,2,40.80059131052744,-111.9984305601119
Rwy_01_004,3,40.79732568840072,-111.9980527353843,Rwy_01_005,4,40.79411363878196,-111.9976795605062
Rwy_01_005,4,40.79411363878196,-111.9976795605062,Txy_A7_001,67,40.79489668957108,-111.9966026124277
Txy_A7_001,67,40.79489668957108,-111.9966026124277,Txy_A_A7,40,40.79538887587791,-111.9956453882974
