n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Rwy_01_001,116,33.66736979325258,-117.8741525017498,Rwy_01_002,59,33.6679057411576,-117.8737576387096
Rwy_01_002,59,33.6679057411576,-117.8737576387096,Rwy_01_003,87,33.66978537081386,-117.8725766744966
Rwy_01_004,117,33.67241455009393,-117.8709074173006,Rwy_01_005,122,33.67387086224782,-117.8699837494154
Rwy_01_005,122,33.67387086224782,-117.8699837494154,Rwy_01_006,123,33.67556970756129,-117.8689091230877
Rwy_01_006,123,33.67556970756129,-117.8689091230877,Rwy_01_007,125,33.67772592659279,-117.8675373833668
Rwy_01_007,125,33.67772592659279,-117.8675373833668,Rwy_01_008,126,33.68082394618809,-117.8655658263012
Rwy_01_008,126,33.68082394618809,-117.8655658263012,Rwy_01_009,36,33.68155799960203,-117.8651151723467
Rwy_02_001,85,33.67408100203632,-117.8679963291987,Rwy_02_002,127,33.67708422593079,-117.8660871009077
Rwy_02_002,127,33.67708422593079,-117.8660871009077,Rwy_02_003,128,33.67982160760781,-117.8643544242511
Rwy_02_003,128,33.67982160760781,-117.8643544242511,Rwy_02_004,63,33.68018307187116,-117.8641278056823
Rwy_02_004,63,33.68018307187116,-117.8641278056823,Rwy_02_005,62,33.6809140650079,-117.8636718100015
Txy_A_L,66,33.68038491667706,-117.8624985364023,Txy_C_L,67,33.68060044078366,-117.8629678384276
Txy_C_L,67,33.68060044078366,-117.8629678384276,Txy_L_001,30,33.68075204406073,-117.8633090205997
Txy_L_001,30,33.68075204406073,-117.8633090205997,Rwy_02_005,62,33.6809140650079,-117.8636718100015
Rwy_02_005,62,33.6809140650079,-117.8636718100015,Txy_L_002,34,33.68106520302418,-117.8640193773605
Txy_L_002,34,33.68106520302418,-117.8640193773605,Txy_L_003,35,33.68123268666506,-117.8643964249721
Txy_L_003,35,33.68123268666506,-117.8643964249721,Rwy_01_009,36,33.68155799960203,-117.8651151723467
Rwy_01_009,36,33.68155799960203,-117.8651151723467,Txy_L_004,37,33.68189743596339,-117.8658993789194
Txy_A_K,69,33.67966112009569,-117.8629514969667,Txy_C_K,68,33.6798728779185,-117.8634296535189
Txy_C_K,68,33.6798728779185,-117.8634296535189,Txy_K_001,31,33.68002264252192,-117.863768947196
Txy_K_001,31,33.68002264252192,-117.863768947196,Rwy_02_004,63,33.68018307187116,-117.8641278056823
Rwy_02_004,63,33.68018307187116,-117.8641278056823,Txy_K_002,32,33.6803420940013,-117.8644761993649
Txy_K_002,32,33.6803420940013,-117.8644761993649,Txy_K_003,33,33.68050731269987,-117.8648543621297
Txy_K_003,33,33.68050731269987,-117.8648543621297,Rwy_01_008,126,33.68082394618809,-117.8655658263012
Rwy_01_008,126,33.68082394618809,-117.8655658263012,Txy_K_004,38,33.68114635466329,-117.8662975683263
Txy_K_004,38,33.68114635466329,-117.8662975683263,Txy_B_K,135,33.6814168515768,-117.8668867704404
Txy_B_035,39,33.6810426829615,-117.8671171759127,Txy_B_K,135,33.6814168515768,-117.8668867704404
