id,index,lat,lon,yEdId,domain,refName,type
Parking_V_002,0,38.75567011442068,-90.3683862427691,n0,Park,null,null
Parking_V_001,1,38.75543178510013,-90.36967551823433,n1,Park,null,null
Txy_B_001,2,38.76058117029076,-90.409181857664,n2,Txy,null,null
Txy_A6_001,3,38.75993326229054,-90.40788786040405,n3,Txy,null,null
Txy_A_A6,4,38.76020820458027,-90.40766560601837,n4,Txy,null,null
Txy_B_002,5,38.7614773987286,-90.40845712218714,n5,Txy,null,null
Rwy_01_001,6,38.75993795386093,-90.4097040312449,n6,Rwy,RW11 ,Entry
Txy_B_A6,7,38.76082048156984,-90.4071878315832,n7,Txy,null,null
Rwy_01_002,8,38.75928631045272,-90.40837837531366,n8,Rwy,null,null
Txy_A_A5,9,38.75928014107146,-90.40567769633093,n9,Txy,null,null
Txy_B_A5,10,38.75988189214331,-90.40517467428582,n10,Txy,null,null
Txy_A5_001,11,38.75870641428333,-90.40529023517198,n11,Txy,null,null
Rwy_01_003,12,38.7573472462563,-90.40439523728404,n12,Rwy,null,null
Txy_A_A4,13,38.75734857148472,-90.40187784266001,n13,Txy,null,null
Txy_B_A4,14,38.75793438021943,-90.40140566709243,n14,Txy,null,null
Txy_A4_001,15,38.75677302799838,-90.40150106417032,n15,Txy,null,null
Rwy_01_004,16,38.75536637733006,-90.40058196968756,n16,Rwy,null,null
Txy_A3_001,17,38.75129701109094,-90.39040042233162,n17,Txy,null,null
Txy_A_A3,18,38.75129146613671,-90.38960970433882,n18,Txy,null,null
Txy_B_A3,19,38.75190271524096,-90.38910290027371,n19,Txy,null,null
Rwy_01_005,20,38.75132849148908,-90.39239309332888,n20,Rwy,null,null
Txy_A2_001,21,38.74940690059769,-90.38659985021991,n21,Txy,null,null
Txy_B_A2,22,38.75001111525339,-90.38526251262162,n22,Txy,null,null
Txy_A_A2,23,38.74938306367218,-90.38576827382212,n23,Txy,null,null
Rwy_01_006,24,38.74947819009721,-90.38859781824307,n24,Rwy,null,null
Txy_A_A1,25,38.74861554465959,-90.38421947775454,n25,Txy,null,null
Txy_B_A1,26,38.74924084741376,-90.3837288648676,n26,Txy,null,null
Txy_B_U,27,38.74841719604412,-90.38207774012517,n27,Txy,null,null
Txy_U_001,28,38.74783668626964,-90.38343198926702,n28,Txy,null,null
Txy_A_U,29,38.74801801914649,-90.38301062909366,n29,Txy,null,null
Rwy_01_007,30,38.74741341410024,-90.38442707912775,n30,Rwy,null,null
Txy_T_001,31,38.74739575342204,-90.38253249147712,n31,Txy,null,null
Txy_B_T,32,38.74796245000609,-90.38112094499454,n32,Txy,null,null
Txy_A_T,33,38.74756739468773,-90.38211421329528,n33,Txy,null,null
Rwy_01_008,34,38.74698265234576,-90.38356499844674,n34,Rwy,RW29 ,Entry
Rwy_02_002,35,38.7468797183456,-90.38073721903295,n35,Rwy,null,null
Txy_A_001,36,38.74731219495914,-90.38160857207315,n36,Txy,null,null
Txy_B_003,37,38.74775628568095,-90.38051699350208,n37,Txy,null,null
Rwy_02_003,38,38.74738854883864,-90.37946184386625,n38,Rwy,null,null
Rwy_02_001,39,38.74676473488307,-90.38106520635165,n39,Rwy,RW06 ,Entry
Txy_S_001,40,38.74612751083607,-90.38067587749748,n40,Txy,null,null
Txy_B_004,41,38.74703989299362,-90.37840353784905,n41,Txy,null,null
Txy_S_B,42,38.7468292713624,-90.3778011664295,n42,Txy,null,null
Txy_S_003,43,38.74666391707841,-90.37821680813235,n43,Txy,null,null
Txy_S_002,44,38.74590972626238,-90.38013510175745,n44,Txy,null,null
Txy_S1_001,45,38.74814313937014,-90.37566535888188,n45,Txy,null,null
Txy_S_S1,46,38.7477751642324,-90.375444033666,n46,Txy,null,null
Rwy_02_004,47,38.74875981157553,-90.37607261317066,n47,Rwy,null,null
Txy_S1_002,48,38.74768029693738,-90.37538972618982,n48,Txy,null,null
Txy_C_T,49,38.75000149413729,-90.37604803352009,n49,Txy,null,null
Txy_C_004,50,38.74975804655107,-90.37554147069754,n50,Txy,null,null
Rwy_02_005,51,38.74932028856223,-90.37466348039875,n51,Rwy,null,null
Txy_C_005,52,38.74887786133237,-90.37383637793982,n52,Txy,null,null
Txy_D_T,53,38.75044433297342,-90.37496001227805,n53,Txy,null,null
Txy_D_002,54,38.75024221012507,-90.37455417694366,n54,Txy,null,null
Txy_D_001,55,38.75182085768734,-90.3777661700855,n55,Txy,null,null
Txy_D_V,56,38.75203829248877,-90.37819947694952,n56,Txy,null,null
Txy_C_003,57,38.7511116206516,-90.37829968179662,n57,Txy,null,null
Txy_C_V,58,38.75133289312146,-90.37875037850522,n58,Txy,null,null
Txy_D_U,59,38.75103448743558,-90.37616559026718,n59,Txy,null,null
Txy_C_U,60,38.75031863422413,-90.37668870256262,n60,Txy,null,null
Txy_C_001,61,38.75319248613829,-90.37958018725483,n61,Txy,null,null
Txy_V_001,62,38.75238013251076,-90.37792736460088,n62,Txy,null,null
Txy_C_002,63,38.75219097517063,-90.3802002626496,n63,Txy,null,null
Rwy_03_001,64,38.75385538828827,-90.37903756858304,n64,Rwy,null,null
Rwy_03_002,65,38.75308018722986,-90.37748688273273,n65,Rwy,RW12R,Entry
Txy_V_002,66,38.75339438511163,-90.37609365689968,n66,Txy,null,null
Rwy_02_007,67,38.74996644106908,-90.37307086672304,n67,Rwy,null,null
Rwy_02_006,68,38.74976124227867,-90.37357916995512,n68,Rwy,null,null
Txy_D_003,69,38.74932958058218,-90.3727057326493,n69,Txy,null,null
Txy_D_S,70,38.74908493585725,-90.37220351257083,n70,Txy,null,null
Txy_S_004,71,38.74929949762104,-90.37167684549132,n71,Txy,null,null
Txy_C_S,72,38.74865360033203,-90.3732577017657,n72,Txy,null,null
Rwy_03_004,73,38.74970440224857,-90.37063881623374,n73,Rwy,null,null
Rwy_02_03,74,38.75039766955999,-90.37199670552239,n74,Rwy,null,null
Rwy_03_003,75,38.74995040522229,-90.37113507311894,n75,Rwy,null,null
Rwy_02_008,76,38.75086137475918,-90.37084727381405,n76,Rwy,null,null
Txy_S_005,77,38.75015128719436,-90.36954969291635,n77,Txy,null,null
Txy_S_006,78,38.75050000430982,-90.36868154687224,n78,Txy,null,null
Txy_E_001,79,38.75097861238762,-90.36860985416004,n79,Txy,null,null
Txy_S_007,80,38.75115698652985,-90.3670327283175,n80,Txy,null,null
Txy_S_E,81,38.75071061925688,-90.36790551208794,n81,Txy,null,null
Rwy_02_009,82,38.75141243208834,-90.3694724333788,n82,Rwy,null,null
Rwy_02_010,83,38.75181468388293,-90.3684690323198,n83,Rwy,null,null
Txy_R_004,84,38.75005439876855,-90.36775275245674,n84,Txy,null,null
Txy_R_003,85,38.749220360428,-90.36763782239085,n85,Txy,null,null
Rwy_03_005,86,38.74816012521063,-90.36749383544176,n86,Rwy,null,null
Txy_R_002,87,38.7471823404713,-90.36737178565257,n87,Txy,null,null
Rwy_04_001,88,38.75160267690519,-90.36592185597124,n88,Rwy,RW12L,Entry
Rwy_02_011,89,38.75228885984188,-90.36730619424957,n89,Rwy,null,null
Rwy_02_012,90,38.75274784602659,-90.3661416856666,n90,Rwy,null,null
Txy_S_008,91,38.75206796457346,-90.36476359265328,n91,Txy,null,null
Txy_F_002,92,38.75259973785927,-90.36457690243252,n92,Txy,null,null
Txy_F_001,93,38.75349466620099,-90.36639714130693,n93,Txy,null,null
Rwy_02_013,94,38.75302254483308,-90.36542630307373,n94,Rwy,null,null
Txy_S_F,95,38.75234976951995,-90.36406094034282,n95,Txy,null,null
Txy_V_007,96,38.75680674282116,-90.35805544552046,n96,Txy,null,null
Rwy_02_014,97,38.75617721180382,-90.35760688776101,n97,Rwy,RW24 ,Entry
Txy_P_008,98,38.75530113043491,-90.35757524872369,n98,Txy,null,null
Txy_V_003,99,38.75367261245461,-90.37441050902501,n99,Txy,null,null
Txy_V_004,100,38.7544541289347,-90.36943468777271,n100,Txy,null,null
Txy_V_F,101,38.75460277647963,-90.36848220131891,n101,Txy,null,null
Txy_V_005,102,38.755555793128,-90.3624317392085,n102,Txy,null,null
Txy_V_006,103,38.75703052866147,-90.35869976758393,n103,Txy,null,null
Txy_P_007,104,38.75389385306599,-90.35780297765639,n104,Txy,null,null
Txy_F_P,105,38.7503039180809,-90.35992212649685,n105,Txy,null,null
Txy_P_005,106,38.74977488711134,-90.36035850627307,n106,Txy,null,null
Rwy_04_002,107,38.74912661803447,-90.36089532521555,n107,Rwy,null,null
Txy_P_004,108,38.74845736506263,-90.36141720012472,n108,Txy,null,null
Txy_E_P,109,38.74772070820865,-90.36200719376626,n109,Txy,null,null
Txy_E_002,110,38.74863819220678,-90.36385909834956,n110,Txy,null,null
Txy_P_003,111,38.74675121579237,-90.36277795936992,n111,Txy,null,null
Txy_Q_002,112,38.74580346324303,-90.36460181466789,n112,Txy,null,null
Txy_D_R,113,38.7466669136659,-90.36729440388284,n113,Txy,null,null
Txy_D_Q,114,38.74553098606352,-90.36500405548253,n114,Txy,null,null
Rwy_03_006,115,38.746085336588,-90.36330328548621,n115,Rwy,null,null
Txy_P_002,116,38.74506885874057,-90.36310203734563,n116,Txy,null,null
Txy_D_P,117,38.7446522062889,-90.36322034487846,n117,Txy,null,null
Txy_D_N,118,38.74366694349369,-90.36121968684414,n118,Txy,null,null
Txy_N_002,119,38.74394946767909,-90.36081684579244,n119,Txy,null,null
Txy_N_003,120,38.74505551181316,-90.35924749629997,n120,Txy,null,null
Rwy_03_007,121,38.74447956279326,-90.36005637491763,n121,Rwy,null,null
Txy_D_M,122,38.74230857497032,-90.35847295994986,n122,Txy,null,null
Txy_M_002,123,38.7425558178881,-90.35797082303462,n123,Txy,null,null
Rwy_03_008,124,38.74310544990148,-90.35727619905535,n124,Rwy,null,null
Txy_D_D2,125,38.74296986303462,-90.35981598009285,n125,Txy,null,null
Txy_C_D2,126,38.7424769420904,-90.36021480759428,n126,Txy,null,null
Txy_C_P,127,38.74414075315416,-90.36359394888485,n127,Txy,null,null
Txy_C_Q,128,38.74513296692157,-90.36559576517952,n128,Txy,null,null
Txy_C_R,129,38.74613247599185,-90.36763162654246,n129,Txy,null,null
Txy_C_N,130,38.74324660724815,-90.36178310968057,n130,Txy,null,null
Txy_C_M,131,38.7418205505289,-90.35889377260587,n131,Txy,null,null
Txy_L_002,132,38.74173800044809,-90.35634904704374,n132,Txy,null,null
Txy_L_003,133,38.74377829014278,-90.35640276596551,n133,Txy,null,null
Rwy_03_009,134,38.7426667742605,-90.35636330197183,n134,Rwy,null,null
Txy_K_003,135,38.74260108229215,-90.35423768239974,n135,Txy,null,null
Txy_K_002,136,38.74068800914502,-90.35421802525146,n136,Txy,null,null
Rwy_03_010,137,38.74159380879206,-90.3542137099906,n137,Rwy,null,null
Txy_D_L,138,38.74135777047597,-90.35654845694677,n138,Txy,null,null
Txy_D_K,139,38.74024884934976,-90.35431075920187,n139,Txy,null,null
Txy_D1_001,140,38.73949987934498,-90.35181983087256,n140,Txy,null,null
Rwy_03_011,141,38.74017033928884,-90.35130341509878,n141,Rwy,null,null
Txy_D_D1,142,38.73915878935852,-90.35210472355513,n142,Txy,null,null
Txy_C_C1,143,38.73863934779789,-90.35252342541835,n143,Txy,null,null
Txy_C_K,144,38.73958727436626,-90.35445220390878,n144,Txy,null,null
Rwy_03_012,145,38.73969381446948,-90.35033880029533,n145,Rwy,null,null
Txy_J_002,146,38.73862470121354,-90.35002646914299,n146,Txy,null,null
Txy_J_003,147,38.73994029594,-90.3489562583677,n147,Txy,null,null
Rwy_03_013,148,38.7392730508989,-90.34948685826927,n148,Rwy,null,null
Txy_D_J,149,38.73827257467563,-90.35031677146203,n149,Txy,null,null
Txy_J_004,150,38.74060809166468,-90.34840798384005,n150,Txy,null,null
Txy_J_005,151,38.74165026537994,-90.34760993104106,n151,Txy,null,null
Txy_E1_001,152,38.74228503311555,-90.34913091682358,n152,Txy,null,null
Txy_E_J,153,38.74089572928956,-90.34816633808802,n153,Txy,null,null
Txy_H_003,154,38.73850127106265,-90.34605003148296,n154,Txy,null,null
Txy_E_003,155,38.73911730378987,-90.3445533148131,n155,Txy,null,null
Txy_H_004,156,38.73922330950127,-90.34548547203757,n156,Txy,null,null
Txy_H_002,157,38.73718846891816,-90.34712431321572,n157,Txy,null,null
Rwy_03_014,158,38.73784016993405,-90.34657940506044,n158,Rwy,RW30L,Entry
Txy_D_006,159,38.73712412537993,-90.3479498055466,n159,Txy,null,null
Txy_H_001,160,38.73661440111882,-90.34763919805306,n160,Txy,null,null
Txy_D_H,161,38.73685025178678,-90.34743018588514,n161,Txy,null,null
Txy_C_J,162,38.73776391953307,-90.35073732810059,n162,Txy,null,null
Txy_E_H,163,38.73947175890141,-90.34527696251665,n163,Txy,null,null
Txy_H_005,164,38.74022193537697,-90.34468800102069,n164,Txy,null,null
Rwy_04_008,165,38.74090829081246,-90.3441448013363,n165,Rwy,null,null
Txy_J_006,166,38.74299651165288,-90.34660612653393,n166,Txy,null,null
Rwy_04_007,167,38.74232555319437,-90.34711771621554,n167,Rwy,null,null
Rwy_04_006,168,38.74386964485986,-90.35022022441922,n168,Rwy,null,null
Txy_K_005,169,38.74593676597026,-90.35259367623516,n169,Txy,null,null
Txy_K_004,170,38.74461931586954,-90.35364166883991,n170,Txy,null,null
Rwy_04_005,171,38.74528504074426,-90.3531213883192,n171,Rwy,null,null
Txy_E_K,172,38.74389377430626,-90.35425242671263,n172,Txy,null,null
Txy_E_L,173,38.74495628761537,-90.35639554389306,n173,Txy,null,null
Txy_L_004,174,38.74592125543472,-90.35641763760077,n174,Txy,null,null
Txy_E_N,175,38.74581769076533,-90.35815469723553,n175,Txy,null,null
Txy_N_004,176,38.74640490661894,-90.35733579334395,n176,Txy,null,null
Txy_E2_001,177,38.74750984852344,-90.35970591239476,n177,Txy,null,null
Rwy_04_003,178,38.74744021398065,-90.35744732588398,n178,Rwy,null,null
Rwy_04_004,179,38.7469787151025,-90.35654589591192,n179,Rwy,null,null
Txy_L_005,180,38.74791289348485,-90.35646039358281,n180,Txy,null,null
Txy_F_L,181,38.74860648242768,-90.35648656727295,n181,Txy,null,null
Txy_L_F7,182,38.74961163780134,-90.35650456398201,n182,Txy,null,null
Txy_F_F7,183,38.74930927721385,-90.35791577662405,n183,Txy,null,null
Txy_F7_001,184,38.74959885921379,-90.35728055021617,n184,Txy,null,null
Txy_F5_F6,185,38.74790362070338,-90.35506686205942,n185,Txy,null,null
Txy_F6_F7,186,38.74963861854145,-90.35509700262678,n186,Txy,null,null
Txy_F_K,187,38.74647650737129,-90.35217102945418,n187,Txy,null,null
Txy_K_006,188,38.74689625969958,-90.35182073607184,n188,Txy,null,null
Txy_F_F4,189,38.74478516755928,-90.3487269531747,n189,Txy,null,null
Txy_F_J,190,38.74352090329376,-90.34617601303748,n190,Txy,null,null
Txy_E_005,191,38.73804669522405,-90.34021910682101,n191,Txy,null,null
Rwy_04_009,192,38.73869870029653,-90.33971050284114,n192,Rwy,RW30R,Entry
Txy_E_004,193,38.7374572598258,-90.340908052477,n193,Txy,null,null
Txy_A_B,194,38.76085928205579,-90.40898205258026,n194,Txy,null,null
Txy_P_006,195,38.75279040425195,-90.35796869458838,n195,Txy,null,null
Parking_L_001,196,38.75037522623189,-90.35650240204538,n196,Park,null,null
Txy_F7_002,197,38.7496427499519,-90.35424830525673,n197,Txy,null,null
Txy_F5_001,198,38.74826746172596,-90.3542283870455,n198,Txy,null,null
Parking_F7_001,199,38.74965881447501,-90.35293448389369,n199,Park,null,null
Parking_F5_001,200,38.748780488439,-90.35309399294208,n200,Park,null,null
Txy_K_K1,201,38.74711346285768,-90.35163759110253,n201,Txy,null,null
Txy_K_007,202,38.74895723996896,-90.35015680509852,n202,Txy,null,null
Parking_K_001,203,38.74973834873634,-90.34999164275692,n203,Park,null,null
Parking_K_002,204,38.74944266456615,-90.34938384725623,n204,Park,null,null
Parking_K_003,205,38.74914718743664,-90.34876828875468,n205,Park,null,null
Parking_K_004,206,38.74816834887571,-90.34677802732149,n206,Park,null,null
Txy_F4_001,207,38.74530654355122,-90.34832612566476,n207,Txy,null,null
Parking_F4_001,208,38.74576120264876,-90.3479712444268,n208,Park,null,null
Txy_K1_001,209,38.74644077574377,-90.3502992669082,n209,Txy,null,null
